OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14048255,48347,Halcrow Group Limited,R5001-FRM101,TPP - Major External Contractors,21/10/2016,"1,482.50 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Abandoned Vehicles,14047822,717,Harry Buckland,R4401-STC011,Services - Fees and Charges,07/10/2016,630.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Abandoned Vehicles,14047821,727,Harry Buckland,R4401-STC011,Services - Fees and Charges,07/10/2016,610.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Accountancy,14048287,1006948977,Hays Specialist Recruitment Limited,R4400-SUP009,Services - Professional Fees,21/10/2016,"3,795.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Accountancy,14048288,1006948989,Hays Specialist Recruitment Limited,R1700-SUP009,Staff Advertising Costs,21/10/2016,"3,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Repairs & Maintenance,14048059,16192,Hellion Environmental Limited,R2080-CUL117,Mechanical Services,14/10/2016,520.84 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14048045,16206,Hellion Environmental Limited,R2080-REC111,Mechanical Services,14/10/2016,545.63 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Repairs & Maintenance,14048403,16230,Hellion Environmental Limited,R2008-CUL117,R & M of Build - Reactive Repairs,28/10/2016,800.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14048398,16240,Hellion Environmental Limited,R2004-FIE040,R & M of Build Programmed,28/10/2016,500.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Repairs & Maintenance,14048404,16241,Hellion Environmental Limited,R2080-CUL117,Mechanical Services,28/10/2016,520.84 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14048418,16255,Hellion Environmental Limited,R2080-REC111,Mechanical Services,28/10/2016,545.63 ,,
