Hospital code,Own home/sheltered housing. N,Own home/sheltered housing. %,Rehabilitation unit. N,Rehabilitation unit. %,Acute hospital. N,Acute hospital. %,Residential care. N,Residential care. %,Nursing care. N,Nursing care. %,Dead. N,Dead. %,Other. N,Other. %,Unknown. N,Unknown. %,Admitted from/discharged to Total cases,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). Total,AMTS recorded. Yes. N,AMTS recorded. Yes. %,AMTS recorded. No. N,AMTS recorded. No. %,AMTS recorded. Total,Perioperative medical assessment. No. N,Perioperative medical assessment. No. %,Perioperative medical assessment. Yes. N,Perioperative medical assessment. Yes. %,Perioperative medical assessment. Total,Mobilised out of bed. No. N,Mobilised out of bed. No. %,Mobilised out of bed. Yes. N,Mobilised out of bed. Yes. %,Mobilised out of bed. Total.,Falls assessment (QS 16 -11). Yes. N,Falls assessment (QS 16 -11). Yes. %,Falls assessment (QS 16 -11). No. N,Falls assessment (QS 16 -11). No. %,Falls assessment (QS 16 -11). Total.,Bone health assessment (QS16 – 12). Yes. N,Bone health assessment (QS16 – 12). Yes. %,Bone health assessment (QS16 – 12). No. N,Bone health assessment (QS16 – 12). No. %,Bone health assessment (QS16 – 12). Total,Best practice tariff achievement. Yes. N,Best practice tariff achievement. Yes. %,Best practice tariff achievement. No. N,Best practice tariff achievement. No. %,Best practice tariff achievement. Total,"Surgery on day of, or day after, admission. Yes. N","Surgery on day of, or day after, admission. Yes. %","Surgery on day of, or day after, admission. No. N","Surgery on day of, or day after, admission. No %","Surgery on day of, or day after, admission. Total",GA. N,GA. %,Not GA. N,Not GA. %,GA Anaesthetics Total,GA + nerve block. N,GA + nerve block. %,GA without NB. N,GA without NB. %,GA NB. Total,SA all. N,SA all. %,Not SA. N,Not SA. %,SA anaesthesia. Total,SA + nerve block. N,SA + nerve block. %,SA without nerve block. N,SA without nerve block. %,SA Total,Cemented. N,Cemented. %,Not cemented. N,Not cemented. %,Arthroplasties total,THR. No. N,THR. No. %,THR. Yes. N,THR. Yes. %,THR eligible. Total,Intertrochanteric SHS. Yes. N,Intertrochanteric SHS. Yes.%,Intertrochanteric SHS. No N,Intertrochanteric SHS. No %,Intertrochanteric. Total,Subtrochanteric – all intramedullary nail. N,Subtrochanteric – all intramedullary nail.%,Subtrochanteric – not intramedullary nail. N,Subtrochanteric – not intramedullary nail. %,Subtrochanteric – total,Case s submitted,Case ascertainment denominator,Case ascertainment %,LOS analysis N,Acute LOS,Post-acute LOS,Total LOS,Return to own home within 30 days. No. N,Return to own home within 30 days. No. %,Return to own home within 30 days. Yes. N,Return to own home within 30 days. Yes. %,Return to own home within 30 days. Total cases,Reoperated within 30 days. Yes. N,Reoperated within 30 days. Yes. %,Reoperated within 30 days. No. N,Reoperated within 30 days. No. %,Reoperated within 30 days. Total cases.,Developing a pressure ulcer (CG179). Yes. N,Developing a pressure ulcer (CG179). Yes. %,Developing a pressure ulcer (CG179). No N,Developing a pressure ulcer (CG179). No %,Developing a pressure ulcer (CG179). Total cases.,Unknown pressure ulcer (CG179). Yes. N,Unknown pressure ulcer (CG179). Yes. %,Unknown pressure ulcer (CG179). No N,Unknown pressure ulcer (CG179). No %,Unknown pressure ulcer (CG179). Total cases.,Hip fracture sustained as an inpatient. Yes. N,Hip fracture sustained as an inpatient. Yes. %,Hip fracture sustained as an inpatient. No. N,Hip fracture sustained as an inpatient. No. %,Hip fracture sustained as an inpatient. All cases,No OG consultantr hrs,No OG middle grade hrs,No OG ward rounds/week,No nurse practitioners,OG weekend cover?,Who collects data?,Who enters data?,Routine nerve blocks offered?,Where nerve blocks administered?,Enhanced recovery programme?,Pain tool used?,Clinical governance meetings?,Who attends?,What is discussed?,Who does bone health assessment?,Fracture Liaison Service?,FLS run by?,Does FLS lead on falls?,Single room accomodation in catchment,Can you refer to strength and balance training?,Do you use Nottingham Score?
KCH,95,76.00%,*,1.60%,*,2.40%,*,1.60%,8,6.40%,8,6.40%,7,5.60%,*,0.00%,*,42,30.4%,96,69.6%,138,101,69.2%,45,30.8%,146,9,6.2%,137,93.8%,146,44,42.7%,59,57.3%,103,133,100.0%,0,0.0%,133,*,98.5%,*,1.5%,*,57,35.2%,105,64.8%,162,107,73.29%,39,26.71%,146,92,63.01%,54,36.99%,146,50,54.35%,42,45.65%,92,28,19.18%,118,80.82%,146,*,17.86%,*,82.14%,*,48,85.71%,8,14.29%,56,*,87.10%,*,12.90%,*,33,68.75%,15,31.25%,48,*,72.73%,*,27.27%,*,146,196,74.49%,136,17.6,9.6,27.2,46,36.80%,79,63.20%,125,*,1.40%,*,98.60%,*,*,0.75%,*,99.25%,*,0,0.00%,133,100.00%,133,6,4.11%,140,95.89%,146,8,30,5,1,No,ND;CA;AD,ND;AD,Yes,AED;AN,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;TO,DS;LOS;DS;LQ,OG;SN;OCR,Both,RH,Yes,Unknown,FPC;CR,No
KGH,145,53.70%,90,33.33%,*,0.74%,18,6.67%,*,0.37%,12,4.44%,*,0.74%,*,0.00%,*,297,84.9%,53,15.1%,350,350,94.6%,20,5.4%,370,117,31.6%,253,68.4%,370,123,42.6%,166,57.4%,289,320,91.4%,30,8.6%,350,336,96.0%,14,4.0%,350,182,50.6%,178,49.4%,360,276,74.59%,94,25.41%,370,255,68.92%,115,31.08%,370,214,83.92%,41,16.08%,255,60,16.22%,310,83.78%,370,35,58.33%,25,41.67%,60,130,73.86%,46,26.14%,176,56,78.87%,15,21.13%,71,*,96.36%,*,3.64%,*,13,56.52%,10,43.48%,23,370,380,97.37%,341,20.9,1.5,22.4,148,53.82%,127,46.18%,275,*,0.28%,*,99.72%,*,18,5.14%,332,94.86%,350,*,1.14%,*,98.86%,*,23,6.22%,347,93.78%,370,16,0,5,0,No,ND,ND,No,AED;AN;OS,No,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;TO,MM;DS;LOS;DS;PSf;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
KMH,193,65.20%,0,0.00%,0,0.00%,*,1.35%,22,7.43%,17,5.74%,59,19.93%,*,0.34%,*,260,69.1%,116,30.9%,376,383,96.7%,13,3.3%,396,155,39.1%,241,60.9%,396,9,3.1%,284,96.9%,293,316,86.1%,51,13.9%,367,336,91.6%,31,8.4%,367,77,19.6%,316,80.4%,393,282,71.21%,114,28.79%,396,125,31.57%,271,68.43%,396,100,80.00%,25,20.00%,125,169,42.68%,227,57.32%,396,104,61.54%,65,38.46%,169,17,8.50%,183,91.50%,200,73,91.25%,7,8.75%,80,71,83.53%,14,16.47%,85,14,60.87%,9,39.13%,23,396,353,112.18%,361,17.5,8.9,26.4,192,63.37%,111,36.63%,303,0,0.00%,384,100.00%,384,*,1.36%,*,98.64%,*,*,0.27%,*,99.73%,*,22,5.56%,374,94.44%,396,11,0,5,1.5,No,ND,ND;AD,No,AED,Yes,Yes,Not routinely,N/A,N/A,OG,Both,END,No,HOS,FPC,No
KTH,129,58.11%,57,25.68%,*,0.45%,*,1.80%,9,4.05%,8,3.60%,14,6.31%,*,0.00%,*,101,35.6%,183,64.4%,284,289,97.6%,7,2.4%,296,7,2.4%,289,97.6%,296,37,16.9%,182,83.1%,219,283,100.0%,0,0.0%,283,283,100.0%,0,0.0%,283,262,84.8%,47,15.2%,309,259,87.50%,37,12.50%,296,90,30.41%,206,69.59%,296,64,71.11%,26,28.89%,90,173,58.45%,123,41.55%,296,63,36.42%,110,63.58%,173,*,96.60%,*,3.40%,*,58,89.23%,7,10.77%,65,107,87.70%,15,12.30%,122,*,75.00%,*,25.00%,*,296,386,76.68%,284,14.6,0.1,14.7,101,45.50%,121,54.50%,222,0,0.00%,291,100.00%,291,*,0.35%,*,99.65%,*,0,0.00%,283,100.00%,283,13,4.39%,283,95.61%,296,40,0,5,0,No,ND,ND,No,AED;AN;OS,No,Yes,Not routinely,ORC;OGC;NS;PH,MM;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
LDH,131,53.25%,85,34.55%,*,0.41%,8,3.25%,6,2.44%,14,5.69%,*,0.41%,*,0.00%,*,80,27.8%,208,72.2%,288,309,100.0%,0,0.0%,309,*,1.3%,*,98.7%,*,96,39.8%,145,60.2%,241,293,100.0%,0,0.0%,293,293,100.0%,0,0.0%,293,237,77.5%,69,22.5%,306,232,75.08%,77,24.92%,309,137,44.34%,172,55.66%,309,121,88.32%,16,11.68%,137,162,52.43%,147,47.57%,309,*,1.23%,*,98.77%,*,157,95.15%,8,4.85%,165,50,75.76%,16,24.24%,66,81,90.00%,9,10.00%,90,25,100.00%,0,0.00%,25,309,338,91.42%,291,13.5,0.3,13.8,111,45.12%,135,54.88%,246,*,1.32%,*,98.68%,*,0,0.00%,293,100.00%,293,0,0.00%,293,100.00%,293,11,3.56%,298,96.44%,309,36,40,5,0,No,ND;TA,ND;TA,Yes,AED;AEN;SN;OS,Yes,No,Monthly,ORC;OGC;ANC;NS;PH;OC;AES,MM;DS;LOS;DS;PSf;CI;CN,OG,No,Unknown,No,Unknown,CR,routinely
LER,253,43.25%,253,43.25%,*,0.34%,18,3.08%,9,1.54%,29,4.96%,21,3.59%,*,0.00%,*,164,23.6%,530,76.4%,694,725,93.5%,50,6.5%,775,139,17.9%,636,82.1%,775,155,26.5%,431,73.5%,586,654,90.6%,68,9.4%,722,652,90.3%,70,9.7%,722,309,39.6%,471,60.4%,780,467,60.26%,308,39.74%,775,457,58.97%,318,41.03%,775,328,71.77%,129,28.23%,457,296,38.19%,479,61.81%,775,109,36.82%,187,63.18%,296,*,98.55%,*,1.45%,*,138,92.00%,12,8.00%,150,219,71.80%,86,28.20%,305,23,76.67%,7,23.33%,30,775,810,95.68%,728,12.4,1.3,13.7,343,58.63%,242,41.37%,585,0,0.00%,760,100.00%,760,22,3.05%,700,96.95%,722,57,7.89%,665,92.11%,722,72,9.29%,703,90.71%,775,36,0,5,0,No,ND;TA,ND;TA,No,AED,Yes,Yes,Not routinely,N/A,N/A,OG,No,Unknown,No,Unknown,FPC,occasionally
LEW,88,57.14%,48,31.17%,*,1.30%,*,0.65%,6,3.90%,9,5.84%,0,0.00%,*,0.00%,*,62,35.0%,115,65.0%,177,*,98.4%,*,1.6%,*,10,5.3%,178,94.7%,188,44,31.4%,96,68.6%,140,173,100.0%,0,0.0%,173,*,99.4%,*,0.6%,*,118,64.8%,64,35.2%,182,141,75.00%,47,25.00%,188,116,61.70%,72,38.30%,188,98,84.48%,18,15.52%,116,54,28.72%,134,71.28%,188,32,59.26%,22,40.74%,54,56,88.89%,7,11.11%,63,*,94.12%,*,5.88%,*,63,81.82%,14,18.18%,77,10,52.63%,9,47.37%,19,188,190,98.95%,172,22.5,1.9,24.3,82,52.90%,73,47.10%,155,*,0.54%,*,99.46%,*,*,2.31%,*,97.69%,*,*,1.16%,*,98.84%,*,*,2.13%,*,97.87%,*,8,8,5,0.3,No,ND,ND,Yes,AED;AN,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;AES,MM;DS;LOS;LQ,OG,Outpatients,GEM,Yes,Unknown,FPC,occasionally
LGH,102,47.00%,63,29.03%,*,0.92%,11,5.07%,18,8.29%,18,8.29%,*,1.38%,*,0.00%,*,191,67.3%,93,32.7%,284,289,96.7%,10,3.3%,299,151,50.5%,148,49.5%,299,105,45.3%,127,54.7%,232,265,96.7%,9,3.3%,274,242,88.3%,32,11.7%,274,83,27.9%,215,72.1%,298,195,65.22%,104,34.78%,299,237,79.26%,62,20.74%,299,186,78.48%,51,21.52%,237,40,13.38%,259,86.62%,299,12,30.00%,28,70.00%,40,122,79.22%,32,20.78%,154,40,72.73%,15,27.27%,55,70,74.47%,24,25.53%,94,*,85.71%,*,14.29%,*,299,351,85.19%,280,16.1,2.6,18.7,126,57.80%,92,42.20%,218,0,0.00%,288,100.00%,288,14,5.11%,260,94.89%,274,*,1.09%,*,98.91%,*,10,3.34%,289,96.66%,299,7,0,3,1,No,ND;TA,ND;TA,No,AN;OS,No,Yes,Quarterly,ORC;OGC;NS;PH;OC;TO,MM;LOS;PSf;LQ,OG;SN,No,Unknown,Unknown,SIT;TRU,NA,routinely
LGI,302,56.34%,164,30.60%,*,0.37%,*,0.93%,13,2.43%,42,7.84%,8,1.49%,*,0.00%,*,325,49.0%,338,51.0%,663,663,94.4%,39,5.6%,702,58,8.3%,644,91.7%,702,474,88.8%,60,11.2%,534,633,98.3%,11,1.7%,644,529,82.1%,115,17.9%,644,393,56.5%,303,43.5%,696,475,67.66%,227,32.34%,702,273,38.89%,429,61.11%,702,158,57.88%,115,42.12%,273,263,37.46%,439,62.54%,702,101,38.40%,162,61.60%,263,*,98.91%,*,1.09%,*,108,77.70%,31,22.30%,139,165,73.99%,58,26.01%,223,34,70.83%,14,29.17%,48,702,658,106.69%,642,19.3,0.6,20.0,262,48.70%,276,51.30%,538,10,1.46%,673,98.54%,683,27,4.19%,617,95.81%,644,60,9.32%,584,90.68%,644,25,3.56%,677,96.44%,702,36,40,8,1,No,ND;AD,ND;AD,No,AED,No,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;PS;TO,MM;DS;LOS;DS;PSf;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,occasionally
LIN,132,50.57%,17,6.51%,*,1.53%,20,7.66%,68,26.05%,19,7.28%,*,0.38%,*,0.00%,*,145,43.5%,188,56.5%,333,355,100.0%,0,0.0%,355,27,7.6%,328,92.4%,355,94,33.9%,183,66.1%,277,*,99.7%,*,0.3%,*,*,99.7%,*,0.3%,*,295,82.9%,61,17.1%,356,302,85.07%,53,14.93%,355,197,55.49%,158,44.51%,355,137,69.54%,60,30.46%,197,129,36.34%,226,63.66%,355,40,31.01%,89,68.99%,129,86,53.75%,74,46.25%,160,54,72.97%,20,27.03%,74,103,78.63%,28,21.37%,131,*,83.33%,*,16.67%,*,355,347,102.31%,329,18.9,0.2,19.1,126,48.28%,135,51.72%,261,*,1.44%,*,98.56%,*,16,4.92%,309,95.08%,325,0,0.00%,325,100.00%,325,19,5.35%,336,94.65%,355,17,0,3,0,No,ND,ND,No,AN,No,Yes,Monthly,ORC;OGC;NS;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Outpatients,O,No,SIT,CR,No
LON,111,86.05%,*,1.55%,*,0.78%,0,0.00%,*,0.78%,13,10.08%,*,0.78%,*,0.00%,*,14,10.1%,125,89.9%,139,142,92.2%,12,7.8%,154,8,5.2%,146,94.8%,154,58,53.2%,51,46.8%,109,137,100.0%,0,0.0%,137,137,100.0%,0,0.0%,137,93,58.1%,67,41.9%,160,99,64.29%,55,35.71%,154,131,85.06%,23,14.94%,154,77,58.78%,54,41.22%,131,16,10.39%,138,89.61%,154,*,31.25%,*,68.75%,*,56,87.50%,8,12.50%,64,13,59.09%,9,40.91%,22,39,66.10%,20,33.90%,59,10,100.00%,0,0.00%,10,154,184,83.70%,126,16.3,10.2,26.4,43,32.82%,88,67.18%,131,*,0.66%,*,99.34%,*,0,0.00%,137,100.00%,137,127,92.70%,10,7.30%,137,14,9.09%,140,90.91%,154,19,0,4,0,Yes,ND,ND,Yes,AED;AN,No,No,Quarterly,ORC;OGC;NS;TO,DS;LOS;DS;PSf;CI,OG,No,Unknown,No,Unknown,Unknown,routinely
MAC,103,62.42%,16,9.70%,7,4.24%,11,6.67%,18,10.91%,9,5.45%,*,0.61%,*,0.00%,*,174,79.8%,44,20.2%,218,*,98.7%,*,1.3%,*,12,5.2%,220,94.8%,232,47,26.9%,128,73.1%,175,*,99.5%,*,0.5%,*,*,99.5%,*,0.5%,*,160,69.0%,72,31.0%,232,186,80.17%,46,19.83%,232,62,26.72%,170,73.28%,232,52,83.87%,10,16.13%,62,162,69.83%,70,30.17%,232,26,16.05%,136,83.95%,162,*,97.50%,*,2.50%,*,44,78.57%,12,21.43%,56,50,69.44%,22,30.56%,72,*,61.54%,*,38.46%,*,232,273,84.98%,213,18.0,10.1,28.1,102,60.71%,66,39.29%,168,*,0.45%,*,99.55%,*,*,2.33%,*,97.67%,*,*,0.93%,*,99.07%,*,16,6.90%,216,93.10%,232,10,48,5,0,No,TA,TA,Yes,AN,Yes,Yes,Monthly,ORC;OGC;ANC;NS;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,No,Unknown,Unknown,routinely
MAY,128,64.65%,30,15.15%,0,0.00%,*,1.01%,*,1.01%,23,11.62%,13,6.57%,*,0.00%,*,18,7.2%,232,92.8%,250,*,98.1%,*,1.9%,*,12,4.6%,251,95.4%,263,89,46.4%,103,53.6%,192,*,98.7%,*,1.3%,*,230,97.5%,6,2.5%,236,196,73.4%,71,26.6%,267,208,79.09%,55,20.91%,263,143,54.37%,120,45.63%,263,101,70.63%,42,29.37%,143,114,43.35%,149,56.65%,263,*,1.75%,*,98.25%,*,102,88.70%,13,11.30%,115,*,89.19%,*,10.81%,*,85,88.54%,11,11.46%,96,*,95.45%,*,4.55%,*,263,305,86.23%,243,20.7,0.2,21.0,86,43.22%,113,56.78%,199,*,1.17%,*,98.83%,*,38,16.10%,198,83.90%,236,*,1.69%,*,98.31%,*,12,4.56%,251,95.44%,263,24,10,6,1,Yes,ND,ND,Yes,AED;AN,No,No,Not routinely,N/A,N/A,OG,Outpatients,GEM,No,Unknown,FPC;CR,occasionally
MDW,140,52.83%,94,35.47%,*,0.75%,*,0.75%,0,0.00%,26,9.81%,*,0.38%,*,0.00%,*,100,30.3%,230,69.7%,330,*,99.1%,*,0.9%,*,58,16.9%,285,83.1%,343,20,8.3%,222,91.7%,242,299,96.8%,10,3.2%,309,299,96.8%,10,3.2%,309,230,66.3%,117,33.7%,347,262,76.38%,81,23.62%,343,77,22.45%,266,77.55%,343,64,83.12%,13,16.88%,77,241,70.26%,102,29.74%,343,35,14.52%,206,85.48%,241,114,69.09%,51,30.91%,165,52,82.54%,11,17.46%,63,124,94.66%,7,5.34%,131,13,52.00%,12,48.00%,25,343,393,87.28%,315,17.1,0.2,17.3,121,45.66%,144,54.34%,265,*,0.88%,*,99.12%,*,*,0.97%,*,99.03%,*,0,0.00%,309,100.00%,309,12,3.50%,331,96.50%,343,40,40,2,3,No,ND,AD,Yes,AN,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;DI;AES;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Both,O,Yes,TRU,CR,No
MKH,127,72.16%,19,10.80%,*,1.14%,6,3.41%,8,4.55%,13,7.39%,*,0.57%,*,0.00%,*,54,24.5%,166,75.5%,220,*,97.8%,*,2.2%,*,28,12.2%,202,87.8%,230,23,13.6%,146,86.4%,169,211,100.0%,0,0.0%,211,*,99.5%,*,0.5%,*,148,65.8%,77,34.2%,225,179,77.83%,51,22.17%,230,158,68.70%,72,31.30%,230,110,69.62%,48,30.38%,158,57,24.78%,173,75.22%,230,14,24.56%,43,75.44%,57,113,100.00%,0,0.00%,113,28,63.64%,16,36.36%,44,53,81.54%,12,18.46%,65,*,92.00%,*,8.00%,*,230,263,87.45%,213,16.3,7.5,23.8,77,43.26%,101,56.74%,178,*,0.46%,*,99.54%,*,7,3.32%,204,96.68%,211,0,0.00%,211,100.00%,211,13,5.65%,217,94.35%,230,13.5,0,5,1,No,ND,ND,Yes,AED;AN;SN;OS,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;DI;AES;CR;TO,DS;LOS;PSf;LQ,OG;SN;OCR,No,Unknown,Unknown,Unknown,FPC,No
MPH,138,42.33%,159,48.77%,*,0.31%,*,1.23%,6,1.84%,17,5.21%,*,0.31%,*,0.00%,*,341,83.0%,70,17.0%,411,402,94.4%,24,5.6%,426,30,7.0%,396,93.0%,426,119,35.5%,216,64.5%,335,*,99.7%,*,0.3%,*,*,99.5%,*,0.5%,*,292,67.0%,144,33.0%,436,344,80.75%,82,19.25%,426,296,69.48%,130,30.52%,426,47,15.88%,249,84.12%,296,83,19.48%,343,80.52%,426,10,12.05%,73,87.95%,83,195,87.84%,27,12.16%,222,51,52.58%,46,47.42%,97,*,97.71%,*,2.29%,*,*,87.88%,*,12.12%,*,426,424,100.47%,409,13.5,0.3,13.8,123,37.61%,204,62.39%,327,7,1.67%,411,98.33%,418,*,0.75%,*,99.25%,*,220,55.14%,179,44.86%,399,14,3.29%,412,96.71%,426,14,65,2,0,No,ND,ND,Yes,AED;AN,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC,MM;DS;LOS;DS;LQ,OG,No,Unknown,Unknown,HOS,FPC,No
MRI,102,72.86%,11,7.86%,*,0.71%,*,0.71%,7,5.00%,14,10.00%,*,2.86%,*,0.00%,*,83,47.4%,92,52.6%,175,178,92.2%,15,7.8%,193,54,28.0%,139,72.0%,193,25,18.0%,114,82.0%,139,169,100.0%,0,0.0%,169,*,99.4%,*,0.6%,*,91,47.4%,101,52.6%,192,141,73.06%,52,26.94%,193,76,39.38%,117,60.62%,193,45,59.21%,31,40.79%,76,97,50.26%,96,49.74%,193,33,34.02%,64,65.98%,97,*,94.87%,*,5.13%,*,25,80.65%,6,19.35%,31,58,80.56%,14,19.44%,72,*,80.00%,*,20.00%,*,193,183,105.46%,157,16.4,17.9,34.3,77,51.33%,73,48.67%,150,*,1.83%,*,98.17%,*,*,2.37%,*,97.63%,*,0,0.00%,169,100.00%,169,20,10.36%,173,89.64%,193,18,0,5,1.8,No,ND,ND;TA,Yes,AED;AN,No,No,Not routinely,N/A,N/A,OG,No,Unknown,Unknown,Unknown,FPC;CR,routinely
NCR,166,61.48%,58,21.48%,*,1.48%,*,1.85%,16,5.93%,14,5.19%,6,2.22%,*,0.37%,*,86,24.4%,266,75.6%,352,334,89.1%,41,10.9%,375,49,13.1%,326,86.9%,375,68,24.4%,211,75.6%,279,290,82.9%,60,17.1%,350,331,94.6%,19,5.4%,350,174,47.5%,192,52.5%,366,313,83.47%,62,16.53%,375,282,75.20%,93,24.80%,375,118,41.84%,164,58.16%,282,75,20.00%,300,80.00%,375,6,8.00%,69,92.00%,75,45,30.41%,103,69.59%,148,37,75.51%,12,24.49%,49,133,86.93%,20,13.07%,153,*,94.74%,*,5.26%,*,375,420,89.29%,333,15.6,3.7,19.3,138,50.36%,136,49.64%,274,*,0.55%,*,99.45%,*,35,10.00%,315,90.00%,350,22,6.29%,328,93.71%,350,20,5.33%,355,94.67%,375,0,10,1,38,Yes,ND,ND,No,AED,No,Yes,Monthly,ORC;OGC;NS;PH;TO,MM;DS;LOS;PSf;CI;CN;LQ,OG;SN;OCR,Both,O,No,Unknown,FPC,No
NDD,148,74.37%,9,4.52%,*,1.51%,12,6.03%,13,6.53%,14,7.04%,0,0.00%,*,0.00%,*,188,76.7%,57,23.3%,245,212,81.2%,49,18.8%,261,98,37.5%,163,62.5%,261,48,24.2%,150,75.8%,198,*,98.3%,*,1.7%,*,*,99.2%,*,0.8%,*,112,44.1%,142,55.9%,254,196,75.10%,65,24.90%,261,162,62.07%,99,37.93%,261,128,79.01%,34,20.99%,162,39,14.94%,222,85.06%,261,18,46.15%,21,53.85%,39,88,84.62%,16,15.38%,104,35,85.37%,6,14.63%,41,*,97.00%,*,3.00%,*,*,92.86%,*,7.14%,*,261,300,87.00%,236,10.3,8.8,19.1,73,35.96%,130,64.04%,203,*,2.04%,*,97.96%,*,7,2.94%,231,97.06%,238,*,0.84%,*,99.16%,*,13,4.98%,248,95.02%,261,16,0,5,0,No,ND,ND,Yes,AN,Yes,Yes,Not routinely,ORC;OGC;ANC;NS;PH;OC;AES,MM;DS;LOS;DS;PSf,OG,No,Unknown,Unknown,Unknown,NA,No
NGS,261,58.26%,110,24.55%,*,0.22%,6,1.34%,21,4.69%,44,9.82%,*,0.89%,*,0.22%,*,255,43.9%,326,56.1%,581,*,99.5%,*,0.5%,*,57,8.9%,581,91.1%,638,222,47.4%,246,52.6%,468,552,98.6%,8,1.4%,560,*,99.3%,*,0.7%,*,439,68.0%,207,32.0%,646,505,79.15%,133,20.85%,638,112,17.55%,526,82.45%,638,84,75.00%,28,25.00%,112,502,78.68%,136,21.32%,638,306,60.96%,196,39.04%,502,207,80.23%,51,19.77%,258,34,48.57%,36,51.43%,70,219,92.80%,17,7.20%,236,19,76.00%,6,24.00%,25,638,604,105.63%,596,8.6,13.9,22.5,222,49.44%,227,50.56%,449,*,0.64%,*,99.36%,*,31,5.54%,529,94.46%,560,34,6.07%,526,93.93%,560,54,8.46%,584,91.54%,638,52,40,8,1,No,ND,ND;AD,Yes,AED;AN,No,No,Quarterly,ORC;OGC;NS;PH;OC;DI;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;OCR,No,Unknown,Unknown,Unknown,CR,routinely
NHH,169,74.45%,25,11.01%,0,0.00%,*,0.88%,16,7.05%,11,4.85%,*,1.76%,*,0.00%,*,136,49.5%,139,50.5%,275,279,97.6%,7,2.4%,286,12,4.2%,274,95.8%,286,52,25.1%,155,74.9%,207,*,98.1%,*,1.9%,*,261,97.4%,7,2.6%,268,199,72.1%,77,27.9%,276,232,81.12%,54,18.88%,286,95,33.22%,191,66.78%,286,43,45.26%,52,54.74%,95,181,63.29%,105,36.71%,286,58,32.04%,123,67.96%,181,114,82.01%,25,17.99%,139,28,47.46%,31,52.54%,59,84,82.35%,18,17.65%,102,*,85.00%,*,15.00%,*,286,278,102.88%,261,18.1,3.3,21.4,91,39.74%,138,60.26%,229,7,2.51%,272,97.49%,279,21,7.84%,247,92.16%,268,*,1.12%,*,98.88%,*,7,2.45%,279,97.55%,286,8,24,5,0,No,ND,ND,Yes,AED,No,No,Monthly,ORC;OGC;NS;PH;OC;AES,MM;DS;LOS;DS;PSf;CI;LQ,OG,No,Unknown,No,Unknown,NA,No
NMG,146,60.83%,*,0.83%,0,0.00%,14,5.83%,*,1.67%,19,7.92%,54,22.50%,*,0.42%,*,178,55.6%,142,44.4%,320,326,97.9%,7,2.1%,333,62,18.6%,271,81.4%,333,112,45.7%,133,54.3%,245,266,87.8%,37,12.2%,303,263,86.8%,40,13.2%,303,170,50.1%,169,49.9%,339,195,58.56%,138,41.44%,333,84,25.23%,249,74.77%,333,45,53.57%,39,46.43%,84,231,69.37%,102,30.63%,333,136,58.87%,95,41.13%,231,67,51.15%,64,48.85%,131,22,51.16%,21,48.84%,43,120,83.92%,23,16.08%,143,*,88.46%,*,11.54%,*,333,393,84.73%,313,14.9,5.3,20.2,116,47.93%,126,52.07%,242,6,1.86%,317,98.14%,323,11,3.63%,292,96.37%,303,0,0.00%,303,100.00%,303,17,5.11%,316,94.89%,333,40,38,0,0,No,ND,ND,No,AED;AN,No,No,Monthly,ORC;OGC;ANC;NS;PH;OC;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,NA,routinely
