Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",QUO IMUS LTD T/A QI CONSULTING,4023187,"23,738.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4023189,"9,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",LA INTERNATIONAL COMPUTER CONSULTANTS LTD,4023190,"2,648.22"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",LA INTERNATIONAL COMPUTER CONSULTANTS LTD,4023191,"7,150.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",GREEN PARK INTERIM & EXECUTIVE LTD,4023192,"12,740.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4023193,"53,319.32"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,OVE ARUP & PARTNERS INTERNATIONAL LTD,4023194,"21,282.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN (UK) LTD,4023195,"155,317.35"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4023196,"60,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,KATHRYN RATHOUSE SOCIAL RESEARCH,4023197,"9,050.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,Paul Mason,4023198,"5,044.67"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Leadership & People Management Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THE LONDON WILDLIFE TRUST,4023203,950
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,CWMCLYDACH COMMUNITY DEVELOPMENT TRUST,4023205,"27,120.36"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,CWMCLYDACH COMMUNITY DEVELOPMENT TRUST,4023206,"3,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4023209,"1,764.66"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4023210,"259,494.37"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023211,"40,397.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023211,"25,068.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023211,"100,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4023212,"371,365.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4023213,"7,889.87"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4023217,"77,001.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023219,"35,172.70"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023220,"868,443.37"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EAST HAMPSHIRE DISTRICT COUNCIL,4023221,"33,813.11"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,INTERNATIONAL INSTITUTE FOR ENVIRONMENT & DEVELOPMENT (IIED),4023222,"1,322.57"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,External Training,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OLIVIER MYTHODRAMA ASSOCIATES LTD,4023223,"1,695.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4023224,"14,374.71"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4023226,"26,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4023227,"20,880.29"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4023228,"30,591.97"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4023229,"30,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4023230,"30,890.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4023232,825.2
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,ICT Infrastructure Specific Service (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4023233,"3,674.57"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,ICT Infrastructure Specific Service (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4023234,"5,589.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023235,664.27
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023236,660.32
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023237,585.19
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4023238,691.12
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4023239,686.88
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Mobile Call Charges,Energy Markets & Infrastructure - Energy Development Unit,CAMBRIA ARCHAEOLOGY/DYFED ARCHAEOLOGY TRUST,4023240,"2,730.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Technical Advice,Energy Markets & Infrastructure - Energy Development Unit,CAMBRIA ARCHAEOLOGY/DYFED ARCHAEOLOGY TRUST,4023240,"2,730.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023242,"1,210.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Professional Training,Energy & Climate Change International - International Energy & Carbon Budgets,NATIONAL SCHOOL OF GOVERNMENT,4023243,895
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Maintenance of IT Equipment (Programme),Energy Markets & Infrastructure - Security and resilience,MET OFFICE,4023245,"16,327.40"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,External Training,Energy & Climate Change International - International Energy & Carbon Budgets,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4023251,690
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4023252,"2,389.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4023253,"300,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4023254,"128,675.45"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,WEST OXFORD COMMUNITY RENEWABLES LTD,4023259,"3,854.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,HERIOT-WATT UNIVERSITY,4023263,"24,833.92"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,HERIOT-WATT UNIVERSITY,4023263,"39,503.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4023264,"81,978.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4023264,639.75
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4023265,735
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4023266,696
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,IC CONSULTANTS LTD,4023269,"3,680.83"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4023271,"11,015.98"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,DEPARTMENT OF HEALTH,4023272,587.27
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4023273,"4,722.74"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Translation Services (Programme),National Climate Change & Consumer Support - Communications,FCO SERVICES,4023278,615.62
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EXMOOR NATIONAL PARK AUTHORITY,4023280,"97,634.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4023281,"7,440.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,NORFOLK COUNTY COUNCIL,4023282,"35,210.63"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,FORESEE LTD,4023284,"1,988.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Grant in Aid - Current -Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,NORFOLK COUNTY COMMUNITY INTEREST COMPANY,4023285,700
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4023287,587.34
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,WEST OXFORD COMMUNITY RENEWABLES LTD,4023288,"10,824.06"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Media and Design Services,National Climate Change & Consumer Support - Communications,ADAM TYLER,4023289,"1,510.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,WEST OXFORD COMMUNITY RENEWABLES LTD,4023290,"13,179.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Insolvency Service Policy Work,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4023291,"6,971.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4023294,949.25
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4023304,"2,850.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Technical Advice,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE CROWN ESTATE,4023305,"50,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Information Facilities,Energy Markets & Infrastructure - DECC Commercial Team,REUTERS LTD,4023306,"1,989.78"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Board Members National Insurance Deductions (Suspense Account),Corporate Payments - ,HM REVENUE & CUSTOMS,4023307,"1,201.99"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/21/2011 ,Board Members Tax Deductions (Suspense Account),Corporate Payments - ,HM REVENUE & CUSTOMS,4023308,"1,272.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023312,553.56
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023313,648.46
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Energy Strategy and Futures,RESPONSIVELOAD LTD,4023314,"25,647.07"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023315,608.92
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,GLOBAL GAS PERSPECTIVE LTD,4023316,"1,200.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PETER LINKE,4023317,821.74
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Energy Strategy and Futures,SCOTTISH HYDRO ELECTRIC POWER DISTRIBUTION PLC,4023318,"314,880.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Hire of Conference Facilities (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4023319,"85,377.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Hire of Conference Facilities (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4023319,"85,377.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Energy Strategy and Futures,RESPONSIVELOAD LTD,4023321,"82,284.63"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,HEALTH PROTECTION AGENCY,4023323,774.14
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,HEALTH PROTECTION AGENCY,4023324,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Contributions (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,OECD,4023325,"42,630.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4023326,"1,419,613.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4023326,"56,215.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,THE ENERGY SAVING TRUST LTD,4023327,"94,880.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LAMMAS LOW IMPACT INITIATIVES LTD,4023329,"57,422.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,HOOK NORTON LOW CARBON LTD,4023330,700
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4023332,"21,036.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,THISTLE REPROGRAPHICS LTD,4023333,899.55
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023334,553.56
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,LOGIK IMAGE MANAGEMENT LTD,4023335,"18,346.62"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Security and resilience,ALAN WALKER,4023337,556
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4023338,608.92
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TELFORD AND WREKIN COUNCIL,4023340,"33,040.31"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (EDENRED),4023342,"12,051.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (EDENRED),4023342,"7,151.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,External Training (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023346,"6,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Energy Strategy and Futures,SP DISTRIBUTION LTD (SCOTTISH POWER),4023348,"49,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4023350,"2,882.30"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023353,569.13
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023354,619.46
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023355,816.16
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023357,619.46
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023358,782.07
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023359,634.95
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023360,603.97
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023361,658.18
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023362,510.07
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023363,616.82
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,COI COMMUNICATIONS,4023364,"5,040.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/25/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,COI COMMUNICATIONS,4023364,"5,040.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023365,601.01
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023366,552.77
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023367,506.11
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023368,604.97
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4023371,"2,828.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023372,585.19
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,COI COMMUNICATIONS,4023373,"50,750.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4023374,"2,828.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4023376,"3,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Other IT Costs,National Climate Change & Consumer Support - Communications,EC GROUP,4023377,729.1
Department of Energy and Climate Change,Department of Energy and Climate Change,03/22/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023378,593.1
Department of Energy and Climate Change,Department of Energy and Climate Change,03/28/2011 ,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4023379,"3,185.70"
