Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4022672,"6,581.81"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4022672,"1,940.59"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4022672,"33,711.83"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4022672,"3,729.69"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4022675,500.08
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4022676,914.64
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022677,628.69
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022679,553.56
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4022682,"60,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4022682,"60,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4022683,"8,910.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,SPACE CONNEXIONS LTD,4022684,"115,951.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022686,585.19
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022687,664.27
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4022691,"3,390.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,STEELHENGE CONSULTING LTD,4022692,"3,525.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,STEELHENGE CONSULTING LTD,4022692,"3,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4022693,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4022693,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022694,541.7
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4022696,525.4
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022697,597.06
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022698,648.46
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022699,593.1
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4022700,"2,353.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4022702,"1,727.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4022702,"1,764.66"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,WSP ENVIRONMENTAL LTD,4022704,"5,664.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4022707,885.42
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4022708,"3,120.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Contributions (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,SUFFOLK COUNTY COUNCIL,4022709,"20,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Telecomms Equipment,Corporate Support & Shared Services - Corporate Support & Shared Services,MEDIA & COMMUNICATIONS LTD T/A BEST4SYSTEMS,4022714,"1,812.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Science & Innovation Group - Science & Innovation Group,ADECCO UK LTD,4022715,664.84
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,SLAUGHTER AND MAY,4022716,"7,519.39"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,SLAUGHTER AND MAY,4022716,"10,310.25"
