DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,National Offender Management Service,16/02/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3893164,71847.31
Ministry of Justice,National Offender Management Service,16/02/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3894076,61685.02
Ministry of Justice,National Offender Management Service,16/02/2011,North East DOMS Office,Contracted-out Resettlement Services,TYNESIDE CYRENIANS LTD,3888753,47642.66
Ministry of Justice,National Offender Management Service,16/02/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3894078,44680.15
Ministry of Justice,National Offender Management Service,16/02/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3894077,43166.7
Ministry of Justice,National Offender Management Service,16/02/2011,Liverpool,Contracted-out Probation Trusts,MERSEYSIDE PROBATION TRUST,3883244,35441.34
Ministry of Justice,National Offender Management Service,16/02/2011,Chief Operating Officers Office,Secondments,SURREY & SUSSEX PROBATION TRUST,3893690,34549.58
Ministry of Justice,National Offender Management Service,16/02/2011,Woodhill,"New structural works, structural maintenance and equipment",DURA PUMP,3894333,31470
Ministry of Justice,National Offender Management Service,16/02/2011,Isis,Staff Mess Sales,ARAMARK LTD,3870022,27467.11
Ministry of Justice,National Offender Management Service,16/02/2011,Rochester,Office Equipment Purchases Under œ10k,JLA LTD,3894793,25219.2
Ministry of Justice,National Offender Management Service,17/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3879396,1663935.17
Ministry of Justice,National Offender Management Service,17/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3894513,1342233.7
Ministry of Justice,National Offender Management Service,17/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3842828,845018.76
Ministry of Justice,National Offender Management Service,17/02/2011,NOMS ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3893687,742758.18
Ministry of Justice,National Offender Management Service,17/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3892939,257313.66
Ministry of Justice,National Offender Management Service,17/02/2011,MoJ ICT,Inter-Unit Charge (IUC),HP ENTERPRISE SERVICES UK LTD,3893606,240749.36
Ministry of Justice,National Offender Management Service,17/02/2011,MoJ ICT,Inter-Unit Charge (IUC),HP ENTERPRISE SERVICES UK LTD,3896645,190253.87
Ministry of Justice,National Offender Management Service,17/02/2011,Isis,Contracted-out Building Maintenance,CARILLION CONSTRUCTION LTD,3877820,113767.15
Ministry of Justice,National Offender Management Service,17/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3896738,100539.32
Ministry of Justice,National Offender Management Service,17/02/2011,Estates Capacity,WIP - Acquisitions,CARILLION JM LIMITED,3884393,89082
Ministry of Justice,National Offender Management Service,17/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3896733,85120.34
Ministry of Justice,National Offender Management Service,17/02/2011,HR Policy & Reward Group,Occupational Health Services,ATOS ORIGIN IT SERVICES UK LTD,3880975,84780
Ministry of Justice,National Offender Management Service,17/02/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3896651,83562.68
Ministry of Justice,National Offender Management Service,17/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3896757,75891.38
Ministry of Justice,National Offender Management Service,17/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3805633,75891.38
Ministry of Justice,National Offender Management Service,17/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3896752,75891.38
Ministry of Justice,National Offender Management Service,17/02/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",P K L GROUP (U K) LTD,3824481,62854.28
Ministry of Justice,National Offender Management Service,17/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3879891,61800
Ministry of Justice,National Offender Management Service,17/02/2011,Learning and Development Group,Training and Further Education Courses,UNIVERSITY OF PORTSMOUTH,3894289,51299.96
Ministry of Justice,National Offender Management Service,17/02/2011,Hewell,Counselling & Advisory Costs,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,3896567,50833.19
Ministry of Justice,National Offender Management Service,17/02/2011,NOMIS Programme,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3894225,50790.96
Ministry of Justice,National Offender Management Service,17/02/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3896650,40935
Ministry of Justice,National Offender Management Service,17/02/2011,Learning and Development Group,Training and Further Education Courses,UNIVERSITY OF PORTSMOUTH,3894300,38896.62
Ministry of Justice,National Offender Management Service,17/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3877329,34266.66
Ministry of Justice,National Offender Management Service,17/02/2011,Sheppey Clustered Services,Water and Sewage,SOUTHERN WATER SERVICES LTD,3892613,33257.71
Ministry of Justice,National Offender Management Service,17/02/2011,Public Protection and Mental Health Group,Contract IT Maintenance,MOUCHEL MANAGEMENT CONSULTING LIMITED,3894493,28054.01
Ministry of Justice,National Offender Management Service,17/02/2011,Sudbury,Other Fuels,TOTAL BUTLER,3892121,25018.56
Ministry of Justice,National Offender Management Service,17/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,,-75891.38
Ministry of Justice,National Offender Management Service,17/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,,-75891.38
Ministry of Justice,National Offender Management Service,17/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,,-85120.34
Ministry of Justice,National Offender Management Service,17/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,,-100539.32
Ministry of Justice,National Offender Management Service,21/02/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3877221,3290656.2
Ministry of Justice,National Offender Management Service,21/02/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3894286,426515.6
Ministry of Justice,National Offender Management Service,21/02/2011,Chief Operating Officers Office,Prison Shop Cost of Sales,EXEL EUROPE1 LTD,3898233,410219.27
Ministry of Justice,National Offender Management Service,21/02/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3898137,246050.4
Ministry of Justice,National Offender Management Service,21/02/2011,Chief Operating Officers Office,Prison Shop Cost of Sales (No VAT),EXEL EUROPE1 LTD,3898233,222477.94
Ministry of Justice,National Offender Management Service,21/02/2011,Brixton,Contracted-out Building Maintenance,CARILLION SERVICES 2006 LTD,3877821,220746.75
Ministry of Justice,National Offender Management Service,21/02/2011,Whitemoor,Contracted-out Medical services,CAMBRIDGESHIRE & PETERBOROUGH MENTAL HEALTH PARTNERSHIP,3890815,141318.87
Ministry of Justice,National Offender Management Service,21/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3898153,68166.45
Ministry of Justice,National Offender Management Service,21/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3817585,62944.75
Ministry of Justice,National Offender Management Service,21/02/2011,Buckley Hall,Other - Acquisitions,FALCON FOODSERVICE EQUIPMENT,3888377,51766.98
Ministry of Justice,National Offender Management Service,21/02/2011,HMP Kennet,Gas,MERSEY CARE N H S TRUST,3898143,48222.64
Ministry of Justice,National Offender Management Service,21/02/2011,Warren Hill,Contracted-out Probation Boards,SUFFOLK COUNTY COUNCIL,3897799,45655.57
Ministry of Justice,National Offender Management Service,21/02/2011,Dartmoor,General Maintenance Materials,KIER REGIONAL LTD,3847895,37500.71
Ministry of Justice,National Offender Management Service,21/02/2011,HMP Kennet,Electricity,MERSEY CARE N H S TRUST,3898144,34572.08
Ministry of Justice,National Offender Management Service,21/02/2011,Risley,"New structural works, structural maintenance and equipment",INDUSTRIAL ELECTRICAL & BUILDING SERVICES LTD,3884189,30000
Ministry of Justice,National Offender Management Service,21/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3897500,27157.25
Ministry of Justice,National Offender Management Service,22/02/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3876981,3472073.64
Ministry of Justice,National Offender Management Service,22/02/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3873705,2630467.59
Ministry of Justice,National Offender Management Service,22/02/2011,Doncaster,Contracted-out operation of prisons and detention centres,SERCO LTD,3888134,1924676.23
Ministry of Justice,National Offender Management Service,22/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3899855,960000
Ministry of Justice,National Offender Management Service,22/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3879395,912666.32
Ministry of Justice,National Offender Management Service,22/02/2011,Cumbria Probation Trust,Contracted-out Probation Trusts,CUMBRIA PROBATION TRUST,3896838,843553.19
Ministry of Justice,National Offender Management Service,22/02/2011,Wolds,Contracted-out operation of prisons and detention centres,G4S CARE & JUSTICE SERVICES LTD,3898881,745136.33
Ministry of Justice,National Offender Management Service,22/02/2011,Glen Parva,Gas,CORONA ENERGY RETAIL 4 LTD,3756094,360264.19
Ministry of Justice,National Offender Management Service,22/02/2011,Estates Capacity,WIP - Acquisitions,ISG REGIONS LTD,3872619,284727.6
Ministry of Justice,National Offender Management Service,22/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3898815,251704.9
Ministry of Justice,National Offender Management Service,22/02/2011,MOJ Project & ATOS,Occupational Health Services,ATOS ORIGIN IT SERVICES UK LTD,3898229,133689.12
Ministry of Justice,National Offender Management Service,22/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3833983,89538.41
Ministry of Justice,National Offender Management Service,22/02/2011,Norwich,Other - Acquisitions,TERRY COOPER SERVICES (1985) LTD,3865124,74630.4
Ministry of Justice,National Offender Management Service,22/02/2011,HOPS Payroll Charge,Travel - Non-Taxable,CARLSON WAGONLIT TRAVEL,3900709,68665.24
Ministry of Justice,National Offender Management Service,22/02/2011,Offender Employment Skills & Services Group,"Books, Stationery & IT Consumables",CARPENTER LTD,3845844,66263.79
Ministry of Justice,National Offender Management Service,22/02/2011,NOMS ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3838636,58872.31
Ministry of Justice,National Offender Management Service,22/02/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3899152,55066.13
Ministry of Justice,National Offender Management Service,22/02/2011,Estates Capacity,WIP - Professional Fees,AEDAS ARCHITECTS LTD,3897630,54528
Ministry of Justice,National Offender Management Service,22/02/2011,Chief Operating Officers Office,"Prisoner Compensation over œ5,000",TREASURY SOLICITORS,3900888,50000
Ministry of Justice,National Offender Management Service,22/02/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",ABSOLUTE INSULATION LTD,3899153,41958.06
Ministry of Justice,National Offender Management Service,22/02/2011,Public Protection and Mental Health Group,Specialist Contractors,DE MONTFORT EXPERTISE LTD,3886563,35250
Ministry of Justice,National Offender Management Service,22/02/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",ICP PROJECTS LTD,3897322,34421.83
Ministry of Justice,National Offender Management Service,22/02/2011,Highpoint,Inter-Unit Charge (IUC),NORFOLK AND SUFFOLK PROBATION TRUST,3895181,28576.55
Ministry of Justice,National Offender Management Service,22/02/2011,Glen Parva,Gas,CORONA ENERGY RETAIL 4 LTD,3888601,-240721.67
Ministry of Justice,National Offender Management Service,23/02/2011,Chief Operating Officers Office,Prison Shop Cost of Sales,EXEL EUROPE1 LTD,3903337,371730.85
Ministry of Justice,National Offender Management Service,23/02/2011,NOMIS Programme,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3902142,254957.91
Ministry of Justice,National Offender Management Service,23/02/2011,Chief Operating Officers Office,Prison Shop Cost of Sales (No VAT),EXEL EUROPE1 LTD,3903337,220761.49
Ministry of Justice,National Offender Management Service,23/02/2011,Ashfield,Contracted-out operation of prisons and detention centres,PUCKLECHURCH CUSTODIAL SERVICES LTD,3893552,210732
Ministry of Justice,National Offender Management Service,23/02/2011,Grendon,"Staff Compensation over œ5,000",TREASURY SOLICITORS,3903546,150000
Ministry of Justice,National Offender Management Service,23/02/2011,NOMIS Programme,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3902142,129421.21
Ministry of Justice,National Offender Management Service,23/02/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",MULTIAIR PRODUCTS LTD,3901390,90000
Ministry of Justice,National Offender Management Service,23/02/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3903110,83033.32
Ministry of Justice,National Offender Management Service,23/02/2011,Kingston,Other - Acquisitions,TERRY COOPER SERVICES (1985) LTD,3865125,74630.4
Ministry of Justice,National Offender Management Service,23/02/2011,Estates Capacity,WIP - Acquisitions,SCOTT WILSON  LTD,3900383,63767.92
Ministry of Justice,National Offender Management Service,23/02/2011,Wormwood Scrubs,Gas,CORONA ENERGY RETAIL 4 LTD,3904992,63288.85
Ministry of Justice,National Offender Management Service,23/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3872115,61008.05
Ministry of Justice,National Offender Management Service,23/02/2011,Wandsworth,Contracted-out Probation Boards,LONDON PROBATION TRUST,3902413,52878.4
Ministry of Justice,National Offender Management Service,23/02/2011,East of England Regional NOMS Office,Payments to voluntary Organisations,NACRO NCT (EAST ANGLIA),3901399,47479
Ministry of Justice,National Offender Management Service,23/02/2011,East of England Regional NOMS Office,Payments to voluntary Organisations,NACRO NCT (EAST ANGLIA),3901238,46927.52
Ministry of Justice,National Offender Management Service,23/02/2011,Nottingham,Gas,CORONA ENERGY RETAIL 4 LTD,3904799,42873.02
Ministry of Justice,National Offender Management Service,23/02/2011,Manchester,Gas,CORONA ENERGY RETAIL 4 LTD,3904784,41945
Ministry of Justice,National Offender Management Service,23/02/2011,Feltham,Gas,CORONA ENERGY RETAIL 4 LTD,3904796,41716.13
Ministry of Justice,National Offender Management Service,23/02/2011,Highpoint,Gas,CORONA ENERGY RETAIL 4 LTD,3904817,40609.68
Ministry of Justice,National Offender Management Service,23/02/2011,Pentonville,Contracted-out Probation Boards,LONDON PROBATION TRUST,3902414,38022.82
Ministry of Justice,National Offender Management Service,23/02/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",BIF SERVICES LTD,3883648,37653.58
Ministry of Justice,National Offender Management Service,23/02/2011,Featherstone,Gas,CORONA ENERGY RETAIL 4 LTD,3904941,36908.41
Ministry of Justice,National Offender Management Service,23/02/2011,Liverpool,Water and Sewage,UNITED UTILITIES WATER PLC,3904808,35319.24
Ministry of Justice,National Offender Management Service,23/02/2011,Northallerton,Incentive Schemes,XEXEC LTD,3898421,35000
Ministry of Justice,National Offender Management Service,23/02/2011,Verne (The),Gas,CORONA ENERGY RETAIL 4 LTD,3904765,34603.16
Ministry of Justice,National Offender Management Service,23/02/2011,Bullingdon,Gas,CORONA ENERGY RETAIL 4 LTD,3904893,34195.76
Ministry of Justice,National Offender Management Service,23/02/2011,Lindholme,Contracted-out Building Maintenance,G WILKINSON CONSTRUCTION LTD,3903195,33636.77
Ministry of Justice,National Offender Management Service,23/02/2011,Littlehey,Gas,CORONA ENERGY RETAIL 4 LTD,3904767,33414.82
Ministry of Justice,National Offender Management Service,23/02/2011,Sheppey Clustered Services,Gas,CORONA ENERGY RETAIL 4 LTD,3904894,33392.9
Ministry of Justice,National Offender Management Service,23/02/2011,Leeds,"New structural works, structural maintenance and equipment",HALL CONSTRUCTION GROUP LTD,3901440,33309.6
Ministry of Justice,National Offender Management Service,23/02/2011,Deerbolt,Office Equipment Purchases Under œ10k,F P S (FIRE PROTECTION) LTD,3901438,33171.6
Ministry of Justice,National Offender Management Service,23/02/2011,Moorland,Gas,CORONA ENERGY RETAIL 4 LTD,3904763,32647.19
Ministry of Justice,National Offender Management Service,23/02/2011,Manchester,Water and Sewage,UNITED UTILITIES WATER PLC,3904653,32631.25
Ministry of Justice,National Offender Management Service,23/02/2011,Sheppey Clustered Services,Gas,CORONA ENERGY RETAIL 4 LTD,3904948,32596.1
Ministry of Justice,National Offender Management Service,23/02/2011,Birmingham,Gas,CORONA ENERGY RETAIL 4 LTD,3904870,32200.04
Ministry of Justice,National Offender Management Service,23/02/2011,Holme House,Gas,CORONA ENERGY RETAIL 4 LTD,3904897,31978.73
Ministry of Justice,National Offender Management Service,23/02/2011,Ranby,Gas,CORONA ENERGY RETAIL 4 LTD,3904950,31703.36
Ministry of Justice,National Offender Management Service,23/02/2011,Stafford,Gas,CORONA ENERGY RETAIL 4 LTD,3904621,31603.19
Ministry of Justice,National Offender Management Service,23/02/2011,Leyhill,Gas,CORONA ENERGY RETAIL 4 LTD,3904750,31596.16
Ministry of Justice,National Offender Management Service,23/02/2011,Frankland,Gas,CORONA ENERGY RETAIL 4 LTD,3905013,30867.56
Ministry of Justice,National Offender Management Service,23/02/2011,Wormwood Scrubs,Gas,CORONA ENERGY RETAIL 4 LTD,3905001,30724.06
Ministry of Justice,National Offender Management Service,23/02/2011,Frankland,Gas,CORONA ENERGY RETAIL 4 LTD,3905008,30683.35
Ministry of Justice,National Offender Management Service,23/02/2011,Hewell,Gas,CORONA ENERGY RETAIL 4 LTD,3904871,30674.26
Ministry of Justice,National Offender Management Service,23/02/2011,Onley,Gas,CORONA ENERGY RETAIL 4 LTD,3904931,30468.84
Ministry of Justice,National Offender Management Service,23/02/2011,Wandsworth,Gas,CORONA ENERGY RETAIL 4 LTD,3904801,30137.08
Ministry of Justice,National Offender Management Service,23/02/2011,Bristol,"New structural works, structural maintenance and equipment",FROMEVALE LIMITED,3900440,29998.8
Ministry of Justice,National Offender Management Service,23/02/2011,Channings Wood,Gas,CORONA ENERGY RETAIL 4 LTD,3904800,29744.22
Ministry of Justice,National Offender Management Service,23/02/2011,Haverigg,Gas,CORONA ENERGY RETAIL 4 LTD,3904803,29693.81
Ministry of Justice,National Offender Management Service,23/02/2011,Leeds,Gas,CORONA ENERGY RETAIL 4 LTD,3904849,29672.27
Ministry of Justice,National Offender Management Service,23/02/2011,Glen Parva,Gas,CORONA ENERGY RETAIL 4 LTD,3904979,29051.14
Ministry of Justice,National Offender Management Service,23/02/2011,Bullingdon,Gas,CORONA ENERGY RETAIL 4 LTD,3904892,28820.68
Ministry of Justice,National Offender Management Service,23/02/2011,Lancaster Farms,Gas,CORONA ENERGY RETAIL 4 LTD,3904935,28380.11
Ministry of Justice,National Offender Management Service,23/02/2011,Mount (The),Gas,CORONA ENERGY RETAIL 4 LTD,3905009,28305.18
Ministry of Justice,National Offender Management Service,23/02/2011,Highdown,Gas,CORONA ENERGY RETAIL 4 LTD,3904837,27863.79
Ministry of Justice,National Offender Management Service,23/02/2011,Lindholme,Gas,CORONA ENERGY RETAIL 4 LTD,3904788,27844.08
Ministry of Justice,National Offender Management Service,23/02/2011,Rochester,Gas,CORONA ENERGY RETAIL 4 LTD,3904891,27646.25
Ministry of Justice,National Offender Management Service,23/02/2011,Wales Prisons Estate Management Group (WPEMG),Contracted-out Building Maintenance,EAGERGALA LTD,3903074,27060
Ministry of Justice,National Offender Management Service,23/02/2011,Woodhill,Gas,CORONA ENERGY RETAIL 4 LTD,3904807,26998.34
Ministry of Justice,National Offender Management Service,23/02/2011,East Midlands Estates,General Maintenance Materials,PENDRICH HEIGHT SERVICES LTD,3878358,26876.4
Ministry of Justice,National Offender Management Service,23/02/2011,Belmarsh,Gas,CORONA ENERGY RETAIL 4 LTD,3904598,26452.73
Ministry of Justice,National Offender Management Service,23/02/2011,Styal,Gas,CORONA ENERGY RETAIL 4 LTD,3904885,25823.04
Ministry of Justice,National Offender Management Service,23/02/2011,Acklington,Water and Sewage,NORTHUMBRIAN WATER,3886720,25421.18
Ministry of Justice,National Offender Management Service,23/02/2011,Channings Wood,Gas,CORONA ENERGY RETAIL 4 LTD,3904804,25175.6
Ministry of Justice,National Offender Management Service,23/02/2011,Woodhill,Gas,CORONA ENERGY RETAIL 4 LTD,3904811,25112.6
Ministry of Justice,National Offender Management Service,23/02/2011,Northallerton,Incentive Schemes,XEXEC LTD,3903521,-35000
Ministry of Justice,National Offender Management Service,23/02/2011,Estates Capacity,Rates and Ground Rents,MERSEY CARE N H S TRUST,1938075,625000
Ministry of Justice,National Offender Management Service,24/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3902482,10635050.4
Ministry of Justice,National Offender Management Service,24/02/2011,Estates Capacity,Contracted-out Building Maintenance,HOME OFFICE,3875132,7955403.06
Ministry of Justice,National Offender Management Service,24/02/2011,National Operations Group,Contracted-out Electronic Monitoring,G4S CARE & JUSTICE SERVICES LTD,3905281,5063530.27
Ministry of Justice,National Offender Management Service,24/02/2011,Ashfield,Contracted-out operation of prisons and detention centres,PUCKLECHURCH CUSTODIAL SERVICES LTD,3893553,1966832
Ministry of Justice,National Offender Management Service,24/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3892938,1952636.09
Ministry of Justice,National Offender Management Service,24/02/2011,NOMIS Programme,WIP - Acquisitions,STERIA LTD,3904374,1498153.2
Ministry of Justice,National Offender Management Service,24/02/2011,Rye Hill,Contracted-out operation of prisons and detention centres,ONLEY PRISON SERVICES LTD,3877191,1436428.66
Ministry of Justice,National Offender Management Service,24/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3879394,1389229.33
Ministry of Justice,National Offender Management Service,24/02/2011,Chief Operating Officers Office,Legal Representation,TREASURY SOLICITORS,3905821,1347078.04
Ministry of Justice,National Offender Management Service,24/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3883750,1205775.82
Ministry of Justice,National Offender Management Service,24/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3875289,1038035.25
Ministry of Justice,National Offender Management Service,24/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3875156,951724
Ministry of Justice,National Offender Management Service,24/02/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3894265,157355.38
Ministry of Justice,National Offender Management Service,24/02/2011,Gloucestershire Probation Trust,Contracted-out Probation Trusts,GLOUCESTERSHIRE PROBATION TRUST,3903995,100000
Ministry of Justice,National Offender Management Service,24/02/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3905895,86818.31
Ministry of Justice,National Offender Management Service,24/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3831407,75897.95
Ministry of Justice,National Offender Management Service,24/02/2011,Devon and Cornwall Probation Trust,Contracted-out Probation Trusts,DEVON AND CORNWALL PROBATION TRUST,3891966,75000
Ministry of Justice,National Offender Management Service,24/02/2011,Organisational Development Group,Training and Further Education Courses,KINEO LLP,3553928,74115.45
Ministry of Justice,National Offender Management Service,24/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3901368,68801.92
Ministry of Justice,National Offender Management Service,24/02/2011,Public Protection and Mental Health Group,Conference costs,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3905721,39485.77
Ministry of Justice,National Offender Management Service,24/02/2011,Birmingham,Counselling & Advisory Costs,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,3902022,38410.5
Ministry of Justice,National Offender Management Service,24/02/2011,NOMS CFO,Contracted-out Resettlement Services,SOVA,3876510,37521
Ministry of Justice,National Offender Management Service,24/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3873708,28179.77
Ministry of Justice,National Offender Management Service,24/02/2011,Belmarsh,Contracted-out Probation Boards,LONDON PROBATION TRUST,3902434,27467.98
Ministry of Justice,National Offender Management Service,24/02/2011,Downview,Contracted-out Other Services,LONDON BOROUGH OF SUTTON,3877437,26228.15
Ministry of Justice,National Offender Management Service,24/02/2011,Holloway,Contracted-out Probation Trusts,LONDON PROBATION TRUST,3902432,26192.49
Ministry of Justice,National Offender Management Service,24/02/2011,NOMS CFO,Contracted-out Resettlement Services,WOMEN'S WISDOM LTD,3903171,25970.4
Ministry of Justice,National Offender Management Service,24/02/2011,Estates Capacity,Rates and Ground Rents,DOVER DISTRICT COUNCIL,,-47610
Ministry of Justice,National Offender Management Service,24/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3891422,-93033.85
Ministry of Justice,National Offender Management Service,25/02/2011,MOJ Shared Services NOMS Delivery,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3907994,799174.75
Ministry of Justice,National Offender Management Service,25/02/2011,MOJ Project & ATOS,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3907994,525534.48
Ministry of Justice,National Offender Management Service,25/02/2011,North Sea Camp,Contracted-out Probation Boards,LINCOLNSHIRE PROBATION TRUST,3907889,139436.01
Ministry of Justice,National Offender Management Service,25/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3897269,87428.74
Ministry of Justice,National Offender Management Service,25/02/2011,NOMS CFO,Contracted-out Resettlement Services,SERCO LTD,3906069,80242.21
Ministry of Justice,National Offender Management Service,25/02/2011,NOMS CFO,Contracted-out Resettlement Services,SERCO LTD,3906071,79781.05
Ministry of Justice,National Offender Management Service,25/02/2011,Organisational Development Group,Training and Further Education Courses,LMD LEARNING SOLUTIONS LTD,3902326,69000
Ministry of Justice,National Offender Management Service,25/02/2011,Wales/Cymru DOMS Office,Resource Grants / Grant-in-Aid,SAFER WALES LTD,3855097,62500
Ministry of Justice,National Offender Management Service,25/02/2011,MoJ ICT,Secondments,GREATER MANCHESTER PROBATION TRUST,3907891,59940.18
Ministry of Justice,National Offender Management Service,25/02/2011,Liverpool,"Staff Compensation over œ5,000",TREASURY SOLICITORS,3907996,47400
Ministry of Justice,National Offender Management Service,25/02/2011,Belmarsh,Contracted-out Visitor's Centres,PRISON ADVICE & CARE TRUST (P A C T),3904467,37750
Ministry of Justice,National Offender Management Service,25/02/2011,Wales/Cymru DOMS Office,Resource Grants / Grant-in-Aid,SAFER WALES LTD,3855096,37500
Ministry of Justice,National Offender Management Service,25/02/2011,Blundeston,Other - Acquisitions,TERRY COOPER SERVICES (1985) LTD,3865128,37430.4
Ministry of Justice,National Offender Management Service,25/02/2011,High Security Prisons Group,Postage Franking Machines,NEOPOST LTD (CREDIFON),3908006,35000
Ministry of Justice,National Offender Management Service,25/02/2011,Preston,Other - Acquisitions,J.E. BRISTOW (ELECTRICAL) LTD,3903044,30594
Ministry of Justice,National Offender Management Service,25/02/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",F STIMPSON (LEICESTER) LTD,3901153,27456.88
Ministry of Justice,National Offender Management Service,25/02/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",FORD-MAINWARING LTD,3873877,27000
Ministry of Justice,National Offender Management Service,25/02/2011,Feltham,"New structural works, structural maintenance and equipment",ORMANDY LTD,3906104,25421.13
Ministry of Justice,National Offender Management Service,25/02/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",DENNIS BALDWIN & SONS LTD,3883766,25258.8
