Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,PARCELFORCE WORLDWIDE,Office Expenses,Mail Services   ,08.07.2015,16.08.2015,GPC07150000081,43.78
Stockport MBC,Corporate and Support Services,Central Support Costs,BT CONFERENCING,Professional Fees,Consultancy   ,09.07.2015,16.08.2015,GPC07150000082,60.00
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,15.07.2015,16.08.2015,GPC07150000083,45.19
Stockport MBC,Corporate and Support Services,Adult Social Care,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,21.07.2015,16.08.2015,GPC07150000084,157.90
Stockport MBC,Corporate and Support Services,Central Support Costs,COMPANIES HOUSE,Professional Fees,Consultancy   ,22.07.2015,16.08.2015,GPC07150000085,3.00
Stockport MBC,Corporate and Support Services,Central Support Costs,COMPANIES HOUSE,Professional Fees,Consultancy   ,22.07.2015,16.08.2015,GPC07150000086,13.00
Stockport MBC,Corporate and Support Services,Central Support Costs,COMPANIES HOUSE,Professional Fees,Consultancy   ,22.07.2015,16.08.2015,GPC07150000087,3.00
Stockport MBC,Corporate and Support Services,Central Support Costs,BISLEY DIRECT,Furniture and Equipment,Environmental Services Technical Equipment ,24.07.2015,16.08.2015,GPC07150000088,23.98
Stockport MBC,Corporate and Support Services,Central Support Costs,MAN MET UNI,Staff Training,Human Resources  ,27.07.2015,16.08.2015,GPC07150000089,30.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,Amazon UK Marketplace,Office Expenses,Stationery    ,28.07.2015,16.08.2015,GPC07150000090,9.10
Stockport MBC,Corporate and Support Services,Central Support Costs,COMPANIES HOUSE,Professional Fees,Consultancy   ,28.07.2015,16.08.2015,GPC07150000091,2.00
Stockport MBC,Services to People,Adult Social Care,VIRGINTRAINS.CO.UK,Travelling Expenses,Human Resources Travel & Subsistence ,09.07.2015,16.08.2015,GPC07150000092,258.00
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,10.07.2015,16.08.2015,GPC07150000093,20.00
Stockport MBC,Corporate and Support Services,Adult Social Care,TRAVELODGE WEBSITE,Expenses and Allowances,Human Resources Travel & Subsistence ,20.07.2015,16.08.2015,GPC07150000094,145.00
Stockport MBC,Corporate and Support Services,Adult Social Care,VIRGINTRAINS.CO.UK,Travelling Expenses,Human Resources Travel & Subsistence ,20.07.2015,16.08.2015,GPC07150000095,93.55
Stockport MBC,Services to People,Public Health,FTPE WEBTIS 1,Travelling Expenses,Human Resources Travel & Subsistence ,17.07.2015,16.08.2015,GPC07150000096,48.10
Stockport MBC,Services to People,Public Health,WWW.DHL INTERNATIONAL,Office Expenses,Mail Services   ,22.07.2015,16.08.2015,GPC07150000097,36.24
Stockport MBC,Services to People,Public Health,WWW.HPA.ORG.UK,Publicity and Promotion,Arts & Leisure Services  ,24.07.2015,16.08.2015,GPC07150000098,115.00
Stockport MBC,Services to People,Public Health,YOGA MAD COM /INET,Library Equipment,Education Library Books ,14.07.2015,16.08.2015,GPC07150000099,255.47
Stockport MBC,Services to People,Public Health,TOYS R US,Library Equipment,Education Library Books ,30.07.2015,16.08.2015,GPC07150000100,59.98
Stockport MBC,Corporate and Support Services,Environmental & Regulatory Services,ITUNES.COM/BILL,Information and Communications Technology,Information Communication Technology  ,28.07.2015,16.08.2015,GPC07150000101,0.79
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,07.07.2015,16.08.2015,GPC07150000102,23.71
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Retail,Office Expenses,Stationery    ,14.07.2015,16.08.2015,GPC07150000103,9.99
Stockport MBC,Services to People,Childrens & Educational Services,Amazon Svcs EuropeSAR,Office Expenses,Stationery    ,16.07.2015,16.08.2015,GPC07150000104,6.63
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Office Expenses,Stationery    ,16.07.2015,16.08.2015,GPC07150000105,3.29
Stockport MBC,Services to People,Childrens & Educational Services,CITY LOCK&SAFE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,03.07.2015,16.08.2015,GPC07150000106,30.78
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,05.07.2015,16.08.2015,GPC07150000107,148.19
Stockport MBC,Services to People,Childrens & Educational Services,B&M RETAIL LTD,Furniture and Equipment,Environmental Services Technical Equipment ,08.07.2015,16.08.2015,GPC07150000108,119.98
Stockport MBC,Services to People,Childrens & Educational Services,B&M RETAIL LTD,Furniture and Equipment,Environmental Services Technical Equipment ,08.07.2015,16.08.2015,GPC07150000109,9.99
Stockport MBC,Services to People,Childrens & Educational Services,TICKETMASTER UK,Publicity and Promotion,Arts & Leisure Services  ,07.07.2015,16.08.2015,GPC07150000110,81.55
Stockport MBC,Services to People,Childrens & Educational Services,GROSVENOR SERVICE STATION,Fuel,Vehicle Management Fuel ,11.07.2015,16.08.2015,GPC07150000111,25.05
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Publicity and Promotion,Arts & Leisure Services  ,12.07.2015,16.08.2015,GPC07150000112,13.33
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,12.07.2015,16.08.2015,GPC07150000113,117.63
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Publicity and Promotion,Arts & Leisure Services  ,14.07.2015,16.08.2015,GPC07150000114,7.57
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,19.07.2015,16.08.2015,GPC07150000115,87.25
Stockport MBC,Services to People,Childrens & Educational Services,B&M RETAIL LTD,Furniture and Equipment,Environmental Services Technical Equipment ,21.07.2015,16.08.2015,GPC07150000116,-59.99
Stockport MBC,Services to People,Childrens & Educational Services,B&M RETAIL LTD,Furniture and Equipment,Environmental Services Technical Equipment ,21.07.2015,16.08.2015,GPC07150000117,4.99
Stockport MBC,Services to People,Childrens & Educational Services,YU & ME SUPERSTORE,Furniture and Equipment,Environmental Services Technical Equipment ,22.07.2015,16.08.2015,GPC07150000118,19.98
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,24.07.2015,16.08.2015,GPC07150000119,120.70
Stockport MBC,Services to People,Childrens & Educational Services,SAINSBURY'S SMKT,Catering Supplies,Catering Food & Beverages ,30.07.2015,16.08.2015,GPC07150000120,3.00
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,07.07.2015,16.08.2015,GPC07150000121,14.93
