Transaction Date,Department,Merchant (Beneficiary),Transaction Value (£),Purpose of expenditure,Merchant Category / Summary
26.03.2015,KENTON SCHOOL,JR HOLLAND FOODSERVICE,31.74,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
26.03.2015, BRIDGEWATER,BRAKE BROS LTD,132.77,School meals,CATERERS
26.03.2015,WEST DENTON PRIMARY,BRAKE BROS LTD,62.97,School meals,CATERERS
26.03.2015,ST BEDES RC,BRAKE BROS LTD,121.93,School meals,CATERERS
26.03.2015,WELBECK PRIMARY,BLAKEMORE FOODSERVICE,425.95,School meals,CATERERS
26.03.2015,BEECH HILL,BLAKEMORE FOODSERVICE,27.94,School meals,CATERERS
26.03.2015,WEST JESMOND,BLAKEMORE FOODSERVICE,433.04,School meals,CATERERS
26.03.2015,WALKERGATE PRIMARY,BLAKEMORE FOODSERVICE,304.84,School meals,CATERERS
26.03.2015,GOSFORTH PARK,BLAKEMORE FOODSERVICE,434.45,School meals,CATERERS
26.03.2015,ST PAULS CE,BLAKEMORE FOODSERVICE,240.98,School meals,CATERERS
26.03.2015,ARTHURS MOORSIDE,BRAKE BROS LTD,100.37,School meals,CATERERS
26.03.2015,BENFIELD SCHOOL,BLAKEMORE FOODSERVICE,550.29,School meals,CATERERS
26.03.2015,WALKER TECHNOLOGY,BLAKEMORE FOODSERVICE,1700.47,School meals,CATERERS
26.03.2015,ST CUTHBERTS HIGH,BLAKEMORE FOODSERVICE,854.98,School meals,CATERERS
26.03.2015,WELBECK PRIMARY,JR HOLLAND FOODSERVICE,87.87,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
26.03.2015,SOUTH GOSFORTH,BLAKEMORE FOODSERVICE,13.69,School meals,CATERERS
26.03.2015,SIR CHARLES PARSONS,JR HOLLAND FOODSERVICE,1.35,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
26.03.2015,TRINITY OAKFIELD,BLAKEMORE FOODSERVICE,103.22,School meals,CATERERS
26.03.2015,CIVIC BANQUETING,JR HOLLAND FOODSERVICE,36.72,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
26.03.2015,GOSFORTH ACADEMY,BLAKEMORE FOODSERVICE,622.7,School meals,CATERERS
26.03.2015,SIR CHARLES PARSONS,JR HOLLAND FOODSERVICE,69.99,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
26.03.2015,WEST DENTON PRIMARY,BLAKEMORE FOODSERVICE,200.3,School meals,CATERERS
26.03.2015,ST MARYS CATHOLIC,JR HOLLAND FOODSERVICE,59.79,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
26.03.2015,ST TERESAS,BLAKEMORE FOODSERVICE,179.6,School meals,CATERERS
25.03.2015,THOMAS BEWICK,FREEMAN CATERING BUTCH,41.87,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BENTON PARK,FREEMAN CATERING BUTCH,107.84,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CONNIE LEWCOCK,JR HOLLAND FOODSERVICE,25.2,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,RAVENSWOOD PRIMARY,JR HOLLAND FOODSERVICE,39.78,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,STOCKSFIELD AVENUE,FREEMAN CATERING BUTCH,68.06,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST JOHN VIANNEY,FREEMAN CATERING BUTCH,82.16,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CHARLES' RC,JR HOLLAND FOODSERVICE,2.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,HAWTHORN PRIMARY,JR HOLLAND FOODSERVICE,14.12,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CHILLINGHAM ROAD,FREEMAN CATERING BUTCH,19.97,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,GOSFORTH JUNIOR,FREEMAN CATERING BUTCH,36.92,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CATHERINES,FREEMAN CATERING BUTCH,20.16,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BEECH HILL,FREEMAN CATERING BUTCH,69.88,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SACRED HEART PRI,BRAKE BROS LTD,124.47,School meals,CATERERS
25.03.2015,CRAGSIDE PRIMARY,JR HOLLAND FOODSERVICE,48.31,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,GOSFORTH ACADEMY,JR HOLLAND FOODSERVICE,107.18,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST OSWALDS,BRAKE BROS LTD,33.45,School meals,CATERERS
25.03.2015,ST MARYS CATHOLIC,JR HOLLAND FOODSERVICE,29.13,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,NEWBURN MANOR,JR HOLLAND FOODSERVICE,38.48,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,102.54,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,OUR LADY & ST ANNES,BRAKE BROS LTD,10.83,School meals,CATERERS
25.03.2015,WEST JESMOND,FREEMAN CATERING BUTCH,7.63,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST PAULS CE,FREEMAN CATERING BUTCH,15.12,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,507,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,GOSFORTH ACADEMY,FREEMAN CATERING BUTCH,15.29,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WELFORD DAY CENTRE,FREEMAN CATERING BUTCH,181.95,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CENTRAL WALKER,JR HOLLAND FOODSERVICE,57.89,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,79.6,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WYNDHAM PRIMARY,JR HOLLAND FOODSERVICE,26.88,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,KENTON SCHOOL,JR HOLLAND FOODSERVICE,172.45,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,MONKCHESTER ROAD,FREEMAN CATERING BUTCH,93.57,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WYNDHAM PRIMARY,FREEMAN CATERING BUTCH,112.56,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BENFIELD SCHOOL,BRAKE BROS LTD,400.61,School meals,CATERERS
25.03.2015,RAVENSWOOD PRIMARY,FREEMAN CATERING BUTCH,123.86,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,KENTON BAR,JR HOLLAND FOODSERVICE,51.35,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,TYNEVIEW PRIMARY,JR HOLLAND FOODSERVICE,2.80,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WELFORD DAY CENTRE,JR HOLLAND FOODSERVICE,16.96,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST ALBANS RC,BRAKE BROS LTD,254.4,School meals,CATERERS
25.03.2015,REGENT FARM FIRST,JR HOLLAND FOODSERVICE,48.43,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CRAGSIDE PRIMARY,BRAKE BROS LTD,50.6,School meals,CATERERS
25.03.2015,ST CHARLES' RC,JR HOLLAND FOODSERVICE,35.49,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,FARNE PRIMARY,BRAKE BROS LTD,193.79,School meals,CATERERS
25.03.2015,BENFIELD SCHOOL,FREEMAN CATERING BUTCH,42.94,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,MOUNTFIELD PRIMARY,JR HOLLAND FOODSERVICE,40.28,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,HOTSPUR PRIMARY,FREEMAN CATERING BUTCH,7.49,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WELFORD DAY CENTRE,FREEMAN CATERING BUTCH,206.63,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WALKERGATE PRIMARY,JR HOLLAND FOODSERVICE,107.31,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST ALBANS RC,FREEMAN CATERING BUTCH,64.71,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,MILECASTLE PRIMARY,JR HOLLAND FOODSERVICE,57.22,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,40,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BENFIELD SCHOOL,JR HOLLAND FOODSERVICE,10.2,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CIVIC CANTEEN,JR HOLLAND FOODSERVICE,71.7,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST VINCENTS RC,JR HOLLAND FOODSERVICE,47.81,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST MARKS RC,FREEMAN CATERING BUTCH,22.4,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,THOMAS BEWICK,FREEMAN CATERING BUTCH,22.4,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015, BRIDGEWATER,JR HOLLAND FOODSERVICE,77.28,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,GOSFORTH JUNIOR,JR HOLLAND FOODSERVICE,18.05,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,TRINITY OAKFIELD,FREEMAN CATERING BUTCH,15.28,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,THOMAS BEWICK,JR HOLLAND FOODSERVICE,33.81,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BROADWOOD PRIMARY,FREEMAN CATERING BUTCH,37.31,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SOUTH GOSFORTH,JR HOLLAND FOODSERVICE,78.59,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SIMONSIDE COMMUNITY,FREEMAN CATERING BUTCH,33.79,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WEST WALKER,FREEMAN CATERING BUTCH,77.66,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WALBOTTLE VILLAGE,JR HOLLAND FOODSERVICE,9.56,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST VINCENTS RC,FREEMAN CATERING BUTCH,64.85,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BYKER LODGE,FREEMAN CATERING BUTCH,64.46,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ARTHURS MOORSIDE,JR HOLLAND FOODSERVICE,60.69,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WELBECK PRIMARY,FREEMAN CATERING BUTCH,47.04,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,MONKCHESTER ROAD,FREEMAN CATERING BUTCH,60.48,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WELBECK PRIMARY,BRAKE BROS LTD,148.68,School meals,CATERERS
25.03.2015,ST TERESAS,BRAKE BROS LTD,67.91,School meals,CATERERS
25.03.2015,SIR CHARLES PARSONS,FREEMAN CATERING BUTCH,49.35,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SIMONSIDE COMMUNITY,JR HOLLAND FOODSERVICE,43.06,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,REGENT FARM FIRST,FREEMAN CATERING BUTCH,44.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,STOCKSFIELD AVENUE,BRAKE BROS LTD,138.45,School meals,CATERERS
25.03.2015,CHEVIOT PRIMARY,FREEMAN CATERING BUTCH,7.34,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WALKER TECHNOLOGY,FREEMAN CATERING BUTCH,159.81,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST MARKS RC,JR HOLLAND FOODSERVICE,47.5,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,LEMINGTON RIVERSIDE,FREEMAN CATERING BUTCH,23.93,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,HILTON PRIMARY,JR HOLLAND FOODSERVICE,55.65,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CRAGSIDE PRIMARY,FREEMAN CATERING BUTCH,44.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BYKER LODGE,BRAKE BROS LTD,146.6,School meals,CATERERS
25.03.2015,ST MARYS CATHOLIC,JR HOLLAND FOODSERVICE,4.06,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ENGLISH MARTYRS,FREEMAN CATERING BUTCH,113.38,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,HADRIAN SCHOOL,FREEMAN CATERING BUTCH,113.18,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,KINGSTON PARK,FREEMAN CATERING BUTCH,7.7,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST BEDES RC,JR HOLLAND FOODSERVICE,50.44,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WEST JESMOND,JR HOLLAND FOODSERVICE,98.23,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CIVIC BANQUETING,JR HOLLAND FOODSERVICE,58,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SACRED HEART HIGH,FREEMAN CATERING BUTCH,58.22,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WELFORD DAY CENTRE,JR HOLLAND FOODSERVICE,18.94,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,KINGSTON PARK,FREEMAN CATERING BUTCH,59.15,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,STOCKSFIELD AVENUE,JR HOLLAND FOODSERVICE,13.1,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ARCHIBOLD FIRST,JR HOLLAND FOODSERVICE,46.49,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,HAWTHORN PRIMARY,JR HOLLAND FOODSERVICE,11.4,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,LEMINGTON RIVERSIDE,JR HOLLAND FOODSERVICE,8.44,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BYKER LODGE,JR HOLLAND FOODSERVICE,67.56,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST JOHNS PRIMARY,FREEMAN CATERING BUTCH,108.94,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CATHERINES,BRAKE BROS LTD,255.12,School meals,CATERERS
25.03.2015,ST VINCENTS RC,BRAKE BROS LTD,296.83,School meals,CATERERS
25.03.2015,MILECASTLE PRIMARY,FREEMAN CATERING BUTCH,67.2,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CUTHBERTS KENT,FREEMAN CATERING BUTCH,87.13,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,HAWTHORN PRIMARY,FREEMAN CATERING BUTCH,26.76,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CHRIST CHURCH,FREEMAN CATERING BUTCH,27.42,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BENFIELD SCHOOL,FREEMAN CATERING BUTCH,64.3,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WEST WALKER,BRAKE BROS LTD,395.8,School meals,CATERERS
25.03.2015,BENFIELD SCHOOL,JR HOLLAND FOODSERVICE,2.08,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,TRINITY DENEVIEW,FREEMAN CATERING BUTCH,48.96,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CUTHBERTS KENT,JR HOLLAND FOODSERVICE,8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST PAULS CE,FREEMAN CATERING BUTCH,37.7,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CONNIE LEWCOCK,FREEMAN CATERING BUTCH,47.94,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,MILECASTLE PRIMARY,FREEMAN CATERING BUTCH,43.36,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,TRINITY DENEVIEW,JR HOLLAND FOODSERVICE,22.51,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST JOHNS PRIMARY,JR HOLLAND FOODSERVICE,13.26,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,GOSFORTH PARK,JR HOLLAND FOODSERVICE,56.59,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BYKER PRIMARY,FREEMAN CATERING BUTCH,76.11,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SACRED HEART PRI,FREEMAN CATERING BUTCH,17.55,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WALKERGATE PRIMARY,BRAKE BROS LTD,383.56,School meals,CATERERS
25.03.2015,SIR CHARLES PARSONS,JR HOLLAND FOODSERVICE,17.15,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SACRED HEART PRI,JR HOLLAND FOODSERVICE,22.65,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BROADWOOD PRIMARY,BRAKE BROS LTD,76.65,School meals,CATERERS
25.03.2015,FARNE PRIMARY,FREEMAN CATERING BUTCH,65.21,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST OSWALDS,JR HOLLAND FOODSERVICE,33.45,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,GOSFORTH PARK,FREEMAN CATERING BUTCH,90.84,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WALKER TECHNOLOGY,FREEMAN CATERING BUTCH,167.41,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,NORTH FAWDON,FREEMAN CATERING BUTCH,85.02,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CUTHBERTS WALB,FREEMAN CATERING BUTCH,19.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CHEVIOT PRIMARY,JR HOLLAND FOODSERVICE,20.16,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST GEORGES RC,FREEMAN CATERING BUTCH,23.02,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,MONKCHESTER ROAD,BRAKE BROS LTD,270.24,School meals,CATERERS
25.03.2015,STOCKSFIELD AVENUE,JR HOLLAND FOODSERVICE,36.16,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CONNIE LEWCOCK,FREEMAN CATERING BUTCH,16.73,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CUTHBERTS HIGH,JR HOLLAND FOODSERVICE,88.26,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST GEORGES RC,JR HOLLAND FOODSERVICE,23.43,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CRAGSIDE PRIMARY,FREEMAN CATERING BUTCH,79.99,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,50.45,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ARCHBISHOP RUNCIE,FREEMAN CATERING BUTCH,16.97,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST MICHAELS RC,JR HOLLAND FOODSERVICE,21.69,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SOUTH GOSFORTH,FREEMAN CATERING BUTCH,56.45,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,OUR LADY & ST ANNES,FREEMAN CATERING BUTCH,25.71,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,HILTON PRIMARY,FREEMAN CATERING BUTCH,161.18,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST PAULS CE,BRAKE BROS LTD,145.27,School meals,CATERERS
25.03.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,77.24,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WALBOTTLE CAMPUS,JR HOLLAND FOODSERVICE,109.06,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST MARYS CATHOLIC,JR HOLLAND FOODSERVICE,19.12,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,TYNEVIEW PRIMARY,BRAKE BROS LTD,346.64,School meals,CATERERS
25.03.2015,CENTRAL WALKER,BRAKE BROS LTD,219.92,School meals,CATERERS
25.03.2015,ST CHARLES' RC,FREEMAN CATERING BUTCH,22.4,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,KENTON SCHOOL,FREEMAN CATERING BUTCH,209.61,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,BENTON PARK,JR HOLLAND FOODSERVICE,35.3,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,40,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST PAULS CE,JR HOLLAND FOODSERVICE,48.9,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST GEORGES RC,FREEMAN CATERING BUTCH,21.05,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CUTHBERTS HIGH,FREEMAN CATERING BUTCH,35.87,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,KNOPLAW PRIMARY,FREEMAN CATERING BUTCH,90.51,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST OSWALDS,FREEMAN CATERING BUTCH,37.81,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,TYNEVIEW PRIMARY,JR HOLLAND FOODSERVICE,0.75,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,OUR LADY & ST ANNES,BRAKE BROS LTD,148.55,School meals,CATERERS
25.03.2015,ST LAWRENCES RC,BRAKE BROS LTD,118.53,School meals,CATERERS
25.03.2015,ST CUTHBERTS KENT,FREEMAN CATERING BUTCH,44.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST JOSEPHS RC,JR HOLLAND FOODSERVICE,8.32,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CATHERINES,BRAKE BROS LTD,16.99,School meals,CATERERS
25.03.2015,HILTON PRIMARY,BRAKE BROS LTD,115.99,School meals,CATERERS
25.03.2015,WALBOTTLE VILLAGE,FREEMAN CATERING BUTCH,15.68,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST MARKS RC,FREEMAN CATERING BUTCH,90.93,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ENGLISH MARTYRS,BRAKE BROS LTD,58.23,School meals,CATERERS
25.03.2015,OUR LADY & ST ANNES,JR HOLLAND FOODSERVICE,57.11,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CUTHBERTS KENT,JR HOLLAND FOODSERVICE,44.97,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST MARKS RC,BRAKE BROS LTD,102.33,School meals,CATERERS
25.03.2015,ST TERESAS,JR HOLLAND FOODSERVICE,48.21,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,NEWBURN MANOR,FREEMAN CATERING BUTCH,182.31,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WALBOTTLE CAMPUS,FREEMAN CATERING BUTCH,42.25,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CUTHBERTS HIGH,FREEMAN CATERING BUTCH,37.09,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ARCHIBOLD FIRST,FREEMAN CATERING BUTCH,129.76,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SIR CHARLES PARSONS,FREEMAN CATERING BUTCH,44.73,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,RAVENSWOOD PRIMARY,FREEMAN CATERING BUTCH,89.6,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,GOSFORTH ACADEMY,FREEMAN CATERING BUTCH,20.42,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,KNOPLAW PRIMARY,JR HOLLAND FOODSERVICE,43.79,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WAVERLEY PRIMARY,JR HOLLAND FOODSERVICE,16.01,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST CHARLES' RC,FREEMAN CATERING BUTCH,74.24,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,GRANGE FIRST SCHOOL,FREEMAN CATERING BUTCH,63.41,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WALKERGATE PRIMARY,FREEMAN CATERING BUTCH,362.68,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CANNING STREET,JR HOLLAND FOODSERVICE,129.25,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WEST WALKER,FREEMAN CATERING BUTCH,53.76,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,MOUNTFIELD PRIMARY,FREEMAN CATERING BUTCH,60.75,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,SIR CHARLES PARSONS,BRAKE BROS LTD,146.66,School meals,CATERERS
25.03.2015,BROADWOOD PRIMARY,JR HOLLAND FOODSERVICE,46.44,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,ST TERESAS,FREEMAN CATERING BUTCH,45.48,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,CANNING STREET,FREEMAN CATERING BUTCH,47.92,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WAVERLEY PRIMARY,BRAKE BROS LTD,12.84,School meals,CATERERS
25.03.2015, BRIDGEWATER,FREEMAN CATERING BUTCH,130.89,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
25.03.2015,WELBECK PRIMARY,JR HOLLAND FOODSERVICE,37.56,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
