VENUE_NAME,ADDRESS_LINE_1,POST_TOWN,COUNTY,POST_CODE,NEW_DISTRICT_COUNCIL,EASTING,NORTHING,TELEPHONE,OWNERSHIP_TYPE,ADVENTURE_SPORT,ATHLETICS,BOWLING,BOXING,CRICKET,FITNESS,GOLF,MOTORSPORT,SWIMMING,SQUASH_HANDBALL,TENNIS,SPORTS_HALL,WATERSPORTS,MOUNTAIN_BIKING,PITCHES_GRASS,PITCHES_WATER,PITCHES_THIRD_GEN,PITCHES_SAND
Drumadonnell Primary School,Dromara Road,Banbridge,Down,BT32 5EY,"Armagh City, Banbridge and Craigavon District",324474,339185,028 4065 0886,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Drumaheglis Marina and Caravan Park,Glenstall Road,Ballymoney,Antrim,BT53 7QN,Causeway Coast and Glens District,290172,425323,028 2766 6466,District Council,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Drumahoe Primary School,Drumahoe Road,Drumahoe,Londonderry,BT47 3SD,Derry City and Strabane District,246417,414982,028 7130 2284,Education,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Drumalane Football Pitch,Drumalane Road,Newry,Down,BT35 8AP,"Newry City, Mourne and Down District",308590,325057,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumaness GFC,Drumaness Industrial Estate,Ballynahinch,Down,BT24 8DN,"Newry City, Mourne and Down District",336691,352581,028 9756 1132,Club,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Drumaness Mills Football Club,Drumaness,Ballynahinch,Down,BT24 8RW,"Newry City, Mourne and Down District",339571,348792,077 2990 9030,District Council,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Drumard Primary School,Tamlaght Road,Upperlands,Londonderry,BT46 5XB,Mid Ulster District,291265,406133,028 2582 1899,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumarg Park,Drumarg Park,Armagh,Armagh,BT60,"Armagh City, Banbridge and Craigavon District",286920,344700,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Drumbo Playing Fields,Front Road,Drumbo,Down,BT27 5JZ,Lisburn and Castlereagh District,332359,365005,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumbolcan Park,Duneany Road,Rasharkin,Antrim,BT44 8SR,Causeway Coast and Glens District,298716,413183,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumcoo Playing Fields,Oakes Road,Dungannon,Tyrone,BT71 4AS,Mid Ulster District,280068,363396,028 87727327,District Council,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumgath GAC,Newry Road,Rathfriland,Down,BT34 4AL,"Newry City, Mourne and Down District",316697,333022,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumglass High School,Carland Road,Dungannon,Tyrone,BT71 4AA,Mid Ulster District,279633,363564,028 8772 2421,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Drumgooland Equestrian Centre,Dunnanew Road,Downpatrick,Down,BT30 8PJ,"Newry City, Mourne and Down District",341346,343933,028 4481 1956,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Drumgor Primary School,Drumgor Road,Craigavon,Armagh,BT65 5BP,"Armagh City, Banbridge and Craigavon District",305345,356495,028 3834 1488,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Drumhillery Primary School,Drumhillery Road,Middletown,Armagh,BT60 3DJ,"Armagh City, Banbridge and Craigavon District",280485,334092,028 3756 8725,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Drumlish Primary School,Camderry Road,Dromore,Tyrone,BT78 3BJ,Fermanagh and Omagh District,235397,366371,028 8289 8719,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Drummond Cricket Club,Drumsurn Road,Limavady,Londonderry,BT49 0PD,Causeway Coast and Glens District,269484,422665,028 7776 3278,Club,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Drumnamoe Nursery School,Levin Road,Lurgan,Armagh,BT67 9EU,"Armagh City, Banbridge and Craigavon District",308593,359701,028 3832 9384,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Drumquilla GAA,Drumquillia,Newtownbutler,Fermanagh,BT92 8JJ,Fermanagh and Omagh District,241773,325591,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumquin Wolfe Tones GFC,Omagh Road,Omagh,Tyrone,BT78 4QY,Fermanagh and Omagh District,233078,373853,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumragh College,Donaghanie Road,Omagh,Tyrone,BT79 0NS,Fermanagh and Omagh District,247258,371541,028 8225 2440,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Drumragh GFC,St Patricks Park,Omagh,Tyrone,BT79 7BD,Fermanagh and Omagh District,245259,373012,028 8224 3447,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumsallen Primary School,Dernasigh Road,Killylea,Armagh,BT60 4PA,"Armagh City, Banbridge and Craigavon District",279416,348182,028 3754 8426,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Drumsamney Equestrian Centre,Drumsamney Road,Magherafelt,Londonderry,BT45 5QX,Mid Ulster District,284514,395281,028 7964 2647,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Drumsamney Equestrian Centre,Drumsamney Road,Dersertmartin,Londonderry,BT45 5LA,Mid Ulster District,284439,394863,,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Drumsurn Playing Fields,Beech Road,Dungiven,Londonderry,BT47 4QB,Causeway Coast and Glens District,266042,412210,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dublin Road Playing Fields,Dublin Road,Castlewellan,Down,BT31 9HN,"Newry City, Mourne and Down District",332361,335031,028  4372 5034,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dunadry Hotel and Country Club,Islandreagh Drive,Antrim,Antrim,BT41 2HA,Antrim and Newtownabbey District,319785,385015,028 9443 4343,Private,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Dunbarton Bowling Club,Dunbarton Street,Gilford,Down,BT63 6HJ,"Armagh City, Banbridge and Craigavon District",306567,348685,028 3883 1051,Private,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Dunbrock Stables,Loughermore Road,Limavady,Londonderry,BT49 9HY,Causeway Coast and Glens District,261856,420604,07736 547377,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dunclug College,Doury Road,Ballymena,Antrim,BT43 6SU,Mid and East Antrim District,310553,404902,028 2565 3665,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Dunclug Community Centre,Dunvale,Ballymena,Antrim,BT43 6SA,Mid and East Antrim District,310538,405043,028 2563 0050,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Dunclug Primary School,Doury Road,Ballymena,Antrim,BT43 6SU,Mid and East Antrim District,310711,404925,028 2565 2327,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Dundarave Park,Lower Main Street,Bushmills,Antrim,BT57 8QA,Causeway Coast and Glens District,294029,440977,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dundela Infants School,Wilgar Street,Belfast,Antrim,BT4 3BL,Belfast City,337286,374397,028 9047 1234,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Dundela Social Club,Wilgar Street,Belfast,Antrim,BT4 3BL,Belfast City,337008,374444,028 9065 1074,Club,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
Dundonald High School,Upper Newtownards Road,Dundonald,Down,BT16 1TH,Lisburn and Castlereagh District,342866,374285,028 9048 4271,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Dundonald International Ice Bowl,Old Dundonald Road,Dundonald,Down,BT16 1XT,Lisburn and Castlereagh District,341095,373174,028 9080 9100,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dundonald Primary School,Church Green,Dundonald,Down,BT16 2LP,Lisburn and Castlereagh District,341972,373734,028 9048 2680,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Dundrod Pits,Hannahstown Road,Dundrod,Antrim,BT28 3TB,Lisburn and Castlereagh District,324171,372125,,District Council,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Dundrum GFC,Main Street,Dundrum,Down,BT33 0LX,"Newry City, Mourne and Down District",340527,336464,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dundrum Playing Fields,,Dundrum,Down,BT33 0NG,"Newry City, Mourne and Down District",341015,337808,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dunfane Playing Fields,Fry's Road,Ballymena,Antrim,BT43 7EN,Mid and East Antrim District,311533,405159,028 2563 8510,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dungannon Amateur Boxing Club,Victoria Road,Dungannon,Tyrone,BT71 7BD,Mid Ulster District,279689,362033,028 8775 3392,Club,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dungannon Bowling Club,Oaks Road,Dungannon,Tyrone,BT71 4AS,Mid Ulster District,280068,363396,,Club,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dungannon Golf Club,Springfield Lane,Dungannon,Tyrone,BT70 1QX,Mid Ulster District,278673,363962,028 8772 2098,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Dungannon Leisure Centre,Circular Road,Dungannon,Tyrone,BT71 6BH,Mid Ulster District,280194,362775,028 8772 0370,District Council,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
Dungannon Park and Lake,Moy Road,Dungannon,Tyrone,BT71 7DT,Mid Ulster District,281484,360459,028 8772 7327,District Council,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No
Dungannon Primary School,Circular Road,Dungannon,Tyrone,BT71 6BE,Mid Ulster District,280202,363031,028 8772 2250,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Dungannon Rugby Club,Moy Road,Dungannon,Tyrone,BT71 7DS,Mid Ulster District,280877,361270,028 8772 2387,Club,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No
Dungannon Thomas Clarke GFC,Lisnahull Road,Dungannon,Tyrone,BT70 1UG,Mid Ulster District,278721,362797,,Club,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
Dungiven Celtic FC ,Ballyguddin Road,Dungiven,Londonderry,BT47 4RJ,Causeway Coast and Glens District,267481,410608,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dungiven Playing Field,Drumrane Road,Dungiven,Londonderry,BT47 4RG,Causeway Coast and Glens District,267811,413186,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dungiven Primary School,Glenshane Road,Dungiven,Londonderry,BT47 4RS,Causeway Coast and Glens District,269416,408927,028 7774 1531,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dungiven Sports Pavillion,Chapel Road,Dungiven,Londonderry,BT47 4RS,Causeway Coast and Glens District,244210,416429,028 7774 2074,District Council,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No
Dungoyne Bowling and Community Centre,Dungoyne Park,Dundonald,Down,BT16 2PL,Lisburn and Castlereagh District,342737,373682,028 9048 7300,Club,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Dunloy Cuchullains GA & CC,Bridge Road,Ballymena,Antrim,BT44 9AN,Causeway Coast and Glens District,301607,418918,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
Dunloy Recreational Grounds,Tullaghans Road,Dunloy,Antrim,BT44 9EB,Causeway Coast and Glens District,299121,419165,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dunluce Bowling Club,Bridge Street,Bushmills,Antrim,BT57 8QH,Causeway Coast and Glens District,294038,440603,028 2073 2396,Club,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dunluce School,Dunluce Road,Bushmills,Antrim,BT57 8QQ,Causeway Coast and Glens District,293560,440813,028 2073 1448,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Dunmurry Golf Club,Dunmurry Lane,Dunmurry,Antrim,BT17 9JS,Belfast City,330535,368200,028 9061 0834,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Dunmurry Primary School,Glenburn Road,Dunmurry,Antrim,BT17 9AN,Belfast City,329213,368462,028 9030 1454,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Dunmurry Young Men,,Dunmurry,Antrim,BT17 9RY,Belfast City,329211,368825,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Dunseverick Primary School,Whitepark Road,Dunseverick,Antrim,BT57 8SR,Causeway Coast and Glens District,298337,443190,028 2073 1600,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
DV Diving,Mountstewart Road,Newtownards,Down,BT22 2ES,North Down and Ards District,357362,371347,028 9146 4671,Private,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
DW Fitness - Bangor,South Road Centre,Bangor,Down,BT19 7HB,North Down and Ards District,351255,380181,,Private,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
DW Fitness - Newtownabbey,Longwood Road,Newtownabbey,Antrim,BT37 9UL,Antrim and Newtownabbey District,334288,380491,028 9036 0970,Private,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
DW Fitness Club - Belfast,Boucher Road,Belfast,Antrim,BT12 6HR,Belfast City,334348,380418,0289 068 8550,Private,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
DW Fitness Club - Derry,Crescent Link Retail Park,Derry,Londonderry,BT47 5FR,Derry City and Strabane District,245877,416195,028 7131 0800,Private,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Earlview Primary School,Manse Drive,Newtownabbey,Antrim,BT36 5US,Antrim and Newtownabbey District,331839,384217,028 9034 2203,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
East Antrim Boat Club,Curran Point,Larne,Antrim,BT40 1AU,Mid and East Antrim District,341399,401606,028 2827 7204,Private,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
East Belfast Yacht Club,Sydenham by-Pass,Belfast,Antrim,BT3 9JH,Belfast City,337397,375676,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
East Coast Adventure,Lower Knockbarragh Road,Rostrevor,Down,BT34 3DP,"Newry City, Mourne and Down District",317928,322186,028 4173 9923,Private,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
East Down Institute of F&HE,Church Road,Ballynahinch,Down,BT24 8LP,"Newry City, Mourne and Down District",336674,351979,028 9756 2369,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
East Down Yacht Club,Comber Road,Killyleagh,Down,BT30 9QZ,"Newry City, Mourne and Down District",352811,353082,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
East Tyrone College of Further Education,Circular Road,Dungannon,Tyrone,BT71 6BQ,Mid Ulster District,280164,362943,028 8772 2323,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Eastside Boxing Club,Clandeboye Street,Belfast,Antrim,BT5 4QT,Belfast City,335796,373719,,Club,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ebrington Controlled Primary School,Ulsterville Avenue,Waterside,Londonderry,BT47 6EU,Derry City and Strabane District,244562,416849,028 7134 3864,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ecclesville Centre,Ecclesville Road,Fintona,Tyrone,BT78 2EF,Fermanagh and Omagh District,248399,356522,028 8284 0591,Club,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Eddie Irvine Sports,Balloo Road,Bangor,Down,BT19 7PG,North Down and Ards District,350319,379285,028 9145 1457,Private,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
Eden Playing Fields,Beltoy Road,Carrickfergus,Antrim,BT38 9BH,Mid and East Antrim District,343513,389451,028 9335 1711,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Eden Primary School Ballymoney,Vow Road,Ballymoney,Antrim,BT53 7PB,Causeway Coast and Glens District,291919,421301,028 2766 3309,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Eden Primary School Carrickfergus,Larne Road,Carrickfergus,Antrim,BT38 7NL,Mid and East Antrim District,343383,388994,028 9335 1958,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Edenbrook Primary School,Tennent Street,Belfast,Antrim,BT13 3GG,Belfast City,332230,375418,028 9035 1528,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Edenderry Nursery School Craigavon,Princess Way,Portadown,Armagh,BT63 5EP,"Armagh City, Banbridge and Craigavon District",302925,353915,028 3833 6973,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Edenderry Primary School Banbridge,Lurgan Road,Banbridge,Down,BT32 4AF,"Armagh City, Banbridge and Craigavon District",312615,346527,028 4062 2082,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Edenderry Primary School Craigavon,Princess Way,Portadown,Armagh,BT63 5EP,"Armagh City, Banbridge and Craigavon District",302925,353915,028 3833 2816,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Edendork GAA,Rossmore Road,Dungannon,Tyrone,BT71 4BJ,Mid Ulster District,280202,364581,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Edendork Primary School,Coalisland Road,Dungannon,Tyrone,BT71 4DP,Mid Ulster District,281755,365307,028 8774 0534,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Edenmore Golf and Country Club,Drumnabreeze Road,Magheralin,Down,BT67 0RH,"Armagh City, Banbridge and Craigavon District",314133,358168,028 9261 9241,Club,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Edentilone Indoor Bowling Club,Carnteel Road,Aughnacloy,Tyrone,BT69 6EF,Mid Ulster District,271447,356400,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Edenvilla Multi Sports Pitch,Bachelors Walk,Portadown,Armagh,BT63 5BQ,"Armagh City, Banbridge and Craigavon District",302169,354617,028 3836 2434,District Council,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
Ederney Town Hall,High Street,Ederney,Fermanagh,BT93 0DG,Fermanagh and Omagh District,222155,364947,,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Edmund Rice CB Primary School,Pim Street,Belfast,Antrim,BT15 2BN,Belfast City,333463,375403,028 9035 1206,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Edmund Rice College,Hightown Road,Glengormley,Antrim,BT36 7TZ,Antrim and Newtownabbey District,331562,382160,028 9084 8433,Education,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Eglinton Cricket Club,Cottage Row,Londonderry,Londonderry,BT47 3AH,Derry City and Strabane District,252409,419813,028 7181 0250,Private,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Eglinton Equestrian Centre,Airfield Road,Eglinton,Londonderry,BT47 3PZ,Derry City and Strabane District,253292,422317,028 7181 0312,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Eglinton Primary School,Woodvale Road,Eglinton,Londonderry,BT47 3AH,Derry City and Strabane District,252394,420011,028 7181 0510,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Eglish Primary School,Stiloga Road,Dungannon,Tyrone,BT71 7DW,Mid Ulster District,278331,356420,028 3754 8391,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Eire Og GAC,Carrygart,Craigavon,Armagh,BT65 5EP,"Armagh City, Banbridge and Craigavon District",306322,357443,028 3831 7987,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Willowbridge School,Derrygonnelly Road,Enniskillen,Fermanagh,BT74 7EY,Fermanagh and Omagh District,222187,344720,028 6632 9947,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Elmgrove Primary School,Beersbridge Road,Belfast,Down,BT5 4RS,Belfast City,336419,373441,028 9045 7311,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Emerald Amateur Boxing Club,Stewartstown Avenue,Belfast,Antrim,BT11 9GE,Belfast City,328468,370876,,Club,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Enkalon Sports and Social Club,Randalstown Road,Antrim,Antrim,BT41 4LH,Antrim and Newtownabbey District,313935,387482,028 9446 2840,Private,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
Enniskillen Collegiate,Cooper Crescent,Enniskillen,Fermanagh,BT74 6DQ,Fermanagh and Omagh District,224362,344386,028 6632 2165,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Enniskillen Gaels GFC,Erne Road,Enniskillen,Fermanagh,BT74 6NN,Fermanagh and Omagh District,223708,344660,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Enniskillen Golf Club,Castlecoole,Enniskillen,Fermanagh,BT74 6HZ,Fermanagh and Omagh District,225078,343332,028 6632 5250,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Enniskillen Integrated Primary School,Drumcoo,Enniskillen,Fermanagh,BT74 4HZ,Fermanagh and Omagh District,225391,340862,028 6632 6799,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Enniskillen Lawn Tennis Club,Cooper Crescent,Enniskillen,Fermanagh,BT74 6DQ,Fermanagh and Omagh District,224406,344353,028 6632 8960,Club,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Enniskillen Rugby Club,Mullaghmeen,Enniskillen,Fermanagh,BT94 2HE,Fermanagh and Omagh District,225344,349023,028 6632 7416,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Erins Own GAC Cargin,Shore Road,Toomebridge,Antrim,BT41 3NW,Antrim and Newtownabbey District,299280,390086,,Club,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes
Erins Own GAC Lavey,Quarry Road,Knockoughrim,Londonderry,BT45 8NS,Mid Ulster District,289812,398675,028 7964 2995,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
Erne Integrated College,Derrygore Road,Enniskillen,Fermanagh,BT74 4FY,Fermanagh and Omagh District,223559,345901,028 6632 0780,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Willowbridge School,Derrygonnelly Road,Enniskillen,Fermanagh,BT74 7EY,Fermanagh and Omagh District,222150,344786,028 6632 3942,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Errigal Ciaran GAC,Park Road,Sixmilecross,Tyrone,BT79 9EL,Fermanagh and Omagh District,260319,364488,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Eskra Emmett's GAC,Newtownsaville Road,Omagh,Tyrone,BT78 2RR,Fermanagh and Omagh District,251732,359752,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Euphoria Fitness Club,Belfast Road,Carrickfergus,Antrim,BT38 8BY,Mid and East Antrim District,340641,387127,028 9335 5533,Private,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Euston Street Primary School,Euston Street,Belfast,Antrim,BT6 9AG,Belfast City,335906,373146,028 9045 7089,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Exploris Aquarium,The Rope Walk,Portaferry,Down,BT22 1NZ,North Down and Ards District,359281,350894,028 4272 8062,District Council,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Factory Play Area,Old Glenarm Road,Larne,Antrim,BT40 1TS,Mid and East Antrim District,340199,403536,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fair Hill Primary School,Tullyniskey Road,Dromara,Down,BT25 2PJ,"Armagh City, Banbridge and Craigavon District",325184,349671,028 9753 3219,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Fairhill Bowling Pavillion and Tennis Courts,Fairhill Road,Cookstown,Tyrone,BT80 8AG,Mid Ulster District,280906,378073,028 8676 7135,District Council,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
Fairhill Youth Centre,Tirkane Road,Maghera,Londonderry,BT46 5AG,Mid Ulster District,285189,400654,,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Falls Bowling and Lawn Tennis Club Ltd,Andersonstown Road,Belfast,Antrim,BT11 9AH,Belfast City,330469,371660,028 9061 9179,Club,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Falls Leisure Centre,Falls Road,Belfast,Antrim,BT12 4PB,Belfast City,332575,374253,028 90500510,District Council,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No
Falls Park,Falls Road,Belfast,Antrim,BT12 7FW,Belfast City,330257,373559,,District Council,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
Falls Road Gymnasium,Falls Road,Belfast,Antrim,BT12 4PE,Belfast City,332279,374023,,Club,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Fane Street Primary School,Fane Street,Belfast,Antrim,BT9 7BW,Belfast City,332591,372710,028 9038 1945,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Faughan Valley Golf Club,Carnmoney Road,Eglinton,Londonderry,BT47 3JH,Derry City and Strabane District,248061,419500,028 7186 0707,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
