Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6226,40012,Contract Costs,The Metal Store,28/02/2018,PC 261/173,877.5,Galvanised tube,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/174,10,Collection bag pack,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/175,44.92,Expanding Foam,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/176,129.11,Carbon Steal Studs,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Covers,28/02/2018,PC 261/177,130.98,Nails,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/178,28.3,Builders Band,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/179,127.68,Flat Washers,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Covers,28/02/2018,PC 261/180,33.26,Materials,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/181,6.16,Stop cock,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Eurocell,28/02/2018,PC 261/182,265.67,Capping Boards,Trading Accounts,GPC
