Department family,Entity,Date,Expense type,Expense area,Supplier,Supplier Postcode,Transaction number,Amount
HMRC,HMRC,06/07/2011,Affinity Data Centre,Information Management Services,DWP,FY5 3TA,5100029345,173405.88
HMRC,HMRC,06/07/2011,Affinity mgmt charge,Information Management Services,DWP,FY5 3TA,5100029345,32197.82
HMRC,HMRC,06/07/2011,Affinity mgmt charge,Information Management Services,DWP,FY5 3TA,5100029345,4693.5
HMRC,HMRC,06/07/2011,Aff/Metro Supp Tel,Information Management Services,DWP,FY5 3TA,5100029345,2054.38
HMRC,HMRC,06/07/2011,Aff/Metro Supp Tel,Information Management Services,DWP,FY5 3TA,5100029345,375.09
HMRC,HMRC,06/07/2011,Affinity Data Centre,Information Management Services,DWP,FY5 3TA,5100029345,117.86
HMRC,HMRC,06/07/2011,Court Fees,Debt Management & Banking,The Insolvency Service,B2 4UP,5100029346,104120
HMRC,HMRC,06/07/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,SN5 6PE,5100029347,44524.67
HMRC,HMRC,06/07/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,SN5 6PE,5100029349,60111.16
HMRC,HMRC,06/07/2011,Postal delivery serv,Commercial Directorate,Royal Mail,PE4 5BR,5100029353,838699.1
HMRC,HMRC,06/07/2011,STEPS VAT Indemnity,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100029446,4052521.68
HMRC,HMRC,07/07/2011,High Court Costs,Debt Management & Banking,RBSG Central,SE99 1AA,1900057412,40000
HMRC,HMRC,07/07/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,LS14 1NH,5100029545,83115.1
HMRC,HMRC,07/07/2011,Gas,Estates & Support Services,Corona Energy,NW4 3RJ,5100029688,25531.87
HMRC,HMRC,07/07/2011,Sheriff Off Scot War,Debt Management & Banking,RUTHERFORD & MACPHERSON,G2 2EP,5100029811,26135.9
HMRC,HMRC,07/07/2011,Legal Service Sol's,Specialist Investigations (SI),Howes Percival Solicitors,NR3 1DD,5100029952,269911.77
HMRC,HMRC,07/07/2011,Legal Serv's Credit,Specialist Investigations (SI),Howes Percival Solicitors,NR3 1DD,5100029952,15742.37
HMRC,HMRC,07/07/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,EC4Y 0HQ,5100029990,3419000.17
HMRC,HMRC,07/07/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,EC4Y 0HQ,5100029992,-117027.53
HMRC,HMRC,08/07/2011,Ombudsman services,People Function,Capita Health Solutions Limited,AB25 2ZP,5100029994,26748.32
HMRC,HMRC,08/07/2011,Ombudsman services,People Function,Capita Health Solutions Limited,AB25 2ZP,5100030026,138319
HMRC,HMRC,08/07/2011,Prof membership,Customer Contact,CCA,G3 7PY,5100030064,30000
HMRC,HMRC,08/07/2011,Legal Service Sol's,Solicitors Office,Home Funding Limited,EC3A 8BF,5100030085,26130
HMRC,HMRC,11/07/2011,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,G73 1DR,5100030331,41737.46
HMRC,HMRC,11/07/2011,Solicitors Fees,Solicitors Office,Scotland Office,EH3 7HW,5100030388,31324.88
HMRC,HMRC,11/07/2011,Debt collection serv,Debt Management & Banking,Fairfax Solicitors Limited,LS2 8BX,5100030399,227465.23
HMRC,HMRC,11/07/2011,Solicitors Fees,Solicitors Office,Howes Percival Solicitors,NR3 1DD,5100030408,26809.14
HMRC,HMRC,11/07/2011,Solicitors Fees,Solicitors Office,Howes Percival Solicitors,NR3 1DD,5100030418,41607.52
HMRC,HMRC,11/07/2011,Solicitors Fees,Solicitors Office,Howes Percival Solicitors,NR3 1DD,5100030491,27202.3
HMRC,HMRC,11/07/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,EC2M 4RB,5100030493,187153.26
HMRC,HMRC,11/07/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,EC2M 4RB,5100030493,763.8
HMRC,HMRC,11/07/2011,Storage Seized Goods,Specialist Investigations (SI),Veolia Environmental Services Plc,WS8 7BB,5100030495,65998.67
HMRC,HMRC,11/07/2011,Debt collection serv,Debt Management & Banking,Commercial Collection Services,CR7 6YY,5100030507,299402.39
