Property Reference,Property Description,Rateable Value,Account Name,Liability Start,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Empty Date,Exemption Code
13380015310072,OFFICES AND PREMISES,TO BE RATED,GAP C Properties Ltd,24/07/2014,Suite 102,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,24/07/2014,DE-MINIMUS RATEABLE VALUE
15820062810022,OFFICES AND PREMISES,TO BE RATED,Ms A Pishiris,26/07/2014,628a Finchley Road,London,,,,NW11 7RR,26/07/2014,DE-MINIMUS RATEABLE VALUE
4086001121262A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,28/07/2014,Unit 8 11th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,28/07/2014,DE-MINIMUS RATEABLE VALUE
40860011211608,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,29/07/2014,Unit 6 11th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,29/07/2014,DE-MINIMUS RATEABLE VALUE
40860011211468,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/07/2014,Room 211 2nd Fl,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/07/2014,DE-MINIMUS RATEABLE VALUE
40860011216245,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/07/2014,Unit 6.24 6th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/07/2014,DE-MINIMUS RATEABLE VALUE
4086001121054A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/07/2014,Room 218 2nd Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/07/2014,DE-MINIMUS RATEABLE VALUE
40860011210516,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/07/2014,Room 215 & 216 2nd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/07/2014,DE-MINIMUS RATEABLE VALUE
40860011211078,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,31/07/2014,Unit 2 5th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/07/2014,DE-MINIMUS RATEABLE VALUE
40860011211148,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,31/07/2014,Room 400 4th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/07/2014,DE-MINIMUS RATEABLE VALUE
40860011211415,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/07/2014,Unit 8 9th Floor,Premier House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/07/2014,DE-MINIMUS RATEABLE VALUE
40860011211805,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/07/2014,Suite 8 10th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/07/2014,DE-MINIMUS RATEABLE VALUE
40860011212761,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,31/07/2014,Room 308 3rd Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/07/2014,DE-MINIMUS RATEABLE VALUE
01680000010075,CAR PARK AND PREMISES,£450,Hand Picked Hotels Limited,13/03/2015,Central Car Stoarge Ltd,Car Space 7,Ashley Lane,London,,NW4 1HF,31/07/2014,DE-MINIMUS RATEABLE VALUE
01680000010677,CAR PARK AND PREMISES,£450,Hand Picked Hotels Limited,13/03/2015,Central Car Storage Ltd,Car Space 67,Ashley Lane,London,,NW4 1HF,31/07/2014,DE-MINIMUS RATEABLE VALUE
0168000001015B,CAR PARK AND PREMISES,£900,Hand Picked Hotels Limited,13/03/2015,Central Car Storage Ltd,Car Spaces 15 & 18,Ashley Lane,London,,NW4 1HF,31/07/2014,DE-MINIMUS RATEABLE VALUE
40860011211716,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,01/08/2014,Unit 12 12th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,01/08/2014,DE-MINIMUS RATEABLE VALUE
40860011210535,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,02/08/2014,Room 217 2nd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,02/08/2014,DE-MINIMUS RATEABLE VALUE
18181000310057,OFFICES AND PREMISES,"£2,400",F. R. Properties Limited,24/12/2013,Suite 4 2nd Fl Front Left 3a Prince,S Parade Golders Green Road,London,,,NW11 9PS,04/08/2014,DE-MINIMUS RATEABLE VALUE
40860011210624,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,05/08/2014,Room 305 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,05/08/2014,DE-MINIMUS RATEABLE VALUE
4086001121006A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,05/08/2014,Unit 6.20 6th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,05/08/2014,DE-MINIMUS RATEABLE VALUE
4086001121008B,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,05/08/2014,Unit 6.20a 6th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,05/08/2014,DE-MINIMUS RATEABLE VALUE
40860011212899,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,05/08/2014,Room 103 1st Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,06/08/2014,DE-MINIMUS RATEABLE VALUE
40860011212901,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,05/08/2014,Room 101 1st Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,06/08/2014,DE-MINIMUS RATEABLE VALUE
40860011212916,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,05/08/2014,Room 102 1st Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,06/08/2014,DE-MINIMUS RATEABLE VALUE
40880002110002,OFFICES AND PREMISES,TO BE RATED,Castle Invest Limited,13/06/2014,4th Floor Front,21-23 Station Road,New Barnet,Hertfordshire,,EN5 1PH,06/08/2014,DE-MINIMUS RATEABLE VALUE
40880002110055,OFFICES AND PREMISES,TO BE RATED,Castle Invest Limited,13/06/2014,3RD FLR FRONT 21-23,Station Road,Barnet,Hertfordshire,,EN5 1PH,06/08/2014,DE-MINIMUS RATEABLE VALUE
40880002110093,OFFICES AND PREMISES,TO BE RATED,Castle Invest Ltd,13/06/2014,1ST FLR FRONT RIGHT 21-23,Station Road,Barnet,Hertfordshire,,EN5 1PH,06/08/2014,DE-MINIMUS RATEABLE VALUE
4088000211004A,OFFICES AND PREMISES,TO BE RATED,Castle Invest Limited,13/06/2014,4th Floor Rear,21-23 Station Road,New Barnet,Hertfordshire,,EN5 1PH,06/08/2014,DE-MINIMUS RATEABLE VALUE
40860011212808,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,08/08/2014,Unit 1 14th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,08/08/2014,DE-MINIMUS RATEABLE VALUE
4086001121260A,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,08/08/2014,Units 9 &10 10th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,08/08/2014,DE-MINIMUS RATEABLE VALUE
40860011211203,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,14/08/2014,Room 325 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,14/08/2014,DE-MINIMUS RATEABLE VALUE
18540000710136,OFFICES AND PREMISES,"£2,125",Summercourt Holdings Ltd,15/08/2014,Office 9,2nd Flr,7 Grand Arcade,London,,N12 0EH,15/08/2014,DE-MINIMUS RATEABLE VALUE
40860011212776,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,16/08/2014,Room 302 3rd Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,16/08/2014,DE-MINIMUS RATEABLE VALUE
40860011211082,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,18/08/2014,Unit 3 5th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,18/08/2014,DE-MINIMUS RATEABLE VALUE
4086001121047A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,20/08/2014,Room 205 2nd Fl,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,20/08/2014,DE-MINIMUS RATEABLE VALUE
0168000001008B,CAR PARK AND PREMISES,£450,Hand Picked Hotels Limited,13/03/2015,Central Car Storage Ltd,Car Space 8,Ashley Lane,London,,NW4 1HF,21/08/2014,DE-MINIMUS RATEABLE VALUE
01680000010215,CAR PARK AND PREMISES,£900,Hand Picked Hotels Limited,13/03/2015,Central Car Storage Ltd,Car Spaces 21-22,Ashley Lane,London,,NW4 1HF,21/08/2014,DE-MINIMUS RATEABLE VALUE
40860011210319,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,22/08/2014,ROOM 113 1ST FLR,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,22/08/2014,DE-MINIMUS RATEABLE VALUE
40860011211595,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,22/08/2014,Unit 5 11th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,22/08/2014,DE-MINIMUS RATEABLE VALUE
13380015310068,OFFICES AND PREMISES,TO BE RATED,GAP C Properties Ltd,23/08/2014,Suite 101,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,23/08/2014,DE-MINIMUS RATEABLE VALUE
40860011210588,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,24/08/2014,Room 223 2nd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,24/08/2014,DE-MINIMUS RATEABLE VALUE
40860011211754,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,26/08/2014,Suite 3 10th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,26/08/2014,DE-MINIMUS RATEABLE VALUE
40860011216052,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,26/08/2014,Unit 6.07 6TH FLR,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,26/08/2014,DE-MINIMUS RATEABLE VALUE
40860011210728,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,29/08/2014,Room 320 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,29/08/2014,DE-MINIMUS RATEABLE VALUE
4086001121292A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,29/08/2014,Rooms 108 & 109,1st Flr Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,29/08/2014,DE-MINIMUS RATEABLE VALUE
40860011211434,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,31/08/2014,Unit 10 9th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/08/2014,DE-MINIMUS RATEABLE VALUE
40860011211792,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/08/2014,Suite 7 10th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/08/2014,DE-MINIMUS RATEABLE VALUE
40860011212475,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/08/2014,Unit 6.22 6th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/08/2014,DE-MINIMUS RATEABLE VALUE
40860011212583,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/08/2014,Units 6.16 - 6.18 6th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/08/2014,DE-MINIMUS RATEABLE VALUE
40860011212615,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/08/2014,Unit 7 11th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/08/2014,DE-MINIMUS RATEABLE VALUE
40860011216156,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/08/2014,Unit 6.15 6th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/08/2014,DE-MINIMUS RATEABLE VALUE
4086001121091B,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/08/2014,Room 424 4th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/08/2014,DE-MINIMUS RATEABLE VALUE
4086001121246A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/08/2014,Unit 6.21 6th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/08/2014,DE-MINIMUS RATEABLE VALUE
4086001121623B,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,31/08/2014,Unit 6.23 6th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,31/08/2014,DE-MINIMUS RATEABLE VALUE
40860011210709,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,01/09/2014,Room 318 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,01/09/2014,DE-MINIMUS RATEABLE VALUE
40880002110163,OFFICES AND PREMISES,TO BE RATED,Castle Invest Ltd,13/06/2014,2ND FLR REAR 21-23,Station Road,Barnet,Hertfordshire,,EN5 1PH,01/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212935,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,04/09/2014,Units 6 7 8 9  & 10,12th Flr Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,04/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212653,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,05/09/2014,Room 110 First Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,05/09/2014,DE-MINIMUS RATEABLE VALUE
15820042000014,OFFICES AND PREMISES,TO BE RATED,Spring Bay Properties Ltd,05/06/2014,1st F 420,Finchley Road,London,,,NW2 2HY,08/09/2014,DE-MINIMUS RATEABLE VALUE
15820042010054,OFFICES AND PREMISES,TO BE RATED,Spring Bay Properties Ltd,05/06/2014,Gnd F,420 Finchley Road,London,,,NW2 2HY,08/09/2014,DE-MINIMUS RATEABLE VALUE
15820042010069,OFFICES AND PREMISES,TO BE RATED,Spring Bay Properties Ltd,05/06/2014,2nd F 420,Finchley Road,London,,,NW2 2HY,08/09/2014,DE-MINIMUS RATEABLE VALUE
40860011210605,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,05/09/2014,Room 303 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,09/09/2014,DE-MINIMUS RATEABLE VALUE
4086001121253A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,10/09/2014,Unit 1 5th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,10/09/2014,DE-MINIMUS RATEABLE VALUE
35080000010008,HOTEL AND PREMISES,TO BE RATED,C & G Finchley Limited,11/09/2014,Convent Of St Mary At The Cross,Priory Field Drive,Edgware,Middlesex,,HA8 9PU,11/09/2014,DE-MINIMUS RATEABLE VALUE
13380015310087,OFFICES AND PREMISES,TO BE RATED,GAP C Properties Ltd,21/03/2014,Suite 103,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,12/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212795,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,12/09/2014,Room 315 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,12/09/2014,DE-MINIMUS RATEABLE VALUE
13380015310231,OFFICES AND PREMISES,TO BE RATED,GAP C Properties Ltd,13/09/2014,Suite 502,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,13/09/2014,DE-MINIMUS RATEABLE VALUE
13380015310246,OFFICES AND PREMISES,TO BE RATED,GAP C Properties Ltd,13/09/2014,Suite 503 at,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,13/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212225,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,14/09/2014,Unit 9 9th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,14/09/2014,DE-MINIMUS RATEABLE VALUE
13380015310265,OFFICES AND PREMISES,TO BE RATED,GAP C Properties Ltd,21/03/2014,Suite 505 At,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,15/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212511,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,17/09/2014,Rooms 401and 402 4th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,17/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212865,OFFICES AND PREMISES,TO BE RATED,Asurit Limited,20/04/2014,Unit 7 14th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,18/09/2014,DE-MINIMUS RATEABLE VALUE
4086001121172B,OFFICES AND PREMISES,TO BE RATED,Pars World Limited - Dissolved 30.06.2015,09/12/2013,Unit 1a 5th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,18/09/2014,DE-MINIMUS RATEABLE VALUE
40860011210802,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,19/09/2014,Room 406-408 4th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,19/09/2014,DE-MINIMUS RATEABLE VALUE
4086001121255B,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,19/09/2014,Unit 5 5th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,19/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212051,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,22/09/2014,Unit 13 10th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,22/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212494,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,22/09/2014,Unit 212 2nd Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,22/09/2014,DE-MINIMUS RATEABLE VALUE
4086001121248B,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,22/09/2014,Unit 219-220 2nd Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,22/09/2014,DE-MINIMUS RATEABLE VALUE
40860011210889,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,24/09/2014,Room 421 4th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,24/09/2014,DE-MINIMUS RATEABLE VALUE
4088000211011B,OFFICES AND PREMISES,TO BE RATED,Castle Invest Limited,26/09/2014,2ND FLR FRONT 21-23,Station Road,Barnet,Hertfordshire,,EN5 1PH,26/09/2014,DE-MINIMUS RATEABLE VALUE
40860011210963,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,28/09/2014,Room 413 4th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,28/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212526,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,28/09/2014,Rooms 412 419 And 420  4th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,28/09/2014,DE-MINIMUS RATEABLE VALUE
13380015310104,CAR PARK AND PREMISES,TO BE RATED,GAP C Properties Ltd,21/03/2014,Car Spaces For 1st Flr,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,29/09/2014,DE-MINIMUS RATEABLE VALUE
22440008500002,BUILDING UNDER RECONSTRUCTION,TO BE RATED,Mr Andrew Lassman,22/12/2015,85 High Street,Barnet,Hertfordshire,,,EN5 5UR,29/09/2014,DE-MINIMUS RATEABLE VALUE
40860011210906,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,29/09/2014,Room 423 4th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,29/09/2014,DE-MINIMUS RATEABLE VALUE
40860011210836,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/09/2014,Room 409 4th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/09/2014,DE-MINIMUS RATEABLE VALUE
40860011210978,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/09/2014,Room 414 4th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/09/2014,DE-MINIMUS RATEABLE VALUE
40860011211449,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/09/2014,Unit 11 9th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212704,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/09/2014,Room 323 3rd Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/09/2014,DE-MINIMUS RATEABLE VALUE
40860011212831,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/09/2014,Unit 4 14th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/09/2014,DE-MINIMUS RATEABLE VALUE
40860011216086,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/09/2014,Unit 6.08 6th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/09/2014,DE-MINIMUS RATEABLE VALUE
40860011216194,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,30/09/2014,Unit 6.19 6th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/09/2014,DE-MINIMUS RATEABLE VALUE
1338001531018B,OFFICES AND PREMISES,TO BE RATED,GAP C Properties Ltd,30/09/2014,Suite 402 At,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,30/09/2014,DE-MINIMUS RATEABLE VALUE
4086001121278A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,30/09/2014,Room 315a 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,30/09/2014,DE-MINIMUS RATEABLE VALUE
13380015310195,OFFICES AND PREMISES,TO BE RATED,GAP C Properties Ltd,01/10/2014,Suite 403 At,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,01/10/2014,DE-MINIMUS RATEABLE VALUE
40860011212812,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,01/10/2014,Unit 2 14th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,01/10/2014,DE-MINIMUS RATEABLE VALUE
4086001121207A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,01/10/2014,Rooms 312 & 319 3rd Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,01/10/2014,DE-MINIMUS RATEABLE VALUE
40860011211788,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,02/10/2014,Suite 6 10th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,02/10/2014,DE-MINIMUS RATEABLE VALUE
40860011211472,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,03/10/2014,Unit 12 9th Flr,112 Station Road,Edgware,Middlesex,,HA8 7BJ,03/10/2014,DE-MINIMUS RATEABLE VALUE
40860011212259,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,03/10/2014,Unit 1a 10th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,03/10/2014,DE-MINIMUS RATEABLE VALUE
40860011212263,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,03/10/2014,Unit 1b 10th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,03/10/2014,DE-MINIMUS RATEABLE VALUE
40860011210268,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,05/10/2014,Room 107 1st Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,05/10/2014,DE-MINIMUS RATEABLE VALUE
4086001121181B,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,05/10/2014,Room 314 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,05/10/2014,DE-MINIMUS RATEABLE VALUE
40860011211218,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,06/10/2014,Room 321 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,06/10/2014,DE-MINIMUS RATEABLE VALUE
4086001121285A,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,07/10/2014,Unit 6 14th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,07/10/2014,DE-MINIMUS RATEABLE VALUE
40860011210431,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,08/10/2014,Room 201 At,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,08/10/2014,DE-MINIMUS RATEABLE VALUE
40860011211167,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,08/10/2014,Room 222 2nd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,08/10/2014,DE-MINIMUS RATEABLE VALUE
40860011211294,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,08/10/2014,Room 117b,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,08/10/2014,DE-MINIMUS RATEABLE VALUE
40860011216103,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,08/10/2014,Unit 6.10 6th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,08/10/2014,DE-MINIMUS RATEABLE VALUE
40860011211152,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,13/10/2014,Room 221 2nd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,13/10/2014,DE-MINIMUS RATEABLE VALUE
40860011212738,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,15/10/2014,Unit 14 10th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,15/10/2014,DE-MINIMUS RATEABLE VALUE
4086001121126B,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,15/10/2014,Room 117 1st Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,15/10/2014,DE-MINIMUS RATEABLE VALUE
40860011210681,OFFICES AND PREMISES,TO BE RATED,Erinastar Limited,16/10/2014,Room 316 & 317 3rd Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,16/10/2014,DE-MINIMUS RATEABLE VALUE
4086001121262B,OFFICES AND PREMISES,TO BE RATED,Erinastar Ltd,17/10/2014,Units 11 & 12 10th Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,17/10/2014,DE-MINIMUS RATEABLE VALUE
4086001121609B,OFFICES AND PREMISES,TO BE RATED,Erinstar Ltd,19/10/2014,Unit 6.09 6th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,19/10/2014,DE-MINIMUS RATEABLE VALUE
40860011212009,OFFICES AND PREMISES,TO BE RATED,Erinstar Ltd,22/10/2014,Unit 213 2nd Floor,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,22/10/2014,DE-MINIMUS RATEABLE VALUE
1338001531000A,OFFICES AND PREMISES,TO BE RATED,GAP C Properties Ltd,22/10/2014,Suite 201 At,153 East Barnet Road,Barnet,Hertfordshire,,EN4 8QZ,22/10/2014,DE-MINIMUS RATEABLE VALUE
34440002010046,OFFICES AND PREMISES,TO BE RATED,Hobday And Company,01/04/2011,20a Plantagenet Road,Barnet,Hertfordshire,,,EN5 5JG,24/10/2014,DE-MINIMUS RATEABLE VALUE
40860011211701,OFFICES AND PREMISES,TO BE RATED,Erinstar Ltd,24/10/2014,Unit 11 12th Flr,Premiere House,112 Station Road,Edgware,Middlesex,HA8 7BJ,24/10/2014,DE-MINIMUS RATEABLE VALUE
