Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,205.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,440.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,440.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,828.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,"1,233.60"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,205.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,"1,233.60"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179201,"3,084.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/01/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,ATKINS LIMITED,0000178627,"4,834.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/01/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,ATKINS LIMITED,0000178628,"2,311.50"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/01/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,J N BENTLEY LIMITED,0000178629,"33,056.09"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/01/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,ATKINS LIMITED,0000178630,"1,554.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,MOTT MACDONALD LTD,0000178698,"3,957.60"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,MOTT MACDONALD LTD,0000178699,"5,642.50"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,JMC ENGINEERING (UK) LTD,0000178791,894.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,JMC ENGINEERING (UK) LTD,0000178796,802.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/01/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,J N BENTLEY LIMITED,0000178858,"124,618.56"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,J N BENTLEY LIMITED,0000178860,"3,195.58"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,MOTT MACDONALD LTD,0000178870,"1,144.20"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/01/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,J N BENTLEY LIMITED,0000178923,"2,634.02"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/01/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,J N BENTLEY LIMITED,0000178924,"1,084.86"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/04/2010,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,P WILSON & COMPANY,0000179044,"3,870.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/01/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,J N BENTLEY LIMITED,0000179051,"78,409.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,P WILSON & COMPANY,0000179168,600.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,FARES - AIR,ENVIRONMENT,COMPANY BARCLAYCARD,0000179156,774.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,HOTEL ACCOMMODATION,ENVIRONMENT,COMPANY BARCLAYCARD,0000179143,59.17
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,HOTEL ACCOMMODATION,ENVIRONMENT,COMPANY BARCLAYCARD,0000179145,64.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,HOTEL ACCOMMODATION,ENVIRONMENT,COMPANY BARCLAYCARD,0000179147,138.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,HOTEL ACCOMMODATION,ENVIRONMENT,COMPANY BARCLAYCARD,0000179159,118.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,INCIDENTALS,ENVIRONMENT,COMPANY BARCLAYCARD,0000179143,6.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,INCIDENTALS,ENVIRONMENT,COMPANY BARCLAYCARD,0000179147,41.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,INCIDENTALS,ENVIRONMENT,COMPANY BARCLAYCARD,0000179159,9.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,LEGAL COSTS,ENVIRONMENT,ANDERSON STRATHERN,0000178850,298.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2011,LEGAL COSTS,ENVIRONMENT,COUNTY COUNCIL'S LEGAL FEES,0000179207,300.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2011,LEGAL COSTS,ENVIRONMENT,REIMBURSE ABORTIVE LEGAL,0000179240,"1,519.50"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178753,"7,001.74"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178871,"28,449.90"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179053,"5,250.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179132,121.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179132,694.73
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/01/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000178321,"5,230.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000178649,"1,256.52"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000178650,526.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/01/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,UNIVAR LIMITED,0000178768,"8,262.80"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,UNIVAR LIMITED,0000178867,"5,869.80"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000178868,526.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000178869,526.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000178879,"3,183.30"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,NATIONAL COAL MINING MUSE,0000179050,"1,080.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/02/2011,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,UNIVAR LIMITED,0000179080,"8,593.78"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/01/2011,M/W FEASIBILITY STUDIES,ENVIRONMENT,ATKINS LIMITED,0000178623,656.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,M/W FEASIBILITY STUDIES,ENVIRONMENT,ATKINS LIMITED,0000178707,"1,069.74"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2011,M/W FEASIBILITY STUDIES,ENVIRONMENT,ATKINS LIMITED,0000178726,"3,134.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/01/2011,M/W FEASIBILITY STUDIES,ENVIRONMENT,ATKINS LIMITED,0000178727,987.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/01/2011,M/W FEASIBILITY STUDIES,ENVIRONMENT,J N BENTLEY LIMITED,0000178859,"6,388.75"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,M/W FEASIBILITY STUDIES,ENVIRONMENT,MOTT MACDONALD LTD,0000178861,"2,352.65"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,M/W FEASIBILITY STUDIES,ENVIRONMENT,MOTT MACDONALD LTD,0000178927,"5,863.52"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/02/2011,M/W FEASIBILITY STUDIES,ENVIRONMENT,MOTT MACDONALD LTD,0000179049,"1,016.80"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,M/W LAND AGENTS (AQUISITIONS),ENVIRONMENT,COMPANY BARCLAYCARD,0000179142,255.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2011,M/W LAND AGENTS (AQUISITIONS),ENVIRONMENT,COUNTY COUNCIL'S SURVEYOR,0000179207,300.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,JMC ENGINEERING (UK) LTD,0000178794,108.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,UK COAL MINING LIMITED,0000178442,"45,112.98"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178586,"1,888.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178672,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178673,32.77
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178674,6.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178675,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178675,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178675,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178676,42.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178677,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178678,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178679,6.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178680,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178681,6.06
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,52.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,54.44
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,32.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,21.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,40.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,79.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,57.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,161.94
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,41.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,37.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000178683,73.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178740,67.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178741,"7,824.53"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178742,"4,492.04"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178743,"5,470.07"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178744,"5,616.97"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178745,"9,783.89"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178746,"6,877.23"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178747,"7,328.74"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178748,"9,743.36"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178749,47.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178772,751.29
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178773,"3,368.66"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178774,"3,472.66"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178775,"10,786.74"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178776,"9,245.37"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178777,"10,649.51"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178778,500.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178779,467.94
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000178822,"1,767.38"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000178823,56.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000178828,58.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,M/W POWER AND UTILITIES,ENVIRONMENT,ENVIRONMENT AGENCY,0000178864,"1,290.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,O2 (UK) LIMITED,0000178875,16.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,O2 (UK) LIMITED,0000178876,13.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,O2 (UK) LIMITED,0000178877,12.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000178921,69.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,NORTHUMBRIAN WATER LIMITE,0000178960,"2,696.81"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BUSINESS STREAM,0000178964,"1,122.37"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000178971,"3,004.81"
