Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331829,87.29
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,03/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332006,128.50
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PLANT & EQUIPMENT,FUSION,ARVAL UK LIMITED,5100332228,239.11
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,INSPECTION SERVICES,FUSION,ASHDALE ENGINEERING,5100331897,8854.74
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,28/01/2016,DESIGN & CONSTRUCTION,FUSION,Assent Building Control Ltd,1900061298,15000.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PLANT SPARES,FUSION,AURIGA EUROPE PLC,5100332214,91.04
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PLANT SPARES,FUSION,AURIGA EUROPE PLC,5100331597,332.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PLANT SPARES,FUSION,AURIGA EUROPE PLC,5100332463,299.40
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PLANT SPARES,FUSION,AURIGA EUROPE PLC,5100332379,3749.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PLANT SPARES,FUSION,AURIGA EUROPE PLC,5100332123,27.10
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,CATERING,FUSION,AVENANCE PLC,5100331847,780.46
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,CATERING,FUSION,AVENANCE PLC,5100331849,637.35
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,CATERING,PROPERTY,AVENANCE PLC,5100331845,5142.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,CATERING,PROPERTY,AVENANCE PLC,5100331846,550.06
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PLANT SPARES,FUSION,AVNET EMG LTD,5100331693,75.90
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PROFESSIONAL SERVICES,FUSION,AWE PLC,5100331607,14000.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,MATERIALS & SPARES,FUSION,B&M Engineering Ltd,5100332243,135.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,MATERIALS & SPARES,FUSION,B&M Engineering Ltd,5100332241,40.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,MATERIALS & SPARES,FUSION,B&M Engineering Ltd,5100332242,370.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/01/2016,MATERIALS & SPARES,FUSION,B&M Engineering Ltd,5100331146,120.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,MATERIALS & SPARES,FUSION,B&M Engineering Ltd,5100332244,80.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,MATERIALS & SPARES,PROPERTY,B&M Engineering Ltd,5100332239,154.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,MATERIALS & SPARES,PROPERTY,B&M Engineering Ltd,5100332240,200.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PLANT SPARES,FUSION,BATT CABLES PLC,5100331656,1315.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PLANT SPARES,FUSION,Beacon Group International Ltd,5100332338,225.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PLANT SPARES,FUSION,Beacon Group International Ltd,5100332684,636.48
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,MATERIALS & SPARES,FUSION,BELMOUNT FABRICATIONS,5100332305,14437.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,MATERIALS & SPARES,FUSION,BELMOUNT FABRICATIONS,5100332301,292.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/01/2016,MATERIALS & SPARES,FUSION,BERYLLIANT INC,5100331804,1391.85
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,LEGAL FEES,SUPPORT SERVICES,BIGGART BAILLIE,5100332867,374.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,HIRED STAFF,FUSION,BLACK DIAMOND UMBRELLA LTD,5100332277,4639.10
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,HIRED STAFF,FUSION,BLACK DIAMOND UMBRELLA LTD,5100332278,851.63
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,HIRED STAFF,FUSION,BLACK DIAMOND UMBRELLA LTD,5100332279,851.63
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,HIRED STAFF,FUSION,BLACK DIAMOND UMBRELLA LTD,5100332280,851.63
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,HIRED STAFF,FUSION,BLACK DIAMOND UMBRELLA LTD,5100332281,681.30
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,HIRED STAFF,FUSION,BLACK DIAMOND UMBRELLA LTD,5100332282,952.13
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,HIRED STAFF,FUSION,BLACK DIAMOND UMBRELLA LTD,5100332283,952.13
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,HIRED STAFF,FUSION,BLACK DIAMOND UMBRELLA LTD,5100332284,5200.84
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,LAUNDRY,FUSION,BLUEBELL LAUNDRY,5100332271,107.79
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PROFESSIONAL SERVICES,FUSION,BNS NUCLEAR SERVICES,5100331987,32883.97
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PROFESSIONAL SERVICES,FUSION,BNS NUCLEAR SERVICES,5100332294,-1513.40
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PROFESSIONAL SERVICES,FUSION,BNS NUCLEAR SERVICES,5100332295,33077.32
