2017,Arrest/Detention > Assault,Arrest/Detention > Assault with Weapon,Arrest/Detention > Child Pornography,Arrest/Detention > Child Sex,Arrest/Detention > Drugs,Arrest/Detention > Fraud,Arrest/Detention > General,Arrest/Detention > Immigration,Arrest/Detention > Modern Slavery / Human Trafficking,Arrest/Detention Unknown,Arrest/Detention > Murder / Manslaughter,Arrest/Detention > Sex (not Child),Arrest/Detention > Terrorism,Arrest/Detention > Theft,Child Welfare > Child Abandonment,Child Welfare > Child Custody,Child Welfare > Child Safeguarding,Child Welfare > Parental Child Abduction,Child Welfare Unknown,Commercial Dispute,Coroner Request,Death > Accidental,Death > Drowning,Death > Execution,Death > Hospital Death,Death > Murder or Manslaughter,Death > Natural Death,Death > RTA,Death > Suicide,Death > Unknown,Death in Custody > Natural Death,Death in Custody > Suicide,Death in Custody > Unknown,Diplomatic Claim,Female Genital Mutilation,Forced Marriage,Forced Marriage - Reluctant Sponsor,Hospitalisation > Dementia,Hospitalisation > Disability,Hospitalisation > Mental Health,Hospitalisation Unknown,Hospitalisation > Physical Health,Missing Persons,Missing Persons > None,Property > Fraud,Property > Government,Property > Unknown,Property > Other,Travel Ban,Travel Documents > Lost/Stolen Passport,Travel Documents > Recovered Passport,Victim of Crime > Assault,Victim of Crime > Domestic Abuse,Victim of Crime > Held Against Will,Victim of Crime > Modern Slavery/Human Trafficking,Victim of Crime > Rape & Sexual Assault,Victim of Crime Unknown,Victim of Crime > Theft,Welfare,Whereabouts,Accident/Emergency > Air Incident,Accident/Emergency > Coach Crash,Accident/Emergency > Natural Disaster,Accident/Emergency > Road Traffic Accident,Accident/Emergency > Terrorist Incident,Accident/Emergency - Unknown,ETDs,Complaints,Compliments,Consular enquiries,Fee bearing services
Castries,<=5,0,0,0,0,<=5,<=5,<=5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,13,0,0,0,0,0,0,0,16,7,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,0,0,24,0,0,259,24
Port Of Spain,0,<=5,0,0,<=5,0,<=5,0,0,0,<=5,0,0,0,0,0,<=5,<=5,0,0,0,<=5,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,18,24,0,<=5,0,0,<=5,0,0,9,<=5,0,0,0,0,0,0,28,0,<=5,859,28
Montevideo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,<=5,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,8,0,<=5,173,8
Atlanta,8,<=5,0,<=5,9,9,28,8,0,0,0,0,0,8,0,0,<=5,<=5,0,0,0,0,0,0,<=5,0,<=5,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,0,90,14,0,0,0,<=5,0,0,<=5,15,<=5,0,0,0,0,0,0,168,0,9,2392,172
Boston,<=5,0,0,0,<=5,0,<=5,17,0,0,0,0,0,<=5,0,<=5,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,59,17,0,0,0,0,0,0,0,9,<=5,0,0,0,0,0,0,82,0,8,1587,100
Chicago,<=5,<=5,0,0,6,<=5,36,18,0,0,<=5,0,0,<=5,0,<=5,8,0,0,0,0,<=5,0,0,0,0,<=5,<=5,<=5,6,0,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,0,110,23,0,<=5,0,0,0,0,0,24,0,0,0,0,0,0,0,175,<=5,12,2814,210
Denver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston,17,0,<=5,6,14,<=5,33,45,0,0,<=5,<=5,0,<=5,0,0,<=5,0,0,<=5,0,<=5,0,0,<=5,<=5,<=5,0,<=5,<=5,0,0,0,0,0,0,0,<=5,0,<=5,0,<=5,<=5,<=5,0,0,0,0,0,141,74,0,<=5,0,0,0,0,0,16,<=5,0,0,0,0,0,0,193,0,12,3147,223
Los Angeles,18,<=5,0,<=5,13,<=5,64,68,0,0,0,<=5,0,<=5,0,<=5,<=5,0,0,0,0,<=5,<=5,0,<=5,<=5,9,0,<=5,<=5,0,0,0,0,0,0,0,<=5,0,<=5,0,13,<=5,<=5,0,0,0,0,0,594,59,0,0,0,0,<=5,0,0,53,<=5,0,0,0,0,0,0,651,0,40,5208,673
Miami,40,<=5,0,<=5,18,10,86,42,0,0,<=5,0,0,13,<=5,<=5,6,<=5,0,0,0,<=5,0,0,<=5,<=5,15,<=5,<=5,14,0,0,0,0,0,0,0,0,0,7,0,34,<=5,<=5,0,0,0,0,0,302,149,0,0,0,0,<=5,0,<=5,40,<=5,0,0,0,0,0,0,400,0,21,5463,422
