URN,UPIN,UKPRN,Provider name,Age phase partnership,Provision type,Postcode,Government office region,Ofsted region,Local authority,Provider status,Inspection number,Start date,End date,Overall effectiveness,The outcomes for trainees,The quality of training across the partnership,The quality of leadership and management across the partnership,How well do trainees attain?,To what extent do recruitment / selection arrangements support high quality outcomes?,To what extent does the training and assessment ensure that all trainees progress to fulfil their potential given their ability and starting points?,To what extent are available resources used effectively and efficiently?,To what extent is the provision across the partnership of consistently high quality? ,"To what extent does the provision promote equality of opportunity, value diversity and eliminate harassment and unlawful discrimination?",To what extent do the leadership and management at all levels have the capacity to secure further improvements and/or to sustain high quality outcomes?,How effectively does the management at all levels assess performance in order to improve or sustain high quality?,"How well does the leadership at all levels anticipate change, and prepare for and respond to national and local initiatives?",How effectively does the provider plan and take action for improvement?
70048,1571,10004351,Middlesex University,Primary QTS,HEI,NW4 4BT ,London,London,Enfield,Open,373053,12/03/2012,16/03/2012,2,9,9,9,2,2,2,1,2,2,2,2,1,2
70048,1571,10004351,Middlesex University,Secondary QTS,HEI,NW4 4BT ,London,London,Enfield,Open,373053,12/03/2012,16/03/2012,2,9,9,9,2,2,2,1,2,2,2,2,1,2
70049,1522,10004180,Manchester Metropolitan University,Primary QTS,HEI,M15 6GX,North West,North West,Manchester,Open,10004330,18/05/2015,21/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70049,1522,10004180,Manchester Metropolitan University,Secondary QTS,HEI,M15 6GX,North West,North West,Manchester,Open,10004330,18/05/2015,21/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70049,1522,10004180,Manchester Metropolitan University,Early Years ITT (EYTS),HEI,M15 6GX,North West,North West,Manchester,Open,10010280,03/05/2016,05/05/2016,3,3,3,3,9,9,9,9,9,9,9,9,9,9
70050,1534,10007138,University of Northampton,ITE in FE,HEI,NN2 7AL ,East Midlands,East Midlands,Northamptonshire,Open,434216,09/06/2014,01/10/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70050,1534,10007138,University of Northampton,Primary QTS,HEI,NN2 7AL ,East Midlands,East Midlands,Northamptonshire,Open,434216,09/06/2014,01/10/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70051,1527,10005790,Sheffield Hallam University,ITE in FE,HEI,S1 1WB  ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Sheffield,Open,373063,19/03/2012,23/03/2012,2,9,9,9,2,2,2,1,2,2,2,2,2,2
70051,1527,10005790,Sheffield Hallam University,Primary QTS,HEI,S1 1WB  ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Sheffield,Open,373063,19/03/2012,23/03/2012,2,9,9,9,2,2,2,2,2,2,2,2,1,2
70051,1527,10005790,Sheffield Hallam University,Secondary QTS,HEI,S1 1WB  ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Sheffield,Open,373063,19/03/2012,23/03/2012,2,9,9,9,2,2,2,2,2,2,1,1,1,1
70052,1520,10004048,London Metropolitan University,Early Years ITT (EYTS),HEI,N7 8DB,London,London,Islington,Open,10010279,03/05/2016,05/05/2016,2,2,2,1,9,9,9,9,9,9,9,9,9,9
