Department,Entity,Date of Payment,Expense Type,Expense Area,Suppliers,Transaction Number,Amount
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100298974,237.93
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299027,214.35
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299028,255.34
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299029,1324.36
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299059,252
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299063,531.21
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299064,67.79
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299160,609.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299345,1498.37
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299347,750.17
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299348,176.79
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299471,992.6
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299474,43.06
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299561,82.05
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299562,335.76
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299563,222.66
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299811,125.74
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299814,77.15
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299815,558.27
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299816,153.09
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299902,110.35
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299903,182.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299904,431.41
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299469,122.66
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299671,65.81
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,EDMUNDSON ELECTRICALS LTD,5100299672,193.69
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,F&F,SUPPORT SERVICES,EFG MATTHEWS OFFICE FURNITURE LTD,5100298891,118.35
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,F&F,SUPPORT SERVICES,EFG MATTHEWS OFFICE FURNITURE LTD,5100299304,1009.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,F&F,FUSION,EFG MATTHEWS OFFICE FURNITURE LTD,5100298684,2118.61
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,F&F,FUSION,EFG MATTHEWS OFFICE FURNITURE LTD,5100299305,1363.88
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713812,417.70
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713814,78.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713815,234.20
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713816,443.38
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713817,559.42
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713820,464.31
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713828,341.20
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713878,305.47
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713879,355.15
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713880,278.05
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713881,441.55
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713882,361.04
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100713883,446.44
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,EFDA TRAVEL EXPENSES,FUSION,EMPLOYEES EXPENSES,100714103,443.10
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713849,28.41
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,SUBSISTENCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713885,3.20
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713885,4.05
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713885,6.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,RAIL TRAVEL,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713957,10.60
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,PROFESSIONAL SUBSCRIPTION,SUPPORT SERVICES,EMPLOYEES EXPENSES,100712940,272.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,SUBSISTENCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100712956,27.45
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100712958,46.80
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100712959,51.30
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713827,19.20
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,SUBSISTENCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713947,5.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,SUBSISTENCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713947,91.92
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713958,13.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713959,13.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713960,13.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713961,13.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713962,13.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713963,32.64
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEES EXPENSES,100713964,16.32
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,PROFESSIONAL SUBSCRIPTION,SUPPORT SERVICES,EMPLOYEES EXPENSES,100714091,157.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,PROFESSIONAL SUBSCRIPTION,SUPPORT SERVICES,EMPLOYEES EXPENSES,100714098,115.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,PROFESSIONAL SUBSCRIPTION,SUPPORT SERVICES,EMPLOYEES EXPENSES,100714107,72.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEES EXPENSES,100714109,4.58
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,PROFESSIONAL SUBSCRIPTION,SUPPORT SERVICES,EMPLOYEES EXPENSES,100714111,145.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713933,5.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713933,57.73
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100713933,186.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713893,103.26
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,RAIL TRAVEL,FUSION,EMPLOYEES EXPENSES,100713893,17.12
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100713949,254.80
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714116,5.67
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100714116,16.21
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714114,238.79
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100712937,162.30
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100712950,66.60
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100712954,69.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100712954,2.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100713887,66.60
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713888,4.08
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100713888,69.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,08/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713888,2.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100713931,197.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100713953,66.60
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713955,4.08
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100713955,69.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713955,3.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100714096,137.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714106,"1,371.63"
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714106,10.37
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,RAIL TRAVEL,FUSION,EMPLOYEES EXPENSES,100714106,72.47
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100714106,3.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEES EXPENSES,100714106,60.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714108,6.87
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100714108,69.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100714108,2.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100712942,133.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100712946,120.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100712951,10.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100712951,69.30
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100712952,10.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100712952,69.30
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100712953,5.60
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100712953,7.21
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100712953,17.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100713809,103.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713811,125.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713822,8.65
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713822,7.21
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714099,125.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,TAXIS,FUSION,EMPLOYEES EXPENSES,100713850,9.15
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713850,194.33
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,TAXIS,FUSION,EMPLOYEES EXPENSES,100713804,9.20
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713804,24.85
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713804,100.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713804,8.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713948,5.74
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713948,41.03
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100712943,156.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100712945,67.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100713861,225.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100713859,14.40
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713862,508.62
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713862,1.79
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,RAIL TRAVEL,FUSION,EMPLOYEES EXPENSES,100713862,45.80
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,RAIL TRAVEL,FUSION,EMPLOYEES EXPENSES,100713862,19.06
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100712941,5.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100712941,62.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100712941,59.14
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,CAR HIRE,FUSION,EMPLOYEES EXPENSES,100713853,121.34
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713853,266.87
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713853,4.04
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713853,29.92
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,06/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713854,135.04
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714101,12.15
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100712957,236.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713805,5.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713805,0.60
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713813,10.15
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713813,146.51
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713813,38.33
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713823,32.71
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,01/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713825,12.08
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100714089,4.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714090,4.10
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714090,1.04
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100712947,22.51
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100712960,6.83
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,30/01/2014,RAIL TRAVEL,FUSION,EMPLOYEES EXPENSES,100712960,22.20
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,MILEAGE ALLOWANCE,FUSION,EMPLOYEES EXPENSES,100714092,18.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,RAIL TRAVEL,FUSION,EMPLOYEES EXPENSES,100714092,28.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100714092,6.50
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100713952,68.64
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,RAIL TRAVEL,FUSION,EMPLOYEES EXPENSES,100713952,17.63
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714104,177.88
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714104,36.69
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,RAIL TRAVEL,FUSION,EMPLOYEES EXPENSES,100714104,34.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,RAIL TRAVEL,FUSION,EMPLOYEES EXPENSES,100714104,44.29
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100714104,30.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEES EXPENSES,100714104,3.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEES EXPENSES,100713945,98.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713946,99.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,14/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100713946,9.83
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714115,162.55
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,SUBSISTENCE,FUSION,EMPLOYEES EXPENSES,100714115,11.62
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,ROAD TRAVEL,FUSION,EMPLOYEES EXPENSES,100714115,35.00
