UNIQUE REFERENCE NUMBER,TRANSACTION DATE, MERCHANT CATEGORY CODE DESCRIPTION2 ,LOCATION,MERCHANT CATEGORY GROUP DESCRIPTION3, AMOUNT ,SUPPLIER
FCOGPC2017090838,9/20/2017, HOTELS/MOTELS/RESORTS  ,ITA,Hotels,"1,372.39",ACCOMODATION PROVIDER
FCOGPC2017090839,9/20/2017, HOTELS/MOTELS/RESORTS  ,MWI,Hotels,"1,376.70",ACCOMODATION PROVIDER
FCOGPC2017090840,9/20/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",IRL,General Retail and Wholesale,"1,395.26",M KELLY INTERIORS
FCOGPC2017090841,9/20/2017, OTHER SERVICES (NOT ELSEWHERE CLASSIFIED) ,BRB,Professional Services,"1,400.80",RENTOKIL INITIAL (BARB
FCOGPC2017090842,9/20/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,"1,492.10",WILTS ELECTRICAL
FCOGPC2017090843,9/20/2017," CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS ",GBR,Professional Services,"1,499.99",KOIZA INTERNATIONAL LT
FCOGPC2017090844,9/20/2017," COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE ",CHE,Computer Equipment & Services,"2,388.00",ZKIPSTER AG
FCOGPC2017090845,9/20/2017, AUTOMOBILE PARKING LOTS AND GARAGES ,FRA,General Retail and Wholesale,"3,045.79",INDIGO ONLINE
FCOGPC2017090846,9/21/2017, HOUSEHOLD APPLIANCE STORES ,IND,General Retail and Wholesale,519.41,LIVPURE
FCOGPC2017090847,9/21/2017, FAST FOOD RESTAURANTS ,ISL,Restuarants and Bars,521.84,NAUTH LL
FCOGPC2017090848,9/21/2017, VARIETY STORES ,VNM,General Retail and Wholesale,522.47,DIVI 1377
FCOGPC2017090849,9/21/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",TUR,General Retail and Wholesale,524.95,EMEK YATAS HOME
FCOGPC2017090850,9/21/2017," GROCERY STORES, SUPERMARKETS ",KEN,General Retail and Wholesale,528.24,CAMP SUPPLIES L
FCOGPC2017090851,9/21/2017, TELECOM INCL PREPAID/RECURRING PHONE SVCS ,RWA,Telecommunication Services,543.06,MTN CENTRE NYARUTARAMA
FCOGPC2017090852,9/21/2017, MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS ,SVN,General Retail and Wholesale,547.04,HARVEY NORMAN LJUBLJAN
FCOGPC2017090853,9/21/2017, HOTELS/MOTELS/RESORTS  ,BEL,Hotels,552.89,ACCOMODATION PROVIDER
FCOGPC2017090854,9/21/2017, ELECTRONIC REPAIR SHOPS ,ARG,General Retail and Wholesale,554.55,BLUE STAR
FCOGPC2017090855,9/21/2017, OFFICE PHOTOGRAPHIC PHOTOCOPY & MICROFILM EQUIPMT. ,GBR,"Office Stationery, equipment and supplies",567.46,THE COLOR COMPANY
FCOGPC2017090856,9/21/2017," INSURANCE SALES,UNDERWRITING,AND PREMIUMS ",BRA,Financial Services,570.96,PORTO SEGURO
FCOGPC2017090857,9/21/2017," COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY ",USA,Print and advertising,572.99,SQU SQ  JOE SHYMANSKI
FCOGPC2017090858,9/21/2017, BOOK STORES ,LUX,Books and Periodicals,579.08,AMAZON UK MARKETPLACE
FCOGPC2017090859,9/21/2017," SCHOOLS, BUSINESS AND SECRETARIAL ",CRI,Training and Educational,595.12,CENTRO PANAMERICANO DE
FCOGPC2017090860,9/21/2017," INSURANCE SALES,UNDERWRITING,AND PREMIUMS ",BRA,Financial Services,608.72,PORTO SEGURO
FCOGPC2017090861,9/21/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,609,ACCOMODATION PROVIDER
FCOGPC2017090862,9/21/2017, ACCESSORY AND APPAREL STORES-MISCELLANEOUS ,IND,General Retail and Wholesale,643.58,MOTHER CARE
FCOGPC2017090863,9/21/2017," DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS ",GBR,Personal Services,646.8,SERVEST SECURITY SERVI
FCOGPC2017090864,9/21/2017, CATERERS ,GBR,Catering and Catering Supplies,648,MACKINTOSH CATERING LI
FCOGPC2017090865,9/21/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,GBR,Miscellaneous Industrial/Commercial Supplies,657.6,WWW.UBIQUS.CO.UK
FCOGPC2017090866,9/21/2017, HOTELS/MOTELS/RESORTS  ,ARE,Hotels,661.42,ACCOMODATION PROVIDER
FCOGPC2017090867,9/21/2017, LANDSCAPING AND HORTICULTURAL SERVICES ,ZAF,Estate and garden Services,662.32,LEN'S GARDEN SERVICE
FCOGPC2017090868,9/21/2017, MISCELLANEOUS GENERAL MERCHANDISE ,NGA,General Retail and Wholesale,669.89,PAYU NON 3D GLOBAL
FCOGPC2017090869,9/21/2017, ELECTRICAL PARTS AND EQUIPMENT ,USA,Building Materials,671.3,MAGLITE
FCOGPC2017090870,9/21/2017, ELECTRONIC SALES ,IND,General Retail and Wholesale,671.66,DEEPAK ELECTRICALS
FCOGPC2017090871,9/21/2017, DEPARTMENT STORES ,PER,General Retail and Wholesale,712.6,RIPLEY MIRAFLORES
FCOGPC2017090872,9/21/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,SAU,Professional Services,721.34,EXTRA JEDDAH
FCOGPC2017090873,9/21/2017, TRAVEL ,BEL,Airline,724.99,AIRLINE
FCOGPC2017090874,9/21/2017, HOUSEHOLD APPLIANCE STORES ,PAK,General Retail and Wholesale,727.44,MUBARIK HOME APPLIAN
FCOGPC2017090875,9/21/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,728,ACCOMODATION PROVIDER
FCOGPC2017090876,9/21/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",CYP,Utilities and Non Automotive Fuel,739.28,CYTA - JCC SMART
FCOGPC2017090877,9/21/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",LBN,General Retail and Wholesale,743.91,SLEEP COMFORT
FCOGPC2017090878,9/21/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",HRV,Utilities and Non Automotive Fuel,769.51,FINA 30101 ZAGREB
FCOGPC2017090879,9/21/2017, AUTOMOTIVE BODY REPAIR SHOPS ,ZAF,"Vehicles, servicing and spares",773.82,PJ AUTO COSMETI   6846
FCOGPC2017090880,9/21/2017," INSURANCE SALES,UNDERWRITING,AND PREMIUMS ",MNG,Financial Services,774.44,MONRE DAATGAL LLC
FCOGPC2017090881,9/21/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",TUR,Utilities and Non Automotive Fuel,774.8,K.K.T.C ELEKTRIK KUR
FCOGPC2017090882,9/21/2017," GROCERY STORES, SUPERMARKETS ",ZAF,General Retail and Wholesale,784.01,PNP CRAIGHALL PAR
FCOGPC2017090883,9/21/2017, HOTELS/MOTELS/RESORTS  ,BRB,Hotels,795.57,ACCOMODATION PROVIDER
FCOGPC2017090884,9/21/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",CYP,Utilities and Non Automotive Fuel,804.56,DIMOS LEFKOSIAS
FCOGPC2017090885,9/21/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,811.6,WILTS ELECTRICAL
FCOGPC2017090886,9/21/2017, GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED ,ITA,Statutory Bodies,832.07,ARREDAMENTI CAPITANI S
FCOGPC2017090887,9/21/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",CYP,Utilities and Non Automotive Fuel,943.16,CYTA - JCC SMART
FCOGPC2017090888,9/21/2017," GROCERY STORES, SUPERMARKETS ",GBR,General Retail and Wholesale,972,MARKS&SPENCER PLC
FCOGPC2017090889,9/21/2017, ELECTRICAL CONTRACTORS ,GBR,Building Services,989.24,R&M ELECTRICAL GRO
FCOGPC2017090890,9/21/2017, MISCELLANEOUS GENERAL MERCHANDISE ,NGA,General Retail and Wholesale,"1,062.42",PAYU NON 3D GLOBAL
FCOGPC2017090891,9/21/2017," DRAPERY, UPOLSTERY, AND WINDOW COVERINGS STORES ",USA,General Retail and Wholesale,"1,145.98",RANSON UPHOLSTERY
