Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Conference and Exhibition Services (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,GRAYLING COMMUNICATIONS LTD T/A GRAYLING LIVE,4013001," £1,605 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Others UK T&S (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4013041," £3,525 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,ENERGISTICS,4012810," £2,641 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Technical Advice,International Energy & Climate Change - International Climate Change Negotiations,ECO SECURITIES INTERNATIONAL LTD,4012486," £29,943 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4013035," £21,250 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4013038," £16,816 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4013039," £6,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4013035," £4,089 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4013037," £3,726 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4013039, £601 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4013029," £1,356,440 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4013029," £743,560 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4013029," £222,087 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4011094," £527,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4011094," £9,223 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4013017," £7,387 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Car Hire and Leasing,Energy Markets & Infrastructure - Security and resilience,ARVAL (UK) LTD,4013014, £504 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/04/2010,Technical Advice,International Energy & Climate Change - International Energy & Carbon Budgets,AEA TECHNOLOGY plc,4013018," £42,149 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012731," £1,321 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012549," £1,044 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012998, £694 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,STERIA LTD,4013090, £979 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,STERIA LTD,4013090, £958 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,SPARKE HELMORE,4012922," £88,935 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4013047," £110,718 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4013047," £110,173 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,CWC Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4013089," £1,165 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,PENNA plc,4012852," £2,820 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,PENNA plc,4012851," £1,763 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,External Training,International Energy & Climate Change - International Energy & Carbon Budgets,OXFORD INSTITUTE FOR ENERGY STUDIES,4013081, £600 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4013026," £9,876 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4012861, £775 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4012862, £610 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4012861, £610 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012913, £503 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4013055," £2,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4012791," £1,683 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4013052," £1,367 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4013053," £1,081 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4013056," £1,070 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4012791, £768 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office of Nuclear Development,MORGAN HUNT PUBLIC SECTOR LTD,4012735," £2,329 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4013049," £82,491 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4013048," £8,376 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,DELOITTE LLP,4013054," £81,515 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Corporate Management Consultancy,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4013071," £5,960 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Corporate Management Consultancy,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4013071," £1,814 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Training & Skills - Consultancy Advice,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4012630," £5,264 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Training & Skills - Consultancy Advice,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4012630, £581 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,BT CONFERENCING,4013085, £841 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,BT CONFERENCING,4013085, £731 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,BRITISH GEOLOGICAL SURVEY,4013087," £18,837 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,BRITISH GEOLOGICAL SURVEY,4013088," £7,057 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,BRITISH GEOLOGICAL SURVEY,4013087," £4,857 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Administration of Grants and Awards,National Climate Change & Consumer Support - Communications,BRE,4013046," £50,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,BADENOCH AND CLARK LTD,4013067," £2,569 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4012858, £528 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ACROSSTARGET LTD T/A ETC,4013028, £540 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4013108, £590 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Strategy and Futures,POYRY ENERGY (OXFORD) LTD,4013107," £9,612 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,POSTURITE UK LTD,4013110, £909 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Professional Subscriptions,Energy Markets & Infrastructure - Energy Development Unit,NHST MEDIA GROUP T/A UPSTREAM,4012983, £770 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4013104," £1,678 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MORGAN HUNT PUBLIC SECTOR LTD,4013105," £1,105 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MORGAN HUNT PUBLIC SECTOR LTD,4013103," £1,060 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,MARRIOTT HOTEL CARDIFF,4013126," £4,673 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARITIME AND COASTGUARD AGENCY MCA,4013116," £32,683 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Accommodation Rentals (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,JMW SOLICITORS LTD,4013113," £32,386 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,JACOBS ENGINEERING UK LTD,4013115," £8,545 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4012978," £1,408 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4012978," £1,187 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4012978," £1,162 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN LTD,4013128," £100,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN LTD,4013128," £82,626 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN LTD,4013128," £15,226 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4013125," £11,943 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Internal Training (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,CHURCH HOUSE CONFERENCE CENTRE LTD,4013114," £3,910 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CENTRO DI CULTURA SCIENTIFICA ALESSANDRO VOLTA,4012981," £17,810 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4013112," £772,386 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4013111," £103,046 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4013121, £626 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,WORDWAVE INTERNATIONAL LTD T/A MERRILL LEGAL SOLUTIONS,4013033," £2,475 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TEES ALLIANCE GROUP LTD,4013174," £138,417 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Conference and Exhibition Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SCIENCE MUSEUM,4013098," £2,800 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4013162, £620 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4013135, £562 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013137, £554 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013131, £519 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4012521," £1,980 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4012521, £770 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,MET OFFICE,4012492," £14,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,JUDD FARRIS LTD,4013168," £1,121 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4013149," £1,342 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4013149," £1,236 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Translation Services,Energy Markets & Infrastructure - Office of Nuclear Development,FCO SERVICES,4013044, £800 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Hospitality - UK,DECC Central Budgets - DECC Central Budgets,DEFRA,4012976, £522 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012428," £8,697 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,External Training,Science & Innovation Group - Science & Innovation Group,BRE GLOBAL LTD,4011898, £900 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,External Training,Science & Innovation Group - Science & Innovation Group,BRE GLOBAL LTD,4011898, £900 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Catering Services,Corporate Support & Shared Services - Corporate Support & Shared Services,BAXTERSTOREY LTD,4013150," £1,466 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,GPC New Procedures,Corporate Payments,BARCLAYS BANK PLC,4013178," £130,948 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Maintenance of IT Equipment,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4013147," £54,324 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012871," £30,658 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012871," £30,658 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Technical Support,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012871," £18,314 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Technical Support,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012871," £17,924 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012871," £13,184 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012871," £13,184 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012871," £5,957 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012871," £5,957 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4013144," £54,427 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4013144," £53,269 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/04/2010,Public Relations and Marketing,National Climate Change & Consumer Support - Communications,21ST CENTURY AV LTD,4013133," £9,426 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Board Members Tax Deductions (Suspense Account),Corporate Payments,ZZZZINLAND REVENUE,4013212," £2,444 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Payments,ZZZZINLAND REVENUE,4013213," £2,204 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4013197," £2,679 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4013163, £571 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4012751," £16,262 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4012751," £9,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,HAYS PLC,4013185," £2,904 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,HAYS PLC,4013185," £2,904 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,HAYS PLC,4013184," £2,904 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,HAYS PLC,4013183," £2,323 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,HAYS PLC,4013183," £2,323 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,HAYS PLC,4013182," £1,742 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,HAYS PLC,4013182," £1,742 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Other IT Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,ETSAP,4013097," £17,810 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Press Cutting Services,National Climate Change & Consumer Support - Communications,ENERGY DATA SERVICES LTD T/A PRECISE,4013170," £10,430 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4013146," £75,708 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153," £17,920 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153," £15,828 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153," £15,619 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4013153," £14,958 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153," £13,483 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153," £10,614 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Energy Strategy and Futures,AEA TECHNOLOGY ENVIRONMENT,4013153," £10,535 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153," £9,286 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153," £8,805 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153," £8,804 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153," £3,585 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4013153, £901 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Economic Consultancy and Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4013153, £809 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,ADECCO UK LTD,4013194, £797 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,ADECCO UK LTD,4013198, £787 
