Capital Write off Status,Reason for IRR Void,"Total 
Draw Down","Total
Payments","Total 
Write Off 
(Capital)","Total
Payments
(Capital)","Total
Payments
(Interest)","Total
Payments
(Fees)","Total Early
Payments
(Before 1st Draw Down)","IRR %
(excl early payments)","Annual-
ised 
Return %",ROI %,Write off %,"Period
in 
Mnths",Year of 1st Draw Down
..,..,"-£53,810.00","£62,450.47",£0.00,"£53,810.00","£8,640.47",£0.00,£0.00,4.30%,3.70%,16.10%,0.00%,52,2005
..,..,"-£52,200.00","£60,924.81",£0.00,"£52,200.00","£8,724.81",£0.00,£0.00,6.20%,3.20%,16.70%,0.00%,62,2009
Partial,IRR out of range,"-£50,270.00",£0.00,"£50,000.00",£0.00,£0.00,£0.00,£0.00,Void,-120.00%,-100.00%,99.50%,10,2012
Full,IRR out of range,"-£50,000.00",£0.00,"£50,000.00",£0.00,£0.00,£0.00,£0.00,Void,-54.50%,-100.00%,100.00%,22,2003
..,..,"-£50,000.00","£50,000.00",£0.00,"£50,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,5,2003
..,..,"-£50,000.00","£50,000.00",£0.00,"£50,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,3,2004
..,..,"-£50,000.00","£54,961.98",£0.00,"£50,000.00","£4,961.98",£0.00,£0.00,6.30%,6.30%,9.90%,0.00%,19,2005
..,..,"-£50,000.00","£50,000.00",£0.00,"£50,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,72,2005
..,..,"-£50,000.00","£64,729.60",£0.00,"£50,000.00","£13,979.60",£750.00,£750.00,7.90%,5.50%,29.50%,0.00%,64,2005
..,..,"-£50,000.00","£58,704.05",£0.00,"£50,000.00","£8,704.05",£0.00,£0.00,6.20%,3.20%,17.40%,0.00%,66,2005
Partial,..,"-£50,000.00","£14,495.89","£40,000.00","£10,000.00","£4,495.89",£0.00,£0.00,-56.80%,-44.80%,-71.00%,80.00%,19,2005
Full,IRR out of range,"-£50,000.00","£1,452.60","£50,000.00",£0.00,£952.60,£500.00,£500.00,Void,-194.20%,-97.10%,100.00%,6,2006
..,..,"-£50,000.00","£53,764.06",£0.00,"£50,000.00","£3,264.06",£500.00,£500.00,6.20%,6.90%,7.50%,0.00%,13,2007
Partial,IRR out of range,"-£50,000.00","£1,427.91","£49,072.09",£927.91,£0.00,£500.00,£500.00,Void,-89.70%,-97.10%,98.10%,13,2007
..,..,"-£50,000.00","£55,815.69",£0.00,"£50,000.00","£5,565.69",£250.00,£0.00,6.90%,6.60%,11.60%,0.00%,21,2007
..,..,"-£50,000.00","£57,342.42",£0.00,"£50,000.00","£6,392.42",£950.00,£950.00,6.70%,5.20%,14.70%,0.00%,34,2007
..,..,"-£50,000.00","£53,258.26",£0.00,"£50,000.00","£2,658.26",£600.00,£600.00,7.10%,7.80%,6.50%,0.00%,10,2008
..,..,"-£50,000.00","£55,198.55",£0.00,"£50,000.00","£5,198.55",£0.00,£0.00,6.00%,4.20%,10.40%,0.00%,30,2008
..,..,"-£50,000.00","£56,027.96",£0.00,"£50,000.00","£6,027.96",£0.00,£0.00,6.10%,3.40%,12.10%,0.00%,42,2008
Partial,..,"-£50,000.00","£15,510.03","£39,637.02","£10,362.98","£5,147.05",£0.00,£0.00,-47.70%,-28.50%,-69.00%,79.30%,29,2008
..,..,"-£50,000.00","£50,000.00",£0.00,"£50,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,37,2008
..,..,"-£50,000.00","£53,929.68",£0.00,"£50,000.00","£2,679.68","£1,250.00","£1,250.00",4.50%,5.90%,7.90%,0.00%,16,2008
..,..,"-£50,000.00","£52,623.14",£0.00,"£50,000.00","£1,373.14","£1,250.00","£1,250.00",3.50%,4.50%,5.20%,0.00%,14,2009
..,..,"-£50,000.00","£52,488.61",£0.00,"£50,000.00","£2,488.61",£0.00,£0.00,6.00%,5.00%,5.00%,0.00%,12,2009
..,..,"-£50,000.00","£55,133.26",£0.00,"£50,000.00","£3,733.26","£1,400.00","£1,400.00",5.10%,3.50%,10.30%,0.00%,35,2009
Partial,..,"-£50,000.00","£6,992.64","£47,849.05","£2,150.95","£3,641.69","£1,200.00","£1,200.00",-81.80%,-24.00%,-86.00%,95.70%,43,2009
Partial,..,"-£50,000.00","£21,448.60","£31,327.99","£19,216.48","£2,232.12",£0.00,£0.00,-67.10%,-11.80%,-57.10%,62.70%,58,2009
..,..,"-£50,000.00","£51,098.34",£0.00,"£50,000.00","£1,098.34",£0.00,£0.00,2.00%,1.80%,2.20%,0.00%,15,2009
..,..,"-£50,000.00","£50,000.00",£0.00,"£50,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,33,2010
..,..,"-£50,000.00","£50,000.00",£0.00,"£50,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,3,2010
Partial,..,"-£50,000.00","£7,850.06","£49,019.59","£1,577.21","£5,950.76",£322.09,£0.00,0.00%,-20.60%,-84.30%,98.00%,49,2010
..,..,"-£50,000.00","£59,479.15",£0.00,"£50,000.00","£9,479.15",£0.00,£0.00,9.20%,6.00%,19.00%,0.00%,38,2010
Partial,..,"-£50,000.00","£38,888.27","£16,608.48","£33,391.52","£4,246.75","£1,250.00","£1,250.00",-20.70%,-7.00%,-22.20%,33.20%,38,2010
..,..,"-£50,000.00","£60,500.00",£0.00,"£50,000.00","£9,750.00",£750.00,£0.00,13.80%,7.00%,21.00%,0.00%,36,2010
..,..,"-£50,000.00","£54,717.81",£0.00,"£50,000.00","£2,717.81","£2,000.00","£1,750.00",10.00%,10.30%,9.40%,0.00%,11,2011
..,..,"-£50,000.00","£59,750.00",£0.00,"£50,000.00","£9,750.00",£0.00,£0.00,13.00%,6.50%,19.50%,0.00%,36,2011
Partial,..,"-£50,000.00","£10,219.14","£44,166.49","£7,916.86","£2,302.28",£0.00,£0.00,0.00%,-50.20%,-79.60%,88.30%,19,2011
..,..,"-£50,000.00","£53,403.43",£0.00,"£50,000.00","£2,153.43","£1,250.00",£500.00,8.40%,8.20%,6.80%,0.00%,10,2011
..,..,"-£50,000.00","£51,769.32",£0.00,"£50,000.00",£769.32,"£1,000.00","£1,000.00",7.30%,14.20%,3.50%,0.00%,3,2011
..,..,"-£50,000.00","£57,583.33",£0.00,"£49,999.92","£7,583.41",£0.00,£0.00,9.00%,5.20%,15.20%,0.00%,35,2011
Full,IRR out of range,"-£50,000.00",£0.00,"£50,000.00",£0.00,£0.00,£0.00,£0.00,Void,-240.00%,-100.00%,100.00%,5,2011
..,..,"-£50,000.00","£52,453.42",£0.00,"£50,000.00",£953.42,"£1,500.00","£1,500.00",6.10%,11.80%,4.90%,0.00%,5,2011
Full,IRR out of range,"-£50,000.00","£1,625.14","£50,000.00",£0.00,"£1,625.14",£0.00,£0.00,Void,-50.50%,-96.70%,100.00%,23,2011
..,..,"-£50,000.00","£57,041.78",£0.00,"£50,000.00","£7,041.78",£0.00,£0.00,8.20%,6.30%,14.10%,0.00%,27,2011
..,..,"-£50,000.00","£53,250.00",£0.00,"£50,000.00","£3,250.00",£0.00,£0.00,11.50%,6.00%,6.50%,0.00%,13,2011
Full,IRR out of range,"-£50,000.00","£1,354.35","£50,000.00",£0.00,"£1,354.35",£0.00,£0.00,Void,-77.80%,-97.30%,100.00%,15,2011
Full,IRR out of range,"-£50,000.00","£1,083.47","£50,000.00",£0.00,"£1,083.47",£0.00,£0.00,Void,-55.90%,-97.80%,100.00%,21,2012
..,..,"-£50,000.00","£54,407.54",£0.00,"£50,000.00","£4,407.54",£0.00,£0.00,6.20%,5.30%,8.80%,0.00%,20,2012
Partial,..,"-£50,000.00","£6,097.24","£44,444.48","£5,555.52",£541.72,£0.00,£0.00,0.00%,-95.80%,-87.80%,88.90%,11,2012
..,..,"-£50,000.00","£53,791.71",£0.00,"£50,000.00","£3,791.71",£0.00,£0.00,8.50%,5.70%,7.60%,0.00%,16,2012
Partial,..,"-£50,000.00","£4,268.52","£48,148.14","£1,851.85","£2,416.67",£0.00,£0.00,0.00%,-68.60%,-91.50%,96.30%,16,2012
..,..,"-£50,000.00","£58,750.00",£0.00,"£50,000.00","£8,750.00",£0.00,£0.00,30.50%,9.10%,17.50%,0.00%,23,2012
..,..,"-£50,000.00","£52,605.48",£0.00,"£50,000.00","£2,605.48",£0.00,£0.00,6.00%,5.70%,5.20%,0.00%,11,2013
..,..,"-£48,000.00","£55,878.57",£0.00,"£48,000.00","£7,878.57",£0.00,£0.00,3.40%,2.30%,16.40%,0.00%,86,2007
Partial,..,"-£48,000.00","£13,241.44","£34,758.56","£13,241.44",£0.00,£0.00,£0.00,-74.80%,-22.30%,-72.40%,72.40%,39,2010
Full,IRR out of range,"-£45,899.00",£0.00,"£45,899.00",£0.00,£0.00,£0.00,£0.00,Void,-46.20%,-100.00%,100.00%,26,2011
..,..,"-£45,689.00","£45,689.00",£0.00,"£45,689.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,37,2010
..,..,"-£45,000.00","£51,299.82",£0.00,"£45,000.00","£5,549.82",£750.00,£750.00,6.30%,4.70%,14.00%,0.00%,36,2005
..,..,"-£45,000.00","£48,210.00",£0.00,"£45,000.00","£2,460.00",£750.00,£750.00,8.00%,5.40%,7.10%,0.00%,16,2006
..,..,"-£45,000.00","£45,000.00",£0.00,"£45,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,37,2009
Partial,..,"-£45,000.00","£50,930.25",£0.24,"£44,999.76","£5,930.49",£0.00,£0.00,6.20%,3.20%,13.20%,0.00%,50,2009
..,..,"-£42,000.00","£46,711.51",£0.00,"£41,999.99","£4,711.52",£0.00,£0.00,6.10%,4.10%,11.20%,0.00%,33,2009
..,..,"-£40,000.00","£43,165.49",£0.00,"£40,000.00","£3,165.49",£0.00,£0.00,8.30%,5.00%,7.90%,0.00%,19,2005
..,..,"-£40,000.00","£40,922.12",£0.00,"£40,000.00",£922.12,£0.00,£0.00,3.60%,2.10%,2.30%,0.00%,13,2005
..,..,"-£40,000.00","£45,156.94",£0.00,"£40,000.00","£4,006.94","£1,150.00","£1,150.00",6.30%,5.00%,12.90%,0.00%,31,2006
..,..,"-£40,000.00","£44,314.30",£0.00,"£40,000.00","£2,764.30","£1,550.00","£1,550.00",6.30%,5.20%,10.80%,0.00%,25,2008
..,..,"-£40,000.00","£40,922.00",£0.00,"£40,000.00",£672.00,£250.00,£250.00,6.00%,0.60%,2.30%,0.00%,50,2009
..,..,"-£40,000.00","£41,860.14",£0.00,"£40,000.00",£710.14,"£1,150.00",£400.00,13.20%,11.20%,4.70%,0.00%,5,2009
..,..,"-£40,000.00","£48,200.00",£0.00,"£40,000.00","£7,800.00",£400.00,£0.00,13.10%,6.80%,20.50%,0.00%,36,2010
..,..,"-£40,000.00","£40,762.75",£0.00,"£40,072.33",£690.42,£0.00,£0.00,6.10%,1.90%,1.90%,0.00%,12,2010
Partial,..,"-£40,000.00","£3,983.26","£36,666.63","£3,333.37",£649.89,£0.00,£0.00,0.00%,-63.60%,-90.00%,91.70%,17,2011
..,..,"-£40,000.00","£44,508.77",£0.00,"£40,000.00","£2,008.77","£2,500.00","£2,500.00",6.60%,15.00%,11.30%,0.00%,9,2013
..,..,"-£40,000.00","£42,071.92",£0.00,"£40,000.00","£1,421.92",£650.00,£650.00,6.10%,7.80%,5.20%,0.00%,8,2013
Partial,..,"-£39,400.00","£10,506.72","£28,893.28","£10,506.72",£0.00,£0.00,£0.00,-79.50%,-23.20%,-73.30%,73.30%,38,2010
..,..,"-£37,500.00","£50,625.00",£0.00,"£50,625.00",£0.00,£0.00,£0.00,23.20%,21.00%,35.00%,0.00%,20,2007
..,..,"-£36,000.00","£37,128.22",£0.00,"£36,000.00",£128.22,"£1,000.00","£1,000.00",6.60%,12.50%,3.10%,0.00%,3,2012
Partial,..,"-£36,000.00","£28,903.98","£13,500.00","£24,808.98","£4,095.00",£0.00,£0.00,0.00%,-8.40%,-19.70%,37.50%,28,2012
..,..,"-£35,000.00","£35,000.00",£0.00,"£35,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,23,2002
..,..,"-£35,000.00","£35,441.82",£0.00,"£35,000.00",£91.82,£350.00,£350.00,0.40%,1.20%,1.30%,0.00%,13,2006
..,..,"-£35,000.00","£36,461.85",£0.00,"£35,000.00","£1,111.85",£350.00,£350.00,1.30%,1.10%,4.20%,0.00%,47,2006
Partial,..,"-£35,000.00","£16,727.00","£23,929.61","£11,070.39","£5,656.61",£0.00,£0.00,-35.30%,-12.80%,-52.20%,68.40%,49,2007
..,..,"-£35,000.00","£38,974.19",£0.00,"£35,000.00","£3,624.19",£350.00,£350.00,6.70%,3.90%,11.40%,0.00%,35,2008
..,..,"-£35,000.00","£35,914.80",£0.00,"£35,000.00",£914.80,£0.00,£0.00,0.70%,0.70%,2.60%,0.00%,42,2008
..,..,"-£35,000.00","£41,141.28",£0.00,"£35,000.00","£5,191.28",£950.00,£700.00,8.70%,7.50%,17.50%,0.00%,28,2009
..,..,"-£35,000.00","£38,856.18",£0.00,"£35,000.00","£2,706.18","£1,150.00","£1,150.00",5.80%,6.00%,11.00%,0.00%,22,2010
..,..,"-£32,886.00","£33,292.00",£0.00,"£32,886.00",£406.00,£0.00,£0.00,1.80%,1.50%,1.20%,0.00%,10,2010
Partial,..,"-£31,575.00","£22,665.56","£11,840.67","£19,734.33","£2,565.48",£365.75,£0.00,0.00%,-11.70%,-28.20%,37.50%,29,2010
..,..,"-£31,000.00","£31,000.00",£0.00,"£31,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,32,2009
..,..,"-£30,000.00","£30,000.00",£0.00,"£30,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,9,2002
..,..,"-£30,000.00","£30,899.00",£0.00,"£30,000.00",£649.00,£250.00,£0.00,32.70%,18.00%,3.00%,0.00%,2,2005
Full,IRR out of range,"-£30,000.00","£1,100.00","£30,000.00",£0.00,£750.00,£350.00,£0.00,Void,-128.40%,-96.30%,100.00%,9,2005
..,..,"-£30,000.00","£33,128.43",£0.00,"£30,000.00","£3,128.43",£0.00,£0.00,6.60%,6.60%,10.40%,0.00%,19,2005
Partial,..,"-£30,000.00","£29,930.00",£870.00,"£29,130.00",£0.00,£800.00,£800.00,-1.70%,0.00%,-0.20%,2.90%,66,2005
..,..,"-£30,000.00","£47,757.11",£0.00,"£30,000.00","£15,507.11","£2,250.00","£1,500.00",6.30%,12.90%,59.20%,0.00%,55,2006
..,..,"-£30,000.00","£32,551.46",£0.00,"£30,000.00","£2,551.46",£0.00,£0.00,7.50%,4.10%,8.50%,0.00%,25,2007
..,..,"-£30,000.00","£32,550.85",£0.00,"£30,000.00","£1,750.85",£800.00,£800.00,6.80%,4.40%,8.50%,0.00%,23,2008
Partial,..,"-£30,000.00","£4,570.48","£28,272.40","£1,727.60","£2,242.88",£600.00,£600.00,-84.00%,-16.10%,-84.80%,94.20%,63,2008
..,..,"-£30,000.00","£30,000.00",£0.00,"£30,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,33,2008
..,..,"-£30,000.00","£36,150.00",£0.00,"£30,000.00","£5,850.00",£300.00,£0.00,13.30%,6.80%,20.50%,0.00%,36,2009
..,..,"-£30,000.00","£33,214.62",£0.00,"£30,000.00","£2,164.62","£1,050.00",£300.00,8.90%,5.10%,10.70%,0.00%,25,2009
..,..,"-£30,000.00","£35,439.81",£0.00,"£30,000.00","£4,089.81","£1,350.00",£450.00,6.70%,4.00%,18.10%,0.00%,54,2009
..,..,"-£30,000.00","£33,900.00",£0.00,"£30,000.00","£3,900.00",£0.00,£0.00,6.60%,6.20%,13.00%,0.00%,25,2011
..,..,"-£30,000.00","£31,242.99",£0.00,"£30,000.00",£442.99,£800.00,£800.00,5.80%,4.10%,4.10%,0.00%,12,2012
Partial,..,"-£30,000.00","£6,733.44","£26,666.57","£4,295.92","£2,437.52",£0.00,£0.00,0.00%,-33.20%,-77.60%,88.90%,28,2012
..,..,"-£30,000.00","£31,950.00",£0.00,"£30,000.00","£1,950.00",£0.00,£0.00,12.80%,6.50%,6.50%,0.00%,12,2012
..,..,"-£27,775.00","£28,878.25",£0.00,"£27,793.64","£1,084.61",£0.00,£0.00,5.30%,1.80%,4.00%,0.00%,26,2010
..,..,"-£26,250.00","£30,153.20",£0.00,"£28,825.00","£1,328.20",£0.00,£0.00,9.30%,7.10%,14.90%,0.00%,25,2005
..,IRR out of range,"-£26,000.00",£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,Void,-28.60%,-100.00%,0.00%,42,2011
Partial,..,"-£25,500.00","£17,589.00","£16,468.75","£12,251.04","£4,937.96",£400.00,£0.00,0.00%,-7.90%,-31.00%,64.60%,47,2010
Partial,..,"-£25,000.00","£24,645.00",£355.00,"£24,645.00",£0.00,£0.00,£0.00,-0.60%,-0.30%,-1.40%,1.40%,53,2005
Full,IRR out of range,"-£25,000.00",£0.00,"£25,000.00",£0.00,£0.00,£0.00,£0.00,Void,-66.70%,-100.00%,100.00%,18,2005
Full,IRR out of range,"-£25,000.00",£750.00,"£25,000.00",£0.00,£750.00,£0.00,£0.00,Void,-52.90%,-97.00%,100.00%,22,2005
..,IRR out of range,"-£25,000.00","£25,291.78",£0.00,"£25,000.00",£291.78,£0.00,£0.00,Void,Void,1.20%,0.00%,0,2005
..,..,"-£25,000.00","£29,809.74",£0.00,"£25,000.00","£4,809.74",£0.00,£0.00,6.40%,4.80%,19.20%,0.00%,48,2005
..,..,"-£25,000.00","£36,907.06",£0.00,"£36,407.06",£0.00,£500.00,£500.00,23.60%,15.00%,47.60%,0.00%,38,2007
Full,IRR out of range,"-£25,000.00",£250.00,"£25,000.00",£0.00,£0.00,£250.00,£250.00,Void,-169.70%,-99.00%,100.00%,7,2008
..,..,"-£25,000.00","£25,000.00",£0.00,"£25,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,35,2008
..,..,"-£25,000.00","£25,720.36",£0.00,"£25,000.00",£720.36,£0.00,£0.00,6.10%,1.80%,2.90%,0.00%,19,2009
..,..,"-£25,000.00","£27,978.39",£0.00,"£25,000.00","£2,978.39",£0.00,£0.00,5.60%,3.00%,11.90%,0.00%,47,2010
..,..,"-£25,000.00","£30,125.00",£0.00,"£25,000.00","£4,875.00",£250.00,£0.00,13.20%,6.80%,20.50%,0.00%,36,2010
..,..,"-£25,000.00","£29,045.10",£0.00,"£24,305.40","£4,739.70",£0.00,£0.00,10.10%,5.40%,16.20%,0.00%,36,2010
Partial,..,"-£25,000.00","£18,776.96","£9,722.16","£15,277.84","£3,199.12",£300.00,£0.00,0.00%,-6.10%,-24.90%,38.90%,49,2010
..,..,"-£25,000.00","£27,896.00",£0.00,"£25,000.00","£2,396.00",£500.00,£500.00,6.30%,4.00%,11.60%,0.00%,35,2010
..,..,"-£25,000.00","£28,515.00",£0.00,"£25,000.00","£2,765.00",£750.00,£750.00,7.30%,4.80%,14.10%,0.00%,35,2010
..,..,"-£25,000.00","£28,146.00",£0.00,"£25,000.00","£2,310.00",£836.00,£750.00,5.90%,4.20%,12.60%,0.00%,36,2011
..,..,"-£25,000.00","£28,144.00",£0.00,"£25,000.00","£2,394.00",£750.00,£750.00,6.00%,4.20%,12.60%,0.00%,36,2011
Partial,..,"-£25,000.00","£2,665.62","£23,725.72","£1,274.28",£641.34,£750.00,£750.00,-99.90%,-59.60%,-89.30%,94.90%,18,2011
..,..,"-£25,000.00","£28,520.76",£0.00,"£25,000.00","£3,520.76",£0.00,£0.00,9.00%,6.50%,14.10%,0.00%,26,2011
Partial,..,"-£25,000.00","£2,489.62","£22,916.52","£2,083.36",£406.26,£0.00,£0.00,0.00%,-72.00%,-90.00%,91.70%,15,2011
Partial,..,"-£25,000.00","£4,708.20","£20,833.40","£4,166.60",£541.60,£0.00,£0.00,0.00%,-46.40%,-81.20%,83.30%,21,2012
Full,IRR out of range,"-£25,000.00",£0.00,"£25,000.00",£0.00,£0.00,£0.00,£0.00,Void,-48.00%,-100.00%,100.00%,25,2012
Full,IRR out of range,"-£25,000.00",£750.00,"£25,000.00",£200.00,£550.00,£0.00,£0.00,Void,-61.30%,-97.00%,100.00%,19,2012
..,..,"-£25,000.00","£30,208.34",£0.00,"£25,000.00","£5,208.34",£0.00,£0.00,12.60%,11.90%,20.80%,0.00%,21,2012
..,..,"-£25,000.00","£26,376.85",£0.00,"£25,000.00",£626.85,£750.00,£750.00,6.70%,8.30%,5.50%,0.00%,8,2013
..,..,"-£25,000.00","£26,447.98",£0.00,"£25,000.00",£947.98,£500.00,£0.00,10.50%,9.90%,5.80%,0.00%,7,2013
..,..,"-£24,000.00","£29,040.00",£0.00,"£24,000.00","£4,800.00",£240.00,£240.00,17.80%,15.80%,21.00%,0.00%,16,2008
..,..,"-£23,000.00","£23,000.00",£0.00,"£23,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,40,2008
..,..,"-£23,000.00","£25,990.00",£0.00,"£23,000.00","£2,990.00",£0.00,£0.00,12.70%,6.50%,13.00%,0.00%,24,2011
..,..,"-£23,000.00","£25,990.00",£0.00,"£23,000.00","£2,990.00",£0.00,£0.00,6.10%,6.00%,13.00%,0.00%,26,2012
..,..,"-£21,818.18","£22,653.63",£0.00,"£21,818.18",£535.45,£300.00,£300.00,6.20%,1.70%,3.80%,0.00%,27,2007
Partial,..,"-£21,000.00","£11,095.00","£12,976.25","£8,023.75","£3,071.25",£0.00,£0.00,0.00%,-20.20%,-47.20%,61.80%,28,2011
..,..,"-£20,000.00","£20,894.45",£0.00,"£20,000.00",£544.45,£350.00,£0.00,7.00%,1.10%,4.50%,0.00%,47,2005
..,..,"-£20,000.00","£20,290.00",£0.00,"£20,000.00",£290.00,£0.00,£0.00,4.70%,1.90%,1.50%,0.00%,9,2005
..,..,"-£20,000.00","£20,550.00",£0.00,"£20,000.00",£300.00,£250.00,£250.00,6.30%,11.00%,2.80%,0.00%,3,2006
..,..,"-£20,000.00","£17,173.67",£0.00,"£13,888.95","£3,084.72",£200.00,£0.00,0.00%,-2.90%,-14.10%,0.00%,58,2009
..,..,"-£20,000.00","£26,258.34",£0.00,"£19,666.67","£6,391.67",£200.00,£0.00,12.30%,6.40%,31.30%,0.00%,59,2009
..,..,"-£20,000.00","£21,015.66",£0.00,"£20,000.00",£265.66,£750.00,£750.00,4.70%,6.10%,5.10%,0.00%,10,2009
..,..,"-£20,000.00","£20,000.00",£0.00,"£20,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,37,2009
Partial,..,"-£20,000.00","£6,264.32","£16,493.04","£4,092.42","£2,171.90",£0.00,£0.00,0.00%,-22.90%,-68.70%,82.50%,36,2011
..,..,"-£20,000.00","£21,408.33",£0.00,"£20,000.00","£1,408.33",£0.00,£0.00,8.30%,6.00%,7.00%,0.00%,14,2011
..,..,"-£20,000.00","£22,235.73",£0.00,"£20,000.00","£1,535.73",£700.00,£700.00,7.30%,5.60%,11.20%,0.00%,24,2011
Partial,..,"-£20,000.00","£11,300.08","£9,999.96","£10,000.04","£1,300.04",£0.00,£0.00,0.00%,-20.90%,-43.50%,50.00%,25,2011
Partial,..,"-£20,000.00","£3,008.48","£18,333.26","£1,983.45","£1,025.03",£0.00,£0.00,0.00%,-29.10%,-85.00%,91.70%,35,2011
Partial,..,"-£20,000.00","£2,516.66","£18,768.44","£1,548.27",£968.39,£0.00,£0.00,0.00%,-30.90%,-87.40%,93.80%,34,2011
Partial,..,"-£20,000.00","£13,453.73","£10,968.44","£10,696.56","£2,757.17",£0.00,£0.00,0.00%,-11.60%,-32.70%,54.80%,34,2011
..,..,"-£20,000.00","£21,733.33",£0.00,"£20,000.00","£1,733.33",£0.00,£0.00,10.10%,6.50%,8.70%,0.00%,16,2011
..,..,"-£20,000.00","£22,600.00",£0.00,"£20,000.00","£2,600.00",£0.00,£0.00,12.80%,6.50%,13.00%,0.00%,24,2011
Partial,..,"-£20,000.00","£1,991.57","£18,333.48","£1,666.52",£325.05,£0.00,£0.00,0.00%,-67.50%,-90.00%,91.70%,16,2011
..,..,"-£20,000.00","£27,802.05",£0.00,"£26,041.67","£1,760.38",£0.00,£0.00,50.40%,33.40%,39.00%,0.00%,14,2011
..,..,"-£20,000.00","£22,241.70",£0.00,"£20,833.33","£1,408.37",£0.00,£0.00,14.00%,9.60%,11.20%,0.00%,14,2011
..,..,"-£20,000.00","£22,600.00",£0.00,"£20,000.00","£2,600.00",£0.00,£0.00,12.20%,6.20%,13.00%,0.00%,25,2011
Partial,..,"-£20,000.00","£15,663.30","£7,816.69","£12,721.95","£2,941.35",£0.00,£0.00,0.00%,-7.90%,-21.70%,39.10%,33,2012
Partial,..,"-£20,000.00","£2,641.61","£18,333.48","£1,666.52",£975.09,£0.00,£0.00,0.00%,-52.10%,-86.80%,91.70%,20,2012
Partial,..,"-£20,000.00","£4,708.46","£15,833.27","£4,166.73",£541.73,£0.00,£0.00,0.00%,-70.60%,-76.50%,79.20%,13,2012
..,..,"-£20,000.00","£20,325.11",£0.00,"£20,000.00",£325.11,£0.00,£0.00,5.60%,4.90%,1.60%,0.00%,4,2012
..,..,"-£20,000.00","£21,458.08",£0.00,"£20,000.00",£758.08,£700.00,£500.00,8.50%,5.50%,7.30%,0.00%,16,2012
Partial,..,"-£20,000.00","£3,319.45","£17,222.20","£2,777.78",£541.67,£0.00,£0.00,0.00%,-66.70%,-83.40%,86.10%,15,2012
..,..,"-£20,000.00","£21,574.79",£0.00,"£20,000.00","£1,574.79",£0.00,£0.00,5.90%,5.90%,7.90%,0.00%,16,2013
..,..,"-£19,000.00","£19,000.00",£0.00,"£19,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,37,2008
..,..,"-£18,000.00","£18,603.23",£0.00,"£18,000.00",£603.23,£0.00,£0.00,4.40%,2.50%,3.40%,0.00%,16,2007
Partial,..,"-£18,000.00","£7,074.55","£12,000.00","£6,085.63",£988.92,£0.00,£0.00,0.00%,-66.20%,-60.70%,66.70%,11,2011
Partial,..,"-£18,000.00","£1,792.50","£16,500.00","£1,500.00",£292.50,£0.00,£0.00,0.00%,-135.10%,-90.00%,91.70%,8,2011
..,..,"-£18,000.00","£19,016.25",£0.00,"£18,000.00",£656.25,£360.00,£0.00,18.60%,13.60%,5.60%,0.00%,5,2013
..,..,"-£17,600.00","£14,087.22",£0.00,"£12,466.67","£1,620.55",£0.00,£0.00,0.00%,-10.00%,-20.00%,0.00%,24,2010
..,..,"-£17,000.00","£19,840.15",£0.00,"£17,000.00","£2,840.15",£0.00,£0.00,6.10%,5.00%,16.70%,0.00%,40,2008
..,..,"-£16,000.00","£18,340.00",£0.00,"£16,000.00","£2,340.00",£0.00,£0.00,11.10%,6.50%,14.60%,0.00%,27,2011
..,..,"-£15,000.00","£15,171.00",£0.00,"£15,000.00",£171.00,£0.00,£0.00,5.00%,4.60%,1.10%,0.00%,3,2006
..,..,"-£15,000.00","£16,527.78",£0.00,"£15,000.00","£1,027.78",£500.00,£400.00,5.20%,3.80%,10.20%,0.00%,32,2009
..,..,"-£15,000.00","£16,605.44",£0.00,"£15,000.00",£955.44,£650.00,£650.00,4.70%,4.60%,10.70%,0.00%,28,2009
Partial,..,"-£15,000.00","£4,787.50","£13,750.00","£2,187.50","£2,600.00",£0.00,£0.00,-46.10%,-25.50%,-68.10%,91.70%,32,2010
Partial,..,"-£15,000.00","£14,870.78",£833.33,"£13,333.28","£1,537.50",£0.00,"£3,895.82",0.00%,-0.50%,-0.90%,5.60%,19,2010
