Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,411.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,616.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,51.40,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,38.55,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,38.55,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,411.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176116,5250.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176119,10406.05,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176119,571.66,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176119,463.58,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176119,694.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176119,280.13,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176119,600.72,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176119,4970.92,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PREMIER WASTE MANAGEMENT,0000176182,144.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PREMIER WASTE MANAGEMENT,0000176183,96.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175549,93071.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2010,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,ATKINS LIMITED,0000176051,1663.25,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,OPUS JOYNES PIKE LTD,0000176060,2720.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,MOTT MACDONALD LTD,0000176061,5113.94,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/09/2010,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,J N BENTLEY LIMITED,0000176063,124945.87,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,J N BENTLEY LIMITED,0000176066,99969.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176113,5502.64,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,J N BENTLEY LIMITED,0000176153,9999.42,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2010,LAND PURCHASE - NEW SCHEMES,ENVIRONMENT,ATKINS LIMITED,0000176049,761.02,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,LEGAL COSTS,ENVIRONMENT,DLA PIPER UK LLP,0000175858,1418.90,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,LEGAL COSTS,ENVIRONMENT,ANDERSON STRATHERN,0000175861,366.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175548,3873.97,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,LIABILITY SITE,ENVIRONMENT,NETWORK RAIL,0000175658,230.90,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175659,14995.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176116,5250.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176117,-14995.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,LIABILITY SITE,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176118,15574.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000175406,526.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,SNF (UK) LIMITED,0000175529,2000.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,UNIVAR LIMITED,0000175537,5204.54,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000175580,907.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000175581,837.68,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000175582,526.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000175583,837.68,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,UNIVAR LIMITED,0000175584,7801.04,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176013,526.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176014,2997.02,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176015,837.68,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176016,526.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176017,526.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176018,526.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176019,526.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176020,837.68,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176021,837.68,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176022,526.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,UNIVAR LIMITED,0000176023,5198.77,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,UNIVAR LIMITED,0000176024,5210.31,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,UNIVAR LIMITED,0000176025,7225.45,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,PREMIER WASTE MANAGEMENT,0000176026,168.72,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,PROFESSIONAL ENG PUBLISHI,0000176027,4597.28,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,NATIONAL COAL MINING MUSE,0000176047,1080.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,ATKINS LIMITED,0000176106,4242.06,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,UNIVAR LIMITED,0000176127,7806.81,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176185,837.68,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/10/2010,M/W CHEMICAL OPERATIONAL,ENVIRONMENT,GOLDCREST CHEMICALS LIMIT,0000176186,526.95,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2010,M/W FEASIBILITY STUDIES,ENVIRONMENT,ATKINS LIMITED,0000176050,1850.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/10/2010,M/W LAND AGENTS (AQUISITIONS),ENVIRONMENT,MOTT MACDONALD LTD,0000176173,3496.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,JMC ENGINEERING (UK) LTD,0000175682,704.40,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/09/2010,M/W NEW SCHEME - CONSULTANCY,ENVIRONMENT,J N BENTLEY LIMITED,0000175577,502.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,M/W NEW SCHEME - CONSULTANCY,ENVIRONMENT,ATKINS LIMITED,0000175657,4410.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2010,M/W NEW SCHEME - CONSULTANCY,ENVIRONMENT,MOTT MACDONALD LTD,0000176062,1315.96,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,SEPA,0000175467,520.57,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,SEPA,0000175468,1041.14,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,M/W POWER AND UTILITIES,ENVIRONMENT,SOUTHERN ELECTRIC,0000175572,522.67,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175686,6783.69,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175687,2646.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175688,6412.43,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175689,1565.65,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175690,9885.88,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175691,11293.96,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175692,9045.47,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175693,3004.18,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175694,486.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175695,496.88,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175696,67.75,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175697,5163.02,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175698,325.90,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175699,13377.37,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175700,5625.09,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175701,4165.32,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,O2 (UK) LIMITED,0000175714,13.93,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,REGISTRATION FOR CRC ENER,0000175745,950.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175779,5351.75,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,EDF ENERGY 1 LIMITED,0000175780,6703.89,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175793,131.27,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175794,185.98,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175795,8.21,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175796,1175.33,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175797,435.89,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175798,1573.82,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175799,325.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175800,1437.52,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175801,825.84,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175802,924.37,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175803,27.71,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175804,192.60,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175805,466.38,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175806,409.54,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175807,7346.49,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175808,586.50,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175809,2870.53,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175810,15.27,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/09/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175817,-16.42,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/09/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175818,24.77,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/09/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175819,-1782.45,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/09/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175820,1798.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/09/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175821,-1798.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH GAS BUSINESS,0000175822,5296.99,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000175863,54.72,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000175864,18.24,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000175865,131.86,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000175866,55.23,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,BRITISH TELECOMMUNICATION,0000175867,18.68,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176028,6.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176029,15.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176030,14.92,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176031,15.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176032,15.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176033,15.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176034,6.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176035,50.30,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176036,6.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176037,15.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176037,15.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176037,15.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,45.88,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,M/W POWER AND UTILITIES,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,45.33,,
