ID,LSOA11CD,FTL_ADULT|2010,FTL_ADULT|2011,FTL_ADULT|2012,FTL_ADULT|2013,FTL_ADULT|2014,FTL_CHILD|2010,FTL_CHILD|2011,FTL_CHILD|2012,FTL_CHILD|2013,FTL_CHILD|2014,SER_ADULT|2010,SER_ADULT|2011,SER_ADULT|2012,SER_ADULT|2013,SER_ADULT|2014,SER_CHILD|2010,SER_CHILD|2011,SER_CHILD|2012,SER_CHILD|2013,SER_CHILD|2014,SLT_ADULT|2010,SLT_ADULT|2011,SLT_ADULT|2012,SLT_ADULT|2013,SLT_ADULT|2014,SLT_CHILD|2010,SLT_CHILD|2011,SLT_CHILD|2012,SLT_CHILD|2013,SLT_CHILD|2014,CAS_TOTAL|2010,CAS_TOTAL|2011,CAS_TOTAL|2012,CAS_TOTAL|2013,CAS_TOTAL|2014,PED_ADULT|2010,PED_ADULT|2011,PED_ADULT|2012,PED_ADULT|2013,PED_ADULT|2014,PED_CHILD|2010,PED_CHILD|2011,PED_CHILD|2012,PED_CHILD|2013,PED_CHILD|2014,CYC_ADULT|2010,CYC_ADULT|2011,CYC_ADULT|2012,CYC_ADULT|2013,CYC_ADULT|2014,CYC_CHILD|2010,CYC_CHILD|2011,CYC_CHILD|2012,CYC_CHILD|2013,CYC_CHILD|2014,NO_INCID|2010,NO_INCID|2011,NO_INCID|2012,NO_INCID|2013,NO_INCID|2014
223,E01025204,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,14,0,3,3,0,0,0,0,3,3,16,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,8,0,2,4
234,E01025206,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,4,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
250,E01025209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,3,1,1,1,0,0,1,1,0,6,3,3,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,2,3,2,1
332,E01025211,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,3,7,0,1,0,0,2,0,5,6,3,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,2,4,1
353,E01025213,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,10,9,10,8,8,1,1,3,0,1,13,11,13,9,9,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,8,7,5,6,6
685,E01025263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,0,0,0,3
690,E01025264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,3,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
576,E01025363,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,9,5,3,3,9,0,1,0,1,0,9,7,4,7,9,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,3,7
582,E01025364,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,5,1,1,2,0,1,1,0,0,3,6,2,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2
849,E01025404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1
851,E01025405,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,14,2,4,16,1,3,0,1,2,0,17,3,8,18,3,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,10,3,6,11,3
276,E01025168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
284,E01025170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
706,E01025265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
712,E01025266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,2,2
338,E01025309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,5,1,1,1,0,1,0,0,0,5,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,4,1,2,2
363,E01025312,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,1,0,4,2,11,0,6,2,0,2,0,0,7,3,13,4,7,0,0,0,0,1,1,0,0,0,0,2,1,0,0,2,2,0,0,0,0,6,3,6,2,5
384,E01025315,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,7,4,3,4,0,0,0,0,0,2,8,4,4,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,8,2,4,3
390,E01025316,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,3,0,1,0,2,0,0,0,0,0,5,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,3
399,E01025317,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,5,6,1,5,3,2,1,0,0,0,12,7,1,5,4,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,4,1,5,3
412,E01025319,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,4,2,1,2,0,1,0,0,1,4,6,2,1,4,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,5,2,1,3
