Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Prop Exemption Start Date,Current Property Exemption Code,Property Reference Number
"Klaussner Furniture, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 2NA",121000,Night Realisations Plc (In Admin),"C/O Ernst & Young Llp, 1 More London Place, London,  SE1 2AF",24/03/2013,IN,104131209194N
"Mr Mulgrew, New Street, Barrow In Furness, Cumbria, LA14 2BD",1625,Modlar Ltd,"Modlar Ltd, Lightburn Road , Ulverston,  LA12 0EL",31/07/2003,RT,108247409392N
"Northern Riviera 2nd Fl, The Canteen Media & Arts Ctr, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",1500,Horrocks & Cross Ltd,"Horrocks & Cross, Salthouse Road, Barrow-In-Furness, Cumbria,  LA14 2AL",01/09/2013,RT,103342709223N
"Office 1, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1200,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",30/04/2014,RT,104274209701N
"Office 2, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",2050,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",18/05/2013,RT,104274209702N
"Office 3, Unit 2 Walney Road, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1250,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",18/05/2013,RT,104274209703N
"Office 4, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1150,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",18/05/2013,RT,104274209704N
"Office 5, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1175,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",18/05/2013,RT,104274209705N
"Office 6, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1300,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",18/05/2013,RT,104274209706N
"Office 7, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1275,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",18/05/2013,RT,104274209707N
"Office 8, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1150,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",18/05/2013,RT,104274209708N
