Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,SOUTH EAST TRADE & INVESTMENT LTD,164093,500.00 ,,SE1 2JN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,SOUTH EAST TRADE & INVESTMENT LTD,164093,550.00 ,,SE1 2JN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,SOUTH EAST TRADE & INVESTMENT LTD,164093,600.00 ,,SE1 2JN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,SOUTH EAST TRADE & INVESTMENT LTD,164093,650.00 ,,SE1 2JN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,SOUTH EAST TRADE & INVESTMENT LTD,164093,650.00 ,,SE1 2JN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,SOUTH EAST TRADE & INVESTMENT LTD,164093,800.00 ,,SE1 2JN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,SOUTH EAST TRADE & INVESTMENT LTD,164093,1000.00 ,,SE1 2JN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Basic Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,PPMA LTD,164094,4200.00 ,,SM6 9AA,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Other Transportation Hire - Sector Events - UK,Chief Operating Officer - UK Trade and Investments,THE KINGS FERRY LTD T/A CONNECTIONS,164095,6000.00 ,,ME8 6HW,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Other Transportation Hire - Sector Events - UK,Chief Operating Officer - UK Trade and Investments,THE KINGS FERRY LTD T/A CONNECTIONS,164096,-3000.00 ,,ME8 6HW,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Other Transportation Hire - Sector Events - UK,Chief Operating Officer - UK Trade and Investments,THE KINGS FERRY LTD T/A CONNECTIONS,164097,3400.00 ,,ME8 6HW,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,EXEMPLAS TRADE SERVICES LTD,164098,727.26 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Trade Marketing Events,Trade Development - UK Trade and Investments,EXEMPLAS TRADE SERVICES LTD,164099,1225.47 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,EXEMPLAS TRADE SERVICES LTD,164100,500.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,ADECCO UK LTD,164105,277.39 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Training - General - Gateway to Global Growth,Trade Development - UK Trade and Investments,EXEMPLAS TRADE SERVICES LTD,164106,6540.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,EXEMPLAS TRADE SERVICES LTD,164107,2500.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Event Management - Trade Marketing Events,Defence and Security Organisation - UK Trade and Investments,CENTAUR COMMUNICATIONS LTD,164109,175.00 ,,W1T 3QN,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,164110,500.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,164110,500.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,ADECCO UK LTD,164112,564.66 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,ADECCO UK LTD,164118,564.66 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,ADS GROUP LTD,164125,3182.87 ,,GU14 6FD,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,ADECCO UK LTD,164127,376.01 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Online Services charges - Inward Missions,Trade Development - UK Trade and Investments,CLEARVIEW IMAGING SERVICES LTD,164130,1175.00 ,,E3 3JQ,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/08/2012,Travel and Subsistence O'seas - Passport Development & Events,Trade Development - UK Trade and Investments,BEL (NI) LTD T/A BIOMASS ENGINEERING,164131,500.00 ,,WA12 8DN,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence O'seas - Ministerial Events,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163315,1219.90 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence O'seas - Ministerial Events,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163316,22.57 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence O'seas - Ministerial Events,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163317,92.76 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163318,991.95 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Translation/Interpretation services - Inward Investment Events,Strategic Relationship Management - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163319,14.40 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Translation/Interpretation services - Inward Investment Events,Strategic Relationship Management - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163319,1000.00 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163320,975.61 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163321,505.43 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Courier Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163322,120.00 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163323,57.70 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163324,169.66 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163325,42.00 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163326,11.94 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163327,19.01 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163328,19.48 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163329,98.26 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163330,12.66 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163331,12.65 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163332,731.62 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163333,881.76 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163334,107.81 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163335,104.55 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163336,23.88 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163337,1000.00 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Printing Costs - Inward Investment Publications,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163338,3475.01 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Media and Press Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163340,527.53 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163344,144.03 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163345,112.56 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163346,348.61 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Catering - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163347,424.75 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Sector Events - Abroad,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163348,128.51 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Sector Events - Abroad,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163349,113.67 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Professional Subscriptions - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163350,346.34 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163351,877.90 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Printing Costs - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163353,2166.10 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163354,86.41 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence UK - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163354,1313.13 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163355,705.55 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163457,348.61 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163458,348.63 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163459,348.61 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163460,348.61 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163462,176.24 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163463,147.12 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Travel and Subsistence O'seas - Trade Marketing Research,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163464,100.91 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Courier Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163465,24.00 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163466,717.37 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,PAULEY INTERACTIVE LTD,163898,978.22 ,,MK17 0EG,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,FLITETEC LTD,163901,831.38 ,,HP6 6HD,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,BANARAS HALAL MEATS LTD,163980,423.46 ,,TS12 3AG,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,P & S LLP T/A NB MEDICAL,163981,1000.00 ,,NE35 9PF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Trade Marketing Events,Defence and Security Organisation - UK Trade and Investments,EUROPEENNE DE SALONS (EDS MILIPOL QATAR 2012),164025,950.98 ,,92058,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Video Production Services - Inward Investment Publicity,Chief Operating Officer - UK Trade and Investments,THE INSTITUTION OF ENGINEERING & TECHNOLOGY (IET),164026,20000.00 ,,SG1 2SD,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,MANCHESTER CITY COUNCIL,164028,75.00 ,,M60 2JR,LOC,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Training - General - Gateway to Global Growth,Trade Development - UK Trade and Investments,UNIVERSITY OF BRADFORD,164045,3500.00 ,,BD7 1DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,THE BUSINESS JOURNALS,164052,9013.83 ,,30384-8809,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,GRIFFIN LAW LTD,164061,1478.62 ,,ME19 4YU,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,H2GOGO LTD,164062,608.15 ,,HP10 8HH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,GLOBAL FORENSICS LTD,164063,327.44 ,,CV4 7EZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,MAYPOLE LTD,164064,615.10 ,,B32 3DE,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,PHOENIX TRAINING & DEVELOPMENT LTD,164065,868.19 ,,NE1 2TE,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
