,,,,
Full Property Address,Property Reference Number,Primary Liable party name,Current Rateable Value,Account Start date
"Clubroom, Chapel Street, Dalton In Furness, Cumbria, LA15 8DA",112182309030N,Dalton Old Peoples Welfre Cttee,2175,17/12/2008
"College House Day Nursery, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209051N,College Day Nursery Ltd,14500,24/05/2010
"College House, Room 102, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209062N,Porchwood Properties Limited In Liquidation,230,02/04/2015
"College House, Room 109, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209064N,Porchwood Properties Limited In Liquidation,2225,02/04/2015
"College House, Room 204, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209058N,Jhp Group Ltd,2950,02/12/2011
"College House, Room 214, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209061N,Jhp Group Ltd,680,02/12/2011
"College House, Rooms 035-044, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209067N,Porchwood Properties Limited In Liquidation,24500,02/04/2015
"College House, Rooms 103-108, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209063N,Porchwood Properties Limited In Liquidation,7100,02/04/2015
"College House, Rooms 201-202, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209057N,Disability Association Carlisle & Eden,2600,27/02/2012
"College House, Rooms 205-206, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",104232209059N,All Points North Plc (Post Administration),5300,20/06/2015
"Colony Gift Corporation Ltd, Lindal Business Park, Lindal, Lindal In Furness, Cumbria, LA12 0LL",112399109004N,Wax Lyrical Ltd,160000,01/04/2011
"Colony Gift Corporation Ltd, Sowerby Woods Business Park, Park Road, Barrow In Furness, Cumbria, LA14 4BG",106552709100N,Wax Lyrical Limited,96000,01/10/1996
"Columba Garage, Euryalus Street, Barrow In Furness, Cumbria, LA14 3BD",102522709010N,Columba Garage Ltd,2700,22/11/2002
"Common Parts Phoenix Business Centre,, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",104235500022N,Fc Business Services Ltd,12250,01/10/2014
"Communal Parts & Unit 7 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",104233909157N,Trinity Enterprise Centre Ltd,10750,21/08/2000
"Community Centre, 120, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901210N,Action For Children,10250,01/04/2008
"Community Centre, Longway, Barrow In Furness, Cumbria, LA13 ODW",111539109000N,Barrow Borough Council,4000,25/01/2015
"Community Hall, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",101311909090N,Leonard Cheshire Disability,5300,21/05/2015
"Compound 3, North West Electricity, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",108361609764N,Barrow Borough Council,2900,31/07/2015
"Compound Opp Neil Price Ltd, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",106507669080N,Enterprise Managed Services Ltd,10000,01/12/2012
"Condensate Tank Farm, Ramsden Dock, Barrow In Furness, Cumbria, LA14 2TB",103357209582N,British Gas,343000,01/04/1995
"Co-Operative Wholesale Society,, Duke Street, Askam In Furness, Cumbria, LA16 7AA",112595600098N,Cumbrian Co-Op Society,15750,01/04/2010
"Co-Operative Wholesale Society Ltd, Market Street, Dalton In Furness, Cumbria, LA15 8AA",113187600523N,Cumbrian Co-Op Society,124000,25/08/1998
"C O R E 1st Flr, 98, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",105112500999N,Systemcam Ltd,2275,31/01/2008
"Corner Of Anson Street, Duke Street, Barrow In Furness, Cumbria, LA14 1XX",104119509570N,Cumbria County Council,1500,18/12/2000
"Cosy Seal Insulation Co Ltd, Scarth Road, Barrow In Furness, Cumbria, LA14 4RF",106552709300N,Irvs Vw Restorations Ltd,5300,01/09/2013
"Council Office Above Pavillion, Barrow Park, Abbey Road, Barrow In Furness, Cumbria, LA13 9BD",107300109963N,Barrow Borough Council,3450,01/04/2010
"Council Offices, Station Road, Dalton In Furness, Cumbria, LA15 8DW",113290809040N,Dalton Parish Council,4550,20/05/2005
"Council Store In Barrow Park, Abbey Road, Barrow In Furness, Cumbria, LA13 9BD",107300109967N,Barrow Borough Council,2150,01/04/2010
"Council Stores, 1st Floor, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119510013N,Barrow Borough Council,8900,06/12/1999
"County Coachbuilders Automotive Lmtd, Park Road, Barrow In Furness, Cumbria, LA14  4EQ",106552709174N,County Coachbuilders Automotive Ltd,47750,01/06/2008
"County Coachbuilders (Barrow) Ltd, Chatsworth Street, Barrow In Furness, Cumbria, LA14 5TP",104112109450N,J R Gabriel Properties Ltd,7100,11/04/2012
"County Coachbuilders Ltd (Top Car Park ), Park Road, Barrow In Furness, Cumbria, LA14 4EQ",106552709161N,"County Coach Builders Ltd,",11500,31/10/2008
"Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",103342709157N,Dept For Works & Pensions,72000,01/04/2000
"Crofters Golf Course, Holbeck Park Avenue, Barrow In Furness, Cumbria, LA13 0LL",111331379011N,Holbeck Homes Ltd,2150,20/02/2007
"Crooklands Casuals Fc, Opp Longlands Cottag, Longlands, Dalton In Furness, Cumbria, LA15 8JF",113487209020N,Crooklands Casuals,1675,01/04/1990
"Crossgates Smallholding, Broughton Road, Dalton In Furness, Cumbria, LA15 8JR",112183300020N,D & P Johnson Ltd,1000,01/04/2001
"Csi Wood Protection Ltd, Park Road, Barrow In Furness, Cumbria, LA14 4QU",106552709154N,Impra Wood Protection Limited,34000,01/08/2013
"Cti Site 141195 At Stewnor Bank Farm, Stewner Park, Marton In Furness, Cumbria, LA12 ONR",113499209050N,Arqiva Services Ltd,45250,01/10/2000
"Cumbria Auto Repairs, The Arches,, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PB",105165809050N,Cumbria Autos Ltd,7200,01/04/1990
"Cumbria Constabulary, Market Street, Barrow In Furness, Cumbria, LA14 2LE",105141409042N,"Cumbria Constabulary,",94500,07/07/1995
"Cumbria County Council, Tummerhill Playing F, Biggar Bank Road, Barrow In Furness, Cumbria, LA14 3HN",102106809010N,Walney School,600,01/04/2010
"Cumbrian Co-Operative Society Ltd, Holyoake Avenue, Barrow In Furness, Cumbria, LA13 9LJ",110229509011N,Cumbrian Co-Op Society,14750,01/04/2010
"Cumbrian Cooperative Soc Ltd, Island Road, Barrow In Furness, Cumbria, LA14 2RL",103334009080N,Cumbrian Co-Op Society,19250,02/04/1990
"Cumbrian Co-Op Society Ltd,, Plymouth Street, Barrow In Furness, Cumbria, LA14 3AN",102353909011N,Cumbrian Co-Op Society,25500,01/04/2010
"Cumbria Part Nhs Trust, College House, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",1042322090664N,Cumbria Partnership Nhs Foundation Trust,34750,01/06/2012
"Cunninghams, 13, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",104305909010N,Lara Gibbons Ltd,6250,11/07/2011
"Currys, Hollywood Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NA",104131209300N,Currys Ltd,194000,06/12/2002
"Dalton Castle, Market Place, Dalton In Furness, Cumbria, LA15 8AX",113187509020N,"The National Trust,",1000,01/04/1990
"Dalton Clinic, Dowdales, Dalton In Furness, Cumbria, LA15 8AJ",112283709041N,Cumbria Partnership Nhs Foundation Trust,18000,01/04/2012
"Dalton Community Centre, Nelson Street, Dalton In Furness, Cumbria, LA15 8AF",112288309147N,Dalton Community Association,5600,01/08/2000
"Dalton Cricket Club, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EY",113291600760N,Dalton Cricket Club,12000,01/04/1990
"Dalton-In-Furness Ce School, Coronation Drive, Dalton In Furness, Cumbria, LA15 8QR",113382809000N,"Dalton St Mary'S C.E. Primary School,",26500,01/04/1994
"Dalton Leisure Centre, Chapel Street, Dalton In Furness, Cumbria, LA15 8DA",112182309130N,"Dalton Leisure Services Ltd,",105000,01/04/1990
"Dalton Market, Tudor Square, Dalton In Furness, Cumbria, LA15 8RJ",112291400900N,Dalton Parish Council,1500,01/04/2002
"Deemon Dance Studio, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",106552709163N,Deemon Dance Studios,16750,21/04/2007
"Deltawaite, The Old Dairy, Roose Road, Barrow In Furness, Cumbria, LA13  OEP",111458879001N,"Deltawaite Ltd,",19000,03/12/2009
"Derian The Old Brewery, Hindpool Road, Barrow In Furness, Cumbria, LA14 2ND",104531209079N,Derian Engineering Ltd,0,01/03/2006
"Dominos, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",104274209601N,Michael Bird Ltd,15500,30/06/2009
"Dong Barrow Off Shore Wind , Ramsey Way, Barrow In Furness, Cumbria, LA14 2GR",103357209003N,Barrow Offshore Wind Limited,50000,01/02/2012
"Dong Energy Power (Uk) Ltd, Ramsey Way, Barrow In Furness, Cumbria, LA14 2TW",103357209012N,Dong Energy Power (Uk) Ltd,81500,06/03/2015
"Dong Walney Off Shore Wind, Ramsey Way, Barrow In Furness, Cumbria, LA14 2GR",103357209004N,Dong Wind (Uk) Ltd,117000,01/02/2012
"Dowdales Comprehensive School, Dowdales, Dalton In Furness, Cumbria, LA15 8AJ",112283709001N,Dowdales Comprehensive School,288000,01/04/2005
"Dsg Vauxhall, 1, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",104233900010N,"D Stoker Group Ltd,",81500,25/06/1992
"Dsl Heating,, Moorfield Street, Barrow In Furness, Cumbria, LA13 9RS",108243809011N,Dsl Heating Ltd,3250,01/01/2015
"Duddon Inshore Rescue The Shore, Steel Street, Askam In Furness, Cumbria, LA16 7BS",112697809020N,Duddon Inshore Rescue,3750,01/04/1990
"Elegant Products Ltd, St Vincent Street, Barrow In Furness, Cumbria, ",104561509032N,Elegant Products Ltd,12000,06/11/2009
"Emlyn Hughes House, Gnd Flr, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",104300109173N,Barrow Borough Council,22750,17/04/2012
"Emlyn Hughes House, Office Gnd Flr, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",104300109174N,Barrhead Travel Services Limited,3050,17/04/2012
"Empat Yard, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",104233909140N,Empat Removals Ltd,18000,14/09/2009
"Empire Carpets, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UT",104274209072N,St Marys Hospice,13000,01/02/2014
"English Heritage, Furness Abbey, Barrow In Furness, Cumbria, LA13 0PJ",110125409090N,English Heritage,5000,01/04/2000
"Enterprise Rent A Car At County Coachbuilders Lmtd, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",106552709173N,Enterprise Rent A Car,2800,01/06/2008
"Envirocasting Ltd, St Georges Square, Barrow In Furness, Cumbria, LA14 2JQ",105160909140N,Envirocasting Ltd,8500,01/04/1990
"Family Centre, Millstone Avenue, Barrow In Furness, Cumbria, LA14 4BP",106542969000N,Cumbria County Council,9700,19/11/1990
"F G Murray (Jnr) & P Grainger, Ashworth St Garage, Ashworth Street, Dalton In Furness, Cumbria, LA15 8SH",112180709001N,Ashworth St Garage Ltd,4200,24/07/1991
"Fire Station, Butts Beck, Dalton In Furness, Cumbria, LA15 8EP",112181809010N,M T Wood Prop & Maintenance Ltd,11750,30/06/2015
"Fire Station, Mill Lane, Barrow In Furness, Cumbria, LA14 3XX",101342909090N,Cumbria County Council,22000,01/04/1990
"First Floor, 22, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",104329800228N,Barrow Constituency Labour Party,2200,27/05/2003
"First Floor, 75/77, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1QQ",104508900753N,Ti Accountancy Limited,4600,02/09/2015
"Fisher House,, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",103342709126N,J Fisher And Sons Ltd,131000,01/04/2005
"Former Remploy Factory, Flass Lane, Barrow In Furness, Cumbria, LA13 0GW",110224209000N,Gvs Filter Technology Uk Ltd,23000,01/08/2013
"Former Siemens Plc Compound, Ramsey Way, Barrow In Furness, Cumbria, LA14 2TW",103357209013N,Associated British Ports,14000,06/03/2015
"Forum 28, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119509861N,Barrow Borough Council,85000,28/04/1990
"Frankie & Bennys, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",104131209125N,The Restaurant Group Uk Ltd T/A Frankie & Benny'S,76500,14/01/2013
"Furness Academy, Park Drive, Barrow In Furness, Cumbria, LA13 9BB",107352609001N,Furness Academy,540000,14/09/2013
"Furness Brick & Tile Co Ltd, Askam Brickworks, Greenscoe, Askam In Furness, Cumbria, LA16 7HE",112596009130N,"Furness Brick & Tile Co Ltd,",4050,01/04/1990
"Furness Carers, Pt  Ff Hindpool Community Centre, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",104347309035N,Furness Carers Association,2175,06/06/2006
"Furness Cavaliers Afc, Rampside Road, Barrow In Furness, Cumbria, LA13 OHN",111257009200N,"Furness Cavaliers Afc,",3450,01/04/1990
"Furness College, Channelside, Bessemer Way, Barrow In Furness, Cumbria, LA14 5RL",104232209011N,"Furness College Corporation,",925000,01/04/1993
"Furness Cricket Club, Oxford Street, Barrow In Furness, Cumbria, LA14 5PR",107151209040N,Furness Cricket Club,8500,01/04/1990
"Furness Diving Club, Woodbridge Haven, Cavendish Dock Road, Barrow In Furness, Cumbria, LA14 2TB",108111409082N,Furness Diving Club,690,01/12/2013
"Furness Footwear Ltd, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",113487309105N,Courtesy Shoes Limited,19500,01/04/2013
"Furness General Hospital,, Dalton Lane, Barrow In Furness, Cumbria, LA14 4LE",109179300245N,Morecambe Bay Hosps Nhs Trust,1370000,09/11/2006
"Furness Golf Club, Central Drive, Barrow In Furness, Cumbria, LA14 3LN",101311909050N,"Furness Golf Club,",32000,01/04/1990
"Furness Print Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",104253550100N,Reverseword Ltd,43750,30/05/2014
"Furness Rufc Strawberry Ground, Abbey Road, Barrow In Furness, Cumbria, LA13 9LA",110100109790N,The Treasurer,10500,01/04/1990
"Gap Scaffolding Ltd, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",108361609760N,Barrow Borough Council,10250,12/08/2009
"Gf Store 4, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119510046N,Barrow Borough Council,245,09/02/2014
"Gf Store 8, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119510081N,Barrow Borough Council (Markets),255,07/03/2014
"Girl Guides Association, Chapel Street, Dalton In Furness, Cumbria, LA15 8BZ",112182309140N,"Girl Guides Assn,",1650,01/04/1990
"Gnd Flr 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501313N,"Brown & Murray Solicitors,",7300,28/03/2007
"Gnd Flr, 22, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",105112500998N,John Woodcock Mp,2375,01/07/2010
"Gnd Flr, 33-35, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600330N,Ladbrokes Betting & Gaming Ltd,10000,01/04/1990
"Gnd Flr 47-49, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",104329800473N,Independent Vetcare Ltd,6500,01/04/2015
"Greengate County Junior School, Greengate Street, Barrow In Furness, Cumbria, LA14 1BG",105327609110N,Cumbria County Council,36750,01/04/1990
"Greengate W M Club Car Park, Paradise Street, Barrow In Furness, Cumbria, LA14 2HS",105152409000N,"Greengate Workingmen'S,",2500,01/04/1992
"Greenscoe Gems, St Anthonys Church, Crossley Street, Askam In Furness, Cumbria, LA16 7AS",112595509040N,Greenscoe Gems Ltd,3600,14/03/2011
"Guardian Printing Works, School Street, Barrow In Furness, Cumbria, LA14 2DJ",105157309020N,Staunton Property Holdings,2325,03/06/2003
"G W Doling & Son, Emlyn Street, Barrow In Furness, Cumbria, LA14 1QS",104422209000N,G W Doling & Son,9000,01/04/1990
"Gyrodata Drilling Automation Ltd, Park Road, Barrow In Furness, Cumbria, LA14 4TL",106552709386N,Gyrodata Ltd,47000,01/01/2011
"Halfords Auto Centre, Cornerhouse Park, Hindpool Road, Barrow In Furness, LA14 2NE",104379100029N,Halfords Ltd,205000,14/02/2011
"Hall St Car Park, Allison Street, Barrow In Furness, Cumbria, LA14 1DR",105328909050N,Development Division,49250,01/04/2004
"Happy Tots Day Nursery, Arndene Park, Abbey Road, Barrow In Furness, Cumbria, LA13 9JY",109100109391N,Happy Tots Day Nursery Limited,16750,01/10/2013
"Holker Old Boys' Club, Rakesmoor Lane, Barrow In Furness, Cumbria, LA14 4QB",109456809050N,Holker Old Boys' Club,10250,01/04/1990
"Holker Pioneers Rugby Club, Flass Lane, Barrow In Furness, Cumbria, LA13 0AB",110224209123N,Roose Pioneers Rugby Club,9000,17/10/1994
"Hollingarth, Prospect Road, Barrow In Furness, Cumbria, LA13 9HZ",107379300140N,Hollingarth Ltd,15750,01/09/1992
"Holy Family Rc Primary School, Ostley Bank, Barrow In Furness, Cumbria, LA13 9LR",110451009040N,Holy Family Rc Primary School,26500,01/04/2014
"Home Bargains, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",104274209108N,T J Morris Ltd,130000,23/05/2010
"Horrocks & Cross (Land), Daveys Yard, Salthouse Road, Barrow In Furness, Cumbria, LA14 2DZ",108361609801N,Barrow Borough Council,22000,22/03/2014
"Hotel Imperial,, Cornwallis Street, Barrow In Furness, Cumbria, LA14 2LG",105114009073N,Imperial Hotel (Barrow) Ltd,80000,01/04/2012
"Hrs Lindal Ltd, Wcf Yard, Pennington Lane, Lindal In Furness, Cumbria, LA12 OLA",112239910218N,Hrs Lindal Ltd,1575,01/04/2006
"Hutchison (La0058) Barrow Amte, Abbey Road, Barrow In Furness, Cumbria, LA14 5QZ",104300109183N,Mobile Broadband Network Limited,9000,01/04/2010
"Independent Distribution Network Operator, Vickerstown Primary, Mill Lane, Barrow In Furness, Cumbria, LA14 3QS",101342901500N,Electricity North West,66,01/04/2015
"Ins Marine Terminal, Ramsden Dock, Cavendish Dock Road, Barrow-In-Furness, Cumbria, LA14 2XA",103357109010N,Int. Nuclear Services Ltd.,117000,01/04/1990
"Ireleth School, Kirkby Road, Askam In Furness, Cumbria, LA16 7EU",112599002700N,Ireleth School Corporation,22500,01/04/1994
"Jacksons Timber Ltd, County Park Road, Barrow In Furness, Cumbria, LA14 4BQ",106552709415N,Jacksons Timber Ltd,54000,01/10/2001
"James Milner (Barrow) Ltd, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",104233909130N,"James Milner (Barrow) Ltd,",28750,01/04/1990
"Jeffersons, 60-64, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",105119500624N,Beluto Properties Ltd,18000,01/04/2015
"J Leck & Son (Barrow) Ltd, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",104233909070N,J A Payne Ltd,14000,01/04/2005
"J N Murray Ltd, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",101379300182N,J N Murray Ltd,17000,31/07/1997
"J N Murray, The Pharmacy, Warwick Street, Barrow In Furness, Cumbria, LA14 5AY",107274500320N,"J N Murray Ltd,",10750,01/04/1990
"Joss Engineering Ltd,, Sowerby Woods Industrial Estate, Scarth Road, Barrow In Furness, Cumbria, LA14 4QR",106552709390N,Joss Engineering Ltd,25000,01/04/2010
"Klaussner Furniture, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 2NA",104131209194N,Night Realisations Plc (In Admin),121000,05/03/2013
"Kwik Fit Euro Ltd, Abbey Road, Barrow In Furness, Cumbria, LA13 9AE",107300109890N,"Kwik Fit Holdings Ltd,",27500,01/04/1990
"Kwik Save, Holker Street, Barrow In Furness, Cumbria, LA14 5RA",104231609200N,T W R Developments Limited,115000,01/04/2010
"Lake House, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",104235500800N,Liberata Plc,270000,08/11/2005
"Lakeland Fudge, Schneider Road, Barrow In Furness, Cumbria, LA14 5ER",106362309312N,Lakeland Fudge Ltd,5300,01/10/2013
"Lakeland Leisure, The Lock Up, Shore Street, Barrow In Furness, Cumbria, LA14 2UB",105163209020N,Lakeland Leisure,2250,21/05/2008
"Lakeland Shell, Abbey Road, Barrow In Furness, Cumbria, LA14 4HD",107100109372N,Euro Garages Limited,54500,13/10/2015
"Lakes Gliding Club, Walney Aerodrome, North Scale, Barrow In Furness, Cumbria, LA14 3TJ",101248709283N,Lakes Gliding Club,4300,01/09/1994
"Land Adj Travis Perkins Trading Co Ltd, Duke Street, Barrow In Furness, Cumbria, LA14 1XU",104319509521N,Barrow Borough Council,690,01/04/2010
"Land At Piel Street, Roa Island, Barrow In Furness, Cumbria, LA13 0QJ",111158309241N,Barrow Borough Council,1150,26/06/2012
"Landfall To British Gas North Terminal, Rampside, Barrow In Furness, Cumbria, LA13 0QZ",111257009292N,British Gas,285000,01/04/1995
"Landfall To British Gas South Terminal, Rampside, Barrow In Furness, Cumbria, LA13 0QZ",111257009293N,British Gas,202500,01/04/1995
"Lesser Kings Hall,, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",104129809028N,Cumbria Cvs,8900,26/11/2009
"Library, Lord Street, Askam In Furness, Cumbria, LA16 7AQ",112696709000N,Cumbria County Council,1900,01/04/1990
"Lidl Uk Ltd, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",104274209084N,Farmfoods Limited,106000,10/08/2015
"Lifeboat Station, Piel Street, Roa Island, Barrow In Furness, Cumbria, LA13 0QL",111158309012N,R.N.L.I.,206000,28/09/2000
"Lime Street Car Park, Market Street, Dalton In Furness, Cumbria, LA15 8AR",112286809010N,Development Division,1725,01/04/1990
"Lindal & Marton Cty Primary Sch, School Hill, Lindal In Furness, Cumbria, LA12 ONB",112399103010N,Cumbria County Council,9600,01/04/1990
"Lloyds Motor Services, Durham Street, Barrow In Furness, Cumbria, LA13 9SW",108243709010N,Lloyds Motor Services Barrow Ltd,4850,01/08/2013
"Lords Tavern, Abbey Road, Barrow In Furness, Cumbria, LA14 1LQ",104300109052N,Abbey Road Leisure Limited,13000,23/08/2010
"Lorry Park, Bank Lane, Barrow In Furness, Cumbria, LA14 4DW",106405409050N,Kimberley-Clark Ltd,21500,01/04/1990
"Lumier Ltd, County Park Trading Estate, Park Road, Barrow In Furness, Cumbria, LA14 4BQ",106552709030N,Lumier Ltd,7600,28/02/2002
"Magistrates Court, Abbey Road, Barrow In Furness, Cumbria, LA14 5QX",104300109030N,Hmcs Estates,242000,01/04/2005
"Majestic Hotel, Duke Street, Barrow In Furness, Cumbria, LA14 1HP",105119509000N,Imperial Hotel (Barrow) Ltd,37500,01/01/2012
"Manhattans, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",104411609174N,Lucas Leisure Ltd,37000,23/12/2011
"Maplin Electronics, Corner House Park, Hindpool Road, Barrow In Furness, Cumbria, LA14 2NE",104379100010N,Maplin Electronics Limited,76500,20/09/2010
"Market Hall Office, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119511262N,Barrow Borough Council,0,13/05/2013
"Market Street And Courtyard Car Park, Market Street, Barrow In Furness, Cumbria, LA14 2LR",105114009011N,Development Division,53500,10/11/1997
"Masonic Hall, Hall Street, Dalton In Furness, Cumbria, LA15 8RS",112285409020N,"The Baldwin Masonic Hall Co.Ltd,",3700,01/04/1990
"Matalan, Walney Road, Barrow In Furness, Cumbria, LA14  5UN",104274209088N,Matalan Discount Club,200000,31/08/2008
"Mcdonalds, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 2NA",104131209191N,Hbn Restaurants Ltd T/A Mcdonalds Restaurants,76000,23/10/2011
"Mercury P C Thorncliffe School, Playing Fields, Thorncliffe Road, Barrow In Furness, Cumbria, LA14 5QP",109269809050N,Mobile Broadband Ntwk. Ltd,5900,04/06/2009
"M I N D In Furness, 64, School Street, Barrow In Furness, Cumbria, LA14 1EW",105462300640N,"M I N D,",6600,01/04/1990
"M Marsh Eure Pits, Crooklands Brow, Dalton-In-Furness, Cumbria, ",113183109061N,Marsh Plant & Contracting Ltd,3850,01/04/2004
"Moduflow,, Sowerby Woods Industrial Estate, Scarth Road, Barrow In Furness, Cumbria, LA14 4QR",106552709391N,Moduflow Fan Systems Ltd,8700,01/04/2010
"Morrisons, Strand, Barrow In Furness, Cumbria, LA14 2HF",105165809000N,William Morrison Supermarket,1610000,09/06/2003
"Nan Tait Centre, Abbey Road, Barrow In Furness, Cumbria, LA14 5UD",104300109075N,Cumbria County Council,48500,01/04/2002
"National Grid Wireless 140261 Sd321470, Maylands Grove, Barrow In Furness, Cumbria, LA13 0AN",110342109010N,Arqiva Services Ltd,19500,01/04/1990
"Nautical Club, Promenade, Barrow In Furness, Cumbria, LA14 3QF",101254809250N,"Nautical Club,",9200,01/04/1990
"Nch At Newbarns School, Rising Side, Barrow In Furness, Cumbria, LA13 9ET",110458259011N,Action For Children,6300,14/04/2008
"Neil Martin Group Ltd ,, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",106507669205N,Neil Martin Group Ltd,27250,01/10/2012
"Neil Price Ltd, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",106507669040N,Burlington Aggregates Ltd,24750,01/04/2015
"Nelson Street Car Park, Nelson Street, Dalton In Furness, Cumbria, LA15 8AF",112288309191N,Barrow Borough Council,1600,01/04/2010
"Newbarns School, Rising Side, Barrow In Furness, Cumbria, LA13 9ET",110458259010N,Cumbria County Council,45250,01/04/1990
"Newbridge House, Ewan Close, Barrow In Furness, Cumbria, LA13 9HU",110338259041N,Cumbria County Council,11000,01/04/1992
"Newton County Primary School, Newton, Newton In Furness, Nr Dalton In Furness, Cumbria, LA13 0LT",113388401230N,Cumbria County Council,6800,01/04/1990
"Newton Village Hall, Newton, Newton In Furness, Nr Dalton In Furness, Cumbria, LA13 ONB",113388400920N,Newton Village Hall,2600,01/04/1990
"Next Plc, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",104131209118N,"Next Plc,",146000,17/01/2005
"Nhs Cumbria Hoops Basketball Ctr, R/O Thorncliffe School, Thorncliffe Road, Barrow In Furness, Cumbria, LA14 5QP",109269809032N,Cumbria Partnership Nhs Foundation Trust,5800,01/04/2011
"No 34 Hut, Harding Rise, Barrow In Furness, Cumbria, LA14 2TB",103357109250N,Barrow Island Boating Club,330,01/04/2003
"No 65 Garage, St Andrews Crossing, Barrow In Furness, Cumbria, LA14 2SS",103360609080N,Cumbria County Council,460,15/11/2011
"North Car Park, Holker Street, Barrow In Furness, Cumbria, LA14 5RB",104231609045N,Barrow Borough Council,6300,01/09/2012
"Northern Riviera 2nd Fl, The Canteen Media & Arts Ctr, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",103342709223N,Horrocks & Cross Ltd,1500,01/09/2013
"North Scale Community Centre, Cows Tarn Lane, Barrow In Furness, Cumbria, LA14 3UG",101314229001N,North Scale Residents Association (Incorp Comm Centre),2800,01/11/1996
"North Scale Disabled Boat Club, Promenade, Barrow In Furness, Cumbria, LA14 3RW",101254809016N,N Scale Dis. Boat Club,960,05/11/2005
"North & South Terminals, Rampside, Barrow In Furness, Cumbria, LA13 0QZ",111257009291N,British Gas,4225000,01/04/1995
"North Walney Co Primary Schl, Duddon Drive, Barrow In Furness, Cumbria, LA14 3TL",101342909052N,Cumbria County Council,25500,01/01/1993
"Nos 2,3 & 4 Archways, Raglan Street, Barrow In Furness, Cumbria, LA14 2AP",108356609031N,Network Rail,3250,09/01/2014
"Ntl Site 10348, Fair View, Marton In Furness, Cumbria, LA12 OHN",112284209000N,Arqiva Ltd,25750,01/04/1990
