?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,22/11/2013,238439,1997,BELTON DEVELOPMENTS,100040
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,29/11/2013,238657,1996,JCP POWER & DATA CONTRACTORS LTD,100243
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,15/11/2013,237794,1968.87,LOWDHAM PARISH COUNCIL,100288
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,AGENCY REPAYMENTS,29/11/2013,238744,1957,NEW YOUTH THEATRE,100360
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,08/11/2013,237564,1935.6,BARRY COLLINGS ENTERTAINMENTS,101077
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,08/11/2013,237623,1886.66,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,08/11/2013,237646,1850.3,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REFUSE BIN PURCHASES,15/11/2013,237896,1814.5,ESE WORLD LTD,102150
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,22/11/2013,238404,1800,RATCLIFFE FERNLEY MEDIA LTD,102170
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,AGENCY STAFF,08/11/2013,237458,1783.15,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE &  ENVIRONMENT,G991,STORES RECEIPTS,08/11/2013,237519,1756.39,ALLWOODS,101776
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,15/11/2013,237982,1740,FOREST FARM TREE SERVICES LLP,100170
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REFUSE BIN PURCHASES,29/11/2013,238734,1740,UK CONTAINER MAINTENANCE LTD,100578
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,29/11/2013,238678,1736.56,JCP POWER & DATA CONTRACTORS LTD,100243
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,EQUIPMENT REPAIRS & RENEWALS,01/11/2013,237134,1700,SELIMA LTD,101818
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,29/11/2013,238717,1672,EDMUNDSON ELECTRICAL LTD,101640
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,22/11/2013,238372,1619.92,DEVLIN DECORATORS,100127
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE &  ENVIRONMENT,G991,STORES RECEIPTS,08/11/2013,237482,1592,ALLWOODS,101776
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,22/11/2013,238290,1580,STREETMASTER PRODUCTS,102175
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LICENCES,01/11/2013,237122,1579.79,PERFORMING RIGHT SOCIETY LTD,100423
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,CHAUFFEUR SERVICES,08/11/2013,237654,1563.92,AURA JOURNEYS,101222
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,08/11/2013,237521,1561.97,ZAPP CANOPY UMBRELLAS LTD,100618
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,01/11/2013,237173,1545,THE MOBILITY EQUIPMENT CO LTD,100550
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,EQUIPMENT LEASING RECHARGE,22/11/2013,238388,1544.51,SPECIALIST COMPUTER CENTRES PLC,100773
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,CONTRACTUAL SERVICES,29/11/2013,238789,1539,M KEELING HEATING LTD,101880
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,STANDING CHARGES TELEPHONES,22/11/2013,238296,1522,VIRGIN MEDIA BUSINESS,100593
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,COMPUTER SOFTWARE MAINTENANCE,15/11/2013,237838,1515,LIBERATA (UK) LIMITED,101879
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE &  ENVIRONMENT,G991,STORES RECEIPTS,22/11/2013,238395,1513.02,MILLERS OILS LTD,102161
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,15/11/2013,237834,1513,THE MOBILITY EQUIPMENT CO LTD,100550
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,29/11/2013,238646,1510,S & J BURGIN LTD,101654
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,08/11/2013,237605,1500,JAMIE WILSON PRODUCTIONS LTD,100647
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,15/11/2013,237793,1462.75,FARNDON PARISH COUNCIL,100162
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,AGENCY STAFF,22/11/2013,238445,1450.07,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,COMPUTER SOFTWARE,08/11/2013,237610,1450,RIBA ENTERPRISES LTD,100771
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,22/11/2013,238433,1421.32,SUPERCLEAN SERVICES WOTHORPE LTD,100527
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G994,REFUNDS,15/11/2013,237817,1412.27,REDACTED PERSONAL DATA,102165
