?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER CODE
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,17/06/2011,191853,988.98,REDACTED PERSONAL DATA,101204
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PREMISES REPAIRS & RENEWALS,03/06/2011,191361,960,J WILKINS LIMITED,100236
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,17/06/2011,192089,950.4,ASHFIELD DISTRICT COUNCIL,100022
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,24/06/2011,192343,950.4,ASHFIELD DISTRICT COUNCIL,100022
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,17/06/2011,192093,950.4,BROXTOWE BOROUGH COUNCIL,100063
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,24/06/2011,192397,950,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,24/06/2011,191856,945.06,REDACTED PERSONAL DATA,101198
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PREMISES REPAIRS & RENEWALS,17/06/2011,192094,910,J T DECORATORS,100806
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,10/06/2011,191686,871.79,S & N JOINERY,101216
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,ADVERTISING,03/06/2011,191369,856,NORMANTON SCREENPRINT,101097
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,24/06/2011,192401,850.85,ING LEASE (UK) LTD,100225
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,10/06/2011,191694,818,HGR - MARIO STANKOVIC,100208
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,17/06/2011,192069,805,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,17/06/2011,192063,795,REDACTED PERSONAL DATA,100333
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,03/06/2011,191429,792.5,BIRD ENVIRONMENTAL SERVICES LTD,101127
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,03/06/2011,191292,792,NOTTINGHAM CITY COUNCIL,100390
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,03/06/2011,191291,792,PARKWOOD LEISURE LIMITED,100420
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,17/06/2011,192100,792,PARKWOOD LEISURE LIMITED,100420
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,REPAIRS AND MAINTENANCE,24/06/2011,192442,786,QUADRANT SECURITY GROUP LTD,100438
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,17/06/2011,192097,772.2,NOTTINGHAM CITY COUNCIL,100390
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,MATERIALS,10/06/2011,191579,771.3,XEROX OFFICE SUPPLIES,100614
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,24/06/2011,192501,767.51,REDACTED PERSONAL DATA,101208
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ELECTRICITY,24/06/2011,192418,765.89,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,LEGAL FEES COURTS,24/06/2011,192452,753,HMCTS,101145
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,24/06/2011,192350,752.4,PARKWOOD LEISURE LIMITED,100420
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,03/06/2011,191407,752.12,FARMSTAR LTD,100161
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CONTRACTUAL SERVICES,17/06/2011,192048,751.74,G4S CASH SOLUTIONS (UK) LTD,100731
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ADVERTISING,24/06/2011,192340,750,NEWARK ADVERTISER CO LTD,100363
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,GAS,17/06/2011,191838,738.73,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,17/06/2011,192003,733.5,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,ELECTRICITY,24/06/2011,192424,733.24,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,GAS,17/06/2011,191821,710.51,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,24/06/2011,192486,707.28,REDACTED PERSONAL DATA,101197
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PRINTING,10/06/2011,191645,698,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,24/06/2011,192349,693,NOTTINGHAM CITY COUNCIL,100390
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,17/06/2011,191999,692.84,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,24/06/2011,192500,683.54,REDACTED PERSONAL DATA,101205
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PLANNING APPLICATION REFUNDS,24/06/2011,192409,680,REDACTED PERSONAL DATA,101199
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,REPAIRS AND MAINTENANCE,24/06/2011,192385,677.96,HERONRIDGE SERVICES LTD,101187
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,OTHER EQUIPMENT AND TOOLS,24/06/2011,192495,676.8,RECYCLE TOGETHER LTD,101214
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,REPAIRS AND MAINTENANCE,03/06/2011,191382,675,EUROTECH ENVIRONMENTAL LTD,100854
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,24/06/2011,192431,675,IS CREATIVE,101189
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,17/06/2011,191855,662.88,REDACTED PERSONAL DATA,101196
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,ELECTRICITY,24/06/2011,192411,658.17,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,03/06/2011,191400,656.24,JOHNSTON SWEEPERS LTD,100250
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,24/06/2011,192482,654.97,REDACTED PERSONAL DATA,101206
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES & M.O.T.'S,06/06/2011,1106001,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES & M.O.T.'S,06/06/2011,1106002,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES & M.O.T.'S,06/06/2011,1106003,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES & M.O.T.'S,06/06/2011,1106004,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES & M.O.T.'S,06/06/2011,1106005,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES & M.O.T.'S,06/06/2011,1106006,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES & M.O.T.'S,06/06/2011,1106007,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ADVERTISING,24/06/2011,192446,650.2,JOHNSTON PUBLISHING LTD,100249
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,10/06/2011,191593,650,BEAUFORT CONSTRUCTION (S & A) LTD,100038
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,17/06/2011,191986,640.12,SUPERCLEAN SERVICES WOTHORPE LTD,100527
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PARISH CNCLS AND VOL BODIES,17/06/2011,192053,639,SOUTHWELL TOWN COUNCIL,100515
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,EQUIPMENT FOR RESALE,17/06/2011,191922,637.6,SWIMRITE SUPPLIES LTD,100531
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,03/06/2011,191422,633,REDACTED PERSONAL DATA,100454
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,CONTRACTUAL SERVICES,24/06/2011,192325,626.95,MILLWARD PARTNERSHIP,100311
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,17/06/2011,191991,624.24,PARTIC MOTOR SPARES LTD,100421
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,24/06/2011,192492,621.88,REDACTED PERSONAL DATA,101202
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,MOT COST OF SALES,10/06/2011,1106022,615,SIEMENS BUSINESS SERVICES,300040
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,24/06/2011,192389,585,REDACTED PERSONAL DATA,100454
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,24/06/2011,192480,584.4,REDACTED PERSONAL DATA,101207
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,RECYCLING,10/06/2011,191617,580,LOWDHAM VILLAGE HALL,100289
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,17/06/2011,192058,580,T M S LTD,100928
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,10/06/2011,191652,578,LINCOLNSHIRE RESCUE KENNELS,100282
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,EQUIPMENT REPAIRS & RENEWALS,28/06/2011,1106005,573.12,AV PARTMASTER,300041
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,17/06/2011,191848,570.62,REDACTED PERSONAL DATA,101203
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PREMISES REPAIRS & RENEWALS,24/06/2011,192363,562.04,COOPER PLUMBING,100110
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,STATIONERY,03/06/2011,191360,558,MHG SUPPLIES LTD,101193
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,24/06/2011,192488,552.97,REDACTED PERSONAL DATA,101201
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,03/06/2011,191419,550,CLIPSTONE ANGLING CLUB,100096
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,REPAIRS AND MAINTENANCE,17/06/2011,191952,550,FM EVENTS,101182
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,01/07/2011,192496,527.44,REDACTED PERSONAL DATA,101195
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,GAS,17/06/2011,191830,523.8,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,10/06/2011,191614,517.66,TUA FILMS,100575
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,03/06/2011,191364,512,WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,100602
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,17/06/2011,191956,512,CONTINENTAL SPORTS LTD,101180
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PUBLICATIONS,20/05/2011,1106003,510.21,KONICA MINOLTA,300027
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,10/06/2011,191699,504,REDACTED PERSONAL DATA,100454
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,PRINTING,24/06/2011,192402,501.59,KONICA EAST BUSINESS SOLUTIONS EAST LTD,100680
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,EQUIPMENT REPAIRS & RENEWALS,10/06/2011,191598,500,IDOX SOFTWARE LTD,100738
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ADVERTISING,10/06/2011,191672,500,NEWARK ADVERTISER CO LTD,100363
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,24/06/2011,192438,500,NEW ECONOMICS FOUNDATION,101209
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROMOTION OF EVENTS,17/06/2011,191904,500,BIG STUFF,101178
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,HARDWARE MAINTENANCE,10/06/2011,1106006,500,CANTEL,300042
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,COURSE FEES,03/06/2011,191379,495,LOCAL GOVERNMENT ASSOCIATION,100283
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,OTHER EQUIPMENT AND TOOLS,17/06/2011,191949,492.95,RAP INDUSTRIES LIMITED,100446
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,17/06/2011,192048,469.3,G4S CASH SOLUTIONS (UK) LTD,100731
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,24/06/2011,192447,455,FITNESS INDUSTRY ASSOCIATION LTD,100802
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,GAS,17/06/2011,191829,447.36,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,17/06/2011,192047,429,SECURITY2,100483
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,10/06/2011,191670,429,SHERWOOD SIGNMAKERS LTD,100496
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,24/06/2011,192367,428,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,10/06/2011,191627,424.35,FARMSTAR LTD,100161
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,STALL CLEARANCE,10/06/2011,191700,417.6,NEWARK SECURITY SERVICES LTD,100371
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,GAS,17/06/2011,191820,-431.05,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SEWAGE WORKS ROUTINE MAINTNCE,17/06/2011,191878,-463.74,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,AGENCY COMMISSION,17/06/2011,192037,-624,VIVA,101220
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,GAS,17/06/2011,191811,-768.37,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,HIRE OF THEATRE,17/06/2011,192037,-1060,VIVA,101220
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,STAFFING COSTS RECOVERED,17/06/2011,192036,-1090.82,POLKA DOT ACADEMY,101212
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,10/06/2011,191642,-2200.33,PERFORMING RIGHT SOCIETY LTD,100423
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SEWAGE WORKS ROUTINE MAINTNCE,17/06/2011,191887,-3179.82,BRITISH GAS BUSINESS,100840
