Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019564,1762.50
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019564,1609.85
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS PLC,4019567,2262.40
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS PLC,4019568,2828.00
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,VEGA CONSULTING SERVICES LTD,4019569,4800.00
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4019570,14037.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4019573,18052.50
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4019575,553.13
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Storage and Distribution (Programme),Energy Markets & Infrastructure - Security and resilience,CASEVA LTD,4019579,987.65
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,THE OPEN UNIVERSITY,4019580,1215.00
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019581,2736.48
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4019582,2750.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4019583,1551.00
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AEA TECHNOLOGY plc,4019584,103707.72
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,KREAB GAVIN ANDERSON LTD,4019590,5992.50
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,KREAB GAVIN ANDERSON LTD,4019591,6236.90
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,IC CONSULTANTS LTD,4019592,6984.14
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,NERA UK LTD,4019593,13036.25
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4019596,9381.13
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4019596,76375.00
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4019596,10711.37
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,S M POSTLE HAMMOND,4019597,9052.73
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Stationery,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE DEPOT UK LTD,4019598,883.60
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN (UK) LTD,4019599,159761.06
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4019605,67686.88
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019606,545.91
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,BRITISH TRUST FOR ORNITHOLOGY (THE),4019610,7000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,THISTLE REPROGRAPHICS LTD,4019611,515.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,"UNIVERSITY OF WALES, BANGOR",4019612,10000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4019613,50000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,External Legal Advice,Energy & Climate Change International - International Energy & Carbon Budgets,LINKLATERS LLP,4019615,19499.10
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4019616,812.69
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,LONDON SCHOOL OF ECONOMICS,4019617,19224.00
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS PLC,4019618,884.07
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019620,39512.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019621,1574.02
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019622,272762.74
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4019624,3707.43
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,ICT Training,Corporate Support & Shared Services - Corporate Support & Shared Services,LEARNING TREE INTERNATIONAL LTD,4019625,3907.00
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Other Training Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,BIRKBECK COLLEGE,4019627,525.00
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,LONDON ENERGY RESEARCH LTD,4019628,960.00
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Contributions (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,OECD,4019629,80000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4019630,38125.00
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4019631,10000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Recoveries Account,Corporate Payments,BP EXPLORATION OPERATING COMPANY LTD,4019633,20216.00
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019634,2880.98
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4019635,1475828.00
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4019637,62330.50
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4019638,2605.42
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Publications,Corporate Support & Shared Services - Corporate Support & Shared Services,EBSCO INFORMATION SERVICES,4019639,670.96
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019640,21340.00
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019641,6720.00
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Other IT Costs,National Climate Change & Consumer Support - Communications,EC GROUP,4019645,876.35
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4019648,1344.55
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Technical Services,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4019649,16366.35
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019650,3055.00
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4019652,1880.00
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Air Fares  - Overseas (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,WORLD RESOURCES INSTITUTE,4019655,1430.97
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4019657,93657.73
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4019660,81309.65
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ILX GROUP PLC,4019661,1650.00
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019667,693.58
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019671,607.85
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019675,619.46
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4019676,2409.16
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,External Training,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,CITY UNIVERSITY LONDON,4019677,1600.00
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019678,557.51
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4019679,14853.25
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4019681,580.74
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019684,573.00
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4019687,29822.50
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019689,1950.00
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019690,976.39
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019692,861.18
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4019695,818.25
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4019700,615.43
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,International Subscriptions,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,VTT TECHNICAL RESEARCH CENTRE OF FINLAND,4019701,2726.89
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4019702,3916.66
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4019703,3916.66
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Conference Facilities,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,SOUTHWARK CATHEDRAL ENTERPRISES LTD,4019706,670.00
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4019707,3627.80
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4019708,3960.50
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4019710,774.56
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4019711,724.79
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Science & Innovation Group - Science & Innovation Group,ADECCO UK LTD,4019712,744.22
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4019713,864.72
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,External Training,Science & Innovation Group - Science & Innovation Group,NATIONAL PHYSICAL LABORATORY,4019714,702.11
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4019716,12074.25
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4019717,225000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019718,18983.85
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019719,305350.25
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Contributions (Programme),Energy & Climate Change International - International Climate Change Negotiations,FOREIGN AND COMMONWEALTH OFFICE (FCO),4019723,9960.31
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4019725,635.21
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4019728,1770950.33
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4019729,3163194.04
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,HERIOT-WATT UNIVERSITY,4019730,2155.49
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Research & Development Expenditure (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,UNIVERSITY OF SUSSEX,4019731,35042.25
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Taxis Overseas,Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4019733,1782.32
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Secondees (not paid directly),Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4019733,2301.83
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4019735,700.00
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4019738,29850.00
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4019739,1762.50
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BURNTISLAND FABRICATIONS LTD,4019740,262500.00
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Professional Subscriptions,Energy Markets & Infrastructure - Security and resilience,SWETS INFORMATION SERVICES,4019741,2487.18
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Professional Subscriptions,Energy Markets & Infrastructure - Security and resilience,SWETS INFORMATION SERVICES,4019741,1815.87
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4019742,808.02
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4019746,1938.75
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4019752,1727.90
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (EDENRED),4019753,14602.00
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,HUGH JAMES SOLICITORS,4019754,25000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4019756,980.00
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4019757,1693.83
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4019758,2187.19
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4019761,6378.37
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4019762,2581.91
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4019763,1933.37
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,CRANFIELD UNIVERSITY,4019764,58674.16
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,CRANFIELD UNIVERSITY,4019765,33533.34
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,STONEWALL EQUALITY LTD,4019768,1033.00
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS SPECIALIST RECRUITMENT LTD,4019769,923.15
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019770,630.05
Department for Energy and Climate Change,Department for Energy and Climate Change,26-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019771,1188.63
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Internal Training,Corporate and Professional Services,NATIONAL SCHOOL OF GOVERNMENT,4019776,980.00
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,External Training,Corporate and Professional Services,UIMPACT LTD,4019779,1000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,DEFRA,4019780,3067.03
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Shared Services,Corporate and Professional Services,DEFRA,4019781,119511.00
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Payroll Services,National Climate Change & Consumer Support - Communications,DEFRA,4019782,14493.57
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Catering Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,AZURE SUPPORT SERVICES LTD,4019785,680.00
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4019787,756.64
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019788,5817.84
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019789,9450.00
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019790,6000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Accommodation Rentals,Corporate and Professional Services,XEROX FINANCE LTD,4019794,847.00
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Secondees (not paid directly),National Climate Change & Consumer Support - National Climate Change,ERNST & YOUNG LLP,4019796,4079.60
Department for Energy and Climate Change,Department for Energy and Climate Change,29-Nov-2010 ,Business Management Advice,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE OF GOVERNMENT COMMERCE (OGC),4019798,7000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Hire of Conference Facilities,Science & Innovation Group - Science & Innovation Group,GIPSY HILL HOTEL,4019799,2279.70
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,External Training,Corporate and Professional Services,ILX GROUP PLC,4019802,9996.00
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4019808,555.00
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4019809,1740.00
