Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,ICT Infrastructure Specific Service (PFI),Corporate and Professional Services,FUJITSU SERVICES LTD,4019041,2682.50
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,ICT Infrastructure Specific Service,Corporate and Professional Services,FUJITSU SERVICES LTD,4019041,9686.82
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Computer Equipment,Corporate and Professional Services,FUJITSU SERVICES LTD,4019042,10372.87
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,ICT Infrastructure Specific Service,Corporate and Professional Services,FUJITSU SERVICES LTD,4019044,6442.50
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4019050,887.42
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,ADECCO UK LTD,4019053,629.21
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Media Services,Corporate and Professional Services,CABINET OFFICE,4019054,8070.75
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019055,1697.00
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Printing (Programme),Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,COI COMMUNICATIONS,4019057,5730.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Application Support Service,National Climate Change & Consumer Support - Communications,PARITY RESOURCES LTD,4019058,736.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Application Support Service,Corporate and Professional Services,PARITY RESOURCES LTD,4019059,8866.00
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Printing (Programme),Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,COI COMMUNICATIONS,4019060,39936.00
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Translation Services (Programme),Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,COI COMMUNICATIONS,4019061,1555.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Local IT Consultancy,Corporate and Professional Services,PARITY RESOURCES LTD,4019063,11493.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4019064,990.97
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN (UK) LTD,4019067,163066.13
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4019076,57268.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CLARKSON MANAGEMENT SERVICES LTD,4019078,9352.50
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Grants - Statutory - Current - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE CARBON TRUST,4019079,566305.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Grants - Statutory - Current - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE CARBON TRUST,4019079,12342.00
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019080,3525.00
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019088,1037.48
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4019095,1727.90
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019096,2880.98
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Technical Support,National Climate Change & Consumer Support - National Climate Change,AETHER LTD,4019097,4582.50
