Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number
Cabinet Office,Central Office of Information,15/11/2011,Media Fees,Advertising,M4C,10164321,4435.57,TV Buying Fee,WC1X 8RX,SME,116134
Cabinet Office,Central Office of Information,15/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164321,169.83,TV BASBOF,WC1X 8RX,SME,116134
Cabinet Office,Central Office of Information,15/11/2011,TV/Radio Production,Regional Marketing,M4C,10164322,25500.00,TV Airtime,WC1X 8RX,SME,116059
Cabinet Office,Central Office of Information,15/11/2011,TV/Radio Production,Regional Marketing,M4C,10164322,666.00,TV Airtime Comm,WC1X 8RX,SME,116059
Cabinet Office,Central Office of Information,15/11/2011,Campaigns (Non Vatable),Regional Marketing,M4C,10164322,25.50,TV BASBOF,WC1X 8RX,SME,116059
Cabinet Office,Central Office of Information,15/11/2011,Postage (Non Vatable),Direct and Relationship Marketing,Howitt Ltd,10164329,39392.54,Postage (non-vatable),NG17 5FB,SME,118030
Cabinet Office,Central Office of Information,15/11/2011,Postage Couriers etc,Direct and Relationship Marketing,Howitt Ltd,10164329,6563.80,Direct mail postage,NG17 5FB,SME,118030
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Research,Ipsos MORI,10164334,21750.00,Research Company Costs,SE1 1FY,SME,117753
Cabinet Office,Central Office of Information,15/11/2011,Events Management,Live Events,MCI UK Ltd,10164361,148688.80,Framework Agency Costs,GU31 5AZ,SME,117588
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Advertising,M4C,10164368,136762.45,Cinema Airtime,WC1X 8RX,SME,116451
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Advertising,M4C,10164368,11031.30,Cinema Airtime,WC1X 8RX,SME,117430
Cabinet Office,Central Office of Information,15/11/2011,Media Fees,Advertising,M4C,10164368,3571.91,Cinema Buying Fee,WC1X 8RX,SME,116451
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Advertising,M4C,10164368,1500.00,Miscellaneous Expenditure,WC1X 8RX,SME,116466
Cabinet Office,Central Office of Information,15/11/2011,Media Fees,Advertising,M4C,10164368,288.11,Cinema Buying Fee,WC1X 8RX,SME,117430
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Sponsorship,23 RED Ltd,10164443,38753.91,Sponsorship Agency Fees,N1 9BG,SME,115628
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Direct and Relationship Marketing,Experian Ltd,10164581,33685.56,Other DRM expense with contractors,NG80 1RH,Large,112969
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Sponsorship,23 RED Ltd,10164585,80561.52,Sponsorship Agency Fees,N1 9BG,SME,115627
Cabinet Office,Central Office of Information,15/11/2011,Campaigns (Non Vatable),Advertising,M4C,10165374,25605.87,TV BASBOF,WC1X 8RX,SME,115036
