post_date,Category,Spend,,
25/04/13,Travel/Airlines,647.25,,
25/04/13,Travel/Airlines,8270.31,,
26/04/13,Computer Software Stores,550.81,,
26/04/13,Diy & Household Stores,517.40,,
26/04/13,Electrical Parts/Equipment,834.00,,
26/04/13,Electrical Parts/Equipment,613.76,,
26/04/13,Electrical Parts/Equipment,1301.05,,
26/04/13,Electrical Parts/Equipment,857.00,,
26/04/13,Electrical Parts/Equipment,645.60,,
26/04/13,Electrical Parts/Equipment,645.71,,
26/04/13,Hotels,1190.00,,
26/04/13,Hotels,565.40,,
26/04/13,Industrial Supplies,699.21,,
26/04/13,Lumber/Build. Supply Stores,509.00,,
26/04/13,Lumber/Build. Supply Stores,892.05,,
26/04/13,Lumber/Build. Supply Stores,618.68,,
26/04/13,Member Organizations,1059.00,,
26/04/13,Travel/Airlines,866.82,,
26/04/13,Travel/Airlines,4122.44,,
26/04/13,Travel/Airlines,2350.77,,
26/04/13,Travel/Airlines,2464.55,,
26/04/13,Travel/Airlines,1080.00,,
26/04/13,Travel/Airlines,-2373.65,,
26/04/13,Travel/Airlines,1706.25,,
26/04/13,Travel/Airlines,4044.52,,
26/04/13,Travel/Airlines,1992.57,,
26/04/13,Travel/Airlines,1992.57,,
26/04/13,Travel/Airlines,532.25,,
26/04/13,Travel/Airlines,1433.25,,
26/04/13,Travel/Airlines,1433.25,,
26/04/13,Travel/Airlines,1558.45,,
26/04/13,Travel/Airlines,1558.45,,
26/04/13,Travel/Airlines,1330.75,,
26/04/13,Travel/Airlines,-2488.20,,
26/04/13,Travel/Airlines,1492.89,,
26/04/13,Travel/Airlines,-819.50,,
26/04/13,Travel/Airlines,-1652.00,,
26/04/13,Travel/Airlines,1815.40,,
26/04/13,Travel/Airlines,-1318.60,,
26/04/13,Travel/Airlines,-2823.20,,
26/04/13,Travel/Airlines,1646.62,,
29/04/13,Computer Program/Sys Design,793.82,,
29/04/13,Computers/Peripherals/Software,512.29,,
29/04/13,Construction Materials,1393.85,,
29/04/13,Diy & Household Stores,1179.24,,
29/04/13,Electrical Parts/Equipment,1080.00,,
29/04/13,Electrical Parts/Equipment,645.00,,
29/04/13,Electrical Parts/Equipment,837.62,,
29/04/13,Furniture/Equip Stores,534.33,,
29/04/13,Hotels,520.90,,
29/04/13,Hotels,634.75,,
29/04/13,Hotels,1418.93,,
29/04/13,Hotels,1447.86,,
29/04/13,Hotels,1309.00,,
29/04/13,Hotels,625.25,,
29/04/13,Hotels,1266.83,,
29/04/13,Hotels,1321.43,,
29/04/13,Hotels,580.87,,
29/04/13,Hotels,642.52,,
29/04/13,Hotels,1190.00,,
29/04/13,Hotels,1225.03,,
29/04/13,Hotels,2573.47,,
29/04/13,Hotels,625.25,,
29/04/13,Hotels,603.15,,
29/04/13,Travel/Airlines,1581.00,,
29/04/13,Travel/Airlines,4715.00,,
29/04/13,Travel/Airlines,651.94,,
29/04/13,Travel/Airlines,651.94,,
29/04/13,Travel/Airlines,651.94,,
29/04/13,Travel/Airlines,767.22,,
29/04/13,Travel/Airlines,2554.05,,
29/04/13,Travel/Airlines,1753.00,,
29/04/13,Travel/Airlines,748.50,,
29/04/13,Travel/Airlines,1279.50,,
29/04/13,Travel/Airlines,-2315.80,,
29/04/13,Travel/Airlines,982.55,,
29/04/13,Travel/Airlines,-1005.20,,
29/04/13,Travel/Airlines,687.69,,
29/04/13,Travel/Airlines,1258.15,,
