Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Poultry,Conditions,Pericarditis,2018-02,Wales,106,99590,1,0.106
Poultry,Conditions,Pericarditis,2018-03,Wales,16,129600,1,0.012
Poultry,Conditions,Perihepatitis/Peritonitis,2018-01,England,2,37804,11,0.005
Poultry,Conditions,Perihepatitis/Peritonitis,2018-02,England,111,104403,11,0.106
Poultry,Conditions,Perihepatitis/Peritonitis,2018-03,England,1354,492445,9,0.275
Poultry,Conditions,Perihepatitis/Peritonitis,2018-01,Wales,22,66270,1,0.033
Poultry,Conditions,Perihepatitis/Peritonitis,2018-02,Wales,26,99590,1,0.026
Poultry,Conditions,Perihepatitis/Peritonitis,2018-03,Wales,5,129600,1,0.004
Poultry,Conditions,Respiratory Disease (air sacculitis),2018-01,England,479,37804,11,1.267
Poultry,Conditions,Respiratory Disease (air sacculitis),2018-02,England,14,104403,11,0.013
Poultry,Conditions,Respiratory Disease (air sacculitis),2018-03,England,15,492445,9,0.003
Poultry,Conditions,Salpingitis,2018-01,England,1,37804,11,0.003
Poultry,Conditions,Salpingitis,2018-03,England,185,492445,9,0.038
Poultry,Conditions,Tumours/Nodules,2018-03,England,79,492445,9,0.016
Poultry,Conditions,Tumours/Nodules,2018-02,Wales,1,99590,1,0.001
Quail,Conditions,Abnormal Colour/Fevered,2018-01,England,11,3120,1,0.353
Quail,Conditions,Abnormal Colour/Fevered,2018-02,England,9,6725,1,0.134
Quail,Conditions,Abnormal Colour/Fevered,2018-03,England,21,8685,1,0.242
Quail,Conditions,Bruising/Fractures,2018-01,England,4,3120,1,0.128
Quail,Conditions,Bruising/Fractures,2018-02,England,18,6725,1,0.268
Quail,Conditions,Bruising/Fractures,2018-03,England,1,8685,1,0.012
Quail,Conditions,Cellulitis,2018-01,England,11,3120,1,0.353
Quail,Conditions,Cellulitis,2018-02,England,10,6725,1,0.149
Quail,Conditions,Cellulitis,2018-03,England,16,8685,1,0.184
Quail,Conditions,Dermatitis,2018-01,England,5,3120,1,0.16
Quail,Conditions,Dermatitis,2018-02,England,4,6725,1,0.059
Quail,Conditions,Dermatitis,2018-03,England,2,8685,1,0.023
Quail,Conditions,Emaciation,2018-01,England,14,3120,1,0.449
Quail,Conditions,Emaciation,2018-02,England,3,6725,1,0.045
Quail,Conditions,Emaciation,2018-03,England,4,8685,1,0.046
Quail,Conditions,Joint Lesions,2018-01,England,8,3120,1,0.256
Quail,Conditions,Joint Lesions,2018-02,England,26,6725,1,0.387
Quail,Conditions,Joint Lesions,2018-03,England,45,8685,1,0.518
Quail,Conditions,"Other Factory (poor plucking, product requirement)",2018-02,England,3,6725,1,0.045
Quail,Conditions,Perihepatitis/Peritonitis,2018-01,England,9,3120,1,0.288
Quail,Conditions,Perihepatitis/Peritonitis,2018-03,England,5,8685,1,0.058
Quail,Conditions,Salpingitis,2018-01,England,5,3120,1,0.16
Quail,Conditions,Salpingitis,2018-02,England,2,6725,1,0.03
Quail,Conditions,Salpingitis,2018-03,England,2,8685,1,0.023
Quail,Conditions,Tumours/Nodules,2018-02,England,1,6725,1,0.015
Turkeys,Conditions,Abnormal Colour/Fevered,2018-01,England,814,633856,14,0.128
Turkeys,Conditions,Abnormal Colour/Fevered,2018-02,England,819,578480,11,0.142
Turkeys,Conditions,Abnormal Colour/Fevered,2018-03,England,1084,805941,11,0.135
Turkeys,Conditions,Abnormal Colour/Fevered,2018-01,Wales,3,2325,1,0.129
Turkeys,Conditions,Abnormal Colour/Fevered,2018-03,Wales,1,3841,1,0.026
Turkeys,Conditions,Ascites/Oedema,2018-01,England,87,633856,14,0.014
Turkeys,Conditions,Ascites/Oedema,2018-02,England,58,578480,11,0.01
Turkeys,Conditions,Ascites/Oedema,2018-03,England,76,805941,11,0.009
Turkeys,Conditions,Ascites/Oedema,2018-01,Wales,2,2325,1,0.086
Turkeys,Conditions,Ascites/Oedema,2018-03,Wales,8,3841,1,0.208
Turkeys,Conditions,Bruising/Fractures,2018-01,England,9219,633856,14,1.454
Turkeys,Conditions,Bruising/Fractures,2018-02,England,7435,578480,11,1.285
Turkeys,Conditions,Bruising/Fractures,2018-03,England,7425,805941,11,0.921
Turkeys,Conditions,Bruising/Fractures,2018-02,Wales,5,578,1,0.865
Turkeys,Conditions,Bruising/Fractures,2018-03,Wales,12,3841,1,0.312
Turkeys,Conditions,Cellulitis,2018-01,England,187,633856,14,0.03
Turkeys,Conditions,Cellulitis,2018-02,England,147,578480,11,0.025
Turkeys,Conditions,Cellulitis,2018-03,England,191,805941,11,0.024
Turkeys,Conditions,Contamination,2018-01,England,568,633856,14,0.09
Turkeys,Conditions,Contamination,2018-02,England,442,578480,11,0.076
Turkeys,Conditions,Contamination,2018-03,England,645,805941,11,0.08
Turkeys,Conditions,Contamination,2018-02,Wales,45,578,1,7.785
Turkeys,Conditions,Contamination,2018-03,Wales,57,3841,1,1.484
Turkeys,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-01,England,364,633856,14,0.057
Turkeys,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-02,England,297,578480,11,0.051
Turkeys,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-03,England,497,805941,11,0.062
Turkeys,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-01,Wales,1,2325,1,0.043
Turkeys,Conditions,Death other than slaughter (uncut/badly bled),2018-01,England,102,633856,14,0.016
Turkeys,Conditions,Death other than slaughter (uncut/badly bled),2018-02,England,98,578480,11,0.017
Turkeys,Conditions,Death other than slaughter (uncut/badly bled),2018-03,England,105,805941,11,0.013
Turkeys,Conditions,Dermatitis,2018-01,England,176,633856,14,0.028
Turkeys,Conditions,Dermatitis,2018-02,England,184,578480,11,0.032
Turkeys,Conditions,Dermatitis,2018-03,England,186,805941,11,0.023
Turkeys,Conditions,Emaciation,2018-01,England,355,633856,14,0.056
Turkeys,Conditions,Emaciation,2018-02,England,339,578480,11,0.059
Turkeys,Conditions,Emaciation,2018-03,England,462,805941,11,0.057
Turkeys,Conditions,Emaciation,2018-03,Wales,3,3841,1,0.078
Turkeys,Conditions,Hepatitis,2018-01,England,1164,633856,14,0.184
Turkeys,Conditions,Hepatitis,2018-02,England,1448,578480,11,0.25
Turkeys,Conditions,Hepatitis,2018-03,England,1702,805941,11,0.211
Turkeys,Conditions,Hepatitis,2018-01,Wales,46,2325,1,1.978
Turkeys,Conditions,Hepatitis,2018-02,Wales,31,578,1,5.363
Turkeys,Conditions,Hepatitis,2018-03,Wales,89,3841,1,2.317
Turkeys,Conditions,Joint Lesions,2018-01,England,221,633856,14,0.035
Turkeys,Conditions,Joint Lesions,2018-02,England,98,578480,11,0.017
Turkeys,Conditions,Joint Lesions,2018-03,England,185,805941,11,0.023
Turkeys,Conditions,Machine Damage,2018-01,England,39,633856,14,0.006
Turkeys,Conditions,Machine Damage,2018-02,England,65,578480,11,0.011
Turkeys,Conditions,Machine Damage,2018-03,England,158,805941,11,0.02
Turkeys,Conditions,Machine Damage,2018-03,Wales,16,3841,1,0.417
Turkeys,Conditions,"Other Factory (poor plucking, product requirement)",2018-01,England,6,633856,14,0.001
Turkeys,Conditions,"Other Factory (poor plucking, product requirement)",2018-02,England,10,578480,11,0.002
Turkeys,Conditions,"Other Factory (poor plucking, product requirement)",2018-03,England,82,805941,11,0.01
Turkeys,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-03,England,46,805941,11,0.006
Turkeys,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-03,Wales,1,3841,1,0.026
Turkeys,Conditions,Overscald,2018-01,England,82,633856,14,0.013
Turkeys,Conditions,Overscald,2018-03,Wales,2,3841,1,0.052
Turkeys,Conditions,Pericarditis,2018-01,England,2581,633856,14,0.407
Turkeys,Conditions,Pericarditis,2018-02,England,2555,578480,11,0.442
Turkeys,Conditions,Pericarditis,2018-03,England,3171,805941,11,0.393
Turkeys,Conditions,Pericarditis,2018-01,Wales,217,2325,1,9.333
Turkeys,Conditions,Pericarditis,2018-02,Wales,84,578,1,14.533
Turkeys,Conditions,Pericarditis,2018-03,Wales,283,3841,1,7.368
Turkeys,Conditions,Perihepatitis/Peritonitis,2018-01,England,597,633856,14,0.094
Turkeys,Conditions,Perihepatitis/Peritonitis,2018-02,England,534,578480,11,0.092
Turkeys,Conditions,Perihepatitis/Peritonitis,2018-03,England,833,805941,11,0.103
Turkeys,Conditions,Respiratory Disease (air sacculitis),2018-01,England,95,633856,14,0.015
Turkeys,Conditions,Respiratory Disease (air sacculitis),2018-02,England,139,578480,11,0.024
Turkeys,Conditions,Respiratory Disease (air sacculitis),2018-03,England,171,805941,11,0.021
Turkeys,Conditions,Salpingitis,2018-01,England,88,633856,14,0.014
Turkeys,Conditions,Salpingitis,2018-02,England,64,578480,11,0.011
Turkeys,Conditions,Salpingitis,2018-03,England,100,805941,11,0.012
Turkeys,Conditions,Salpingitis,2018-01,Wales,2,2325,1,0.086
Turkeys,Conditions,Tumours/Nodules,2018-02,England,1,578480,11,0
Turkeys,Conditions,Tumours/Nodules,2018-03,England,5,805941,11,0.001
