Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,DLA Total Recipients (2017),DLA Recipients Male Under 16 (2017),DLA Recipients Male 16-34 (2017),DLA Recipients Male 35-49 (2017),DLA Recipients Male 50-64 (2017),DLA Recipients Male 65+ (2017),DLA Recipients Female Under 16 (2017),DLA Recipients Female 16-34 (2017),DLA Recipients Female 35-49 (2017),DLA Recipients Female 50-64 (2017),DLA Recipients Female 65+ (2017)
95NN06,CASTLEWELLAN,DOWN,440,40,40,50,50,60,10,30,50,60,60
95NN07,CATHEDRAL,DOWN,570,60,50,50,70,80,30,40,50,80,90
95NN08,CROSSGAR,DOWN,260,20,10,10,40,50,10,10,20,50,40
95NN09,DERRYBOY,DOWN,220,20,30,10,30,30,10,10,10,40,40
95NN10,DONARD,DOWN,320,20,30,20,50,60,0,10,30,50,60
95NN11,DRUMANESS,DOWN,420,40,40,20,50,60,20,30,40,70,80
95NN12,DUNDRUM,DOWN,350,20,30,40,50,30,10,30,30,50,50
95NN13,DUNMORE,DOWN,260,30,10,20,30,40,10,20,30,40,40
95NN14,KILLOUGH,DOWN,390,30,40,20,60,60,10,20,30,60,50
95NN15,KILLYLEAGH,DOWN,310,40,20,20,30,50,20,20,20,50,60
95NN16,KILMORE,DOWN,230,10,20,20,20,40,10,10,20,30,50
95NN17,MURLOUGH,DOWN,470,50,40,50,60,50,20,30,50,60,60
95NN18,QUOILE,DOWN,390,30,40,30,60,60,20,10,20,60,60
95NN19,SAINTFIELD,DOWN,240,30,20,10,40,30,10,20,10,40,50
95NN20,SEAFORDE,DOWN,340,30,30,20,50,60,10,20,30,50,50
95NN21,SHIMNA,DOWN,350,20,20,40,50,50,10,20,30,50,50
95NN22,STRANGFORD,DOWN,290,30,20,20,30,50,10,10,30,40,50
95NN23,TOLLYMORE,DOWN,440,20,30,40,70,80,10,20,30,60,70
95OO01,ALTMORE,DUNGANNON,320,10,20,30,50,60,10,10,20,30,60
95OO02,AUGHER,DUNGANNON,170,10,10,20,30,30,0,10,20,30,20
95OO03,AUGHNACLOY,DUNGANNON,280,10,20,30,40,50,10,10,20,50,40
95OO04,BALLYGAWLEY,DUNGANNON,350,30,20,30,60,60,10,10,30,50,70
95OO05,BALLYSAGGART,DUNGANNON,410,20,30,30,60,60,20,20,40,70,60
95OO06,BENBURB,DUNGANNON,270,20,20,20,40,40,10,10,20,40,50
95OO07,CALEDON,DUNGANNON,240,10,20,20,40,40,10,20,20,20,50
95OO08,CASTLECAULFIELD,DUNGANNON,290,20,20,20,40,60,10,20,20,40,60
95OO09,CLOGHER,DUNGANNON,240,10,20,20,40,50,10,10,20,30,40
95OO10,COALISLAND NORTH,DUNGANNON,550,30,40,40,80,70,20,40,50,90,90
95OO11,COALISLAND SOUTH,DUNGANNON,480,30,40,50,60,50,20,40,50,70,80
95OO12,COALISLAND WEST AND NEWMILLS,DUNGANNON,440,50,40,40,40,60,30,30,50,60,50
95OO13,COOLHILL,DUNGANNON,200,10,20,10,30,30,0,10,20,40,30
95OO14,DONAGHMORE (DUNGANNON),DUNGANNON,260,20,10,20,40,40,10,20,20,40,60
95OO15,DRUMGLASS,DUNGANNON,330,30,20,30,40,50,10,10,30,50,60
95OO16,FIVEMILETOWN,DUNGANNON,210,20,10,20,30,30,0,10,20,30,50
95OO17,KILLYMAN,DUNGANNON,250,10,20,20,30,50,10,10,20,40,50
95OO18,KILLYMEAL,DUNGANNON,280,20,20,30,50,40,10,10,20,50,50
95OO19,MOY,DUNGANNON,270,30,20,20,30,30,0,10,20,50,60
95OO20,MOYGASHEL,DUNGANNON,220,10,10,10,30,40,10,0,20,30,50
95OO21,MULLAGHMORE,DUNGANNON,340,10,20,30,50,60,10,20,30,60,60
95OO22,WASHING BAY,DUNGANNON,410,20,20,30,60,60,10,20,40,60,80
95PP01,BALLINAMALLARD,FERMANAGH,250,20,20,10,40,30,10,10,20,30,40
95PP02,BELCOO AND GARRISON,FERMANAGH,200,20,20,10,30,30,0,10,20,30,30
95PP03,BELLEEK AND BOA,FERMANAGH,250,20,20,20,40,30,10,10,20,40,40
95PP04,BOHO CLEENISH AND LETTERBREEN,FERMANAGH,270,20,10,30,50,30,10,20,30,40,40
95PP05,BROOKEBOROUGH,FERMANAGH,210,20,20,20,30,40,10,10,20,20,40
95PP06,CASTLECOOLE,FERMANAGH,440,30,30,30,70,50,10,30,50,80,60
95PP07,DERRYGONNELLY,FERMANAGH,250,20,10,20,50,40,0,10,30,40,40
95PP08,DERRYLIN,FERMANAGH,180,10,10,20,30,20,10,10,10,30,30
95PP09,DEVENISH,FERMANAGH,310,20,30,40,40,40,10,20,30,50,40
95PP10,DONAGH,FERMANAGH,190,10,20,10,20,30,10,10,10,20,40
95PP11,ERNE,FERMANAGH,410,40,40,50,50,50,10,20,50,70,50
95PP12,FLORENCECOURT AND KINAWLEY,FERMANAGH,170,10,20,10,20,30,10,10,10,20,30
95PP13,IRVINESTOWN,FERMANAGH,360,20,30,30,60,50,10,20,30,60,50
95PP14,KESH EDERNEY AND LACK,FERMANAGH,390,30,20,30,60,60,10,30,40,70,50
95PP15,LISBELLAW,FERMANAGH,260,20,20,20,30,40,10,10,20,40,30
95PP16,LISNARRICK,FERMANAGH,160,10,10,10,30,20,10,10,10,30,30
95PP17,LISNASKEA,FERMANAGH,390,20,30,40,50,50,10,20,40,60,70
95PP18,MAGUIRESBRIDGE,FERMANAGH,260,10,30,20,30,30,10,20,20,40,40
95PP19,NEWTOWNBUTLER,FERMANAGH,300,10,30,30,50,40,10,20,40,50,40
95PP20,PORTORA,FERMANAGH,380,20,30,40,40,50,10,30,40,60,60
95PP21,ROSSLEA,FERMANAGH,170,20,10,10,30,20,0,10,20,20,30
95PP22,ROSSORRY,FERMANAGH,310,20,30,20,30,40,10,10,30,60,60
95PP23,TEMPO,FERMANAGH,260,20,20,10,30,30,10,20,40,50,40
95QQ01,ANTIVILLE,LARNE,220,30,20,30,30,20,10,20,10,30,30
95QQ02,BALLYCARRY,LARNE,200,20,10,10,20,30,20,20,20,40,20
95QQ03,BALLYLORAN,LARNE,160,20,10,20,20,20,10,10,10,20,30
95QQ04,BLACKCAVE,LARNE,200,20,10,20,20,30,10,10,20,30,30
95QQ05,CARNCASTLE,LARNE,200,20,20,10,20,30,0,20,20,30,40
95QQ06,CARNLOUGH,LARNE,210,10,20,20,30,20,10,10,20,40,40
95QQ07,CENTRAL (LARNE),LARNE,260,10,20,20,60,40,0,10,20,40,40
95QQ08,CRAIGY HILL,LARNE,260,20,20,10,30,40,0,10,20,50,50
95QQ09,GARDENMORE,LARNE,230,10,10,20,30,40,10,10,10,30,60
95QQ10,GLENARM,LARNE,130,10,10,10,20,20,10,10,10,20,20
95QQ11,GLYNN,LARNE,170,10,20,10,30,20,10,10,10,30,30
95QQ12,HARBOUR (LARNE),LARNE,180,10,10,10,30,20,10,10,20,30,30
95QQ13,ISLAND MAGEE,LARNE,180,20,10,10,30,30,10,10,10,20,30
95QQ14,KILWAUGHTER,LARNE,400,70,40,40,40,40,20,20,40,60,50
95QQ15,TOWN PARKS,LARNE,190,10,20,10,20,30,10,10,20,30,40
95RR01,AGHANLOO,LIMAVADY,410,30,20,30,50,50,10,20,50,80,70
95RR02,BALLYKELLY,LIMAVADY,220,10,20,20,30,40,0,10,30,30,30
95RR03,COOLESSAN,LIMAVADY,290,10,20,30,40,20,10,20,40,50,50
95RR04,DUNGIVEN,LIMAVADY,270,10,20,30,50,30,10,10,30,40,30
95RR05,ENAGH (LIMAVADY),LIMAVADY,330,20,20,20,30,50,10,20,40,50,70
95RR06,FEENY,LIMAVADY,220,10,10,20,30,30,10,10,30,30,40
95RR07,FOREST,LIMAVADY,250,10,20,10,40,40,0,10,20,50,50
95RR08,GLACK,LIMAVADY,240,10,10,20,30,50,0,10,20,40,40
95RR09,GRESTEEL,LIMAVADY,450,30,40,40,60,60,20,20,50,80,50
95RR10,GREYSTONE (LIMAVADY),LIMAVADY,280,10,20,30,40,40,0,20,40,50,50
95RR11,MAGILLIGAN,LIMAVADY,210,10,10,10,30,40,0,10,10,40,50
95RR12,RATHBRADY,LIMAVADY,170,10,0,10,20,20,0,10,20,20,40
95RR13,ROESIDE,LIMAVADY,240,0,30,20,40,30,10,20,20,30,50
95RR14,THE HIGHLANDS,LIMAVADY,200,10,20,20,30,30,10,10,30,20,30
95RR15,UPPER GLENSHANE,LIMAVADY,230,20,10,20,30,30,10,10,30,40,30
95SS01,BALLINDERRY,LISBURN,340,30,30,10,50,40,20,20,40,50,60
95SS02,BALLYMACASH,LISBURN,250,20,30,20,30,30,10,20,20,40,40
95SS03,BALLYMACBRENNAN,LISBURN,160,20,10,10,20,30,10,10,0,20,40
95SS04,BALLYMACOSS,LISBURN,850,110,70,70,100,80,50,50,80,140,110
95SS05,BLARIS,LISBURN,230,20,20,20,30,30,10,10,20,40,40
95SS06,COLLIN GLEN,LISBURN,1300,150,150,80,150,60,60,110,160,280,110
95SS07,DERRYAGHY,LISBURN,1080,160,80,90,130,80,50,80,130,180,120
95SS08,DROMARA,LISBURN,320,40,20,10,30,40,30,10,20,50,60
95SS09,DRUMBO,LISBURN,150,20,10,10,20,30,10,10,10,30,20
95SS10,DUNMURRY,LISBURN,390,20,30,20,60,50,10,20,30,70,70
95SS11,GLENAVY,LISBURN,490,60,40,30,60,70,30,20,50,60,70
95SS12,HARMONY HILL,LISBURN,220,10,20,10,30,30,0,10,20,30,50
95SS13,HILDEN,LISBURN,350,30,30,30,40,40,20,20,30,50,60
95SS14,HILLHALL,LISBURN,370,40,10,20,30,50,20,20,30,60,80
95SS15,HILLSBOROUGH,LISBURN,180,10,20,10,30,30,10,10,20,20,40
95SS16,KILWEE,LISBURN,690,40,50,50,100,90,10,30,70,140,120
95SS17,KNOCKMORE,LISBURN,480,50,40,20,40,60,20,20,50,70,110
95SS18,LAGAN VALLEY,LISBURN,440,30,30,40,60,70,20,20,30,60,90
95SS19,LAMBEG,LISBURN,310,40,20,10,40,40,20,20,20,50,60
95SS20,LISNAGARVY,LISBURN,210,10,10,20,20,50,10,0,20,20,60
95SS21,MAGHABERRY,LISBURN,320,20,30,20,40,50,10,20,30,40,60
95SS22,MAGHERALAVE,LISBURN,250,30,30,10,20,40,20,10,20,40,40
95SS23,MAZE,LISBURN,290,40,20,30,40,40,10,10,20,50,40
95SS24,MOIRA,LISBURN,330,30,20,20,40,40,10,20,20,70,70
95SS25,OLD WARREN,LISBURN,410,60,20,30,50,40,30,20,40,60,70
95SS26,POLEGLASS,LISBURN,710,70,50,50,90,70,30,50,60,150,90
95SS27,SEYMOUR HILL,LISBURN,320,20,10,30,60,40,10,10,30,60,60
95SS28,TONAGH,LISBURN,350,30,30,30,30,40,10,20,40,40,80
95SS29,TWINBROOK,LISBURN,670,40,50,50,90,100,20,40,60,110,120
95SS30,WALLACE PARK,LISBURN,170,20,10,10,10,40,10,10,10,20,30
95TT01,BALLYMAGUIGAN,MAGHERAFELT,240,30,20,20,20,40,10,10,20,20,50
95TT02,BELLAGHY,MAGHERAFELT,230,20,10,20,30,30,10,20,20,50,40
95TT03,CASTLEDAWSON,MAGHERAFELT,350,50,20,30,50,30,20,10,30,70,40
95TT04,DRAPERSTOWN,MAGHERAFELT,360,40,20,30,40,50,20,20,30,60,60
95TT05,GLEBE (MAGHERAFELT),MAGHERAFELT,350,30,30,30,50,30,20,20,30,60,60
95TT06,GULLADUFF,MAGHERAFELT,260,40,30,20,40,30,10,10,30,30,40
95TT07,KNOCKCLOGHRIM,MAGHERAFELT,230,20,10,20,30,30,10,10,20,40,40
95TT08,LECUMPHER,MAGHERAFELT,220,20,20,10,30,20,10,10,20,50,40
95TT09,LOWER GLENSHANE,MAGHERAFELT,260,20,20,20,30,40,10,10,20,50,50
95TT10,MAGHERA,MAGHERAFELT,340,30,30,30,30,40,10,20,30,50,70
95TT11,SWATRAGH,MAGHERAFELT,270,30,20,20,30,50,10,10,30,40,40
95TT12,TOBERMORE,MAGHERAFELT,280,20,10,20,40,40,20,10,30,40,60
95TT13,TOWN PARKS EAST,MAGHERAFELT,360,30,30,30,30,30,10,20,30,70,70
95TT14,TOWN PARKS WEST,MAGHERAFELT,250,20,10,20,30,40,10,20,20,50,40
95TT15,UPPERLANDS,MAGHERAFELT,250,20,10,20,40,40,10,10,20,40,40
95TT16,VALLEY (MAGHERAFELT),MAGHERAFELT,210,20,20,10,30,20,10,10,20,40,40
95UU01,ARMOY,MOYLE,90,0,10,10,10,10,0,0,10,20,10
95UU02,BALLYLOUGH,MOYLE,90,10,10,10,10,10,0,0,10,10,20
95UU03,BONAMARGY AND RATHLIN,MOYLE,80,10,10,10,10,20,0,0,0,10,20
95UU04,BUSHMILLS,MOYLE,70,10,0,0,10,10,0,0,10,20,10
95UU05,CARNMOON,MOYLE,100,10,10,10,10,10,0,10,10,20,20
95UU06,DALRIADA,MOYLE,140,10,10,10,20,20,0,10,10,30,20
95UU07,DUNSEVERICK,MOYLE,60,0,10,10,10,10,0,0,10,10,10
95UU08,GLENAAN,MOYLE,120,0,10,0,20,30,0,10,0,20,20
95UU09,GLENARIFF,MOYLE,150,10,10,10,20,30,10,10,10,20,20
95UU10,GLENDUN,MOYLE,100,10,10,10,20,20,0,10,10,10,20
95UU11,GLENSHESK,MOYLE,70,0,0,10,10,10,0,0,10,20,10
95UU12,GLENTAISIE,MOYLE,200,20,20,20,30,30,10,10,10,30,40
95UU13,KINBANE,MOYLE,80,10,10,10,10,20,0,0,0,20,10
95UU14,KNOCKLAYD,MOYLE,260,20,20,20,40,40,10,10,20,50,40
95UU15,MOSS-SIDE AND MOYARGET,MOYLE,120,10,10,10,20,20,10,0,10,20,20
95VV01,ANNALONG,NEWRY AND MOURNE,390,30,20,30,60,50,20,20,30,70,70
95VV02,BALLYBOT,NEWRY AND MOURNE,450,30,20,40,70,60,10,20,50,70,70
95VV03,BESSBROOK,NEWRY AND MOURNE,450,30,40,50,70,60,10,20,40,60,70
95VV04,BINNIAN,NEWRY AND MOURNE,300,20,30,40,40,50,10,20,30,40,50
95VV05,BURREN AND KILBRONEY,NEWRY AND MOURNE,300,30,20,20,40,50,10,20,30,50,60
95VV06,CAMLOUGH,NEWRY AND MOURNE,440,30,10,30,70,70,20,20,30,70,80
95VV07,CLONALLAN,NEWRY AND MOURNE,540,40,50,40,80,50,10,40,50,100,80
95VV08,CREGGAN,NEWRY AND MOURNE,380,20,30,30,70,60,0,20,30,50,60
95VV09,CROSSMAGLEN,NEWRY AND MOURNE,430,20,30,40,80,80,10,20,30,60,70
95VV10,DAISY HILL,NEWRY AND MOURNE,620,40,60,50,70,60,10,50,70,110,90
95VV11,DERRYLECKAGH,NEWRY AND MOURNE,440,30,20,30,60,60,20,20,30,80,80
95VV12,DERRYMORE,NEWRY AND MOURNE,480,40,30,40,60,80,10,30,40,60,90
95VV13,DONAGHMORE (NEWRY AND MOURNE),NEWRY AND MOURNE,330,20,20,20,40,50,10,20,30,60,50
95VV14,DRUMALANE,NEWRY AND MOURNE,440,30,40,30,70,60,10,20,30,70,80
95VV15,DRUMGULLION,NEWRY AND MOURNE,520,30,40,30,80,60,10,40,40,90,90
95VV16,FATHOM,NEWRY AND MOURNE,330,20,20,20,40,50,10,20,30,60,60
95VV17,FORKHILL,NEWRY AND MOURNE,510,40,30,50,60,70,10,30,50,80,90
95VV18,KILKEEL CENTRAL,NEWRY AND MOURNE,450,30,30,40,60,60,10,30,40,70,90
95VV19,KILKEEL SOUTH,NEWRY AND MOURNE,420,30,30,30,60,60,20,30,30,70,70
95VV20,LISNACREE,NEWRY AND MOURNE,350,20,20,30,60,60,10,20,30,50,60
95VV21,MAYOBRIDGE,NEWRY AND MOURNE,330,30,30,30,50,50,10,10,40,50,50
95VV22,NEWTOWNHAMILTON,NEWRY AND MOURNE,280,20,20,20,40,40,10,20,30,40,40
95VV23,ROSTREVOR,NEWRY AND MOURNE,300,10,20,20,40,50,10,10,30,60,50
95VV24,SEAVIEW,NEWRY AND MOURNE,340,10,20,30,70,70,0,10,30,50,70
95VV25,SILVER BRIDGE,NEWRY AND MOURNE,410,20,30,30,50,70,10,10,40,70,80
95VV26,SPELGA,NEWRY AND MOURNE,380,30,20,30,40,70,10,20,40,70,70
95VV27,ST MARYS,NEWRY AND MOURNE,390,20,30,30,40,70,10,20,20,60,90
95VV28,ST PATRICKS,NEWRY AND MOURNE,500,20,40,40,90,80,10,20,40,80,90
95VV29,TULLYHAPPY,NEWRY AND MOURNE,260,20,10,30,40,40,10,10,20,40,40
95VV30,WINDSOR HILL,NEWRY AND MOURNE,360,20,20,20,50,50,10,20,40,60,70
95WW01,ABBEY,NEWTOWNABBEY,330,20,20,20,50,50,10,10,30,70,60
95WW02,BALLYCLARE NORTH,NEWTOWNABBEY,390,50,30,20,30,40,20,30,30,70,70
95WW03,BALLYCLARE SOUTH,NEWTOWNABBEY,380,40,30,40,50,40,10,20,30,80,50
95WW04,BALLYDUFF,NEWTOWNABBEY,300,20,20,20,30,30,10,20,30,50,70
95WW05,BALLYHENRY,NEWTOWNABBEY,350,20,20,20,40,50,20,20,30,60,80
95WW06,BALLYNURE,NEWTOWNABBEY,190,10,20,10,20,40,10,10,10,30,30
95WW07,BALLYROBERT,NEWTOWNABBEY,260,40,20,20,30,40,10,20,20,50,30
95WW08,BURNTHILL,NEWTOWNABBEY,230,20,10,10,20,40,10,10,20,40,50
95WW09,CARNMONEY,NEWTOWNABBEY,320,20,20,20,30,40,10,20,40,50,70
95WW10,CLOUGHFERN,NEWTOWNABBEY,320,30,20,10,30,50,0,10,30,70,80
95WW11,COLLINBRIDGE,NEWTOWNABBEY,250,20,10,10,30,40,10,10,20,50,50
95WW12,COOLE,NEWTOWNABBEY,400,40,30,20,60,40,20,20,40,80,70
95WW13,DOAGH,NEWTOWNABBEY,220,30,10,20,30,30,10,10,20,40,40
95WW14,DUNANNEY,NEWTOWNABBEY,410,50,30,30,80,50,20,20,30,50,60
95WW15,GLEBE (NEWTOWNABBEY),NEWTOWNABBEY,300,40,20,20,40,40,10,10,20,50,60
95WW16,GLENGORMLEY,NEWTOWNABBEY,340,30,20,30,40,50,10,20,30,50,70
95WW17,HAWTHORNE,NEWTOWNABBEY,350,30,20,20,30,60,10,10,30,60,80
95WW18,HIGHTOWN,NEWTOWNABBEY,240,20,20,20,20,40,0,10,20,30,60
95WW19,JORDANSTOWN,NEWTOWNABBEY,350,40,30,10,30,50,10,20,30,60,70
95WW20,MALLUSK,NEWTOWNABBEY,590,100,40,40,70,50,30,30,70,90,80
95WW21,MONKSTOWN,NEWTOWNABBEY,470,40,30,40,50,50,30,20,40,70,100
95WW22,MOSSLEY,NEWTOWNABBEY,390,50,20,30,50,50,10,20,40,70,60
95WW23,ROSTULLA,NEWTOWNABBEY,270,10,30,30,30,30,10,20,30,40,40
95WW24,VALLEY (NEWTOWNABBEY),NEWTOWNABBEY,520,60,30,40,80,60,30,30,40,70,90
95WW25,WHITEHOUSE,NEWTOWNABBEY,400,20,20,30,60,60,10,10,40,70,90
95XX01,BALLYCROCHAN,NORTH DOWN,320,40,20,20,30,40,20,20,20,70,50
95XX02,BALLYHOLME,NORTH DOWN,110,10,10,0,10,20,10,10,0,20,30
95XX03,BALLYMACONNELL,NORTH DOWN,170,20,10,20,20,20,10,10,10,30,30
95XX04,BALLYMAGEE,NORTH DOWN,250,20,20,10,30,30,0,10,20,50,60
95XX05,BANGOR CASTLE,NORTH DOWN,230,10,10,10,30,40,0,10,20,30,60
95XX06,BLOOMFIELD (NORTH DOWN),NORTH DOWN,450,50,40,30,40,50,20,20,50,80,70
95XX07,BROADWAY,NORTH DOWN,180,10,20,10,20,30,0,10,10,40,40
95XX08,BRYANSBURN,NORTH DOWN,160,10,20,10,20,20,0,10,10,10,50
95XX09,CHURCHILL,NORTH DOWN,240,20,20,10,30,50,10,0,10,30,60
95XX10,CLANDEBOYE,NORTH DOWN,380,60,20,20,40,40,20,30,50,40,60
95XX11,CONLIG,NORTH DOWN,710,80,50,60,80,60,40,60,80,120,90
95XX12,CRAIGAVAD,NORTH DOWN,150,10,20,20,20,20,10,10,10,20,20
95XX13,CRAWFORDSBURN,NORTH DOWN,120,20,10,0,20,20,0,0,10,20,20
95XX14,CULTRA,NORTH DOWN,70,10,0,10,10,10,0,0,0,10,10
95XX15,DUFFERIN,NORTH DOWN,360,30,20,40,50,40,10,20,40,60,60
95XX16,GROOMSPORT,NORTH DOWN,240,10,10,10,30,40,10,0,10,50,80
95XX17,HARBOUR (NORTH DOWN),NORTH DOWN,260,10,30,20,50,20,10,20,30,50,20
95XX18,HOLYWOOD DEMESNE,NORTH DOWN,220,20,10,20,30,30,10,20,30,40,30
95XX19,HOLYWOOD PRIORY,NORTH DOWN,150,10,10,10,20,30,0,10,20,20,30
95XX20,LOUGHVIEW,NORTH DOWN,280,20,10,10,50,40,10,20,20,60,50
95XX21,PRINCETOWN,NORTH DOWN,190,10,20,10,30,30,10,10,10,20,40
95XX22,RATHGAEL,NORTH DOWN,170,10,10,10,20,20,0,10,10,30,40
95XX23,SILVERSTREAM,NORTH DOWN,280,20,20,30,30,30,10,10,30,50,60
95XX24,SPRING HILL,NORTH DOWN,210,10,10,10,20,30,10,10,10,40,50
95XX25,WHITEHILL,NORTH DOWN,290,40,30,20,40,30,10,20,20,50,50
95YY01,BERAGH,OMAGH,400,20,30,30,50,70,20,20,40,50,80
95YY02,CAMOWEN,OMAGH,510,20,40,30,90,60,10,30,40,80,110
95YY03,CLANABOGAN,OMAGH,370,20,20,30,60,60,20,20,40,60,60
95YY04,COOLNAGARD,OMAGH,570,30,40,40,90,80,10,30,60,90,100
95YY05,DERGMONEY,OMAGH,290,10,20,30,40,50,0,10,30,50,60
95YY06,DROMORE,OMAGH,380,20,20,30,70,40,10,20,40,60,60
95YY07,DRUMNAKILLY,OMAGH,430,20,30,30,70,60,10,20,40,70,70
95YY08,DRUMQUIN,OMAGH,280,20,20,20,50,50,10,20,30,40,40
95YY09,DRUMRAGH,OMAGH,390,10,30,40,80,60,0,20,30,70,60
95YY10,FAIRY WATER,OMAGH,220,10,20,10,30,40,0,20,20,40,50
95YY11,FINTONA,OMAGH,370,10,30,30,70,60,0,20,30,60,60
95YY12,GORTIN,OMAGH,330,20,20,30,40,50,10,20,40,40,60
95YY13,GORTRUSH,OMAGH,570,30,30,50,50,70,20,30,70,110,110
95YY14,KILLYCLOGHER,OMAGH,520,30,40,50,70,50,20,30,60,100,70
95YY15,LISANELLY,OMAGH,440,20,50,50,60,40,10,40,60,80,50
95YY16,NEWTOWNSAVILLE,OMAGH,270,10,10,20,40,50,10,10,20,40,50
95YY17,OWENKILLEW,OMAGH,280,10,20,20,50,40,0,20,20,50,50
95YY18,SIXMILECROSS,OMAGH,310,10,20,30,50,60,10,20,20,50,40
95YY19,STRULE,OMAGH,290,10,10,30,60,50,0,20,10,40,60
95YY20,TERMON,OMAGH,420,20,20,30,70,80,10,20,30,70,80
95YY21,TRILLICK,OMAGH,260,10,20,20,50,50,10,10,10,50,40
95ZZ01,ARTIGARVAN,STRABANE,340,20,20,20,40,60,10,20,40,60,50
95ZZ02,BALLYCOLMAN,STRABANE,340,20,20,40,50,30,10,20,40,70,60
95ZZ03,CASTLEDERG,STRABANE,490,10,20,40,80,70,10,20,40,80,110
95ZZ04,CLARE,STRABANE,420,10,30,30,50,80,10,20,30,60,80
95ZZ05,DUNNAMANAGH,STRABANE,330,20,20,20,50,50,10,20,20,70,50
95ZZ06,EAST,STRABANE,390,10,30,40,50,60,10,10,40,70,60
95ZZ07,FINN,STRABANE,440,20,20,30,50,70,10,30,60,60,90
95ZZ08,GLENDERG,STRABANE,450,20,30,40,70,80,10,30,30,70,70
95ZZ09,NEWTOWNSTEWART,STRABANE,370,20,20,30,50,70,10,20,30,50,60
95ZZ10,NORTH,STRABANE,430,30,40,50,60,50,10,10,50,70,80
95ZZ11,PLUMBRIDGE,STRABANE,250,20,10,20,50,40,10,10,20,30,40
95ZZ12,SION MILLS,STRABANE,430,10,30,40,40,70,10,20,50,70,90
95ZZ13,SLIEVEKIRK,STRABANE,300,20,10,30,40,60,0,10,30,30,70
95ZZ14,SOUTH,STRABANE,470,30,40,30,60,70,10,20,50,80,80
95ZZ15,VICTORIA BRIDGE,STRABANE,320,10,10,20,40,70,10,20,30,40,70
95ZZ16,WEST,STRABANE,510,30,20,40,50,90,10,30,50,70,120
