Body Name,Service Code,Expenditure Category,Payment Date,Transaction No,Supplier,Net Amount
Barrow Borough Council,Current assets - stocks,Postage stock,12-Mar-2014,200019417,Royal Mail,"1,011.11"
Barrow Borough Council,Cost of collection,Council tax collection,05-Mar-2014,200019381,Liberata Uk Ltd,"65,546.47"
Barrow Borough Council,Waste collection,Refuse collection,19-Mar-2014,200019543,Biffa Waste Services Ltd,"64,908.96"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,12-Mar-2014,200019388,Keith Wilson Elec Con Ltd,"4,315.30"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,19-Mar-2014,200019509,Plumbing Trade Supplies,702.48
Barrow Borough Council,Disabled Facilities Grant,Grants,19-Mar-2014,200019563,The Drawing Room (Cumbria) Ltd,"1,147.50"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,12-Mar-2014,200019388,Keith Wilson Elec Con Ltd,"6,029.01"
Barrow Borough Council,The park leisure centre,Advertising,19-Mar-2014,200019545,Picture Perfect (Barrow) Ltd,575.00
Barrow Borough Council,Estates management,Buildings repairs and maintenance,12-Mar-2014,200019464,Vinci Construction UK Ltd,753.34
Barrow Borough Council,Dock museum,Electricity,05-Mar-2014,200019302,NPower,"1,522.37"
Barrow Borough Council,Licensing,Professional fees,26-Mar-2014,200019706,James Button & Co Solicitors,942.50
Barrow Borough Council,Current assets - payments in advance,Payment in advance - GF,26-Mar-2014,200019701,Ricoh UK Ltd,"1,035.95"
Barrow Borough Council,Abbey musical society,Admissions,26-Mar-2014,200019687,Abbey Musical Society,"13,001.00"
Barrow Borough Council,Marina Village,Building and construction works,19-Mar-2014,200019494,Continental Landscapes Ltd,"10,338.30"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,26-Mar-2014,200019625,AB Mitchell Developments,"14,250.57"
Barrow Borough Council,Human Resources,Professional training,26-Mar-2014,200019708,University of Derby,700.00
Barrow Borough Council,Barrow town hall,Metered water,05-Mar-2014,200019365,United Utilities Water Plc,749.47
Barrow Borough Council,Public conveniences,Building cleaning,12-Mar-2014,200019382,Bulloughs Cleaning Serv Ltd,"2,010.81"
Barrow Borough Council,The markets,Electricity,26-Mar-2014,200019696,NPower,865.63
Barrow Borough Council,Disabled Facilities Grant,Grants,12-Mar-2014,200019436,David Barrett Ltd,"1,920.00"
Barrow Borough Council,The markets,Buildings repairs and maintenance,05-Mar-2014,200019336,Bill Caulfield Electrical,751.81
Barrow Borough Council,Major works maintenance - HRA,Adaptations,26-Mar-2014,200019625,AB Mitchell Developments,824.52
Barrow Borough Council,Forum 28,Gas,05-Mar-2014,200019366,British Gas Business,"2,864.01"
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,26-Mar-2014,200019586,Keith Wilson Elec Con Ltd,"1,501.08"
Barrow Borough Council,Forum 28,Professional fees,19-Mar-2014,200019548,Spektrix Ltd,"1,146.56"
Barrow Borough Council,Licensing,Professional fees,26-Mar-2014,200019706,James Button & Co Solicitors,610.00
Barrow Borough Council,Miscellaneous items,Professional fees,12-Mar-2014,200019446,The Riverside Group Ltd,"1,147.45"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,19-Mar-2014,200019475,AB Mitchell Developments,"9,678.82"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,26-Mar-2014,200019584,Rixonway Kitchens (Cum) Ltd,"2,147.45"
Barrow Borough Council,Playground,Maintenance contracts - TSU,26-Mar-2014,200019583,Play Safe,"2,298.33"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,19-Mar-2014,200019509,Plumbing Trade Supplies,"1,983.81"
Barrow Borough Council,Dock museum,Gas,26-Mar-2014,200019623,British Gas Business,"2,511.11"
Barrow Borough Council,Neighbourhood Management Team,Other expenses,12-Mar-2014,200019444,Cumbria CVS Eden,"1,750.00"
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,26-Mar-2014,200019586,Keith Wilson Elec Con Ltd,"2,152.98"
Barrow Borough Council,Cylical maintenance - HRA,Painting,26-Mar-2014,200019587,George Jones & Son (Cum) Ltd,"2,730.06"
Barrow Borough Council,Neighbourhood Management Team,Child Poverty Project,05-Mar-2014,200019316,Inspire Furness CIC,"1,260.00"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,26-Mar-2014,200019585,Plumbing Trade Supplies,"1,854.16"
Barrow Borough Council,Market Hall & Offices,Building and construction works,19-Mar-2014,200019531,Pickerings Scaffolding Ltd,"44,400.00"
Barrow Borough Council,Cylical maintenance - HRA,Painting,26-Mar-2014,200019587,George Jones & Son (Cum) Ltd,"7,566.25"
Barrow Borough Council,Information technology,Data Line Rental,05-Mar-2014,200019381,Liberata Uk Ltd,784.46
Barrow Borough Council,Development control,Computer hardware purchase,05-Mar-2014,200019303,SoftCat Ltd,"1,887.58"
Barrow Borough Council,Playground,Vehicles lease /rental,26-Mar-2014,200019583,Play Safe,695.00
Barrow Borough Council,Current assets - payments in advance,Payment in advance - GF,26-Mar-2014,200019603,Shaw & Sons Ltd,694.44
Barrow Borough Council,Emlyn Hughes house,Maintenance contracts - TSU,05-Mar-2014,200019367,Integral UK Ltd,780.00
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,26-Mar-2014,200019585,Plumbing Trade Supplies,"1,301.75"
Barrow Borough Council,Recycling,Recycling credits from contractor,19-Mar-2014,200019543,Biffa Waste Services Ltd,"-16,242.92"
Barrow Borough Council,Crime reduction,Domestic Violence,05-Mar-2014,200019299,Action for Children,"1,462.14"
Barrow Borough Council,Marina Village,Building and construction works,19-Mar-2014,200019494,Continental Landscapes Ltd,"10,436.12"
Barrow Borough Council,Town Hall,Professional fees,26-Mar-2014,200019656,NWA Professional,"3,450.00"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,19-Mar-2014,200019475,AB Mitchell Developments,"11,030.88"
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,12-Mar-2014,200019388,Keith Wilson Elec Con Ltd,"1,916.46"
Barrow Borough Council,Town Hall,Professional fees,26-Mar-2014,200019656,NWA Professional,"1,388.40"
Barrow Borough Council,The park leisure centre,Gas,05-Mar-2014,200019366,British Gas Business,"5,080.61"
Barrow Borough Council,Borough Treasurer's,Professional fees,12-Mar-2014,200019458,Livingstons Solicitors,"1,456.75"
Barrow Borough Council,Regeneration,GIS Resources,26-Mar-2014,200019698,SoftCat Ltd,681.00
Barrow Borough Council,Estates management,Buildings repairs and maintenance,26-Mar-2014,200019621,Otis Ltd,509.00
Barrow Borough Council,Parks and open spaces,Grass pitches,26-Mar-2014,200019643,Barrow Playing Fields Users,"6,260.71"
Barrow Borough Council,The park leisure centre,Maintenance contracts - TSU,05-Mar-2014,200019367,Integral UK Ltd,910.00
Barrow Borough Council,Dock museum,Building cleaning,05-Mar-2014,200019311,Elior UK Ltd,"1,103.16"
