Newcastle City Council Invoices over £500 paid in April 2010,,,,,,

Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Grand Total,"Capital/
Revenue"
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624518,526.68,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624528,670.32,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624531,574.56,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624534,1301.13,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,AZURE,4630111,861.84,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,BARNARDOS,4628395,2233.95,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,BARNARDOS,4628396,3672.68,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,BARNARDOS,4629164,1625.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,BARNARDOS,4631770,4590.85,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646389,6428.87,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646390,918.17,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646391,6242.70,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646392,5065.25,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646393,7101.59,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646394,790.51,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646395,1328.74,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646396,1459.57,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646397,6078.30,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646398,1047.30,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646399,3752.13,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646400,797.72,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,BARNARDOS,4646401,888.37,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,CARE SOLUTIONS LTD,4624737,611.52,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,CARE SOLUTIONS LTD,4624738,815.36,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,CARE SOLUTIONS LTD,4630401,761.04,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,CARE SOLUTIONS LTD,4630403,1548.40,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,CARE SOLUTIONS LTD,4630408,1548.40,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,CARE SOLUTIONS LTD,4630410,711.68,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,CARE SOLUTIONS LTD,4630592,939.80,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,CARE SOLUTIONS LTD,4630593,584.20,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,CARE SOLUTIONS LTD,4632592,8930.24,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,CARE SOLUTIONS LTD,4632594,8930.24,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,CARE SOLUTIONS LTD,4632595,8930.24,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,CARE SOLUTIONS LTD,4632596,8930.24,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,CARE UK HOMECARE,4632791,4212.68,Revenue
