Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Hire of Agency Staff-Trade Marketing Events,Trade Group - Service Delivery,BROOK STREET (UK) LTD,76591,28.54,,AL1 4ZX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Hire of Agency Staff-Trade Marketing Events,Trade Group - Service Delivery,BROOK STREET (UK) LTD,76591,158.59,,AL1 4ZX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Hire of Agency Staff-Trade Marketing Events,Trade Group - Service Delivery,BROOK STREET (UK) LTD,76591,692.50,,AL1 4ZX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Outsourced Programme Management-Attracting Global Entrepreneurs,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation",GRANT THORNTON UK LLP,76592,24000.00,,NW1 2EP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Corporate Event Management and Marketing-Trade Marketing Events,Trade Group - Service Delivery,HOTEL DU VIN (BIRMINGHAM) LTD,76603,390.00,,B3 2NR,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Corporate Event Management and Marketing-Investment - Entrepreneurs (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ROCHESTER PR GROUP LTD,76615,4913.00,,W1G 0PW,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Telecoms-Trade Development,Trade Group - Operations Directorate,BRITISH TELECOMMUNICATIONS plc (BT),76616,117.36,,DH98 1BT,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Current Grants To Private Sector - NPISH-Trade Development Support,Trade Group - Creative Industries & Global Sporting Projects,BPI (BRITISH RECORDED MUSIC INDUSTRY) LTD,76617,7000.00,,SE1 7JA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Marketing - Promotional Materials-Inward Investment Publicity,Marketing & Communications - Communications,ACUMEN DESIGN CONSULTANCY LTD,76618,262.50,,RM7 7HL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Corporate Event Management and Marketing-Sector Events - Abroad,Trade Group - Energy & Transport,ASSOCIATION OF MINING ANALYSTS (AMA),76619,1250.00,,EC2V 6DN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Marketing - Design Services-Inward Investment Publicity,Marketing & Communications - Communications,ACUMEN DESIGN CONSULTANCY LTD,76620,750.00,,RM7 7HL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,THE MOBILE CATERING GROUP T/A STARTSMART,76624,2439.97,,WR10 3JD,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,DAMMANN BROWN,76625,1294.40,,SW4 6HX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MOHAWK LTD,76626,3000.00,,E1 6QL,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SOCIAL 360 LTD,76627,839.53,,SW18 1PS,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PAR FOODS LTD,76628,925.00,,SN11 9BW,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PAR FOODS LTD,76628,1861.50,,SN11 9BW,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,WICKED PRINTING STUFF,76630,1132.50,,DA3 8NZ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,VENATOR RECRUITMENT,76631,3000.00,,BH1 1JN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,FLAMEPRO UK,76632,3000.00,,BS24 6RR,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,KABUTO FOODS LTD,76633,3000.00,,BS6 5EW,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ARROW CASTINGS LTD,76634,3000.00,,RG14 5TN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,INLINGUA CHELTENHAM,76635,985.00,,GL50 1HX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PLAZA TRADING HASTINGS LTD T/A SUSSEX COAST COLLEGE,76636,578.48,,TN34 1BA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,AIR-SEAL PRODUCTS LTD,76637,207.50,,TA21 0LR,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,CUTTER PROJECT LTD,76639,2000.00,,SN10 4JS,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SNOW BUSINESS INTERNATIONAL,76640,2094.86,,GL5 4TR,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Learning and Dev - CS Skills-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",76645,1316.00,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Stationery-Other Programme Costs,Trade Group - Operations Directorate,BANNER BUSINESS SERVICES LTD,76653,305.66,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,IT Software Licences and Software Maintenance-UKTI Programme Admin,Chief Operating Officer - IT and Finance,CORE TECHNOLOGY SYSTEMS (UK) LTD,76668,-2200.00,,E1 8DE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SHANTI SEWA IMPORT AND EXPORT CO,76669,3000.00,,S6 1RY,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Marketing - Design Services-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,CELS BUSINESS SERVICES LTD,76673,8400.00,,NE1 4EP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Entertaining Overseas-Healthcare UK,Trade Group - Healthcare UK,ASSOCIATION OF BRITISH HEALTHCARE INDUSTRIES LTD,76675,4500.00,,SE1 8RD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Professional Services-Investment - Entrepreneurs (Autumn Statement),Investment Development - Strategy & Policy,THE BAKERY WORLDWIDE LTD,76676,38880.00,,W1D 4SN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Corporate Event Management and Marketing-Inward Investment Events,Marketing & Communications - Communications,BENUGO LTD,76677,2643.50,,RG6 1PT,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Training Costs-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,GREYSTONE CONSULTING LTD,76678,1500.00,,EH14 9BB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Professional Services-Investment - Sectors (Autumn Statement),Investment Development - Global Operations,PA CONSULTING GROUP LTD,76679,46033.34,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Professional Services-Investment - Sectors (Autumn Statement),Investment Development - Global Operations,PA CONSULTING GROUP LTD,76679,392272.04,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Professional Services-Investment - Sectors (Autumn Statement),Investment Development - Global Operations,PA CONSULTING GROUP LTD,76680,82966.52,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Professional Services-Investment - Sectors (Autumn Statement),Investment Development - Global Operations,PA CONSULTING GROUP LTD,76680,145403.10,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Hire of Agency Staff-Trade Development Support,"Trade Group - Managing Director, Trade Group",BROOK STREET (UK) LTD,76687,607.39,,AL1 4JB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,MORGAN HUNT UK LTD,76692,1356.00,,EC4M 7EG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Hire of Agency Staff-Trade Development Support,Trade Group - Partnerships & Business,BROOK STREET (UK) LTD,76694,949.12,,AL1 4JB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Conference and Exhibition Services-Sector Events - Abroad,Trade Group - Partnerships & Business,GRANT THORNTON UK LLP,76695,34631.70,,NW1 2EP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Marketing - Promotional Materials-UKTI Corporate Marketing,Marketing & Communications - Communications,HUDSON GLOBAL RESOURCES LTD,76697,2538.00,,G2 5HF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Marketing - Promotional Materials-UKTI Corporate Marketing,Marketing & Communications - Communications,HUDSON GLOBAL RESOURCES LTD,76698,2029.20,,G2 5HF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Motor Vehicle Hire-Other Programme Costs,Defence and Security Organisation - Head DSO Office,GROUND TRANSPORT LTD,76745, 381.00 ,,SE11 6DX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Business Continuity Planning Service-Trade Marketing Events,Trade Group - Service Delivery,SOFTCAT LTD,76746,6962.10,,SL7 1LW,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Stationery-INUK Corporate Identity,Investment Development - Strategic Relationship Management,BANNER BUSINESS SERVICES LTD,76759,9.00,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Corporate Event Management and Marketing-Investment - Entrepreneurs (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",THE GOOD EATING CO LTD,76760,366.10,,TW13 9DL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Stationery-UKTI Programme Admin,Chief Operating Officer - IT and Finance,BANNER BUSINESS SERVICES LTD,76761,1.37,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Stationery-INUK Corporate Identity,Investment Development - Strategic Relationship Management,BANNER BUSINESS SERVICES LTD,76762,67.73,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Static Line Rental-UKTI Programme Admin,Chief Operating Officer - IT and Finance,MINISTRY OF DEFENCE,76763,1970.25,,L2 3YL,WGA ONLY,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Stationery-UKTI Programme Admin,Chief Operating Officer - IT and Finance,BANNER BUSINESS SERVICES LTD,76764,32.21,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Goods/Services-International Trade Team Contracting,Trade Group - Service Delivery,EAST MIDLANDS BUSINESS LTD,76765,5833.33,,LE19 1RJ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Goods/Services-Mid-Sized Business ITAs,Trade Group - Service Delivery,EAST MIDLANDS BUSINESS LTD,76765,11666.65,,LE19 1RJ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Goods/Services-Mid-Sized Business ITAs,Trade Group - Service Delivery,EAST MIDLANDS BUSINESS LTD,76765,17222.24,,LE19 1RJ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Other Goods/Services-International Trade Team Contracting,Trade Group - Service Delivery,EAST MIDLANDS BUSINESS LTD,76765,127500.00,,LE19 1RJ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Professional Subscriptions-UKTI Programme Admin,Chief Operating Officer - Strategy & Human Resources,"Personal Expense, Name Witheld",76768,64.00,,,EMPLOYEE,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Marketing - Design Services-UKTI Corporate Marketing,Marketing & Communications - Communications,RED STONE DESIGN LTD,76786,65.00,,EC1M 7AN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,16/01/2015,Corporate Event Management and Marketing-Investment - Entrepreneurs (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",THE GOOD EATING CO LTD,76788,460.85,,TW13 9DL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Outsourced Programme Management-Attracting Global Entrepreneurs,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation",GRANT THORNTON UK LLP,76793,11076.00,,NW1 2EP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Other Professional Services-Investment - Entrepreneurs (Autumn Statement),Investment Development - Strategy & Policy,ENTREPRENEURIAL-SPARK LTD,76799,3000.00,,G5 0US,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Other Professional Services-Investment - Entrepreneurs (Autumn Statement),Investment Development - Strategy & Policy,ENTREPRENEURIAL-SPARK LTD,76800,-1000.00,,G5 0US,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,ELECTRONIC EXPORTERS GROUP,76804,8400.00,,PO2 9HE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,ENGINEERING INDUSTRIES ASSOCIATION,76809,16000.00,,W2 3PS,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,ENGINEERING INDUSTRIES ASSOCIATION,76810,2720.40,,W2 3PS,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,THE SOCIETY OF MOTOR MANUFACTURERS AND TRADERS LTD(SMMT),76811,28500.00,,SW1P 2BN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,THE SOCIETY OF MOTOR MANUFACTURERS AND TRADERS LTD(SMMT),76812,4800.00,,SW1P 2BN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme (Autumn Statement),Trade Group - Partnerships & Business,THE CONSTRUCTION EQUIPMENT ASSOCIATION (CEA),76813,22500.00,,CR0 0XZ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme (Autumn Statement),Trade Group - Partnerships & Business,THE CONSTRUCTION EQUIPMENT ASSOCIATION (CEA),76814,13920.00,,CR0 0XZ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Corporate Event Management and Marketing-Sector Events - Abroad,Trade Group - Partnerships & Business,GRANT THORNTON UK LLP,76815,26916.00,,NW1 2EP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,IT Software Licences and Software Maintenance-UKTI Programme Admin,Chief Operating Officer - IT and Finance,MICROSOFT IRELAND OPERATIONS LTD,76816,5880.00,,DUBLIN 15,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,IT Software Licences and Software Maintenance-UKTI Programme Admin,Chief Operating Officer - IT and Finance,MICROSOFT IRELAND OPERATIONS LTD,76817,38735.00,,DUBLIN 15,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,IT Software Licences and Software Maintenance-UKTI Programme Admin,Chief Operating Officer - IT and Finance,MICROSOFT IRELAND OPERATIONS LTD,76818,10.40,,DUBLIN 15,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,IT Software Licences and Software Maintenance-UKTI Programme Admin,Chief Operating Officer - IT and Finance,MICROSOFT IRELAND OPERATIONS LTD,76818,10735.80,,DUBLIN 15,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,IT Software Licences and Software Maintenance-UKTI Programme Admin,Chief Operating Officer - IT and Finance,MICROSOFT IRELAND OPERATIONS LTD,76819,22942.50,,DUBLIN 15,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Stationery-INUK Corporate Identity,Investment Development - Strategic Relationship Management,BANNER BUSINESS SERVICES LTD,76824,6.05,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Taxi Services UK-FDI Delivery Contract,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",76871,72.00,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Hire of Agency Staff-ASEAN Business Council,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CAPITA BUSINESS SERVICES LTD,76902,2139.21,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Stationery-INUK Corporate Identity,Investment Development - Strategic Relationship Management,BANNER BUSINESS SERVICES LTD,76904,18.01,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,76905,3329.64,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,76906,1704.78,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Stationery-INUK Corporate Identity,Investment Development - Strategic Relationship Management,BANNER BUSINESS SERVICES LTD,76907,67.73,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,76908,1427.80,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,76909,1713.36,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,76910,2322.90,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Hire of Agency Staff-Business Opportunities,Trade Group - Service Delivery,CAPITA BUSINESS SERVICES LTD,76911,1380.06,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Advertising-Business Opportunities,Trade Group - Service Delivery,RED STONE DESIGN LTD,76912,747.50,,EC1M 7AN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,76913,2355.36,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Mobile Phones-Other Programme Costs,Trade Group - Energy & Transport,ADAM PHONES LTD,76930,14.94,,W4 2ST,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Mobile Phones-Other Programme Costs,Trade Group - Energy & Transport,ADAM PHONES LTD,76930,33.82,,W4 2ST,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Other Travel-Mid-Sized Business ITAs,Trade Group - Service Delivery,RUSSELL BUSINESS SERVICES LTD,76943,83.75,,BD16 3PF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Other Professional Services-Mid-Sized Business ITAs,Trade Group - Service Delivery,RUSSELL BUSINESS SERVICES LTD,76943,2520.00,,BD16 3PF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Other Professional Services-International Trade Team Contracting,Trade Group - Service Delivery,ENTERPRISE GROWTH SOLUTIONS LTD,76950,3242.80,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Other Professional Services-Passport ITAs (Autumn Statement),Trade Group - Service Delivery,ENTERPRISE GROWTH SOLUTIONS LTD,76951,5854.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,ELECTRONIC EXPORTERS GROUP,76961,15192.00,,PO2 9HE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme (Autumn Statement),Trade Group - Partnerships & Business,PRODUCERS ALLIANCE FOR CINEMA AND TELEVISION LTD (PACT),76962,40000.00,,W1T 6QW,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-International Trade Team Contracting,Trade Group - Service Delivery,ENTERPRISE GROWTH SOLUTIONS LTD,76963,135569.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme (Autumn Statement),Trade Group - Partnerships & Business,PRODUCERS ALLIANCE FOR CINEMA AND TELEVISION LTD (PACT),76964,21360.00,,W1T 6QW,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme (Autumn Statement),Trade Group - Partnerships & Business,PS8 LTD,76965,16320.00,,EN5 4HD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme (Autumn Statement),Trade Group - Partnerships & Business,PS8 LTD,76966,51500.00,,EN5 4HD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
