OrganisationLabel,OrganisationURI,Account Name,Account Name 2,BA Reference,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Address 6,Postcode,Rateable Value,Bill From,Bill To,Bill Credit,Account Credit,Account Address 1,Account Address 2,Account Address 3,Account Address 4,Postcode
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NORTHERN TRUST COMPANY LTD,,0002804B000403,,,4 APPIN ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 9HH,23250,01/04/2015,24/09/2015,"-£1,175.35","-£1,175.35",C/O JONES LANG LASALLE,ONE PICCADILY GARDENS,MANCHESTER,,M1 1RG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NORTHERN TRUST COMPANY LTD,,0002804B00920B,,,92 APPIN ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 9HH,10000,01/04/2015,11/01/2016,"-£1,091.07","-£1,091.07",C/O JONES LANG LASALLE,ONE PICCADILY GARDENS,MANCHESTER,,M1 1RG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EDWARD ANTHONY LTD,,0002804B007205,,,72 APPIN ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 9HH,5100,01/06/2011,01/04/2012,-£48.63,-£48.63,UNIT 5  HANSON CLOSE IND ESTATE,MIDDLETON,MANCHESTER,,M24 2HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PRIMESIGHT LTD,,2080044101,ADV RIGHT (MAIDEN 2960),BETWEEN 441-451,BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 0HA,4300,01/04/2015,17/11/2015,-£172.00,-£172.00,UNIT 9 WESPOINT ENTERPRISE PARK,CLARENCE AVENUE,TRAFFORD PARK,MANCHESTER,M17 1QS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PRIMESIGHT LTD,,000020800441A6,ADV RIGHT (ARTHUR MAIDEN),BETWEEN 441-451,BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 0HA,2175,01/04/2015,17/11/2015,-£87.00,-£87.00,UNIT 9 WESPOINT ENTERPRISE PARK,CLARENCE AVENUE,TRAFFORD PARK,MANCHESTER,M17 1QS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,E F MACKIE MEMORIALS,,14060058105,,,581 BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 0HD,3300,01/04/2011,01/04/2012,-£175.45,-£175.45,581 BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 0HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LAIRDSIDE COMMUNITIES TRUST,,000209800334B2,,,ROYAL STANDARD HOUSE,334 NEW CHESTER ROAD,BIRKENHEAD,MERSEYSIDE,CH42 1LE,156000,01/04/2015,01/12/2015,"-£3,069.64","-£3,069.64",ROYAL STANDARD HOUSE,334 NEW CHESTER ROAD,BIRKENHEAD,MERSEYSIDE,CH42 1LE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,APPLIED SAFETY  LTD,,000230600001B2,,,1-3 ROCK LANE WEST,BIRKENHEAD,MERSEYSIDE,,CH42 1RE,2250,01/04/2010,01/04/2010,-£249.97,-£249.97,1-3 ROCK LANE WEST,BIRKENHEAD,MERSEYSIDE,,CH42 1RE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LCP SECURITIES LTD,,30140002607,,,26 BEBINGTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 6PU,3850,01/04/2015,16/04/2015,-£300.26,-£300.26,LCP HOUSE,THE PENSNETT ESTATE,KINGSWINFORD,WEST MIDLANDS,DY6 7NA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ROYAL BANK OF SCOTLAND,,0003092001090B,,,107-109 MOUNT ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 6RE,9100,01/04/2015,08/10/2015,-£354.57,-£354.57,C/O GVA BILFINGER,PO BOX 6079,WOLVERHAMPTON,,WV1 9RA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EDISONS PROPERTY MANAGEMENT,,000140600790B7,,,"UNIT 4 AT 790, BOROUGH ROAD",BIRKENHEAD,MERSEYSIDE,,CH42 9JG,24750,01/05/2012,05/08/2012,"-£2,709.66","-£2,709.66",27-31 CHARING CROSS ROAD,LONDON,,,WC2H 0AU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NOS2 LTD,C/O EDDISONS PROPERTY MANAGEMENT,000302200790DA,,,VACANT PT UNIT 1A AT,"790, BOROUGH ROAD",BIRKENHEAD,MERSEYSIDE,CH42 9JG,8000,01/04/2013,27/09/2013,-£758.53,-£758.53,65,GROSVENOR STREET,LONDON,,W1K 3JH
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LAVASANI LTD,T/A CAPTAIN TONY'S PIZZA,000302200790A6,,,UNIT 1A AT,790 BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,CH42 9JG,16000,01/06/2011,15/08/2011,-£33.00,-£33.00,21 CAMBRIDGE ROAD,BIRKENHEAD,,,CH42 8PS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LIMITED,C/O THE MANAGEMENT OFFICE,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/04/2010,01/06/2010,-£230.36,-£230.36,UNIT 111 UPPER EGERTON WALK,THE ELLESMERE SHOPPING CENTRE,"WALKDEN, WORLSEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LIMITED,C/O THE MANAGEMENT OFFICE,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/09/2010,01/11/2010,-£230.36,-£230.36,UNIT 111 UPPER EGERTON WALK,THE ELLESMERE SHOPPING CENTRE,"WALKDEN, WORLSEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LTD,,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/07/2011,01/09/2011,-£228.17,-£228.17,UNIT 111 UPPER EGERTON WALK,ELLESMERE SHOPPING CENTRE,"WALKDEN, WORSLEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LTD,,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/12/2011,01/02/2012,-£228.17,-£228.17,MANAGEMENT OFFICE,UNIT 111 UPPER EGERTON WALK,"ELLESMERE CENTRE, WALKDEN",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LIMITED,C/O THE MANAGEMENT OFFICE,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/02/2011,01/04/2011,-£222.80,-£222.80,UNIT 111 UPPER EGERTON WALK,THE ELLESMERE SHOPPING CENTRE,"WALKDEN, WORLSEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PYEWACKET LTD,,000044000055A4,,,55-57 CHRISTCHURCH ROAD,BIRKENHEAD,MERSEYSIDE,,CH43 5SF,7200,01/04/2012,01/09/2012,-£51.37,-£51.37,55-57 CHRISTCHURCH ROAD,BIRKENHEAD,,,CH43 5SF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HUTCHISON 3G UK LTD,,0001012000031A,,,HUTCHISON(CH0031) VYNER ESTATE LAND,BIDSTON VILLAGE ROAD,PRENTON,MERSEYSIDE,CH43 7QT,5200,01/04/2010,15/05/2010,-£29.94,-£29.94,GVA-RATING.FID1601337,PO BOX 6079,WOLVERHAMPTON,,WV1 9AR
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PROSPECT (GB) LIMITED,,0000650D000101,,,"1, HUTCHINSON CLOSE",BIRKENHEAD,MERSEYSIDE,,CH43 9YY,7000,01/04/2013,30/08/2013,-£281.10,-£281.10,5 MERIDIAN BUSINESS VILLAGE,HANSBY DRIVE,LIVERPOOL,,L24 9LG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ORANGE PCS LTD,,0004263000208A,,,ORANGE (MER 208) ROOFTOP AT,MANOR CHURCH CENTRE,SEABANK ROAD,WALLASEY,CH44 0EE,8600,17/05/2012,01/04/2013,"-£7,355.47","-£7,355.47",C/O GVA (BUSINESS RATES TM),PO BOX 16097,3 BRINDLEY PLACE,BIRMINGHAM,B2 2UY
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KRYPTON LTD,T/A KRYPTON PROPERTY GROUP,000525500086EB,,,GROUND FLOOR 86-88,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH44 2AE,4000,01/04/2013,01/04/2014,-£370.00,-£370.00,GROUND FLOOR,86-88 WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH44 2AE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COMMERCIAL FIRST,,51560000305,,,3 NEWLAND DRIVE,WALLASEY,MERSEYSIDE,,CH44 2AX,3650,01/04/2012,28/05/2012,"-£1,410.64","-£1,410.64",GATEWAY HOUSE,GARGRAVE ROAD,SKIPTON,NORTH YORKSHIRE,BD23 2HL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DERWENT HOLDINGS,,53130000402,,,HARVEYS UNIT 2B JUNCTION ONE,BIDSTON MOSS,WALLASEY,MERSEYSIDE,CH44 2HE,0,01/04/2012,01/04/2013,"-£27,298.05","-£27,298.05",PO BOX 171,NUNNERY MILLS NO. 1,OLD CASTLETOWN ROAD,"DOUGLAS, ISLE OF MAN",IM99 1PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TIFFANY RETAIL LTD,,42810012202,,,122 MILL LANE,WALLASEY,MERSEYSIDE,,CH44 3BL,2500,01/04/2013,01/04/2014,-£80.00,-£80.00,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PARTELL RETAIL LTD,,000417800030K7,,,UNIT 30K (1) CHERRY TREE CENTRE,GREENFIELD WAY,WALLASEY,WIRRAL,CH44 5XX,5100,01/04/2011,01/04/2012,-£278.15,-£278.15,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CML GROUP LTD,,0004451A0005A9,,,"UNIT 5, WHEATLAND BUSINESS PARK",WHEATLAND LANE,WALLASEY,MERSEYSIDE,CH44 7EJ,20750,11/01/2011,11/01/2011,"-£1,628.80","-£1,628.80",256-296 PRICE STREET,BIRKENHEAD,MERSEYSIDE,,CH41 3PT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,AVG PROPERTIES,,0004451A0007C7,,,"UNIT 7, WHEATLAND BUSINESS PARK",WHEATLAND LANE,WALLASEY,MERSEYSIDE,CH44 7EJ,9100,09/07/2012,20/10/2012,-£590.48,-£590.48,INTEBANE MANOR,UPTON ROAD,PRENTON,,CH43 7QQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SEMENTINA BUSINESS INC,,0004451A00180A,,,18 WHEATLAND BUSINESS PARK,WHEATLAND LANE,WALLASEY,MERSEYSIDE,CH44 7ER,13500,01/04/2012,01/11/2012,"-£2,557.90","-£2,557.90",PLACE DE L'ANCIEN PORT 8,PO BOX 665,1800 VEVEY 1,SWITZERLAND,******
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,T SULLIVAN ENGINEERING LTD,,0004451A002906,,,28 & 29 WHEATLAND BUSINESS PARK,WHEATLAND LANE,WALLASEY,MERSEYSIDE,CH44 7ER,12750,13/08/2010,14/02/2011,-£21.57,-£21.57,UNIT 6 NEW WAY BUSINESS CENTRE,OAKDALE ROAD,WALLASEY,MERSEYSIDE,CH44 7HT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TANDOORI MAHAL UK LTD,,42200002402,,,24-26 KING STREET,WALLASEY,MERSEYSIDE,,CH44 8AU,4450,01/04/2011,01/04/2012,-£417.93,-£820.42,"TANDOORI MAHAL, 24-26",KING STREET,WALLASEY,MERSEYSIDE,CH44 8AU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TANDOORI MAHAL UK LTD,,42200002402,,,24-26 KING STREET,WALLASEY,MERSEYSIDE,,CH44 8AU,4450,01/04/2012,01/04/2013,-£402.50,-£820.42,"TANDOORI MAHAL, 24-26",KING STREET,WALLASEY,MERSEYSIDE,CH44 8AU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KWIK SAVE STORES LTD,(IN ADMINISTRATION),43310490124,ADVERTISING RIGHT (ADLIGHT 33),AT KWIK SAVE,POULTON ROAD,WALLASEY,MERSEYSIDE,,CH44 9DE,0,01/04/2006,01/04/2007,-£363.33,-£476.16,C/O KPMG CORPORATE RECOVERY,ST JAMES' SQUARE,MANCHESTER,,M2 6DS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KWIK SAVE STORES LTD,(IN ADMINISTRATION),43310490124,ADVERTISING RIGHT (ADLIGHT 33),AT KWIK SAVE,POULTON ROAD,WALLASEY,MERSEYSIDE,,CH44 9DE,0,01/04/2007,11/07/2007,-£112.83,-£476.16,C/O KPMG CORPORATE RECOVERY,ST JAMES' SQUARE,MANCHESTER,,M2 6DS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,AKS (W) LLP,T/A DOMINOES PIZZA,000424700001A1,,,"1 - 3, LISCARD VILLAGE",WALLASEY,MERSEYSIDE,,CH45 4JR,9400,01/04/2013,30/07/2013,-£868.00,-£868.00,17 ARROWE PARK ROAD,UPTON,WIRRAL,MERSEYSIDE,CH49 0UB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NESTWELL ESTATES LIMITED,,43810000802,,,8 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,7000,01/04/2011,15/07/2011,-£39.31,-£39.31,41A LEICESTER ROAD,SALFORD,,,M7 4AS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KWIK-FIT PROPERTIES LTD,,0004381000870B,,,87-91 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LE,5400,01/04/2015,01/04/2015,"-£1,998.00","-£1,998.00",FAO RATES MANAGEMENT,LAMBERT SMITH HAMPTON,"INTERCHANGE PLACE, EDMUND STREET",BIRMINGHAM,B3 2TA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MAPPING SOLUTIONS LIMITED,,51200000707,,,7 LEASOWE ROAD,WALLASEY,MERSEYSIDE,,CH45 8NY,4500,01/04/2011,01/04/2012,-£622.17,-£622.17,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LEASOWE ESTATE TENANTS,ASSOCIATION,54420023609,,,236 TWICKENHAM DRIVE,WIRRAL,MERSEYSIDE,,CH46 2QE,3350,01/04/2010,01/04/2011,-£285.56,-£285.56,LEASOWE MILLENIUM CENTRE,TWICKENHAM DRIVE,WIRRAL,MERSEYSIDE,CH46 1PQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SELWYN CONSTRUCTION ENGINEERING,LIMITED,0005436D0016AA,,,SELWYN LTD,TARRAN ROAD,WIRRAL,MERSEYSIDE,CH46 4TU,27500,01/04/2015,29/11/2015,"-£1,881.25","-£1,881.25",LEAFDALE,8 CROFT LANE,BROMBOROUGH,MERSEYSIDE,CH62 2DB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LIVERPOOL COMMERCIAL SALE-ROOM,COMPANY LTD,000537300202CB,,,UNIT 3 COACH & HORSES HOTEL,HOYLAKE ROAD,WIRRAL,MERSEYSIDE,CH46 6AD,11750,01/04/2011,01/02/2012,-£834.06,-£834.06,69 DOWHILLS ROAD,BLUNDELLSANDS,MERSEYSIDE,,L23 8SL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ALLIANCE & LEICESTER PLC,,000538800001C6,,,ATM AT 1 LINGHAM LANE,WIRRAL,MERSEYSIDE,,CH46 7SA,1300,01/04/2010,01/04/2011,-£358.60,-£358.60,"ATM BUSINESS UNIT, FLOOR 2",BUILDING 4 CARLTON PARK,NARBOROUGH,LEICESTERSHIRE,LE19 1AF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NHS PROPERTY SERVICES LTD,,000552900005B6,,,PASTURE ROAD HEALTH CENTRE,PASTURE ROAD,WIRRAL,MERSEYSIDE,CH46 8SA,28500,01/04/2010,01/04/2011,-£103.50,-£444.00,C/O GL HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 7QT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NHS PROPERTY SERVICES LTD,,000552900005B6,,,PASTURE ROAD HEALTH CENTRE,PASTURE ROAD,WIRRAL,MERSEYSIDE,CH46 8SA,28500,01/04/2011,01/04/2012,-£108.25,-£444.00,C/O GL HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 7QT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NHS PROPERTY SERVICES LTD,,000552900005B6,,,PASTURE ROAD HEALTH CENTRE,PASTURE ROAD,WIRRAL,MERSEYSIDE,CH46 8SA,28500,01/04/2012,01/04/2013,-£114.50,-£444.00,C/O GL HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 7QT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NHS PROPERTY SERVICES LTD,,000552900005B6,,,PASTURE ROAD HEALTH CENTRE,PASTURE ROAD,WIRRAL,MERSEYSIDE,CH46 8SA,28500,01/04/2013,01/04/2014,-£117.75,-£444.00,C/O GL HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 7QT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MOSTON OF CHESTER LTD (IN LIQ),,54100010107,,,HERONS GARAGE,PASTURE ROAD,WIRRAL,MERSEYSIDE,CH46 8SD,11000,01/04/2014,03/07/2014,-£94.70,-£94.70,C/O BEGBIES TRAYNOR,340 DEANSGATE,MANCHESTER,,M3 4LY
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DENIZEN CONTRACTS LTD,,000733900001A1,,,CONTRACTORS HUTS,THE KINGS GAP,WIRRAL,MERSEYSIDE,CH47 1HF,2950,01/04/2011,12/12/2011,-£31.41,-£31.41,VERMOUNT HOUSE,BRADLEY LANE ,STANDISH,WIGAN,WN6 0XF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CENTRAL HALL LTD (IN LIQUIDATION,,000730200002A5,,,LA BODEGA,2 MARKET STREET,HOYLAKE,WIRRAL,CH47 2AE,19750,01/04/2016,01/04/2016,-£977.75,-£977.75,C/O CG & CO RECOVERY LTD,17 ST ANNES SQUARE,MANCHESTER,,M2 7PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JON DAVID LTD,,0007349000120A,,,12-14 MARKET STREET,WIRRAL,MERSEYSIDE,,CH47 2AE,16250,07/07/2012,01/04/2013,-£65.00,-£65.00,FLAT 5 DEE VIEW HOUSE,229 TELEGRAPH ROAD,HESWALL,WIRRAL,CH60 7SF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARWOOD BROTHERS LTD,,72910004507,,,45 WALKER STREET,WIRRAL,MERSEYSIDE,,CH47 2DZ,1925,01/04/2011,01/04/2012,-£102.01,-£102.01,45 WALKER STREET,WIRRAL,MERSEYSIDE,,CH47 2DZ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LT MANAGEMENT SERVICES LTD,,72550010802,,,BLUE ANCHOR,MARKET STREET,WIRRAL,MERSEYSIDE,CH47 3BE,28750,06/09/2011,17/10/2011,-£178.95,-£178.95,31 HAVERSCROFT IND ESTATE,NEW ROAD,ATTLEBOROUGH,NORFOLK,NR17 1YE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MELLORS BUILDING SERVICES LTD,T/A M.B.S.,000735300001G4,,,1 CARR LANE,HOYLAKE,WIRRAL,,CH47 4AZ,23500,01/04/2010,01/04/2011,-£310.50,"-£1,244.90",5 SANDHEY ROAD,MEOLS,WIRRAL,,CH47 5AU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MELLORS BUILDING SERVICES LTD,T/A M.B.S.,000735300001G4,,,1 CARR LANE,HOYLAKE,WIRRAL,,CH47 4AZ,23500,01/04/2011,01/04/2012,-£324.75,"-£1,244.90",5 SANDHEY ROAD,MEOLS,WIRRAL,,CH47 5AU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MELLORS BUILDING SERVICES LTD,T/A M.B.S.,000735300001G4,,,1 CARR LANE,HOYLAKE,WIRRAL,,CH47 4AZ,23500,01/04/2012,01/04/2013,-£343.50,"-£1,244.90",5 SANDHEY ROAD,MEOLS,WIRRAL,,CH47 5AU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MELLORS BUILDING SERVICES LTD,T/A M.B.S.,000735300001G4,,,1 CARR LANE,HOYLAKE,WIRRAL,,CH47 4AZ,23500,01/04/2013,01/01/2014,-£266.15,"-£1,244.90",5 SANDHEY ROAD,MEOLS,WIRRAL,,CH47 5AU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LINKS ESTATES LTD,,73130004309,,,UNIT 4 PEMWAY ENTERPRISE CENTRE,CARR LANE,WIRRAL,MERSEYSIDE,CH47 4AZ,3850,01/07/2013,22/10/2013,-£217.86,-£217.86,UNIT 1,HILBRE BUSINESS PARK,CARR LANE,HOYLAKE,CH47 4AZ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HEAP & PARTNERS LTD,,73130004101,,,RALLIM HOUSE,CARHAM ROAD,WIRRAL,MERSEYSIDE,CH47 4FF,86000,01/04/2009,19/11/2009,-£568.04,"-£1,441.62",CANADA WORKS,399 CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 8FA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HEAP & PARTNERS LTD,,73130004101,,,RALLIM HOUSE,CARHAM ROAD,WIRRAL,MERSEYSIDE,CH47 4FF,86000,01/04/2010,31/12/2010,-£873.58,"-£1,441.62",CANADA WORKS,399 CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 8FA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DEELANE LIMITED,,000742700009BA,,,9 DEE LANE,WEST KIRBY,WIRRAL,,CH48 0QA,16750,01/04/2014,03/09/2014,-£519.68,-£519.68,C/O JIANZHI TAN,36 TUDOR STREET,LIVERPOOL,,L6 6AQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,RICHARD WARWICK DEVELOPMENTS LTD,,75140010505,,,105 BANKS ROAD,WEST KIRBY,WIRRAL,MERSEYSIDE,CH48 0RB,6300,01/11/2011,01/02/2012,-£14.18,-£52.77,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,RICHARD WARWICK DEVELOPMENTS LTD,,75140010505,,,105 BANKS ROAD,WEST KIRBY,WIRRAL,MERSEYSIDE,CH48 0RB,6300,03/02/2012,03/02/2012,-£38.59,-£52.77,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,AUBERGINE LICENSED CAFE LTD,,000742400001D8,,,2A BLENHEIM BUILDINGS,CRECENT WALK,WIRRAL,MERSEYSIDE,CH48 4DA,6800,01/04/2010,01/03/2011,-£31.34,-£31.34,2A,BLEINHEIM BUILDINGS CRESCENT WALKS,WEST KIRBY,MERSEYSIDE,CH48 4DA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WESTBOURNE MOTORS LTD,,74140001303,,,YARD AT BROOK TERRACE,WIRRAL,MERSEYSIDE,,CH48 4DX,520,01/04/2010,01/04/2011,-£0.01,-£55.39,35 EATON ROAD,WEST KIRBY,WIRRAL,MERSEYSIDE,CH48 3HE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WESTBOURNE MOTORS LTD,,74140001303,,,YARD AT BROOK TERRACE,WIRRAL,MERSEYSIDE,,CH48 4DX,520,01/04/2011,01/04/2012,-£55.38,-£55.39,35 EATON ROAD,WEST KIRBY,WIRRAL,MERSEYSIDE,CH48 3HE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MASON & MCLEAN LTD,IN LIQUIDATION,74370002705,,,27 GRANGE ROAD,WEST KIRBY,WIRRAL,MERSEYSIDE,CH48 4DZ,6100,01/04/2014,02/05/2014,-£46.08,-£46.08,C/O BAKER TILLY,3 HARDMAN STREET,MANCHESTER,,M3 3HF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,VIJAYANT PROPERTIES (UK) LTD,,74370002705,,,27 GRANGE ROAD,WEST KIRBY,WIRRAL,MERSEYSIDE,CH48 4DZ,6100,01/04/2015,09/06/2015,-£32.35,-£32.35,1 CHURCH STREET,LONDON,,,N9 9DR
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MAPELEY COLUMBUS LTD,C/O RATE ACCOUNT MANAGEMENT,000743700032A4,,,32A GRANGE ROAD,WEST KIRBY,WIRRAL,MERSEYSIDE,CH48 4EF,14750,01/04/2014,18/10/2014,-£107.89,-£107.89,COLLIERS INTERNATIONAL,"12TH FLOOR, ELEVEN BRINDLEYPLACE",2 BRUNSWICK SQUARE,"BRINDLEYPLACE, BIRMINGHAM",B1 2LP
