post_date,Category, Spend (£) 
2/28/2014,Airlines/Travel,2210.15
2/28/2014,Airlines/Travel,1499.85
2/28/2014,Airlines/Travel,2588.55
2/28/2014,Airlines/Travel,2435.45
2/28/2014,Airlines/Travel,-1114.40
2/28/2014,Airlines/Travel,-1094.60
2/28/2014,Airlines/Travel,-3899.25
2/28/2014,Airlines/Travel,857.87
2/28/2014,Hotels,522.79
2/28/2014,Hotels,579.95
2/28/2014,Airlines/Travel,548.54
2/28/2014,Airlines/Travel,3983.55
2/28/2014,Airlines/Travel,2390.13
2/28/2014,Airlines/Travel,2657.45
2/28/2014,Catering,1173.82
2/28/2014,Airlines/Travel,1139.15
2/28/2014,Airlines/Travel,569.58
2/28/2014,Computer Program/Sys Design,834.45
2/28/2014,Computer Program/Sys Design,1251.47
2/28/2014,Electrical Parts/Equipment,825.26
2/28/2014,Electrical Parts/Equipment,1215.17
2/28/2014,Electrical Parts/Equipment,796.94
2/28/2014,Hotels,579.95
2/28/2014,Floor Covering Stores,1444.74
2/28/2014,Airlines/Travel,760.93
2/28/2014,Airlines/Travel,2473.50
2/28/2014,Airlines/Travel,2473.50
2/28/2014,Airlines/Travel,2473.50
2/28/2014,Airlines/Travel,2473.50
2/28/2014,Airlines/Travel,2473.50
2/28/2014,Airlines/Travel,3537.35
2/28/2014,Airlines/Travel,3537.35
2/28/2014,Electrical Parts/Equipment,585.54
2/28/2014,Lumber/Build. Supply Stores,624.00
2/28/2014,Lumber/Build. Supply Stores,1140.14
2/28/2014,Lumber/Build. Supply Stores,663.26
2/28/2014,Stationery Stores,858.24
