Minister,Date,Name of External Organisation,Purpose of meeting
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Oct-12,Post Office Limited ,General catch up
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Oct-12,"One, Christian Aid, Publish What You Pay, UK Global Witness",To discuss company law
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Oct-12,Recruitment and Employment Federation,To discuss employment relations
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Oct-12,Which?,To discuss consumer affairs
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Oct-12,Consumer Credit Counselling Service,To discuss  consumer affairs
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Nov-12,"30% Club, The Mentoring Foundation ",Introductory meeting
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Nov-12,Confederation of British Industry,Introductory meeting
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Nov-12,"Petropavlovsk, Aberdeen Asset Management, Berendsen PLC, Centrica, Mothercare, British Land Company, Capita, Aviva plc",To discuss women on boards
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Nov-12,TNT Post UK Ltd,To discuss postal policy 
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Nov-12,British Chambers of Commerce,Introductory meeting
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Nov-12,"Old Mutual Group, LSE, Mitchells & Butler, Morrisons, Slater & Gordon LLP, JIT Group, Vodafone, Standard Chartered Bank",To discuss women in the workplace
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Nov-12,"Norman Broadbent, Cavendish Hawk, CTPartners, Veredus Executive Search and Selection, Alpine Executive, Ridgeway Partners LLP, Rowley Williams Limited, Hedley May, Heads International, Sage Blue, Amrop Augmentum",To discuss women in the workplace
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,Institute of Chartered Accountants ,Introductory meeting
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,Consumer Finance Association,To discuss competition and consumer policy
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,"Farepak Food & Gifts Ltd, Yvonne Fovargue MP, Ian Murray MP, Katy Clark MP, Jessica Morden MP",To discuss insolvency service
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,"Binder Dijker Otte & Company, Deloitte, Ernst & Young, Grant Thornton, KPMG, PWC",To discuss audit policy
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,Post Office Limited,To discuss Post Office
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,The Personal Finance Research Centre (University of Bristol),To discuss consumer credit
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,Citizens Advice Bureau,Introductory meeting
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,Citizens Advice Scotland,To discuss consumer affairs
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,Mail Competition Forum,To discuss postal policy
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,"End Violence Against Women Coalition, Eaves,  Equality Now, Object",To discuss women’s equality
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Dec-12,Norman Baker MP and Pricewatch Ltd,To discuss competition policy
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,"Nick Linford, FE Week",To discuss further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,"Rio Tinto, BAE Systems plc, British Petroleum, British American Tobacco, Diageo, Shell, Vodafone",To discuss business
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,MetroBank,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,"Nick Linford, FE Week",To discuss further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,157 Group,To discuss further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,"Admiral Insurance, Friends Life Group, UK General Insurance, Zurich, Aviva Plc, Prudential, Legal & General Investment Management, JLT Group, Allianz Insurance Plc, AXA UK, Old Mutual Group, Chartis",To discuss apprenticeships
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,"Virgin Care Limited, Care UK, Saga, Bupa Care Services, Maria Mallaband Care Group Limited, Barchester Healthcare, Minster Care Group, Dimensions",To discuss apprenticeships
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,Pearson,To discuss apprenticeships
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,"The Prince’s Trust, Catch 22, Groundwork, Barnardo’s, Foyer Federation Foundation",To discuss youth policy
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-13,Association of Education and Learning Providers,To discuss further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Oct-12,National Grid,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,"Fedex UK, Manchester Airport, London City Airport, London Southend Airport, Eddie Stobart, First Group, Unipart, TNT, DHL, Kuehne Nagel, Norbert Dentressangle, National Express, Freightliner Group,",To discuss apprenticeships
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Trades Union Congress,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Association of Colleges,To discuss further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Royal Society of Arts,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,"Moy Park Ltd, Dairy Crest, Vion Food Group, HJ Heinz, Cranswick, Associated British Foods, Mars UK Samworth Brothers, Whitbread, Mondelez International ",To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,"Association of Education and Learning Providers, Million+, University of East London, Institute for Learning, Confederation of British Industry, University and College Union,  157 Group, City & Islington College, National Union of Students, Alliance of Sector Skills Councils, Federation of Small Businesses,",To discuss skills and further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,MBDA ,To discuss apprenticeships
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Beaker-Dearing Educational Trust,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,"Climate Change Capital, GlaxoSmithKline, Confederation of British Industry, Airbus, Dyson. Thomas Cook, TalkTalk, J Sainsbury, Centrica, BAE Systems, British Telecom, Sony, Tata Sons, Prudential, Federation of Small Business, ",To discuss business
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Tesla Motors,To discuss industrial strategy
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,BPP Law School,To discuss apprenticeships
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Royal Academy of Engineering,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,London School of Economics,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Electrical Engineers Federation,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Policy Exchange,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,"Universities UK, Higher Education International Unit, British Council, Association of Colleges",To discuss further and higher education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,"Lyons Davidson, DAC Beachcroft, Clifford Chance, Eversheds, Hogan Lovells, Olswang, Linklaters, Herbert Smith, Keoghs, The Law Society, Plexus Law, DWF, Slaughter and May, Brown Jacobson, Co-operative Legal Services",To discuss apprenticeships
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,British Beer and Pub Association,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Confederation of British Industry,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Nov-12,Universities and Colleges Union,To discuss further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Dec-12,National Union of Students ,To discuss further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Dec-12,Creative Access,To discuss further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Dec-12,Baker Dearing Educational Trust,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Dec-12,Prince’s Charities,To discuss skills
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Dec-12,Association of Colleges,To discuss further education
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Dec-12,Siemens,To discuss employment
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",Dec-12,Ambitious about Autism,To discuss further education
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Oct-12,"Bright Ideas Trust, Montpellier Estates Ltd, Skinny Candy, Joblink Solutions, Araiadne Capital, Buddi, E-Net Computers,  The Principia Group, Masal Masala Sauces, Tayeco Ltd, The Black Farmer, YKTO Ltd",To discuss entrepreneurship
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Oct-12,Kingston Smith,Introductory meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Oct-12,British Bankers Association,Introductory meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Oct-12,School for Startups,To discuss apprenticeships
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Oct-12,Capital For Enterprise Limited,To discuss entrepreneurship
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Oct-12,Confederation of British Industry,Introductory meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,Federation of Small Businesses,Regular meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,Gereformeerde Kerken Nederland p Aerospace,Introductory meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,Nissan,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,British Aerospace engineering systems,Introductory meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,Finance & Leasing Association,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,"EEF, the manufacturers’ organisation",Introductory meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,Energy UK,Introductory meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,School for Startups,Introductory meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,Royal Mail Group,Regular meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,"Lloyds Register, Society of Maritime Industries, BAE Systems Maritime, Shipbuilders and Shiprepairers Association, Kort Propulsion, Walton Marine, Atlas Elektronik UK, QinetiQ, ",Regular meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Nov-12,"Airbus, AgustaWestland, Bombardier Aerospace, Rolls-Royce, Spirit AeroSystems, ",Regular meeting
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,Airbus,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,Royal Mail Group,To discuss the aerospace industry
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,BAE Systems,To discuss the maritime Industry
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,Tesco,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,Association of Convenience Stores,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,Cemex UK,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,The Start-Up Loans Company,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,ITV,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,UK Business Angels Association,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,Mineral Products Association,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,Handelsbanken,General catch up
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",Dec-12,"AgustaWestland,  Finmeccanica UK",General catch up
