Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Nicole Mather ,2017-11-16,1,Cambridge,Visit to AstraZeneca ,Rail,Standard,,,64.10,
,,,,,,,,,,
Peter Betts,2017-10-11,1,Paris,To attend and speak at the Centre for Global Energy policy workshop on energy and geopolitics,Eurostar,Standard,£6.95,,297.95,
Peter Betts,2017-10-30,2,Paris,To attend meetings with key stakeholders on international climate change,Eurostar,Standard,£159.46,,465.46,
Peter Betts,2017-11-10,8,Bonn,United Nations International Climate Change COP 23 meeting ,Air,Standard,,,494.00,
,,,,,,,,,,
Rannia Leontaridi,2017-10-24,1,Dublin,Visit to Enterprise Ireland,Air,Standard,,,591.73,
,,,,,,,,,,
Rupert Lewis,2017-10-04,2,Geneva,World Economic Forum: Mapping the Global Risks Landscape Workshop,Air,Standard,£211.63,,705.78,
Rupert Lewis,2017-11-13,1,Cambridge,Science and the future of democracy - Churchill College,Rail,Standard,,,54.20,
Rupert Lewis,2017-11-21,2,Cardiff,Interviews - Chief Scientific Advisor for Wales,Rail,Standard,£90.00,,190.90,
,,,,,,,,,,
Samantha Beckett,2017-11-08,2,Brussels,To meet with United Kingdom Representatives to the European Union,Eurostar,Standard,£119.00,,277.75,
,,,,,,,,,,
Sharon Ellis,2017-10-25,3,Oslo,Research Policy group meeting,Air,Standard,£29.14,,147.01,
Sharon Ellis,2017-11-17,1,Exeter St David's,Met Office meeting,Rail,Standard,,,57.00,
Sharon Ellis,2017-11-23,1,Reading,European Centre for Medium-Range Weather Forecasts - meeting,Rail,Standard,£10.00,,38.70,
Sharon Ellis,2017-11-28,1,Brussels,Bilateral meetings - European Parliament ,Eurostar,Standard,£10.00,£18.45,266.99,
Sharon Ellis,2017-12-04,2,Brussels,High-Level meeting of the European Research Area & Innovation Committee (ERAC),Eurostar,Standard,£160.40,,423.40,
Sharon Ellis,2017-12-15,1,Paris,UK-France summit meeting,Eurostar,Standard,,,303.00,
,,,,,,,,,,
Stephen Speed,2017-10-09,2,Wick,Visit to Dounreay,Air,Standard,£84.00,,687.68,
Stephen Speed,2017-12-12,3,Beijing,To discuss energy policy,Air,Business,£400.00,,5094.07,
Stephen Speed,2017-12-19,1,Didcot,Geological Disposal Programme Board meeting,Rail,Standard,£5.00,,43.80,
,,,,,,,,,,
Susannah Simon,2017-10-03,2,Brussels,Meetings with Members of the European Parliament,Hotel,,£213.71,,213.71,
Susannah Simon,2017-11-05,2,Oxford,Major Project Leadership Academy,Rail,Standard,£87.20,,131.65,
,,,,,,,,,,
Tim Dafforn,2017-10-18,1,Taunton,Facilitating Small and Medium-sized Enterprises roundtable,Rail,Standard,,,97.30,
Tim Dafforn,2017-10-10,1,Peterborough/Spalding,Facilitating Small and Medium-sized Enterprises roundtable,Rail,Standard,,,91.50,
Tim Dafforn,2017-10-09,1,Penrith ,Facilitating Small and Medium-sized Enterprises roundtable,Rail,Standard,,,55.00,
,,,,,,,,,,
Tom Taylor,2017-11-22,1,London,UK Shared Business Services Board meeting,Rail,Standard,,,91.40,
,,,,,,,,,,
,,,,,,,,,,
"Note: Applies to all SCS 2 and above, for both international and domestic travel.",,,,,,,,,,
