Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,01/01/2014,BEVA INVESTMENTS LIMITED,Facilities & Management Services,CORPORATE SERVICES,LEARNING & DEVELOPMENT,"£14,125.00"
Rochdale BC,06/01/2014,BEVAN BRITTAN LLP,Consultancy,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),"£1,876.80"
Rochdale BC,03/01/2014,BGG PROJECT MANAGEMENT LIMITED,Facilities & Management Services,CORPORATE SERVICES,COMMITTEE SERVICES,"£2,100.00"
Rochdale BC,27/01/2014,BGG PROJECT MANAGEMENT LIMITED,Facilities & Management Services,CORPORATE SERVICES,COMMITTEE SERVICES,£700.00
Rochdale BC,08/01/2014,BIBLIOTHECA,Education,CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£3,553.00"
Rochdale BC,06/01/2014,BLACKBURN WITH DARWEN BC,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£28,500.00"
Rochdale BC,20/01/2014,BLUE & RED LTD,Information Communication Technology,CORPORATE SERVICES,THIRD PARTY CONTRACTS,£815.50
Rochdale BC,22/01/2014,BLUE ORCHILD MANAGEMENT CONSULTING LTD,Consultancy,ECONOMY AND ENVIRONMENT,ENTERPRISE COACHING,"£25,000.00"
Rochdale BC,23/01/2014,BLUE PITS HOUSING ACTION,Consultancy,LEARNING DIS & MENTAL HEALTH,GENERAL,£910.00
Rochdale BC,23/01/2014,BLUE PITS HOUSING ACTION,Consultancy,LEARNING DIS & MENTAL HEALTH,GENERAL,£559.00
Rochdale BC,30/12/2013,BOARSHAW PHARMACY LTD,Unclassifiable,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£533.80
Rochdale BC,16/01/2014,BOARSHAW PHARMACY LTD,Unclassifiable,PUBLIC HEALTH,STOP SMOKING,"£3,092.29"
Rochdale BC,21/01/2014,BOARSHURST LOFTS & DORMERS,Building Construction Materials,LEARNING DIS & MENTAL HEALTH,CARERS RESOURCE CENTRE,"£1,360.38"
Rochdale BC,13/01/2014,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£786.00
Rochdale BC,15/01/2014,BOLTON M B C,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"£28,500.00"
Rochdale BC,20/01/2014,BOLTON M B C,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£33,631.00"
Rochdale BC,28/01/2014,BOOKSOURCE,Education,CORPORATE SERVICES,MASKEW BEQUEST SPECIFIED,£545.58
Rochdale BC,30/12/2013,BOOTS OPTICIANS,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£500.51
Rochdale BC,13/01/2014,BRADSHAWS BUS & COACH,Human Resources,EARLY HELP AND SCHOOLS,14-19 TEAM 11/12,"£4,995.00"
Rochdale BC,28/01/2014,BRAHM FUNDCO 2 LTD,Housing Management,ECONOMY AND ENVIRONMENT,HEYWOOD JSC - PHOENIX CENTRE,"£21,887.30"
Rochdale BC,28/01/2014,BRAHM FUNDCO 2 LTD,Housing Management,ECONOMY AND ENVIRONMENT,HEYWOOD JSC - PHOENIX CENTRE,"£18,545.36"
Rochdale BC,23/01/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,GREENBANK,£631.29
Rochdale BC,28/01/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,GREENBANK,£591.25
Rochdale BC,13/01/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,£553.27
Rochdale BC,03/01/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£9,440.72"
Rochdale BC,10/01/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£8,393.44"
Rochdale BC,16/01/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£8,853.03"
Rochdale BC,24/01/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£9,413.52"
Rochdale BC,31/01/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£9,600.07"
Rochdale BC,16/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HEYWOOD STRUCTURAL PATCHING CAP,"£12,843.28"
Rochdale BC,28/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HEYWOOD STRUCTURAL PATCHING CAP,"£7,838.06"
Rochdale BC,16/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,MIDDLETON STRUCTURAL PATCHING CAP,"£6,232.75"
