Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,31/01/2014,J & S TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£915.00
Rochdale BC,20/01/2014,J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,£520.00
Rochdale BC,10/01/2014,J C MILLS & SON LIMITED,Building Construction Materials,EARLY HELP AND SCHOOLS,SHAWCLOUGH WATER TANK REMOVAL,"£9,595.65"
Rochdale BC,07/01/2014,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,EXT WORKS VARIOUS PATHS & RETAINING WALL,"£18,372.90"
Rochdale BC,24/01/2014,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP BAGSLATE MOOR ROAD,"£24,822.21"
Rochdale BC,24/01/2014,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP CAITHNESS ROAD FOOTWAY,"£26,319.07"
Rochdale BC,24/01/2014,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP FOUNTAIN ST RESURFACING,"£38,927.50"
Rochdale BC,30/01/2014,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP GLENMORE AVE,"£12,011.05"
Rochdale BC,15/01/2014,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP HIGHLANDS ROAD,"£53,190.51"
Rochdale BC,29/01/2014,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP HIGHLANDS ROAD,"£66,462.07"
Rochdale BC,02/01/2014,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP SIR ISSAC NEWTON WAY RESURFACING,"£3,198.22"
Rochdale BC,24/01/2014,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP SIR ISSAC NEWTON WAY RESURFACING,"£168,497.07"
Rochdale BC,28/01/2014,J D DANCE CLUB LIMITED,Arts & Leisure Services,CHILDREN’S SOCIAL CARE,SUMMER FUN,£650.00
Rochdale BC,08/01/2014,J G SHELTON & CO LIMITED             (S),Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,"£2,345.15"
Rochdale BC,13/01/2014,J G SHELTON & CO LIMITED             (S),Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,"£4,260.00"
Rochdale BC,07/01/2014,J GREENWOOD (BUILDERS) LIMITED       (S),"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,TOWN HALL REROOFING WORKS- PH1 CLOCK TOW,"£38,104.17"
Rochdale BC,07/01/2014,J T SAWYER & CO LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,"£1,468.60"
Rochdale BC,14/01/2014,JACKSON JACKSON & SONS LTD           (S),Building Construction Materials,EARLY HELP AND SCHOOLS,Kentmere PCP,"£5,309.63"
Rochdale BC,30/01/2014,JADE TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£4,865.50"
Rochdale BC,30/01/2014,JADE TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,080.75"
Rochdale BC,30/01/2014,JADE TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,172.75"
Rochdale BC,13/01/2014,JCM SEATING SOLUTIONS LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DOWLING STREET OCC THERAPY,"£1,115.90"
Rochdale BC,09/01/2014,JEREMY BENN ASSOCIATES LTD,Consultancy,ECONOMY AND ENVIRONMENT,SURFACE WATER MGT PLAN,"£12,289.00"
Rochdale BC,24/01/2014,JEREMY BENN ASSOCIATES LTD,Consultancy,ECONOMY AND ENVIRONMENT,SURFACE WATER MGT PLAN,"£8,000.00"
Rochdale BC,23/01/2014,JGM AGENCY,Facilities & Management Services,FINANCE SERVICES,PR MEDIA AND MARKETING,"£5,365.50"
Rochdale BC,15/01/2014,JMHA,Housing Management,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,"£1,870.00"
Rochdale BC,15/01/2014,JMHA,Housing Management,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,"£5,000.00"
Rochdale BC,28/01/2014,JMHA,Housing Management,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,"£5,000.00"
Rochdale BC,13/01/2014,JOANNE PLATT ASSOCIATES LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£8,320.00"
Rochdale BC,23/01/2014,JOHN SLATTERY PHOTOGRAPHY,Facilities & Management Services,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,£550.00
Rochdale BC,08/01/2014,JOHNSTON BROS,Cemetery & Crematorium,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£836.00
Rochdale BC,08/01/2014,JOHNSTON BROS,Cemetery & Crematorium,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£684.00
Rochdale BC,08/01/2014,JOHNSTON BROS,Cemetery & Crematorium,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£684.00
Rochdale BC,08/01/2014,JOHNSTON BROS,Cemetery & Crematorium,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£912.00
Rochdale BC,09/01/2014,JOHNSTON BROS,Cemetery & Crematorium,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,216.00"
Rochdale BC,09/01/2014,JOHNSTON BROS,Cemetery & Crematorium,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£874.00
Rochdale BC,22/01/2014,JONES LANG LASALLE,Facilities & Management Services,ECONOMY AND ENVIRONMENT,ROCHDALE MARKET,"£26,105.21"
Rochdale BC,22/01/2014,JONES LANG LASALLE,Facilities & Management Services,ECONOMY AND ENVIRONMENT,ROCHDALE MARKET,"£35,994.37"
Rochdale BC,02/01/2014,JONES LIGHTING LTD,Highway Equipment & Materials ,PROPERTY AND HIGHWAYS,ST LTG MISC XMAS ILLUMINA,"£1,679.31"
Rochdale BC,07/01/2014,JUBB & JUBB LIMITED,"Works - Construction, Repair & Maintenance",CORPORATE SERVICES,MIDDLETON LIBRARY REFURB,"£1,344.00"
Rochdale BC,09/01/2014,JULIEW CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£1,000.00"
Rochdale BC,23/01/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,"£1,037.00"
Rochdale BC,24/01/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,"£1,037.00"
Rochdale BC,27/01/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,"£1,037.00"
Rochdale BC,27/01/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,"£1,037.00"
Rochdale BC,22/01/2014,K T LITHO PRINTERS LIMITED,Facilities & Management Services,CORPORATE SERVICES,PRODUCTION,£576.00
Rochdale BC,10/01/2014,KABERRY CONSTRUCTION LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,WINTER SERVICE DEPOT,"£231,140.86"
Rochdale BC,29/01/2014,KAPOOR CHEMISTS LTD,Healthcare,PUBLIC HEALTH,STOP SMOKING,£545.89
Rochdale BC,01/01/2014,KASHMIR YOUTH PROJECT,Social Community Care Supplies & Services,CORPORATE SERVICES,KASHMIR YOUTH PROJECT,"£4,200.00"
Rochdale BC,30/01/2014,KB INDUSTIES UK LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,"£1,551.00"
Rochdale BC,13/01/2014,KEN BROGDEN LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,"£1,345.00"
Rochdale BC,02/01/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£11,071.34"
Rochdale BC,09/01/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£3,200.00"
Rochdale BC,27/01/2014,KINGSWAY PARK HIGH SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,SECONDARY MATERNITY LEAVE,"£19,545.52"
Rochdale BC,29/01/2014,KINGSWAY PARK HIGH SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,"£1,595.00"
Rochdale BC,16/01/2014,KORUS RECRUITMENT GROUP LTD,Human Resources,CORPORATE SERVICES,REFRESH PROGRAMME,"£3,300.00"
Rochdale BC,06/01/2014,KR INVEST LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£3,920.40"
Rochdale BC,06/01/2014,KR INVEST LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£8,861.76"
Rochdale BC,24/01/2014,L ROWLAND & CO LTD,Healthcare,PUBLIC HEALTH,STOP SMOKING,"£2,096.55"
Rochdale BC,01/01/2014,LAMBERT SMITH HAMPTON GROUP LIMITED,Financial Services,ECONOMY AND ENVIRONMENT,HOLLINGWORTH LAKE GENERAL,"£7,500.00"
Rochdale BC,23/01/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£1,898.40"
Rochdale BC,02/01/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,ECONOMY AND ENVIRONMENT,RIGHTS OF WAY (Transferring from Highway,"£2,675.00"
Rochdale BC,27/01/2014,LANCASHIRE LOCK & SAFE COMPANY LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£541.00
Rochdale BC,31/12/2013,LAPSILLE LTD,Education,EARLY HELP AND SCHOOLS,SEND PATHFINDER,"£1,350.00"
Rochdale BC,06/01/2014,LAROCHE DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£1,470.15"
Rochdale BC,08/01/2014,LAROCHE DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£4,410.45"
Rochdale BC,06/01/2014,LAROCHE DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£19,874.25"
Rochdale BC,24/01/2014,LIFE FITNESS UK LIMITED,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,EQUIPMENT - LEISURE CENTRES,"£17,744.78"
Rochdale BC,17/01/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,LEARNING DIS & MENTAL HEALTH,CARERS RESOURCE CENTRE,£500.00
Rochdale BC,15/01/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,CORPORATE SERVICES,COMMUNITIES & ENGAGEMENT PRIORITY FUND,"£1,025.00"
Rochdale BC,14/01/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,ECONOMY AND ENVIRONMENT,COMMUNITY AFFAIRS,"£6,000.00"
Rochdale BC,01/01/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£312,618.44"
Rochdale BC,17/01/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,PUBLIC HEALTH,PHYSICAL ACTIVITY COMMISSIONING,"£147,000.00"
Rochdale BC,06/01/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,CORPORATE SERVICES,PROJECTS COMMISSIONING,"£1,025.00"
Rochdale BC,01/01/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£4,083.33"
Rochdale BC,01/01/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£4,108.33"
Rochdale BC,14/01/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,ECONOMY AND ENVIRONMENT,SKILLS OUTREACH,"£10,000.00"
Rochdale BC,01/01/2014,LINK4LIFE (TRADING),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£8,591.67"
Rochdale BC,20/01/2014,LINKUP TRANSLATION LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,LEVEL 1 CARERS,"£1,241.20"
Rochdale BC,30/01/2014,LIQUIDLOGIC LTD,Information Communication Technology,CORPORATE SERVICES,CAF DEMONSTRATOR,"£15,000.00"
Rochdale BC,27/01/2014,LIQUIDLOGIC LTD,Information Communication Technology,EARLY HELP AND SCHOOLS,MAN & ADMIN  MISC INCOME & EXPENDITURE,"£4,000.00"
Rochdale BC,06/01/2014,LITTLE GEMS PDN,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£7,840.80"
Rochdale BC,06/01/2014,LITTLE GEMS PDN,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£5,182.65"
Rochdale BC,06/01/2014,LITTLE STEPS ROCHDALE LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£4,900.50"
Rochdale BC,06/01/2014,LITTLE STEPS ROCHDALE LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£10,140.21"
Rochdale BC,29/01/2014,LITTLEBOROUGH GROUP PRACTICE,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£616.84
Rochdale BC,30/12/2013,LITTLEBOROUGH GROUP PRACTICE,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£778.31
Rochdale BC,09/01/2014,LITTLEBOROUGH PRIVATE HIRE,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,680.00"
Rochdale BC,29/01/2014,LLOYDS PHARMACY LTD,Consultancy,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£674.54
Rochdale BC,29/01/2014,LLOYDS PHARMACY LTD,Consultancy,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£1,046.75"
Rochdale BC,29/01/2014,LOCKHART CATERING EQUIPMENT,Catering,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,£981.28
Rochdale BC,31/01/2014,LOGO PLUS,Building Construction Materials,CORPORATE SERVICES,MASKEW BEQUEST SPECIFIED,"£2,125.00"
Rochdale BC,17/01/2014,LPS TRAINING & CONSULTANCY LTD,Human Resources,PHYSICAL DIS & OLDER PEOPLE,TRAINING COMMISSIONING,£525.00
Rochdale BC,31/01/2014,LPS TRAINING & CONSULTANCY LTD,Human Resources,PHYSICAL DIS & OLDER PEOPLE,TRAINING COMMISSIONING,£525.00
Rochdale BC,27/01/2014,LUBBE & SONS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£567.00
Rochdale BC,31/01/2014,LUBBE & SONS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"£3,376.69"
Rochdale BC,10/01/2014,MACE LIMITED,Consultancy,ECONOMY AND ENVIRONMENT,HOUSING STRATEGY,£800.00
Rochdale BC,10/01/2014,MACE LIMITED,Consultancy,FINANCE SERVICES,SOCIAL FUND,"£1,400.00"
Rochdale BC,02/01/2014,MACK4 LIMITED,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£3,455.00"
Rochdale BC,02/01/2014,MAILBOX STAMFORD PRODUCTS LTD,Healthcare,PROPERTY AND HIGHWAYS,Winter Maintenance,"£1,991.00"
Rochdale BC,09/01/2014,MAKING SPACE,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£12,575.00"
Rochdale BC,10/01/2014,MAKING SPACE,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£12,575.00"
Rochdale BC,01/01/2014,MAKING SPACE,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,EXTERNALLY COMMISSIONED SERVICES,"£16,366.00"
Rochdale BC,06/01/2014,MANCHESTER CITY COUNCIL,Public Bodies,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,080.00"
Rochdale BC,08/01/2014,MANCHESTER CITY COUNCIL,Public Bodies,PUBLIC HEALTH,SPECIALIST PUBLIC HEALTH TEAM,"£2,043.00"
Rochdale BC,29/01/2014,MANCHESTER WORKING LIMITED,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,POOLED ICES,"£16,625.12"
Rochdale BC,14/01/2014,MANCHESTERS COMMISSION FOR THE NEW ECONOMY,Unclassifiable,ECONOMY AND ENVIRONMENT,BUSINESS SUPPORT (S106 158K),"£3,500.00"
Rochdale BC,15/01/2014,MASSEY & HARRIS (ENGINEERING) LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,PLAYGROUND REPLACEMENT EQUIP,"£2,775.00"
Rochdale BC,15/01/2014,MASSEY & HARRIS (ENGINEERING) LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,PLAYGROUND REPLACEMENT EQUIP,£854.00
Rochdale BC,17/01/2014,MASSEY & HARRIS (ENGINEERING) LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,PLAYGROUND REPLACEMENT EQUIP,£854.00
Rochdale BC,29/01/2014,MATTHEW MOSS HIGH SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,SCHOOL DIRECT TRAINING,"£48,545.46"
Rochdale BC,21/01/2014,MAYRISE LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,"£1,700.00"
Rochdale BC,01/01/2014,MEADOWFIELD COMMUNITY CENTRE,Financial Services,CORPORATE SERVICES,MEADOWFIELD,"£9,575.00"
Rochdale BC,08/01/2014,MEADOWFIELD COMMUNITY CENTRE,Financial Services,CORPORATE SERVICES,TOWNSHIP PRIORITY PROJECT FUND,"£2,679.80"
Rochdale BC,21/01/2014,MEADOWS CARE LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£5,220.00"
Rochdale BC,30/01/2014,MEDICX PHARMACY,Healthcare,PUBLIC HEALTH,STOP SMOKING,"£1,327.42"
Rochdale BC,30/01/2014,MEDICX PHARMACY,Healthcare,PUBLIC HEALTH,STOP SMOKING,"£1,150.62"
Rochdale BC,30/01/2014,MEDICX PHARMACY,Healthcare,PUBLIC HEALTH,STOP SMOKING,"£1,659.99"
Rochdale BC,02/01/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,"£5,207.58"
Rochdale BC,06/01/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,£633.60
Rochdale BC,29/01/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,"£5,207.58"
Rochdale BC,17/01/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,012.00"
Rochdale BC,17/01/2014,MERIDIAN LAW LTD,Information Communication Technology,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,700.00"
Rochdale BC,31/01/2014,METRO SRM LLP,Financial Services,ECONOMY AND ENVIRONMENT,TELEGRAPH HOUSE SERVICE CHARGE ACCOUNT,£990.00
Rochdale BC,31/01/2014,METRO SRM LLP,Financial Services,ECONOMY AND ENVIRONMENT,TELEGRAPH HOUSE SERVICE CHARGE ACCOUNT,£990.00
Rochdale BC,24/01/2014,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,Human Resources,CORPORATE SERVICES,MANAGEMENT ADMIN,£931.50
Rochdale BC,17/01/2014,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,Human Resources,FINANCE SERVICES,PR MEDIA AND MARKETING,"£2,308.50"
Rochdale BC,24/01/2014,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,Human Resources,FINANCE SERVICES,PR MEDIA AND MARKETING,£699.30
Rochdale BC,29/01/2014,MIDDELTON HEALTH CENTRE,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£666.93
Rochdale BC,20/01/2014,MIDDLETON PARISH CE SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,SCHOOLS ACCESS -EQUIPMENT-PRIMARY,"£30,951.46"
Rochdale BC,23/01/2014,MIDDLETON TECHNOLOGY SCHOOL FUND,Public Bodies,EARLY HELP AND SCHOOLS,CLC RUNNING COSTS 2011/12,"£9,029.14"
Rochdale BC,13/01/2014,MIDDLETON TOWN CENTRE MANAGEMENT CO LTD,Human Resources,CORPORATE SERVICES,EVENTS BUDGET,"£3,000.00"
Rochdale BC,01/01/2014,MIDDLETON TRAMPOLINING CLUB,Arts & Leisure Services,EARLY HELP AND SCHOOLS,HEALTH RELATED SHORT BREAKS,"£2,599.08"
Rochdale BC,15/01/2014,MIDLAND SOFTWARE LTD,Information Communication Technology,CORPORATE SERVICES,E-HR TRANSFORMATION PROGAMME,"£4,029.00"
Rochdale BC,08/01/2014,MIDLAND SOFTWARE LTD,Information Communication Technology,CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£1,467.41"
Rochdale BC,01/01/2014,MILLS INITIATIVES LIMITED,"Works - Construction, Repair & Maintenance",CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,"£50,700.00"
Rochdale BC,09/01/2014,MILLS INITIATIVES LIMITED,"Works - Construction, Repair & Maintenance",CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,"£4,492.98"
Rochdale BC,09/01/2014,MILNROW CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£516.00
Rochdale BC,06/01/2014,MILNROW PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£2,940.30"
Rochdale BC,06/01/2014,MILNROW PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£13,677.30"
Rochdale BC,30/12/2013,MILNROW VILLAGE PRACTICE,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£1,844.61"
Rochdale BC,08/01/2014,MISCO,Information Communication Technology,CORPORATE SERVICES,REFRESH PROGRAMME,"£1,524.22"
Rochdale BC,30/01/2014,MISCO,Information Communication Technology,CORPORATE SERVICES,REFRESH PROGRAMME,£780.08
Rochdale BC,23/01/2014,MOOREND DEVELOPMENT TRUST LIMITED,Unclassifiable,CORPORATE SERVICES,WARD CAPITAL FUND,"£1,550.00"
Rochdale BC,23/01/2014,MOOREND DEVELOPMENT TRUST LIMITED,Unclassifiable,CORPORATE SERVICES,WARDS FUND,"£1,500.00"
Rochdale BC,23/01/2014,MOOREND DEVELOPMENT TRUST LIMITED,Unclassifiable,CORPORATE SERVICES,WARDS FUND,"£1,000.00"
Rochdale BC,30/01/2014,MORLEYS OF BICESTER LIMITED,"Works - Construction, Repair & Maintenance",CORPORATE SERVICES,ROCHDALE CENTRAL LIBRARY,"£1,018.00"
Rochdale BC,01/01/2014,MOSAIC COMMUNITY CARE LTD,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£4,088.50"
Rochdale BC,09/01/2014,MOTT MACDONALD LIMITED,Human Resources,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),"£6,057.85"
Rochdale BC,30/01/2014,MR GARY P DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,795.50"
Rochdale BC,03/01/2014,MR J P O`HARA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,488.45"
Rochdale BC,03/01/2014,MR J P O`HARA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,488.45"
Rochdale BC,03/01/2014,MR J P O`HARA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,402.50"
Rochdale BC,21/01/2014,MR P E HOLT,Furniture & Soft Furnishings,CHILDREN’S SOCIAL CARE,FURNESS ROAD,"£1,932.00"
Rochdale BC,14/01/2014,NATIONAL CYCLING ACADEMY,Arts & Leisure Services,PROPERTY AND HIGHWAYS,17-25 YOUNG DRIVER PROJECT,"£15,787.50"
Rochdale BC,07/01/2014,NATIONAL FLOOD FORUM,Environmental Services,ECONOMY AND ENVIRONMENT,FLOOD RESILIENCE COMMUNITY PATHFINDER,"£16,984.62"
Rochdale BC,07/01/2014,NATIONAL FLOOD FORUM,Environmental Services,ECONOMY AND ENVIRONMENT,FLOOD RESILIENCE COMMUNITY PATHFINDER,"£15,746.62"
Rochdale BC,06/01/2014,NATURES NURSERY (HUDDERSFIELD) LTD,Horticultural,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£4,900.50"
Rochdale BC,06/01/2014,NATURES NURSERY (HUDDERSFIELD) LTD,Horticultural,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£13,515.84"
Rochdale BC,17/01/2014,NATURESCAPE,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£800.00
Rochdale BC,31/01/2014,NEIL SIMPSON & SON                   (S),"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£6,900.47"
Rochdale BC,21/01/2014,NEW COLLEGE WORCESTER,Public Bodies,EARLY HELP AND SCHOOLS,NON MAINTAINED POST 16,"£12,057.00"
Rochdale BC,02/01/2014,NEW HORIZONS (STOCKPORT) LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£8,200.00"
Rochdale BC,21/01/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£575.71
Rochdale BC,21/01/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,£518.14
Rochdale BC,21/01/2014,NEWBARN LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,GENERAL,"£1,709.16"
Rochdale BC,06/01/2014,NEWBOLD CHILDRENS CENTRE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£19,111.95"
Rochdale BC,06/01/2014,NEWBOLD CHILDRENS CENTRE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£18,021.96"
Rochdale BC,06/01/2014,NEWBOLD COMMUNITY PLAYGROUP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£1,960.20"
