Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount (£),Purpose
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL Day Works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162259,624,LAMP DISC HARAVIN MOUNT PLEASANT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL External Contractors,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162260,624,LAMP DISC SCH HSE LANGWATHBY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162261,926,LAMP TRAN LANE END K THORE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL Day Works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162262,624,LAMP DISC BLUEBELL HSE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162264,1009,LAMP RECON ELM TREE MAIN ST SHAP
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Housing Delivery,Professional fees,NORTHERN  HOUSING CONSORTIUM,NOR003,22/12/2017,157629,885,MEMBERSHIP 2017/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Committee and Member Costs,Caretaking/security (contract),AMEY PLC,TFE001,22/12/2017,158931,607.18,BC1949
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Cemeteries,Building Maintenance,AMEY PLC,TFE001,22/12/2017,158932,667.06,BC1998
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,Flood Damage,METCALFE PLANT & TOOL HIRE LTD,MET002,22/12/2017,160735,5000,ROAD REINSTATEMENT JENKINS FIELD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Committee and Member Costs,Caretaking/security (contract),AMEY PLC,TFE001,22/12/2017,161372,567.83,TOWN HALL
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Administrative Buildings,Balance brought forward BS,CHUBB ELECTRONIC SECURITY,CHU001,22/12/2017,161569,1195.84,ANNUAL CONTRACT 23/01/18-22/01/19
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Community Development & Engagement,Grants and contributions,CUMBRIA ASSOCIATION OF LOCAL COUNCILS,CUM039,22/12/2017,161766,5000,EDC 2ND TRANCHE OF SUPPORT 17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Building works,AMEY PLC,TFE001,22/12/2017,162001,1184.98,SERVICES TO WASH BAY THE DEPOT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Professional fees,GATELEY (MANCHESTER) LLP,GAT009,22/12/2017,162109,1116,INTERIM BILL PROFESSIONAL CHARGES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Professional fees,WALTON GOODLAND LTD,WAL008,22/12/2017,162151,4826.5,RATE FOR SURVEYOR NOV 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Refuse Collection,Contract refuse collection,AMEY PLC,TFE001,22/12/2017,162163,67452.3,M-RC69
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Electricity,E.ON UK PLC,EON001,22/12/2017,162168,6159.06,street lighting
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Water charges – metered,WATER PLUS,UNI008,22/12/2017,162170,663.26,bluebell lane pcs
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Shared IT Services,SOUTH LAKELAND DISTRICT COUNCIL,SOU006,22/12/2017,162174,75712.34,IT SHARED SERVICES QTR 3 2017/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Shared IT Services,SOUTH LAKELAND DISTRICT COUNCIL,SOU006,22/12/2017,162175,75712.34,IT SHARED SERVICES QTR 2 2017/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Human Resources Manager,Staff Development,Training Expenses,IRRV,IRR003,22/12/2017,162220,1095,ANNUAL SUBSCRIPTION 2018
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Balance Sheet entry BS,CLICK NETHERFIELD LTD,CLI008,22/12/2017,162223,1590.5,INSTALL  TESS PRISM - BALANCE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL  Contract,AMEY PLC,TFE001,22/12/2017,162228,2939.68,FL-09/2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Closed Church Yards,GM INSPECTIONS & MAINTENANCE,AMEY PLC,TFE001,22/12/2017,162229,16116.36,M-GM69
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Central Expenses,Ergonomic Assessments,HEATONS OFFICE SOLUTIONS LTD,LAK004,22/12/2017,162237,975.3,STATIONERY/PAPER/CHAIRS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Grants and contributions,DODD & CO LTD,DOD003,22/12/2017,162238,553,PROF SERVICES SUSTAINABLE ENERGY EDEN
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Benefits,Salaries (Special Projects),SOUTH LAKELAND DISTRICT COUNCIL,SOU006,22/12/2017,162247,882,SHARED APPEALS OFFICER RECHARGE NOV 18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Planned Maintenance,ADT FIRE AND SECURITY,ADT001,18/12/2017,162363,801.41,ACCESS CONTROL WHELPDALE ROOM
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Recycling - Bag & Box,CUMBRIA WASTE RECYCLING LTD,CUM022,22/12/2017,162248,20171.54,GB-08-17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Recycling - Garden Waste,CUMBRIA WASTE RECYCLING LTD,CUM022,22/12/2017,162249,22232.23,GW-08-17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Professional fees,BOWMANS CARPETS,BOW010,22/12/2017,162252,1083.32,STAINSAFE CARPET
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Recycling  - Bring Sites,CUMBRIA WASTE RECYCLING LTD,CUM022,22/12/2017,162253,7600.72,BS-63
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162258,926,LAMP TRANS TOWNHEAD BARN
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Collection of Local Taxation,Supplies general,MORGAN HUNT UK LTD,MOR031,22/12/2017,162272,565.75, 10/12/17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Cemeteries,ADHOC WORKS FOR BURIALS,AMEY PLC,TFE001,22/12/2017,162274,2501.49,GM121
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,22/12/2017,162275,805.79,MANSION HOUSE 1/11/-30/11/17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Elections,Postages,ROYAL MAIL NW,ROY001,22/12/2017,162276,572.49,BUSINESS MAIL ADVANCED 1C UNSORTED
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Audit fee,GRANT THORNTON UK LLP,THO026,22/12/2017,162278,10486,EXTERNAL AUDIT 2017/18 2 OF 4
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Penrith TIC Trading Account,Commission,PENRITH PLAYERS THEATRE LTD,PEN002,22/12/2017,162280,578.55,TICKET SALES FOR TOAD OF TOAD HALL
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,CUMBRIA COUNTY COUNCIL,CCC002,22/12/2017,162286,1727.8,NOV 2017 SEARCHES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Homelessness,CLG Grant Expenditure,BOLTON AT HOME,BOL010,22/12/2017,162348,500,CONTRIBUTION TO NWHF
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Human Resources Manager,Central Expenses,Equipment – purchase,ADT FIRE AND SECURITY,ADT001,18/12/2017,162357,2112,ACCESS CONTROL SYSTEM MANSION HOUSE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Corporate Services Manager,Central Expenses,Postages,NEOPOST,NEO004,12/12/2017,162404,969,Top Ups
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Commercial Services,Child Care Voucher Scheme,BUSY BEES CHILDCARE VOUCHERS,BUS004,18/12/2017,162439,1326,CHILDCARE VOUCHERS 18/12/17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Window cleaning,AMEY PLC,TFE001,22/12/2017,161663,15160.08,2017/18_BC_08
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Window cleaning,AMEY PLC,TFE001,22/12/2017,162349,15160.08,2017/18_BC_09
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Window cleaning,AMEY PLC,TFE001,22/12/2017,162351,15160.08,2017/18_BC_07
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Bank charges,Barclays Bank,BBB001,28/12/2017,174916,2627.13,Commission charge sept-dec 17
