Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date,Account Reference Number
"207, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457702070N,3250,Increased Retail Relief,Animal Welfare (Furness),01/04/1990,5000000752
"207, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457702070N,3250,Mandatorary Relief,Animal Welfare (Furness),01/04/1990,5000000752
"209-211, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457702091N,6800,Increased Retail Relief,"W E Griffiths & Co,",03/12/2005,5000011676
"209-211, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457702091N,6800,Small Business Relief England,"W E Griffiths & Co,",03/12/2005,5000011676
"20, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",104105900200N,4100,Increased Retail Relief,Project John Ltd,09/09/2002,5000009879
"20, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",104105900200N,4100,Mandatorary Relief,Project John Ltd,09/09/2002,5000009879
"20,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119500201N,5400,Empty Property Rate Non-Industrial,Barrow Borough Council,28/02/2015,5000016932
"20, Tudor Square, Dalton In Furness, Cumbria, LA15  8RH",113291400193N,8300,Increased Retail Relief,Bar 20 Dalton Ltd,01/04/2013,5000016373
"210, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302100N,11000,Increased Retail Relief,Animal Welfare (Furness),30/09/2014,5000016642
"210, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302100N,11000,Mandatorary Relief,Animal Welfare (Furness),30/09/2014,5000016642
"214, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302140N,8500,Increased Retail Relief,Lads & Dads Clothing Ltd,01/04/2013,5000015853
"214, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302140N,8500,Small Business Relief England,Lads & Dads Clothing Ltd,01/04/2013,5000015853
"217, Duke Street, Barrow In Furness, Cumbria, LA14 1XT",105119502170N,2750,Mandatorary Relief,"Cumbria Deaf Association,",18/10/1993,5000003189
"219, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",104417302190N,8800,Increased Retail Relief,Lakes Bakery Limited,18/06/2010,5000014251
"219, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",104417302190N,8800,Small Business Relief England,Lakes Bakery Limited,18/06/2010,5000014251
"21, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1ST",104517100210N,4200,Increased Retail Relief,Simply Pleasure Ltd,29/11/2005,5000011704
"223, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",104417302230N,11250,Increased Retail Relief,Datsa Ltd T/A Cartridge World,25/12/2003,5000010799
"226, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302260N,8600,Increased Retail Relief,The Vapour Bar Limited,27/05/2014,5000016556
"227-231, Duke Street, Barrow In Furness, Cumbria, LA14 1XT",105119502270N,16500,Increased Retail Relief,H.S.S. Hire Services Group Plc,14/02/1994,5000003488
"227, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",104417302270N,15750,Increased Retail Relief,Kerb Retail Ltd,01/12/2013,5000016591
"231, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",104417302310N,13000,Increased Retail Relief,Baan Siam Barrow Ltd,19/10/2012,5000015589
"231, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",104417302310N,13000,Small Business Relief England,Baan Siam Barrow Ltd,19/10/2012,5000015589
"23-29, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600230N,19250,Increased Retail Relief,Winfield Holdings Ltd,10/04/1992,5000002088
"23, Bath Street, Barrow In Furness, Cumbria, LA14 1NL",104105900231N,3900,Increased Retail Relief,Furness Homeless Support Group,01/05/2001,5000008995
"23, Bath Street, Barrow In Furness, Cumbria, LA14 1NL",104105900231N,3900,Mandatorary Relief,Furness Homeless Support Group,01/05/2001,5000008995
"23, Greengate Street, Barrow In Furness, Cumbria, LA14 1HB",105127600230N,8500,Increased Retail Relief,"Greengate Workingmen'S,",01/04/1990,5000000588
"23, Greengate Street, Barrow In Furness, Cumbria, LA14 1HB",105127600230N,8500,Small Business Relief England,"Greengate Workingmen'S,",01/04/1990,5000000588
"250, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302500N,14750,Increased Retail Relief,Diamond Jim Ltd,01/04/2011,5000014639
"252-254, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302520N,8400,Increased Retail Relief,Mithali Restaurant Ltd,01/04/2005,5000011293
"252-254, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302520N,8400,Small Business Relief England,Mithali Restaurant Ltd,01/04/2005,5000011293
"25-29, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1ST",104517100250N,5800,Small Business Relief England,Mister Mister Ltd,01/04/1990,5000000380
