BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER  ID,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,RENT,20/03/2015,262060,4789.14,NEWARK TOWN COUNCIL,100374,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,COMPUTER SOFTWARE MAINTENANCE,20/03/2015,262223,4704,IHS (GLOBAL) LIMITED,100956,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,06/03/2015,261147,4556,PURCELL MILLER TRITTON LLP,101037,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262637,4538.09,NATIONWIDE WINDOWS LIMITED,101404,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262040,4500,WESTVILLE LTD,100604,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,13/03/2015,261551,4455.21,CHANNEL 5 BROADCASTING LTD,104870,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,27/03/2015,261925,4433,NOTTINGHAM CITY COUNCIL,100390,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,REPAIRS AND MAINTENANCE,27/03/2015,262550,4418,JCP POWER & DATA CONTRACTORS LTD,100243,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262041,4340,P B PROPERTY DEVELOPMENTS LTD,104591,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,27/03/2015,262516,4330,NEIL SHACKLOCK PLUMBING AND HEATING  LTD,104679,,,
