Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,14/04/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,WOODLAND CHILDRENS CENTRE,"£1,326.28"
Rochdale,14/04/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,"£1,355.29"
Rochdale,14/04/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,£769.22
Rochdale,02/04/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,"£1,037.00"
Rochdale,02/04/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,"£1,037.00"
Rochdale,16/04/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,"£1,037.00"
Rochdale,16/04/2014,JUST TEACHERS LIMITED,Human Resources,EARLY HELP AND SCHOOLS,AUTISM,£518.50
Rochdale,16/04/2014,KORUS RECRUITMENT GROUP LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£3,740.00"
Rochdale,15/04/2014,LEYTON HEALTHCARE NO 12 LTD,Human Resources,PHYSICAL DIS & OLDER PEOPLE,TRAINING COMMISSIONING,"£4,860.00"
Rochdale,25/04/2014,LINKUP TRANSLATION LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,£631.80
Rochdale,22/04/2014,LOCAL GOVERNMENT ASSOCIATION,Human Resources,CUSTOMERS & CORPORATE SERVICES,SUBSCRIPTIONS GRANTS AND DONATIONS,"£32,767.40"
Rochdale,03/04/2014,LORD AND CO HR LTD,Human Resources,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,£750.00
Rochdale,10/04/2014,MEADOWS CARE LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£4,982.01"
Rochdale,17/04/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,£633.60
Rochdale,17/04/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,£528.00
Rochdale,08/04/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£607.20
Rochdale,17/04/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,012.00"
Rochdale,17/04/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£802.00
Rochdale,11/04/2014,MERITEC LIMITED,Human Resources,FINANCE SERVICES,HSG BEN & CNCIL TAX SUPPORT ASSESSMENTS,"£79,966.25"
Rochdale,08/04/2014,MOTT MACDONALD LIMITED,Human Resources,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),"£5,795.11"
Rochdale,03/04/2014,NHBC,Human Resources,ECONOMY AND ENVIRONMENT,BUILDING CONTROL MANAGEMENT,£835.00
Rochdale,14/04/2014,NORTHENDEN TRAVEL,Human Resources,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£1,251.00"
Rochdale,08/04/2014,OLDHAM COLLEGE,Human Resources,CHILDREN’S SOCIAL CARE,CSC TRAINING EXPENSES,"£6,904.00"
Rochdale,08/04/2014,OLDHAM COLLEGE,Human Resources,CHILDREN’S SOCIAL CARE,CSC TRAINING EXPENSES,"£4,653.00"
Rochdale,04/04/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£2,623.71"
Rochdale,08/04/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£2,598.89"
Rochdale,23/04/2014,PULSE HEALTHCARE LTD,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£2,592.42"
Rochdale,04/04/2014,RAY BRAITHWAITE,Human Resources,CHILDREN’S SOCIAL CARE,CHILDREN'S WORKFORCE DEVELOPMENT,"£1,100.00"
Rochdale,02/04/2014,REACH TRAINING,Human Resources,PUBLIC HEALTH,SUPPORTING CHANGE & COMMUNITIES,£530.00
Rochdale,07/04/2014,REACH TRAINING,Human Resources,PUBLIC HEALTH,SUPPORTING CHANGE & COMMUNITIES,£520.00
Rochdale,16/04/2014,REACH TRAINING,Human Resources,PUBLIC HEALTH,SUPPORTING CHANGE & COMMUNITIES,£530.00
Rochdale,16/04/2014,REACH TRAINING,Human Resources,PUBLIC HEALTH,SUPPORTING CHANGE & COMMUNITIES,£510.00
Rochdale,11/04/2014,REAL STAFFING GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,E-HR TRANSFORMATION PROGAMME,"£1,500.00"
Rochdale,10/04/2014,REDACTED-PERSONAL DATA,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£14,734.83"
Rochdale,10/04/2014,ROC NORTHWEST LTD,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£16,430.00"
Rochdale,23/04/2014,ROYAL SCHOOL FOR THE DEAF DERBY,Human Resources,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN NON MAINTAINED,"£11,992.34"
Rochdale,03/04/2014,S P TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,890.00"
Rochdale,23/04/2014,SEASHELL TRUST,Human Resources,EARLY HELP AND SCHOOLS,NON MAINTAINED POST 16,"£15,623.73"
Rochdale,23/04/2014,SEASHELL TRUST,Human Resources,EARLY HELP AND SCHOOLS,NON MAINTAINED POST 16,"£18,956.67"
Rochdale,03/04/2014,SELLICK PARTNERSHIP,Human Resources,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£1,600.00"
Rochdale,11/04/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,500.00"
Rochdale,23/04/2014,THOMASSON MEMORIAL SCHOOL,Human Resources,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN OLA SPECIAL,"£10,677.10"
Rochdale,04/04/2014,TIMOTHY JAMES CONSULTANCY LTD,Human Resources,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£2,000.00"
Rochdale,24/04/2014,TIMOTHY JAMES CONSULTANCY LTD,Human Resources,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£1,400.00"
Rochdale,08/04/2014,TSL EDUCATION LIMITED,Human Resources,EARLY HELP AND SCHOOLS,PERSONNEL,"£1,041.25"
Rochdale,16/04/2014,VIRTUAL COLLEGE,Human Resources,CUSTOMERS & CORPORATE SERVICES,AGMA E-LEARNING,"£2,982.00"
Rochdale,10/04/2014,WINGS EDUCATION LTD,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£17,207.00"
Rochdale,10/04/2014,WINGS EDUCATION LTD,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£16,117.00"
Rochdale,08/04/2014,WINGS EDUCATION LTD,Human Resources,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£31,848.00"
Rochdale,11/04/2014,ASSOCIATED COMPUTER SUPPLIES,Information Communication Technology,EARLY HELP AND SCHOOLS,LITTLEBOROUGH CHILDRENS CENTRE,£507.72
Rochdale,22/04/2014,ASTEC ASSISTIVE TECHNOLOGY SOLUTIONS LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£2,475.00"
Rochdale,16/04/2014,AVANQUEST SOLUTIONS UK LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£9,204.00"
Rochdale,07/04/2014,BREEZE LIMITED,Information Communication Technology,FINANCE SERVICES,TECHNICAL SUPPORT,"£7,129.05"
Rochdale,11/04/2014,CABLE & WIRELESS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£864.61
Rochdale,15/04/2014,CBL DATA RECOVERY,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,ICT OVERHEADS,"£4,650.00"
Rochdale,16/04/2014,EMBARCADERO EUROPE LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£1,104.62"
Rochdale,22/04/2014,FISCAL TECHNOLOGIES LTD,Information Communication Technology,FINANCE SERVICES,CENTRAL FINANCE  SYSTEMS AND ADMIN,"£16,408.00"
Rochdale,16/04/2014,GEOWISE LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,SCRUTINY & PERFORMANCE,"£8,750.00"
Rochdale,02/04/2014,HENRY ALTY LIMITED,Information Communication Technology,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"£2,876.40"
Rochdale,25/04/2014,HENRY ALTY LIMITED,Information Communication Technology,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"£1,839.49"
Rochdale,11/04/2014,INSIGHT MEDIA INTERNET LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£3,040.92"
Rochdale,22/04/2014,IT GUY AND COM SYSTEMS PLC,Information Communication Technology,LEARNING DIS & MENTAL HEALTH,SE SET UP COSTS,"£20,905.21"
Rochdale,22/04/2014,IT GUY AND COM SYSTEMS PLC,Information Communication Technology,LEARNING DIS & MENTAL HEALTH,SE SET UP COSTS,£781.76
Rochdale,23/04/2014,LEARNING POOL LIMITED,Information Communication Technology,EARLY HELP AND SCHOOLS,GOVERNORS SERVICES,"£2,937.00"
Rochdale,08/04/2014,MAYRISE LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,INSURANCE,"£2,600.00"
Rochdale,07/04/2014,MERIDIAN LAW LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,CORONERS CLIENT ROLE,"£11,700.00"
Rochdale,03/04/2014,MIDLAND SOFTWARE LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£2,403.99"
Rochdale,15/04/2014,MISCO,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£4,432.63"
Rochdale,15/04/2014,MISCO,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£763.50
Rochdale,15/04/2014,MISCO,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£772.22
Rochdale,11/04/2014,NETWORKS FIRST LTD,Information Communication Technology,ECONOMY AND ENVIRONMENT,ENV HEAD OF SERVICE M AND SS,"£1,809.00"
Rochdale,11/04/2014,NETWORKS FIRST LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£4,784.00"
Rochdale,25/04/2014,NOMIX ENVIRO,Information Communication Technology,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,£715.00
Rochdale,03/04/2014,NORTHGATE INFORMATION SOLUTIONS UK LTD,Information Communication Technology,FINANCE SERVICES,BLUE BADGES,"£1,607.88"
Rochdale,03/04/2014,NORTHGATE INFORMATION SOLUTIONS UK LTD,Information Communication Technology,FINANCE SERVICES,SOCIAL FUND,"£105,950.00"
Rochdale,22/04/2014,PARAGON GROUP UK LTD,Information Communication Technology,FINANCE SERVICES,HEAD OF SERVICE MANAGEMENT,"£1,024.98"
Rochdale,02/04/2014,SAP (UK) LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£17,464.00"
Rochdale,15/04/2014,SHAW TRUST,Information Communication Technology,LEARNING DIS & MENTAL HEALTH,PERSONAL BUDGET SUPPORT,£804.00
Rochdale,16/04/2014,SHAW TRUST,Information Communication Technology,LEARNING DIS & MENTAL HEALTH,PERSONAL BUDGET SUPPORT,£960.00
Rochdale,11/04/2014,SIMPLE TECHNOLOGY,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,EDIT GENERAL,"£7,805.00"
Rochdale,11/04/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£4,736.00"
Rochdale,11/04/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£825.00
Rochdale,16/04/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£108,895.00"
Rochdale,25/04/2014,SUPPLIES TEAM LIMITED,Information Communication Technology,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT SOCIAL WORK,£593.75
Rochdale,24/04/2014,SYMOLOGY LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,"£13,848.00"
Rochdale,24/04/2014,THE NCC GROUP,Information Communication Technology,PROPERTY AND HIGHWAYS,STREET LIGHTING CLIENT TEAM,£587.50
Rochdale,16/04/2014,THUS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£2,428.52"
Rochdale,23/04/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,HIGHWAYS MANAGEMENT,"£1,890.00"
Rochdale,11/04/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,NETWORK DEVELOPMENT TEAM,"£17,902.00"
Rochdale,04/04/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£1,660.00"
Rochdale,03/04/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£1,542.75"
Rochdale,11/04/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£3,355.16"
Rochdale,15/04/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£30,291.45"
Rochdale,11/04/2014,VIGLEN LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,EDIT GENERAL,"£2,158.00"
Rochdale,11/04/2014,XN LEISURE SYSTEMS LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,ICT OVERHEADS,"£2,400.00"
Rochdale,16/04/2014,DAC BEACHCROFT LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£2,800.00"
Rochdale,16/04/2014,DAC BEACHCROFT LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,STANDARDS,"£1,636.00"
Rochdale,16/04/2014,DAC BEACHCROFT LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,STANDARDS,"£1,000.00"
Rochdale,16/04/2014,DAC BEACHCROFT LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,STANDARDS,"£3,200.00"
Rochdale,16/04/2014,DAC BEACHCROFT LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,STANDARDS,"£1,698.00"
Rochdale,08/04/2014,JASON COPPEL,Legal Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£1,800.00"
Rochdale,08/04/2014,JASON COPPEL,Legal Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£4,500.00"
Rochdale,25/04/2014,JMW SOLICITORS,Legal Services,FINANCE SERVICES,BUSINESS RATES BILLING AND COLLECTION,"£1,000.00"
Rochdale,17/04/2014,PINSENT MASONS LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£1,350.50"
Rochdale,16/04/2014,PINSENT MASONS LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,£814.00
Rochdale,08/04/2014,REDACTED-PERSONAL DATA,Legal Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£707.25
Rochdale,08/04/2014,REDACTED-PERSONAL DATA,Legal Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£852.80
Rochdale,08/04/2014,REDACTED-PERSONAL DATA,Legal Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£683.84
Rochdale,08/04/2014,REDACTED-PERSONAL DATA,Legal Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£690.92
Rochdale,08/04/2014,REDACTED-PERSONAL DATA,Legal Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£761.80
Rochdale,08/04/2014,REDACTED-PERSONAL DATA,Legal Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£680.00
Rochdale,23/04/2014,STOCKPORT PSYCHOLOGY SERVICES LIMITED,Legal Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£2,746.60"
Rochdale,08/04/2014,ROYAL MAIL GROUP PLC,Mail Services ,ECONOMY AND ENVIRONMENT,EM MAIL ROOM,"£29,653.31"
Rochdale,08/04/2014,ROYAL MAIL GROUP PLC,Mail Services ,PHYSICAL DIS & OLDER PEOPLE,INCOME GENERATION,£624.89
Rochdale,08/04/2014,ROYAL MAIL GROUP PLC,Mail Services ,FINANCE SERVICES,TECHNICAL SUPPORT,"£1,272.08"
Rochdale,22/04/2014,ROYAL MAIL GROUP PLC,Mail Services ,FINANCE SERVICES,TECHNICAL SUPPORT,"£1,228.12"
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,08/04/2014,CARDIFF UNIVERSITY,Public Bodies,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale,04/04/2014,CITY OF BRADFORD MET DISTRICT COUNCIL,Public Bodies,PROPERTY AND HIGHWAYS,ST LTG MISC XMAS ILLUMINA,"£11,700.00"
Rochdale,08/04/2014,DISCLOSURE & BARRING SERVICE,Public Bodies,ECONOMY AND ENVIRONMENT,REG LIC  GENERAL,"£1,628.00"
Rochdale,25/04/2014,HM REVENUES & CUSTOMS SHIPLEY,Public Bodies,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE HEAD OF SERVICE,"£10,650.00"
Rochdale,08/04/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£9,000.00"
Rochdale,10/04/2014,LANCASHIRE COUNTY COUNCIL,Public Bodies,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£1,927.80"
Rochdale,15/04/2014,LEVER PARK LEARNING TRUST,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN OLA SPECIAL,"£3,027.67"
Rochdale,09/04/2014,MANCHESTER CITY COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,SEN HOME 2 SCHOOL TRANSPORT,£752.98
Rochdale,02/04/2014,MIDDLETON TECHNOLOGY SCHOOL FUND,Public Bodies,EARLY HELP AND SCHOOLS,CLC RUNNING COSTS 2011/12,"£8,120.12"
Rochdale,23/04/2014,NEW COLLEGE WORCESTER,Public Bodies,EARLY HELP AND SCHOOLS,NON MAINTAINED POST 16,£815.00
Rochdale,23/04/2014,OLDHAM METROPOLITAN BOROUGH COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS  IN OLA MAINSTREAM,"£2,021.00"
Rochdale,08/04/2014,ROCHDALE SIXTH FORM COLLEGE,Public Bodies,EARLY HELP AND SCHOOLS,POST 16 RDALE PUPILS IN COLLEGES/ISP,"£16,032.97"
Rochdale,23/04/2014,SALFORD CITY COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN OLA SPECIAL,"£28,533.00"
Rochdale,22/04/2014,STOCKPORT METROPOLITAN BOROUGH COUNCIL,Public Bodies,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£11,184.77"
Rochdale,23/04/2014,STOCKPORT METROPOLITAN BOROUGH COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS  IN OLA MAINSTREAM,£923.00
Rochdale,02/04/2014,TAMESIDE METROPOLITAN BOROUGH COUNCIL,Public Bodies,FINANCE SERVICES,FRAUD TEAM,"£2,477.00"
Rochdale,10/04/2014,THE ROYAL NATIONAL COLLEGE FOR THE BLIND,Public Bodies,EARLY HELP AND SCHOOLS,NON MAINTAINED POST 16,"£10,317.66"
Rochdale,14/04/2014,WIGAN METROPOLITAN BOROUGH COUNCIL,Public Bodies,ECONOMY AND ENVIRONMENT,TRADING STANDARDS GENERAL,"£6,071.00"
Rochdale,16/04/2014,WIGAN METROPOLITAN BOROUGH COUNCIL,Public Bodies,ECONOMY AND ENVIRONMENT,TRADING STANDARDS GENERAL,"£6,071.00"
Rochdale,25/04/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,315.25"
Rochdale,25/04/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£720.00
Rochdale,25/04/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£588.00
Rochdale,25/04/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,696.00"
Rochdale,25/04/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£777.00
Rochdale,25/04/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,302.00"
Rochdale,04/04/2014,CARLTON MINIBUSES,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£4,368.00"
Rochdale,03/04/2014,COACH OPTIONS LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,800.00"
Rochdale,03/04/2014,COACH OPTIONS LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,210.00"
Rochdale,03/04/2014,COACH OPTIONS LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,496.00"
Rochdale,03/04/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,082.00"
Rochdale,03/04/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,028.50"
Rochdale,14/04/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£950.00
Rochdale,14/04/2014,CONNECT CARS (MIDDLETON) LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,001.50"
Rochdale,17/04/2014,COZY CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£720.00
Rochdale,17/04/2014,COZY CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£696.00
Rochdale,17/04/2014,COZY CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£606.00
Rochdale,17/04/2014,COZY CARS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,280.00"
Rochdale,03/04/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£16,128.00"
Rochdale,03/04/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£7,362.00"
Rochdale,08/04/2014,EAST LANCASHIRE RAILWAY TRUST LTD,Public Transport,ECONOMY AND ENVIRONMENT,EAST LANCASHIRE RAILWAY,"£12,000.00"
Rochdale,08/04/2014,EAST LANCASHIRE RAILWAY TRUST LTD,Public Transport,ECONOMY AND ENVIRONMENT,EAST LANCASHIRE RAILWAY,"£1,590.75"
Rochdale,03/04/2014,J & S TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£915.00
Rochdale,10/04/2014,J & S TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£915.00
Rochdale,04/04/2014,LITTLEBOROUGH PRIVATE HIRE,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£4,123.00"
