Entity,GL Date,Merchant name,Amount,Description
NE,12/04/2016,ENVIROMENT AGENCY,871.2,Water quality monitoring project at Malham Tarn to investigate condition and status of the site - 16th November-31st December 2015
NE,12/04/2016,ENVIROMENT AGENCY,534.6,Water Framework Directive project to analyse the water quality of the inflows of the Midlands Meres - 19th May 2015-22nd March 2016
NE,12/04/2016,ERNEST DOE / SONS,1620,"Two chainsaws and one strimmer to replace old equipment at Chippenham Fen, Brettenham Heath and Cavenham Heath National Nature Reserves"
NE,12/04/2016,F R JONES & SON,2101.29,"One battery powered pole saw, one hedge cutter, charger, oil and replacement blades to replace old equipment at Stodmarsh National Nature Reserve"
NE,12/04/2016,FIELDFARE TRAILERS,574.75,Three new tyres for service livestock trailer at Parsonage Down National Nature Reserve
NE,12/04/2016,FORFARMERS UK LTD,1311.2,5.960 tonnes of young stock feed for Parsonage Down National Nature Reserve
NE,12/04/2016,H M LAND REGISTRY,1016.4,"Purchase of land ownership data for the East Head to Shoreham by Sea, West Sussex stretch of the England Coast Path.  Data required to enable consultation with landowners affected by the  route proposals"
NE,12/04/2016,H M LAND REGISTRY,1008,"Purchase of land ownership data for the Iwade to Grain, Kent stretch of the England Coast Path.  Data required to enable consultation with landowners affected by the  route proposals"
NE,12/04/2016,KOREC,2130,Annual subscription to data correction service and associated SIM card for two GPS (Global Positioning System) receivers - 1st April 2016-31st March 2017
NE,12/04/2016,PLUMPTON COLLEGE ,1655.8,"Staff training and subsistence for six people for one day for Foundation Module in Pesticides Application, cost to be charged to South East Water - 15th January 2016"
NE,12/04/2016,RAMAGES LTD (CHAINSAWS),559.99,One chainsaw to replace old equipment at Ainsdale Sand Dunes National Nature Reserve
NE,12/04/2016,WWW.PELIPRODUCTS.CO.UK,830.04,Ten camera cases for use by Natural England underwater diving unit
NE,12/04/2016,WYNNSTAY ARGICULTURAL,550.12,"Sheep lambing supplies, drenches and magnesium bullets for sheep at Parsonage Down National Nature Reserve"
NE,14/04/2016,F G ADAMSON SON,2500,Three chainsaws to replace old equipment at Castle Eden Dene National Nature Reserve
NE,14/04/2016,GWILLIAMS OF EDINGTON,642.6,"One chainsaw to replace old equipment at Shapwick Heath, Ebbor Gorge, Rodney Stoke and Bridgwater Bay National Nature Reserves"
NE,14/04/2016,MEASUREMENT,1050.6,"21 temperature loggers,  one temperature and humidity logger and set of cables and adaptors for use on Long Term Monitoring Network sites to map microclimate effects on biodiversity  "
NE,14/04/2016,NAILSWORTH GARDEN MACHINERY,1025,One clearing saw to replace old equipment at Cotswold Commons and Beechwood National Nature Reserve
NE,19/04/2016,BRISSCO (EQUIPMENT) LTD,828.72,England Coast Path waymarker signs
NE,19/04/2016,INTERNATIONAL WORKPLACE,1188,IOSH (Institute of Occupational Safety and Health) refresher e-learning licenses for ten people to be completed by 31st March 2016 and are valid for three years from date of completion
NE,19/04/2016,MARKET DRAYTON MOWERS LTD,850,Two chainsaws to replace old equipment for Fenns and Whixall National Nature Reserve
NE,19/04/2016,ONE ASH TRAINING LIMITED,841,Tractor driving training for two people for three days - 22nd-24th March 2016
NE,19/04/2016,PAYATRADER,1730,Self-catering accommodation for 18 people for one night and two days for Terrestrial Biodiversity Coordination meeting - 25-26 May 2016
NE,19/04/2016,ROOTS AND SHOOTS,646.88,Staff training and subsistence for 27 people for one day for Birds and the England Coast Path - 17th March 2016
NE,20/04/2016,LISTER WILDER LTD,2500,"Two brush cutters, one chainsaw and two chargers to replace old equipment at Aston Rowant National Nature Reserve"
NE,20/04/2016,LISTER WILDER LTD,681.79,One chainsaw and one hedge trimmer to replace old equipment at Aston Rowant National Nature Reserve
NE,20/04/2016,POST OFFICE COUNTER,700,14 £50 reward and recognition gift vouchers for staff involved with the Terrestrial Biodiversity Integrated Delivery Planning
NE,22/04/2016,CORNWALL FARMERS,1380,Two brush cutters to replace old equipment for the Lizard National Nature Reserve
NE,22/04/2016,CORNWALL FARMERS,1451.84,Two chainsaws to replace old equipment for the Lizard National Nature Reserve
NE,22/04/2016,GEORGE CARR POWER PRODUCTS,500,One chainsaw to replace old equipment at Fyfield Down National Nature Reserve
NE,22/04/2016,DORSET DOGS,723.05,Dog walkers engagement project in advance of dogs on leads restriction and intertidal exclusion at Sandwich and Pegwell Bay National Nature Reserve coming into force when the England Coast Path opens this year
NE,26/04/2016,APPLE ONLINE STORE GBP,2495,Five tablet devices for use in testing and development of NESS (Natural England Site Survey) app
NE,26/04/2016,ARCO LTD,840.82,11 branded waterproof coats for SAMM (Strategic Access Management and Monitoring) Project seasonal wardens
