Department,Grants Description,Amount (£m),Grant Category,No. of Recipients,Recipient type,Sector type (from COFOG level 0 code)
DWP,ACCESS TO WORK - COMMUNICATOR SUPPORT AT INTERVIEW,0.02,General Grant,,Private Sector,Economic affairs
DWP,ACCESS TO WORK - TRAVEL IN WORK,1.41,General Grant,,Private Sector,Economic affairs
DWP,ACCESS TO WORK - PAYMENT FOR SUPPORT WORKERS,55.70,General Grant,,Private Sector,Economic affairs
DWP,ACCESS TO WORK - MISCELLANEOUS SUPPORT,0.00,General Grant,,Private Sector,Economic affairs
DWP,ACCESS TO WORK - CLIENT PAYMENT FOR SPECIAL AIDS,5.97,General Grant,,Private Sector,Economic affairs
DWP,REMPLOY RESOURCE GRANT,66.65,Grant In Aid,1,ALBs and public corporations,Economic affairs
DWP,HOUSING BENEFIT ADMINISTRATION,344.62,Formula Grant,380,Local government,Social Protection
DWP,Financial Assistance Scheme Administration,8.57,Grant In Aid,1,ALBs and public corporations,Social Protection
FCO ,International Subscriptions,40.00 ,Grant In Aid,10,International,General public services
FCO ,British Council,43.00 ,Grant In Aid,1,ALBs and public corporations,General public services
FCO ,FCO Programme and International Grants,20.50 ,Grant In Aid,2,International,General public services
FCO ,British Council -Capital Grant,1.1,Grant In Aid,1,ALBs and public corporations,General public services
HMRC,"Grant funding to the voluntary, Charity and Community Sector",3.00 ,General Grant,22,Non-profit,General public services
HMT,OBR,2.08 ,Grant In Aid,1,unknown,unknown
HMT,UKFI Ltd,3.75 ,Grant In Aid,1,unknown,unknown
HO,2011/12 Council Tax Freeze Grant,58.81 ,General Grant,37,Local government,Public order and safety
HO,2013/14 Council Tax Freeze Grant,7.30 ,General Grant,12,Local government,Public order and safety
HO,CAADA – MARAC Development and Support ,0.65 ,General Grant,1,Non-profit,Public order and safety
HO,COP: Cambridge Dip/MSc in Criminology,0.25 ,General Grant,1,Non-profit,Public order and safety
HO,Specialist Independent Child Trafficking Advocates’ trial,0.21 ,General Grant,1,Non-profit,Public order and safety
HO,City of London National and International Capital City payment - 2014/15,2.45 ,Formula Grant,1,Local government,Public order and safety
HO,DCLG Funding,"2,923.55 ",Formula Grant,43,Local government,Public order and safety
HO,EIF: Services Supporting Children Under 18 ,0.42 ,General Grant,8,Non-profit,Public order and safety
HO,FGM Community Engagement Initiative,0.10 ,General Grant,1,Non-profit,Public order and safety
HO,Football Supporters’ Federation’s (FSF) International Work,0.22 ,Grant In Aid,1,Local government,Public order and safety
HO,FSF Cymru,0.06 ,General Grant,1,Non-profit,Public order and safety
HO,Grant in Aid to College of Policing   ,50.34 ,Grant In Aid,1,ALBs and public corporations,unknown
HO,Grant in Aid to DBS,16.00 ,Grant In Aid,1,ALBs and public corporations,unknown
HO,Grant in Aid to IPCC,72.90 ,Grant In Aid,1,ALBs and public corporations,unknown
HO,Grant in Aid to SIA,5.30 ,Grant In Aid,1,ALBs and public corporations,unknown
HO,Trailblazer Fund,0.10 ,General Grant,3,Local government,Public order and safety
HO,IDVA - MARAC,3.35 ,General Grant,309,Non-profit,Public order and safety
HO,INQUEST Charity in support of the Hillsborough Families,0.03 ,General Grant,1,Non-profit,Public order and safety
HO,ISVA Funding,1.73 ,General Grant,85,Non-profit,Public order and safety
HO,ISVA Training,0.15 ,General Grant,20,Non-profit,Public order and safety
HO,Local Council Tax Support Grant,434.00 ,General Grant,39,Local government,Public order and safety
HO,Ministerial Council on Deaths in Custody,0.05 ,General Grant,1,Non-profit,Public order and safety
HO,Missing People Charity Grant,0.22 ,General Grant,1,Non-profit,Public order and safety
HO,National and International Capital City Grant,176.20 ,General Grant,1,Local government,Public order and safety
HO,National Police Air Service Grant,9.69 ,General Grant,1,Local government,Public order and safety
HO,National Police Co-ordination Centre (NPoCC) 2014 / 15 funding,2.31 ,General Grant,1,Local government,Public order and safety
HO,National Wildlife Crime Unit (NWCU) ,0.14 ,General Grant,1,Non-profit,Public order and safety
HO,Neighbourhood Watch (NHW) Grant Stream,0.29 ,General Grant,1,Non-profit,Public order and safety
HO,Pensions of former MPS Commissioners,0.35 ,General Grant,1,Local government,Public order and safety
HO,Police and Crime Panels,2.85 ,General Grant,43,Local government,Public order and safety
HO,Police Capital Grant FY 2014/15,109.30 ,General Grant,43,Local government,Public order and safety
HO,Police Employee Relations and Reward (Representative Bodies) - Police Federation,0.18 ,General Grant,1,Non-profit,Public order and safety
HO,Police Employee Relations and Reward (Representative Bodies) - Police Negotiating Body,0.45 ,General Grant,1,Non-profit,Public order and safety
HO,Police Employee Relations and Reward (Representative Bodies) - Superintendents Association,0.60 ,General Grant,1,Non-profit,Public order and safety
HO,Police Innovation Fund,50.00 ,General Grant,39,Local government,Public order and safety
HO,Police Loan Charges Grant FY 2014/15,5.28 ,Formula Grant,24,Local government,Public order and safety
HO,Police Main Grant,"4,407.14 ",General Grant,43,Local government,Public order and safety
HO,Police Pensions AME payment,"1,366.00 ",General Grant,43,Local government,Public order and safety
HO,Police PFI grant 2014/15,73.00 ,General Grant,21,Local government,Public order and safety
HO,Police PFI Review,2.00 ,General Grant,1,Local government,Public order and safety
HO,Police Special Capital Grant FY14/15,1.00 ,General Grant,43,Local government,Public order and safety
HO,Police Special Grant,148.59 ,General Grant,43,Local government,Public order and safety
HO,Police widow’s pension – Warwickshire officer,0.01 ,General Grant,1,Local government,Public order and safety
HO,Royal Parks Policing Grant FY14/15,6.80 ,General Grant,1,Local government,Public order and safety
HO,Temporary Event Notices for the World Cup 2014 for premises in Wales,0.03 ,Ad Hoc,37,Local government,Public order and safety
HO,The Independent Custody Visiting Association (ICVA),0.15 ,General Grant,1,Non-profit,Public order and safety
HO,The National Appropriate Adult Network (NAAN),0.08 ,General Grant,1,Non-profit,Public order and safety
HO,Violence Against Women and Girls – helplines,0.96 ,General Grant,5,Non-profit,Public order and safety
HO,Voluntary Sector Crime Reduction Organisations,0.90 ,General Grant,1,Non-profit,Public order and safety
HO,Welsh Top Up ,13.11 ,Formula Grant,2,Local government,Public order and safety
HO,IDVA Training grant stream – CCR Toolkit Grant ,0.01 ,General Grant,1,Non-profit,Public order and safety
HO,Metal Theft Task Force,0.25 ,General Grant,1,Local government,Public order and safety
HO,Police Now seed funding,0.10 ,General Grant,1,Local government,Public order and safety
HO,Provision for the National Policing UK Disaster Victim Identification capability.,0.38 ,General Grant,1,Non-profit,Public order and safety
HO,Specialist joint package of support for Girl Summit on FGM and FM,0.01 ,General Grant,1,Non-profit,Public order and safety
HO,Emergency Services Collaboration Working Group Funding,0.16 ,General Grant,1,Local government,Public order and safety
HO,"Early Intervention Projects to Prevent Crime, Violence and Anti-Social Behaviour ",0.12 ,General Grant,1,Non-profit,Public order and safety
HO,Stop It Now Helpline- Additional Capacity Lucy Faithful Foundation,0.10 ,General Grant,1,Non-profit,Public order and safety
HO,Support for the expansion of youth worker provision ,0.02,General Grant,1,Non-profit,Public order and safety
HO,Funding for Karma Nirvana,0.06 ,General Grant,1,Non-profit,Public order and safety
HO,UK Border Agency National Museum (formerly HMRC National Museum),0.25 ,General Grant,1,Non-profit,Public order and safety
HO,Barnados - Cedars pre-departure services,1.90 ,General Grant,1,Non-profit,Public order and safety
HO,Port Security for Juxtaposed Ports,5.47 ,General Grant,2,International,Public order and safety
HO,Organised Crime Specific Grant,43.00 ,General Grant,9,Local government,Public order and safety
HO,National Cyber Security Programme (NCSP) Cyber Crime Programme 2011/12 (aka National Cyber Security Programme (NCSP) Cyber Crime Programme 2011/12 – NFA),24.00 ,General Grant,2,Local government,Public order and safety
HO,Prevent Sectors - Education,0.68 ,General Grant,1-5,Local government,Public order and safety
HO,Prevent Sectors - Youth Justice,0.02 ,General Grant,1,Central government,Public order and safety
HO,Prevent – Strategy (Charity Commission),0.95 ,General Grant,1,Central government,Public order and safety
HO,Prevent Sectors – National Offender Management Service (NOMS),4.99 ,General Grant,1,Central government,Public order and safety
HO,Prevent – Strategy (CPS),0.05 ,General Grant,1,Central government,Public order and safety
HO,Prevent Sectors – Health,0.45 ,General Grant,1,Central government,Public order and safety
HO,Joint Asset Recovery Database (JARD),1.18 ,General Grant,1,Central government,Public order and safety
HO,National Lead Force for Fraud,2.85 ,General Grant,1,Local government,Public order and safety
HO,National Fraud Intelligence Bureau,3.11 ,General Grant,1,Local government,Public order and safety
HO,Prevent Policy Planners Network ,0.02,General Grant,1,Non-profit,Public order and safety
HO,National Barrier Asset. ,0.10,General Grant,1,Local government,Public order and safety
HO,Organised Crime Prevent Peer Mentoring and Voluntary Support Project,0.08,General Grant,1,Local government,Public order and safety
HO,Organised Crime Educational Resources Project.,0.00,General Grant,1,Non-profit,Public order and safety
MOD,National Army Museum - Grant in Aid,6.157,Grant In Aid,1,ALBs and public corporations,"Recreation, culture and religion"
MOD,Royal Hospital Chelsea - Grant in Aid,11.452,Grant In Aid,1,ALBs and public corporations,Health
MOD,Council of Reserve Forces and Cadets - Grant in Aid,43.198,Grant In Aid,1,ALBs and public corporations,Defence
MOD,Council of Reserve Forces and Cadets - Grant in Aid,46.920,Grant In Aid,1,ALBs and public corporations,Defence
MOD,Council of Reserve Forces and Cadets - Grant in Aid,3.021,Grant In Aid,1,ALBs and public corporations,Defence
MOD,Gurkha Welfare Trust - Grant in Aid,1.650,Grant In Aid,1,Non-profit,Housing and community amenities
MOD,Army Sports Control Board - Grant in Aid,0.565,Grant In Aid,1,Non-profit,"Recreation, culture and religion"
MOD,Duke of Yorks Royal Military School - Grant in Aid,0.988,Grant In Aid,1,Non-profit,Education
MOD,Council of Voluntary Welfare Workers - Grant in Aid,0.083,Grant In Aid,1,Non-profit,Housing and community amenities
MOD,Army Families Federation - Grant in Aid,0.430,Grant In Aid,1,Non-profit,Housing and community amenities
MOD,Royal Irish (Home Service) Benevolent Fund - Grant in Aid,0.071,Grant In Aid,1,Non-profit,Housing and community amenities
MOD,Women's Royal Voluntary Service - Grant in Aid,1.275,Grant In Aid,1,ALBs and public corporations,Housing and community amenities
MOD,Army Regimental Museums - Grant in Aid,1.280,Grant In Aid,69,ALBs and public corporations,"Recreation, culture and religion"
MOD,Community Covenant Fund,8.800,General Grant,100,unknown,Defence
MOD,Council for Cadet Rifle Shooting,0.110,General Grant,1,unknown,Defence
MOD,Territorial Army Rifle Association,0.020,General Grant,1,unknown,Defence
MOD,RAF Museum - Grant in Aid,8.227,Grant In Aid,1,ALBs and public corporations,"Recreation, culture and religion"
MOD,RAF Museum - Grant in Aid,0.109,Grant In Aid,1,ALBs and public corporations,"Recreation, culture and religion"
MOD,RAF Sports Control Board - Grant in Aid,0.220,Grant In Aid,1,Non-profit,"Recreation, culture and religion"
MOD,Air Training Corps GPF - Grant in Aid (International Air Cadet Exchange),0.040,Grant In Aid,1,Non-profit,Education
MOD,Commonwealth War Graves Commission - Grant in Aid,47.096,Grant In Aid,1,ALBs and public corporations,Defence
MOD,Armed Forces Memorial - Grant in Aid,0.160,Grant In Aid,1,Non-profit,Defence
MOD,Royal British Legion War Widow/ers Pilgrimages - Grant in Aid,0.018,Grant In Aid,1,Non-profit,Defence
MOD,Victoria and George Cross Association - Grant in Aid (biennial),0.040,Grant In Aid,1,Non-profit,Defence
MOD,Veterans Challenge Fund,0.313,General Grant,3,Non-profit,Defence
MOD,Armed Forces Day,0.320,General Grant,97,Local Government,Defence
MOD,Armed Forces Covenant (LIBOR) Fund,40.000,General Grant,96,Private Sector ,Housing and community amenities
MOD,Royal British Legion Polish ex-servicemen - Grant in Aid,0.058,Grant In Aid,50,Non-profit,Defence
MOD,Scott Polar Research Institute - Grant in Aid,0.035 ,Grant In Aid,1,Non-profit,Defence
MOD,Marine Society and Sea Cadets - Grant in Aid,9.779,Grant In Aid,1,Non-profit,Defence
MOD,Sea Scouts,0.066,General Grant,1,unknown,Defence
MOD,Volunteer Cadet Corps,0.017,General Grant,5,unknown,Defence
MOD,Combined Cadet Force RN,0.353,General Grant,1,unknown,Defence
MOD,Chivenor Creche,0.015,Grant In Aid,1,unknown,Defence
MOD,National Museum of the Royal Navy - Grant in Aid,3.290,Grant In Aid,1,ALBs and public corporations,"Recreation, culture and religion"
MOD,Navy Families Federation - Grant in Aid,0.260,Grant In Aid,1.00,Non-profit,Housing and community amenities
MOD,Contribution to the Comprehensive Test Ban Treaty Organisation,4.110 ,Grant In Aid,1,International,Defence
MOD,Sovereign Base Authority Area Commander's Community Relations Fund (CCRF) - Grant in Aid,0.050,Grant In Aid,10,Non-profit,Housing and community amenities
MoJ,Koestler Trust,0.08,General Grant,1,Non-profit,Public order and safety
MoJ,NAOPV (Nat. Assoc.of Official Prison Visitors) ,0.01,General Grant,1,Non-profit,Public order and safety
MoJ,Prison Fellowship,0.03,General Grant,1,Non-profit,Public order and safety
MoJ,SafeGround,0.21,General Grant,1,Non-profit,Public order and safety
MoJ,Prisoners Abroad ,0.23,General Grant,1,Non-profit,Public order and safety
MoJ,Safe Ground,0.07,General Grant,1,Non-profit,Public order and safety
MoJ,One Plus One,0.11,General Grant,1,Non-profit,Public order and safety
MoJ,Carers Federation,0.15,General Grant,1,Non-profit,Public order and safety
MoJ,Spark Inside,0.08,General Grant,1,Non-profit,Public order and safety
MoJ,Prisoners Education Trust,0.11,General Grant,1,Non-profit,Public order and safety
MoJ,Elmore Community Services,0.06,General Grant,1,Non-profit,Public order and safety
MoJ,Mencap,0.20,General Grant,1,Non-profit,Public order and safety
MoJ,Sova,0.14,General Grant,1,Non-profit,Public order and safety
MoJ,St Giles,0.08,General Grant,1,Non-profit,Public order and safety
MoJ,Belong London,0.08,General Grant,1,Non-profit,Public order and safety
MoJ,Llamau,0.15,General Grant,1,Non-profit,Public order and safety
MoJ,Ipswich And Suffolk Council For Racial Equality (ISCRE),0.07,General Grant,1,Non-profit,Public order and safety
MoJ,University of Greenwich ,0.09,General Grant,1,Non-profit,Public order and safety
MoJ,Prison Radio Association,0.30,General Grant,1,Non-profit,Public order and safety
MoJ,Prison Radio Association,0.08,General Grant,1,Non-profit,Public order and safety
MoJ,PBR Capacity Building (3SC),0.03,General Grant,1,Non-profit,Public order and safety
MoJ,Mentoring & Befriending Foundation,0.03,General Grant,1,Non-profit,Public order and safety
MoJ,Mentoring and Befriending Foundation,0.01,General Grant,1,Non-profit,Public order and safety
MoJ,Praxis,0.02,General Grant,1,Non-profit,Public order and safety
MoJ,RECOOP,0.01,General Grant,1,Non-profit,Public order and safety
MoJ,Dyslexia Action / 3SC,0.01,General Grant,1,Non-profit,Public order and safety
MoJ,Samaritans,0.45,General Grant,1,Non-profit,Public order and safety
MoJ,Royal Courts of Justice (Miscarriage of Justice)   ,0.08,General Grant,1,Non-profit,Public order and safety
MoJ,Meganexus,0.04,General Grant,1,Non-profit,Public order and safety
MoJ,"Court-based Witness Service, Victims' Referral and associated costs ",32.96,General Grant,1,Non-profit,Public order and safety
MoJ,Local commissioning of victims' services via Police and Crime Commissioners,35.13,Intermediated Grant,42,Non-profit,Public order and safety
MoJ,Rape Support Funding ,4.79,General Grant,98,Non-profit,Public order and safety
MoJ,Victim and Witness General Fund,2.56,General Grant,103,Non-profit,Public order and safety
MoJ,Restorative Justice - Developing capacity and capability & raising awareness,1.55,General Grant,2,Non-profit,Public order and safety
MoJ,Homicide and Peer Support Funding (including Victim Support Homicide Service),2.93,General Grant,17,Non-profit,Public order and safety
MoJ,SupportLine Helpline,0.02,General Grant,1,Non-profit,Public order and safety
MoJ,Uplift to the existing 84 centres funded through the Ministry of Justice’s Female Rape Support Fund 2014-16,2.14,General Grant,84,Non-profit,Public order and safety
MoJ,Raising awareness of Restorative Justice,0.05,General Grant,3,Non-profit,Public order and safety
MoJ,Court-based Witness Service Transition Funding,1.49,General Grant,1,Non-profit,Public order and safety
MoJ,ISVA Training,0.04,General Grant,1,Non-profit,Public order and safety
MoJ,Reducing Reoffending National VCS Infrastructure Grant,0.72 ,General Grant,1,Non-profit,Public order and safety
MoJ,Magna Carta Celebrations in 2015,1.00 ,Ad Hoc,1,Non-profit,General public services
MoJ,Cafcass Commissioned Services,6.50 ,Intermediated Grant,253,Non-profit,Social Protection
MoJ,National Association of Child Contact Centres (NACCC),0.13 ,General Grant,1,Non-profit,Social Protection
MoJ,Reunite,0.12,General Grant,1,Non-profit,Social Protection
MoJ,Personal Support Unit ,0.2,General Grant,1,Non-profit,Social Protection
MoJ,Citizens Advice Bureau @ RCJ ,0.09 ,General Grant,1,Non-profit,Social Protection
MoJ,Litigants in Person,0.42 ,General Grant,1,Non-profit,Social Protection
MoJ,Core funding to assist with the running costs of the Coroners' Courts Support Service,0.04 ,General Grant,1,Non-profit,Social Protection
MoJ,Grant funding to Oxfordshire/Wiltshire for the additional financial burden of service personnel inquests (fatalities are either repatriated via RAF Brize Norton in Oxfordshire or RAF Lyneham in Wiltshire)  ,0.08 ,General Grant,2,Non-profit,Social Protection
MoJ,Family Mediation Council,0.10,General Grant,1,Non-profit,General Public Services
MoJ,Youth Justice Good Practice Grant (YJB's YOT grant),92.10 ,General Grant,157,Non-profit,Public order and safety
MoJ,Restorative Justice Development Grant,1.93 ,General Grant,158,Non-profit,Public order and safety
MoJ,Intensive Fostering Grant,1.43 ,General Grant,4,Non-profit,Public order and safety
MoJ,Resettlement Consortia Grant,0.73,General Grant,4,Non-profit,Public order and safety
MoJ,Employer Engagement Grant (Manchester College),0.01 ,General Grant,1,Non-profit,Public order and safety
MoJ,Unpaid Work Order Grant,1.66,General Grant,158,Non-profit,Public order and safety
MoJ,Keostler Trust Grant,0.02,Ad Hoc,1,Non-profit,Public order and safety
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
