Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,RENTALCARS.COM,Care Payments,Social Community Care Supplies & Services  ,21.07.2017,16.08.2017,GPC07170000164,34.61
Stockport MBC,Services to People,Childrens & Educational Services,RENTALCOVERCOM,Care Payments,Social Community Care Supplies & Services  ,21.07.2017,16.08.2017,GPC07170000165,26.89
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,21.07.2017,16.08.2017,GPC07170000166,20.00
Stockport MBC,Services to People,Childrens & Educational Services,OMBC TEL PAYMENT,Care Payments,Social Community Care Supplies & Services  ,21.07.2017,16.08.2017,GPC07170000167,34.00
Stockport MBC,Services to People,Childrens & Educational Services,MANCHESTER CITY COUNCI,Care Payments,Social Community Care Supplies & Services  ,28.07.2017,16.08.2017,GPC07170000168,-28.50
Stockport MBC,Services to People,Childrens & Educational Services,WWW.MANCHESTER.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,28.07.2017,16.08.2017,GPC07170000169,28.50
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,07.05.2017,16.08.2017,GPC07170000170,24.38
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,07.12.2017,16.08.2017,GPC07170000171,34.30
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,07.03.2017,16.08.2017,GPC07170000172,80.84
Stockport MBC,Services to People,Childrens & Educational Services,WWW.MUDDYFACES.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,07.03.2017,16.08.2017,GPC07170000173,47.31
Stockport MBC,Services to People,Childrens & Educational Services,WWW.WORKSHOPPING.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,07.06.2017,16.08.2017,GPC07170000174,16.90
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,07.10.2017,16.08.2017,GPC07170000175,57.70
Stockport MBC,Services to People,Childrens & Educational Services,WWW.CROMWELL.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,13.07.2017,16.08.2017,GPC07170000176,14.48
Stockport MBC,Services to People,Childrens & Educational Services,ASDA HOME SHOPPING,Catering Supplies,Catering Food & Beverages ,17.07.2017,16.08.2017,GPC07170000177,72.57
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,17.07.2017,16.08.2017,GPC07170000178,42.87
Stockport MBC,Services to People,Childrens & Educational Services,ALDI,Catering Supplies,Catering Food & Beverages ,30.06.2017,16.08.2017,GPC07170000179,136.69
Stockport MBC,Services to People,Childrens & Educational Services,ALDI,Catering Supplies,Catering Food & Beverages ,30.06.2017,16.08.2017,GPC07170000180,119.28
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,07.01.2017,16.08.2017,GPC07170000181,103.38
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,07.02.2017,16.08.2017,GPC07170000182,92.05
Stockport MBC,Services to People,Childrens & Educational Services,MORRISON PETROL,Fuel,Vehicle Management Fuel ,30.06.2017,16.08.2017,GPC07170000183,52.70
Stockport MBC,Services to People,Childrens & Educational Services,VERY.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,30.06.2017,16.08.2017,GPC07170000184,-6.99
Stockport MBC,Services to People,Childrens & Educational Services,ACE COACHING,Publicity and Promotion,Arts & Leisure Services  ,07.05.2017,16.08.2017,GPC07170000185,15.00
Stockport MBC,Services to People,Childrens & Educational Services,ACE COACHING,Publicity and Promotion,Arts & Leisure Services  ,07.05.2017,16.08.2017,GPC07170000186,6.00
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,07.08.2017,16.08.2017,GPC07170000187,34.99
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,07.08.2017,16.08.2017,GPC07170000188,-34.99
Stockport MBC,Services to People,Childrens & Educational Services,B & Q 1279,Furniture and Equipment,Environmental Services Technical Equipment ,07.08.2017,16.08.2017,GPC07170000189,104.99
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,07.08.2017,16.08.2017,GPC07170000190,204.92
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,15.07.2017,16.08.2017,GPC07170000191,175.51
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,22.07.2017,16.08.2017,GPC07170000192,204.31
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.PMGLTD.CO.UK,Expenses and Allowances,Human Resources Training & Conferences ,07.05.2017,16.08.2017,GPC07170000193,415.80
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,GOV.UK/DART-CHARGE,Expenses and Allowances,Human Resources Travel & Subsistence ,31.07.2017,16.08.2017,GPC07170000194,2.50
Stockport MBC,Services to Place,Cultural & Related Services,SurveyMonkey,Publicity and Promotion,Arts & Leisure Services  ,07.08.2017,16.08.2017,GPC07170000195,26.00
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON MKTPLACE PMTS,Information and Communications Technology,Information Communication Technology  ,07.03.2017,16.08.2017,GPC07170000196,694.77
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,07.05.2017,16.08.2017,GPC07170000197,9.59
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,07.08.2017,16.08.2017,GPC07170000198,16.78
Stockport MBC,Corporate and Support Services,Central Support Costs,WWWCONTENTFULCOM,Information and Communications Technology,Information Communication Technology  ,07.09.2017,16.08.2017,GPC07170000199,848.13
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,13.07.2017,16.08.2017,GPC07170000200,9.60
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.MAPLIN.CO.UK,Information and Communications Technology,Information Communication Technology  ,20.07.2017,16.08.2017,GPC07170000201,69.99
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,21.07.2017,16.08.2017,GPC07170000202,16.78
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB.COM  AQ5H3,Information and Communications Technology,Information Communication Technology  ,28.07.2017,16.08.2017,GPC07170000203,218.33
Stockport MBC,Corporate and Support Services,Central Support Costs,IIBA UK,Information and Communications Technology,Information Communication Technology  ,28.07.2017,16.08.2017,GPC07170000204,30.00
Stockport MBC,Corporate and Support Services,Cultural & Related Services,DECATHLON UK LTD,Library Equipment,Education Library Books ,20.07.2017,16.08.2017,GPC07170000205,41.79
Stockport MBC,Corporate and Support Services,Cultural & Related Services,Amazon EU,Library Equipment,Education Library Books ,29.07.2017,16.08.2017,GPC07170000206,10.00
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Office Expenses,Stationery    ,13.07.2017,16.08.2017,GPC07170000207,10.50
Stockport MBC,Services to People,Childrens & Educational Services,Amazon Svcs EuropeSAR,Office Expenses,Stationery    ,20.07.2017,16.08.2017,GPC07170000208,250.49
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,21.07.2017,16.08.2017,GPC07170000209,59.73
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,21.07.2017,16.08.2017,GPC07170000210,20.07
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Furniture & Soft Furnishings  ,21.07.2017,16.08.2017,GPC07170000211,20.10
Stockport MBC,Services to People,Childrens & Educational Services,Virgin Trains,Staff Training,Human Resources  ,25.07.2017,16.08.2017,GPC07170000212,154.00
Stockport MBC,Corporate and Support Services,Central Support Costs,STOCKPORT NHS FOUNDATI,Travelling Expenses,Human Resources Travel & Subsistence ,07.04.2017,16.08.2017,GPC07170000213,3.50
Stockport MBC,Corporate and Support Services,Central Support Costs,Q PARK KNOWSLEY PLACE,Travelling Expenses,Human Resources Travel & Subsistence ,07.06.2017,16.08.2017,GPC07170000214,3.50
Stockport MBC,Corporate and Support Services,Central Support Costs,STOCKPORT NHS FOUNDATI,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2017,16.08.2017,GPC07170000215,3.50
Stockport MBC,Corporate and Support Services,Central Support Costs,STOCKPORT NHS FOUNDATI,Travelling Expenses,Human Resources Travel & Subsistence ,18.07.2017,16.08.2017,GPC07170000216,3.50
Stockport MBC,Corporate and Support Services,Central Support Costs,STOCKPORT NHS FOUNDATI,Travelling Expenses,Human Resources Travel & Subsistence ,25.07.2017,16.08.2017,GPC07170000217,3.50
Stockport MBC,Services to Place,Highways & Transport Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,30.06.2017,16.08.2017,GPC07170000218,402.39
Stockport MBC,Corporate and Support Services,Central Support Costs,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,07.04.2017,16.08.2017,GPC07170000219,53.14
Stockport MBC,Corporate and Support Services,Cultural & Related Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,07.06.2017,16.08.2017,GPC07170000220,31.87
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,14.07.2017,16.08.2017,GPC07170000221,8.72
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,25.07.2017,16.08.2017,GPC07170000222,8.72
Stockport MBC,Corporate and Support Services,Central Support Costs,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,28.07.2017,16.08.2017,GPC07170000223,27.69
Stockport MBC,Services to People,Childrens & Educational Services,GIFTVOUCHERSHOP.CO.UK,Details to follow,Details to follow,07.05.2017,16.08.2017,GPC07170000224,508.50
Stockport MBC,Services to People,Childrens & Educational Services,HOLIDAY INNS,Expenses and Allowances,Human Resources Travel & Subsistence ,07.06.2017,16.08.2017,GPC07170000225,296.00
Stockport MBC,Services to People,Childrens & Educational Services,MSFT  <E01004619U>,Details to follow,Details to follow,22.07.2017,16.08.2017,GPC07170000226,18.00
Stockport MBC,Corporate and Support Services,Central Support Costs,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,07.05.2017,16.08.2017,GPC07170000227,61.61
Stockport MBC,Services to Place,Central Support Costs,REVO,Details to follow,Details to follow,07.06.2017,16.08.2017,GPC07170000228,210.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
