"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","HEO (L)","30147","34930","Higher Executive Officer","11.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","HEO (L)","30147","34930","Librarian","1.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","HEO (N)","27013","31233","Higher Executive Officer","4.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","SEO (L)","35946","42968","Senior Executive Officer","3.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","SEO (L)","35946","42968","Senior Executive Officer","8.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","SEO (L)","35946","42968","Senior Librarian","1.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","SEO (L)","35946","42968","Translator Grade I","0.80","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","SEO (N)","33321","39799","Senior Executive Officer","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","SEO (N)","33321","39799","Senior Executive Officer","1.50","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD17","EO (L)","25363","29063","Executive Officer","3.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD17","G6 (L)","58516","69680","Grade 6","5.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD17","G7 (L)","48326","58007","Grade 7","7.39","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD17","G7 (N)","43654","52333","Grade 7","7.92","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD17","HEO (L)","30147","34930","Higher Executive Officer","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD17","SEO (L)","35946","42968","Senior Executive Officer","3.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD17","SEO (N)","33321","39799","Senior Executive Officer","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Climate, Waste & Atmosphere","D9","EO (L)","25363","29063","Executive Officer","1.00","Finance"
