Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount (£),Purpose
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,EASIBATHE LTD,EAS006,27/10/2017,161002,2967,FINAL PAYMENT  APPLEBY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,C W COX & SONS (KENDAL)  LTD,COX001,27/10/2017,161003,3800,FINAL PAYMENT  PENRITH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Central Expenses,Safety training – 205800 only,ALISTAIR BROMHEAD LTD,ALI003,27/10/2017,161004,1095,OIOSH EVACUATION CHAIR COURSE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Central Expenses,Ergonomic Assessments,HEATONS OFFICE SOLUTIONS LTD,LAK004,27/10/2017,161005,1117.23,CHAIRS/STATIONERY/PAPER
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Discretionary Renovation Grants,Decent Homes Grants,LOGIC,LOG001,27/10/2017,161006,3121.09,130029/ALSTON
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,CUMBRIA COUNTY COUNCIL,CCC002,27/10/2017,161010,1506.7,SEARCHES FOR APR 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Central Expenses,Other charges for services,ROCKSURE SYSTEMS LTD T/A PEOPLESAFE,ROC005,27/10/2017,161040,521.1,PEOPLESAFE SERVICES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Government Connect,VODAFONE LTD,VOD003,27/10/2017,161048,2958.59,DATA SERVICES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,CUMBRIA COUNTY COUNCIL,CCC002,27/10/2017,161050,1232,JUL/AUG/SEP 17 SEARCHES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,LAKE DISTRICT NATIONAL PARK AUTHORITY,LAK001,27/10/2017,161051,572.5,JULY-SEPT 17 SEARCHES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,material price fluctuations,CUMBRIA WASTE RECYCLING LTD,CUM022,27/10/2017,161063,2534.31,F-06-17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,DOLPHIN MOBILITY YORKSHIRE & CUMBRIA LTD,DOL001,27/10/2017,160657,1295,170033/2 ROBINSON YARD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Other Environmental Health,Professional fees,UNITED UTILITIES WATER PLC,UNI024,27/10/2017,160714,583.3,WT/FS ANALYSIS AUG 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Contributions from general fund BS,ASTUN TECHNOLOGY LIMITED,AST004,27/10/2017,160768,11050,13 X CONSULTANCY PHASE 1 MERITEC
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Discretionary Renovation Grants,Decent Homes Grants,Redacted Information,HOR011,27/10/2017,160770,4032,INTERIM PAYMENT  PENRITH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,SIM020,27/10/2017,160865,5000,PLFRGRANT EDC16456
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,BAI019,27/10/2017,160866,1955.59,PLFRGRANT EDC16322
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,BUT013,27/10/2017,160867,5000,PLFRGRANT EDC16237
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,BUT014,27/10/2017,160868,5000,PLFRGRANT EDC16159
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Floods 2015,Building works,WALTON GOODLAND LTD,WAL008,27/10/2017,160874,2728.4,"LAND AT GREENBANK, EDEN BUSINESS PARK"
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Land Management Contract,WALTON GOODLAND LTD,WAL008,27/10/2017,160884,1368,LAND @ GILWILLY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Water Sampling,Professional fees,AMAZON,AMA001,12/10/2017,161170,526.33,BARCLAYCARD SEPT PAID OCT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Human Resources Manager,Staff Development,Training Expenses,DIGIAL AND SOCIAL MEDIA ACADEMY,DIG005,12/10/2017,161179,749,BARCLAYCARD SEPT PAID OCT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Building Maintenance,IAN CANNON LTD,CAN004,03/11/2017,161208,4750,HIGH CARLETON PLAYING FIELD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Planned Maintenance,AMEY PLC,TFE001,03/11/2017,155731,1405.13,BOXING IN ROLLERS CASTLE PARK
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Eden Leisure Centre & Appleby Swimming P,Planned Maintenance,AMEY PLC,TFE001,03/11/2017,160219,540.12,PENRITH LEISURE CENTRE LOOSE WALL TILES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,FREDERICK POTTS & SON LTD,POT003,03/11/2017,161049,2028,PLFRGRANT EDC16352
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,material price fluctuations,CUMBRIA WASTE RECYCLING LTD,CUM022,03/11/2017,161064,3905.71,BS-F-38-17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Garden Waste Skips,CUMBRIA WASTE RECYCLING LTD,CUM022,03/11/2017,161137,2940,green waste skips various sites
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Refuse Collection,Refuse Contract Dayworks,AMEY PLC,TFE001,03/11/2017,161141,2342.69,RC57
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,COL019,03/11/2017,161213,3967.48,PLFRG EDC16367
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,COL019,03/11/2017,161214,1032.52,PLFRG EDC16367 2ND PAY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,NEW021,03/11/2017,161216,3460,PLFRG EDC16356 2ND PAY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Communities Director,Economic Development and Promotion,Promotions,CUMBRIA CHAMBER OF COMMERCE AND INDUSTRY,CUM003,03/11/2017,160782,6000,GRANT FUNDING BSUS/GH TO 30/09/17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Vehicle Parking Off Street,Contract parking Service,CUMBRIA COUNTY COUNCIL,CCC002,03/11/2017,160813,2828.79,12 WEEKS PATROLS/101 PCN'S
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,Ground Maintenance SOR & Dayworks,QUATTRO CONTRACTING (PEN) LTD,QUA004,03/11/2017,160814,2470,RESIN BOUND SYSTEM BROUGH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,Ground Maintenance SOR & Dayworks,CAPITA PROPERTY & INFRASTRUCTURE LTD,CAP002,03/11/2017,160818,2440,HIGH RISK TREE HAZARD SURVEY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Professional fees,BLOOM PROCUREMENT SERVICES LTD,NEP001,03/11/2017,160880,4616.56,eden food & farming local development or
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Professional fees,WALTON GOODLAND LTD,WAL008,03/11/2017,160922,18101.82,4/4A CORNEY SQUARE PENRITH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,03/11/2017,161016,993.99,TOWN HALL
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,VRC Payments,PLUMPTON PRIMARY SCHOOL,DAV005,03/11/2017,161280,565.25,Village Recycling Credits Apr-Sep 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,VRC Payments,SHAP PARISH COUNCIL,SHA008,03/11/2017,161282,585.14,Village Recycling Credits Apr-Sep 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,BUT015,27/10/2017,161303,5000,PLFRG EDC 16158
