De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     
4011698,Newcastle Primary School,SHIMNA ROAD,NEWCASTLE,BT330AS,Primary,Controlled,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban
4011699,Moneyrea Primary School,36 CHURCH ROAD,NEWTOWNARDS,BT236BB,Primary,Controlled,STRANGFORD,LISBURN AND CASTLEREAGH,Rural
4013013,Belvoir Park Primary School,BELVOIR DRIVE,BELFAST,BT87DL,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
4013023,Bloomfield Primary School,BLOOMFIELD ROAD SOUTH,BANGOR,BT197PN,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4013024,Cairnshill Primary School,6A CAIRNSHILL DRIVE,BELFAST,BT86RT,Primary,Controlled,BELFAST SOUTH,LISBURN AND CASTLEREAGH,Urban
4013038,Tullycarnet Primary School,KINGS ROAD,BELFAST,BT57EH,Primary,Controlled,BELFAST EAST,BELFAST,Urban
4013043,Lead Hill Primary School,CASAELDONA PARK,BELFAST,BT69RD,Primary,Controlled,BELFAST EAST,BELFAST,Urban
4013044,Carryduff Primary School,KILLYNURE ROAD,BELFAST,BT88EE,Primary,Controlled,BELFAST SOUTH,LISBURN AND CASTLEREAGH,Urban
4013045,Grange Park Primary School,GRANGE PARK,BANGOR,BT203QG,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4013046,Alexander Dickson Primary School,COMBER ROAD,NEWTOWNARDS,BT235TN,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural
4013305,"Harmony Hill Primary School, Lisburn",50 HARMONY HILL,LISBURN,BT274ES,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban
4013334,Knockmore Primary School,HERTFORD CRESCENT,LISBURN,BT281SA,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban
4016002,Kilcooley Primary School,GANAWAY AVENUE,BANGOR,BT191QS,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4016004,Londonderry Primary School,2A GLENBROOK ROAD,NEWTOWNARDS,BT234EY,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban
4016020,Carrowdore Primary School,CASTLE PLACE,CARROWDORE,BT222JJ,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural
4016067,Rathmore Primary School,RATHMORE ROAD,BANGOR,BT191DJ,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4016083,West Winds Primary School,SUNDERLAND PARK,NEWTOWNARDS,BT234RQ,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban
4016104,Moira Primary School,21 BACKWOOD ROAD,MOIRA,BT670LJ,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Rural
4016111,Towerview Primary School,100 TOWERVIEW CRESCENT,BANGOR,BT196AZ,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4016123,Spa Primary School,59 BALLYMAGLAVE ROAD,BALLYNAHINCH,BT248QB,Primary,Controlled,SOUTH DOWN,NEWRY MOURNE AND DOWN,Rural
4016126,Andrews Memorial Primary School,4 BALLYGOWAN ROAD,NEWTOWNARDS,BT235PG,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban
4016144,Old Warren Primary School,147 DRUMBEG DRIVE,LISBURN,BT281QP,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban
4016145,"Killowen Primary School, Lisburn",20 LAURELHILL ROAD,LISBURN,BT282UH,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban
4016192,Kilmaine Primary School,6 LYNDALE DRIVE,BANGOR,BT196EF,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4016201,Academy Primary School,194 LISTOODER ROAD,SAINTFIELD,BT247JA,Primary,Controlled,STRANGFORD,NEWRY MOURNE AND DOWN,Rural
4016202,Ballinderry Primary School,1A CRUMLIN ROAD,LISBURN,BT282BF,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Rural
4016235,Downpatrick Primary School,10 MOUNT CRESCENT,DOWNPATRICK,BT306AF,Primary,Controlled,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban
4016396,Killinchy Primary School,MAIN STREET,NEWTOWNARDS,BT236PN,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural
4016399,Abbey Primary School,90 MOVILLA ROAD,NEWTOWNARDS,BT238RQ,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban
