DfE code,School Name,Type,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I15,I16,I17,I18,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,CI01,CI03, CI04,DeMinimis,CE01,CE02,CE03,CE04,OB01,OB02,OB03,B01,B02,B03,B05,B06
4022,The Calder High School,Secondary,5087812.1,758648.34,23001.72,0,256676,550,21840.49,96417.11,241984.97,0,4489.33,59917.22,1119.2,0,0,0,0,3570411.77,1237.19,832874.7,219161.31,346487.33,108746.41,54074.3,70328.9,50428.82,0,0,81194.79,14873.67,14425.82,14143.87,93514.54,97695,31168.93,246157.71,137142.27,123055.97,49441.45,56796.56,45.85,142966.96,111519,186626.22,29961.65,0,0,0,0,61183,0,0,1,0,102782.7,6888.73,18950.22,354760.88,0,74504.98,222736.37,0,7066.33,0,0
4024,Sowerby Bridge High School,Secondary,4841625.38,873111.66,75969.84,0,416583.73,41998.03,0,413.11,0,0,0,0,108746.04,0,0,0,0,3246571.22,0,1341084.2,0,395387.62,0,0,19373.2,46792.33,2569.44,0,113643.5,33366.13,253379.32,8218.11,71514.45,181801.5,6351.08,217404.09,67309.09,103114.63,78938.71,114074.36,0,75789.14,58779.1,72528.88,210042.28,0,0,0,0,20841,0,0,10000,0,0,0,12760.9,145648.42,0,16924.92,0,-213936.17,12217.92,12787.1,0
4026,Todmorden High School,Secondary,2884813.53,637337,11653.85,0,187210,9000,17666.37,74931.4,200444.75,40570,552,550,1053.04,0,0,0,0,2342254.89,9500.43,398469.32,156493.19,288389.04,118095.51,4001.08,41680,14494.34,35242.36,0,61637.95,5083.57,5531.56,14150.3,88159.73,80359,16216.45,117315.89,117434.35,62794.23,85267.9,35326.82,14920.83,106785.07,61607.55,13673.42,49410.8,8693.33,0,0,0,112712.26,0,0,1,0,0,0,0,-594464.91,0,-111009.35,0,-881671.88,1702.91,0,0
5201,All Saints J and I (CE) VA School,Primary,796957.56,0,0,0,14960,687.01,200,48902.84,21696.5,10249.84,0,12221.1,5634.95,0,0,0,41825.63,439494.35,13022.13,115403.46,29832.22,41150.63,22318.2,33869.35,1231.03,10788.28,8600.58,1114.32,9635.44,15977.12,1238.96,2478.86,7905.27,3017.16,9879.56,62515.26,21657.03,0,8437.99,7185.61,17625.32,48149.74,1217.94,13092.68,10338.54,0,2227.08,0,0,0,0,2227.08,1,0,1802.09,0,0,45397.04,0,60106.84,39328.36,0,60531.83,0,0
5202,St Michael and All Angels CE primary school,Primary,786754.07,0,8979.53,0,50740,174.9,7827.53,81732.05,21487.19,19487.83,139,11655,566.65,0,0,0,40025.74,442486.15,1172.19,185597.37,36628.42,66931.43,27331.51,17447.69,2037.93,11189.49,12662.48,2300,61348.61,14120.62,5926.28,5014.73,11156.62,2489.65,7757.48,42833.14,17703.73,0,8819.24,6972.87,3123.6,26827.53,17557.06,7958.98,18490.18,0,0,0,0,6340,0,0,1,0,22269,0,0,69462.54,0,20079.43,35147.05,0,4150.43,0,0
5204,Lightcliffe CE (VA) Primary School,Primary,1373858.87,0,8198.5,0,43980,871,1592.55,14250.24,55118.58,2184,9953.31,13720.99,5151.38,0,0,0,83119.9,833485.36,13687.67,193822.68,45777.53,67141.52,67184.41,30344.37,8498.6,5899.97,13961.17,2987.24,27359.35,12790.81,1127.43,6434.63,20549.62,4264.45,17103.36,56152.09,10464.48,0,19641.94,11867.98,0,47051.34,25943.53,2250,13943.64,0,40.11,0,0,360.99,0,40.11,1,0,401.1,0,0,79116.44,0,0.01,131340.48,0,0.01,0,0
5205,West Vale Primary School,Primary,688014.26,0,4655,0,71146,1165.6,10867.1,7997.26,25889.02,6650.62,1117.11,0,0,0,0,0,35732.64,343791.99,12161.77,129058,10906.9,54332.63,37179.19,22868.01,293.75,9948.25,8044.48,3815.41,23068.51,205.32,11485.75,2564.42,16917.59,1725.5,8646.86,29624.03,15515.06,0,5332.86,7136.3,0,20199.56,14420.11,24901.4,9505.75,0,49374.58,0,0,6048,0,49374.58,1,0,61415.69,11045,0,78141.87,0,37038.11,58352.5,0,20000,0,0
5206,St Chads CE (VA) Primary School,Primary,750225.28,0,3837.17,0,39466.98,178,20284.77,22309.94,18522.33,9473.95,1316.6,12692.58,24863.21,0,0,0,44501.84,432427.05,4820.49,148558.14,29510.04,63070.11,14591.82,16224.97,2239.74,6348.82,9609.68,3738.08,7098.42,1324.96,2790.12,3032.1,11326.04,2834.75,6254.52,71118.89,11075.8,0,3378.85,7714.27,0,43264.13,22847.15,12609.48,16132.97,0,0,0,0,0,0,0,1,0,0,0,0,93241.8,0,0,86973.06,0,0,0,0
5207,Longroyde Junior School,Primary,941624.57,0,4117.42,0,131427,1901,15308.58,28815.59,33098.1,2548,3746.76,0,0,0,0,271.99,9278,496678.52,0,196451.06,43081.54,63858.96,15626.47,27073.91,344.08,4251.44,9607.66,5106.24,28774.61,2816.08,1725.83,2629.81,16777.62,2933.35,5248.02,41446.65,22275.87,0,4565.91,7990.36,3585.39,46908.84,24645.34,8450.77,11040.69,0,0,0,0,6858,0,0,1,0,0,0,0,74557.66,-271.99,20482.52,152527.66,0,27340.52,0,0
5208,Walsden St Peters CE (VC) Primary,Primary,708883.17,0,11145.63,0,33371.01,3.1,11752.33,4908.24,10866.01,11426.5,0,3390,1559.6,0,0,0,31215.17,385794.94,36910.62,117847.86,18696.36,40153.18,5848.6,17997.18,2740.19,4171.55,6921.83,1238.6,19089.37,4830.67,727.9,1561.21,12716.26,7920,6509.85,14756.53,43995.33,0,12681.91,6445.39,0,27559.15,0,0,11053.73,0,0,0,0,5766,0,0,1,0,0,0,0,41541.02,0,32208.98,61893.57,0,37974.98,0,0
7008,Wood Bank school,Special primary,700000,0,882699.67,0,47320,103.6,5250,51133.55,5787.5,9176.06,3821.28,56,10601.2,0,0,0,10109.64,606206.93,54895.77,610492.76,40903.01,43044.61,16857.15,17727.88,2657.96,12087.7,9897.21,6721.41,50959.67,1959.4,2993.09,1742.74,10610.19,0,8292.53,79164.23,12952.16,0,9180.8,6710.03,0,23848.03,10830.7,2778.6,21489.24,0,0,0,0,6268,0,0,1,0,22967,0,0,217799.71,14908.17,38289.74,278854.41,0,21590.74,0,14908.17
7009,Ravenscliffe high school,Special secondary,900000,510000,1346117.23,0,36815.01,10500,51772.32,78427.51,27744.2,2704,27798.14,42577.48,21418.83,0,0,0,0,1232911.57,26642.7,1009996.83,59526.31,101941.38,73610.21,36688.59,4027.15,20484.38,18930.18,32545.66,25879.34,3310.16,32208.9,9224,38688.08,0,30152.99,98520,23807.02,2022.93,8653.63,17264.06,0,30358.59,0,7489.44,17192.51,0,17265.54,0,0,8624,170811.08,17265.54,1,0,15040.54,2225,0,702420.4,0,287408.08,778952.97,0,35157.55,431685.61,0
7010,Highbury School,Special primary,600000,0,878450,0,60455,109.8,69849.41,26323.17,7163.4,35180,5179.22,3001,25325.09,0,0,0,15462.62,541453.38,25327.31,648850.74,48510.22,26045.37,0,6489.38,6106.34,14323.21,22114,11754.77,90312.65,797.66,502.78,5173.41,34827.92,0,17069.19,46375.4,26694.85,0,10631.02,7515.93,0,19287.68,0,8313,11707.22,0,0,0,0,6066,0,0,1,0,0,0,0,175591.43,0,1,271906.71,0,6067,0,0
