Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,09/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,50441,75298
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,YORKSHIRE HOUSING LIMITED,52004,75713
Communities and Local Government,Homes and Communities Agency,09/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ALDWYCK HOUSING ASSOCIATION LIMITED,50452,76000
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,GROWTH & AFFORDABILITY,SWAYTHLING HOUSING SOCIETY LIMITED,51326,76500
Communities and Local Government,Homes and Communities Agency,16/08/2010,CAPITAL GRANTS TO RSLS,LONDON,PLACES FOR PEOPLE GROUP LIMITED,50874,76715
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,YORKSHIRE HOUSING LIMITED,50797,76899
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ORBIT HOUSING GROUP LTD,51972,77008
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAPITAL GRANTS TO RSLS,NORTH EAST,TEES VALLEY HOUSING GROUP LIMITED,51694,77430
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,CHEVIN HOUSING ASSOCIATION LIMITED,51701,77555
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,JEPHSON HOMES HOUSING ASSOCIATION LTD,50934,77704
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,THE GUINNESS TRUST,52225,77725
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50081,77741
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,DEVON AND CORNWALL HA LTD,50943,78048
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,YORKSHIRE HOUSING LIMITED,51361,78695
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,BEDFORDSHIRE PILGRIMS HA LTD,52025,78909
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,RIVERSIDE HOUSING GROUP LTD,51159,79055
Communities and Local Government,Homes and Communities Agency,27/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORWELL HOUSING ASSOCIATION LIMITED,51809,79200
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,TEES VALLEY HOUSING GROUP LIMITED,51966,79250
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,GREAT PLACES HOUSING ASSOCIATION,52156,79424
Communities and Local Government,Homes and Communities Agency,04/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,DEVON AND CORNWALL HA LTD,50182,80000
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,LONDON,NETWORK HOUSING GROUP LIMITED,50691,80000
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,LONDON,NETWORK HOUSING GROUP LIMITED,50692,80000
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,LONDON,NETWORK HOUSING GROUP LIMITED,50693,80000
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,LONDON,NETWORK HOUSING GROUP LIMITED,50694,80000
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,LONDON,NETWORK HOUSING GROUP LIMITED,50695,80000
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,LONDON,NETWORK HOUSING GROUP LIMITED,50696,80000
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,LONDON,NETWORK HOUSING GROUP LIMITED,50697,80000
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,LONDON,NETWORK HOUSING GROUP LIMITED,50698,80000
Communities and Local Government,Homes and Communities Agency,16/08/2010,CAPITAL GRANTS TO RSLS,LONDON,NETWORK HOUSING GROUP LIMITED,50880,80000
Communities and Local Government,Homes and Communities Agency,26/08/2010,SECONDED STAFF COSTS,MILTON KEYNES PARTNERSHIP,MILTON KEYNES & NORTH BUCKS PARTNERSHIP,303060,80000
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,YORKSHIRE HOUSING LIMITED,51364,80097
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,CHEVIN HOUSING ASSOCIATION LIMITED,51700,80101
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,J S BLOOR (MEASHAM),51769,81000
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,YORKSHIRE HOUSING LIMITED,52003,81410
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,HIGHTOWN PRAETORIAN & CHURCHES HA LTD,51332,81708
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,51174,82573
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,GREAT PLACES HOUSING ASSOCIATION,52168,83228
Communities and Local Government,Homes and Communities Agency,09/08/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,BEDFORDSHIRE PILGRIMS HA LTD,50457,83359
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,BEDFORDSHIRE PILGRIMS HA LTD,52027,83682
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,GREAT PLACES HOUSING ASSOCIATION,52169,84906
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,NORTH EAST,NORTH TYNESIDE COUNCIL,300822,85095.44
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,YORKSHIRE HOUSING LIMITED,50794,85734
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,DEVON AND CORNWALL HA LTD,51952,86000
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ORBIT HOUSING GROUP LTD,50685,86175
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,GREAT PLACES HOUSING ASSOCIATION,52160,86356
Communities and Local Government,Homes and Communities Agency,11/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORWELL HOUSING ASSOCIATION LIMITED,50586,86400
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51358,86972
Communities and Local Government,Homes and Communities Agency,18/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,RIVERSIDE HOUSING GROUP LTD,51070,87200
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51353,87416
Communities and Local Government,Homes and Communities Agency,19/08/2010,REV GRNTS PUB SECTOR EXCL L A,SOUTH WEST,PLYMOUTH CITY DEVELOPMENT COMPANY LTD,287351,87500
Communities and Local Government,Homes and Communities Agency,19/08/2010,REV GRNTS PUB SECTOR EXCL L A,SOUTH WEST,PLYMOUTH CITY DEVELOPMENT COMPANY LTD,301854,87500
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51356,87794
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,BEDFORDSHIRE PILGRIMS HA LTD,52240,87915
Communities and Local Government,Homes and Communities Agency,11/08/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,EAST MIDLANDS HOUSING ASSOCIATION LTD,50620,88396
Communities and Local Government,Homes and Communities Agency,16/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,PLUS HOUSING GROUP LIMITED,50878,89068
Communities and Local Government,Homes and Communities Agency,06/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORBIT HOUSING GROUP LTD,50378,89270
Communities and Local Government,Homes and Communities Agency,24/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51447,89322
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORWELL HOUSING ASSOCIATION LIMITED,52138,90000
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,ALDWYCK HOUSING ASSOCIATION LIMITED,52016,90000
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,MHS HOMES LIMITED,52283,90000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51189,90186
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51357,90219
Communities and Local Government,Homes and Communities Agency,24/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51444,90476
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,MEDWAY COUNCIL,2690,92565
Communities and Local Government,Homes and Communities Agency,26/08/2010,VAT - SETTLEMENT,FINANCE & CORPORATE SERVICES,HM REVENUE & CUSTOMS,303009,92607
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,BEDFORDSHIRE PILGRIMS HA LTD,52024,92644
Communities and Local Government,Homes and Communities Agency,06/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORBIT HOUSING GROUP LTD,50374,92707
Communities and Local Government,Homes and Communities Agency,20/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,HOME GROUP LIMITED,51249,92750
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,GREAT PLACES HOUSING ASSOCIATION,52158,93659
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,COUNTRYSIDE PROPERTIES PLC,51390,93750
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51350,94326
Communities and Local Government,Homes and Communities Agency,27/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,WEST MERCIA HOUSING ASSOCIATION LIMITED,51841,94981
Communities and Local Government,Homes and Communities Agency,27/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51845,95491
Communities and Local Government,Homes and Communities Agency,04/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,DEVON AND CORNWALL HA LTD,50183,96000
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,CHEVIN HOUSING ASSOCIATION LIMITED,51976,96000
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,PARAGON COMMUNITY HOUSING GROUP LTD,52210,97500
Communities and Local Government,Homes and Communities Agency,16/08/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,EAST MIDLANDS HOUSING ASSOCIATION LTD,50887,98356
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,YORKSHIRE HOUSING LIMITED,52009,98609
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAPITAL GRANTS TO RSLS,NORTH EAST,TEES VALLEY HOUSING GROUP LIMITED,51692,99075
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORWELL HOUSING ASSOCIATION LIMITED,51318,99500
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,MEDWAY COUNCIL,2691,99578
Communities and Local Government,Homes and Communities Agency,20/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51258,99904
Communities and Local Government,Homes and Communities Agency,05/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,FLAGSHIP HOUSING GROUP LIMITED,50280,100000
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,HYDE HOUSING ASSOCIATION LIMITED,52014,100000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,PLUS HOUSING GROUP LIMITED,51184,100299
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,DEVON AND CORNWALL HA LTD,50768,100389
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,FLAGSHIP HOUSING GROUP LIMITED,50965,100800
Communities and Local Government,Homes and Communities Agency,20/08/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,RIVERSIDE HOUSING GROUP LTD,51246,100800
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,51173,101784
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ACCORD HOUSING ASSOCIATION LIMITED,52030,102600
Communities and Local Government,Homes and Communities Agency,05/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,CATALYST HOUSING GROUP LTD,50285,103260
Communities and Local Government,Homes and Communities Agency,27/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORBIT HOUSING GROUP LTD,51832,103352
Communities and Local Government,Homes and Communities Agency,04/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ORBIT HOUSING GROUP LTD,50200,103355
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50763,103386
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ORBIT HOUSING GROUP LTD,51973,103414
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,LONDON,LONDON AND QUADRANT HOUSING TRUST,52216,103995
Communities and Local Government,Homes and Communities Agency,09/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,SOUTH EAST,SOUTHAMPTON CITY COUNCIL,50475,105160
Communities and Local Government,Homes and Communities Agency,16/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,BEDFORDSHIRE PILGRIMS HA LTD,50891,106000
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,GREAT PLACES HOUSING ASSOCIATION,52159,106112
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50764,106219
Communities and Local Government,Homes and Communities Agency,16/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,BROMFORD CARINTHIA HA LTD,50857,106331
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51560,107372
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50758,107648
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50084,107721
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,MEDWAY COUNCIL,2701,107748
Communities and Local Government,Homes and Communities Agency,20/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,MILTON KEYNES COUNCIL,2708,107771
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,BARRATT DEVELOPMENTS PLC,51761,107775
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,LONDON,METROPOLITAN HOUSING TRUST LIMITED,50941,107884
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,EAST MIDLANDS HOUSING ASSOCIATION LTD,51198,108059
Communities and Local Government,Homes and Communities Agency,04/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ORBIT HOUSING GROUP LTD,50198,108273
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,WEST MERCIA HOUSING ASSOCIATION LIMITED,51340,108750
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51186,109118
Communities and Local Government,Homes and Communities Agency,04/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,CATALYST HOUSING GROUP LTD,50202,110158
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,YORKSHIRE & THE HUMBER,CITY OF WAKEFIELD M D C,302502,110889
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,51172,111047
Communities and Local Government,Homes and Communities Agency,09/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,SOUTH EAST,SOUTHAMPTON CITY COUNCIL,50474,111088
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,LONGHURST GROUP LIMITED,50981,111416
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,BEDFORDSHIRE PILGRIMS HA LTD,52239,111685
Communities and Local Government,Homes and Communities Agency,27/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,YORKSHIRE HOUSING LIMITED,51848,111818
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,LONDON,LONDON AND QUADRANT HOUSING TRUST,52215,112000
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,51950,112000
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51355,113367
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,NORTH EAST,TEES VALLEY HOUSING GROUP LIMITED,50096,113686
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,ACCENT GROUP LIMITED,50707,113750
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50080,113775
Communities and Local Government,Homes and Communities Agency,11/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,CATALYST HOUSING GROUP LTD,50606,114279
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAPITAL GRANTS TO RSLS,NORTH EAST,TEES VALLEY HOUSING GROUP LIMITED,51693,114839
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORWELL HOUSING ASSOCIATION LIMITED,52134,114850
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50079,115458
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ALDWYCK HOUSING ASSOCIATION LIMITED,52017,115624
Communities and Local Government,Homes and Communities Agency,27/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,BROMFORD CARINTHIA HA LTD,51806,117000
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51354,117170
Communities and Local Government,Homes and Communities Agency,06/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ORBIT HOUSING GROUP LTD,50375,117990
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ORBIT HOUSING GROUP LTD,50684,118005
Communities and Local Government,Homes and Communities Agency,19/08/2010,REV GRNTS PUB SECTOR EXCL L A,NORTH WEST,MANCHESTER CITY COUNCIL,300975,118750
Communities and Local Government,Homes and Communities Agency,19/08/2010,REV GRNTS PUB SECTOR EXCL L A,NORTH WEST,MANCHESTER CITY COUNCIL,300976,118750
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51185,120293
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,BARRATT DEVELOPMENTS PLC,51760,120900
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50762,120969
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,HOUSING 21,51938,121926
Communities and Local Government,Homes and Communities Agency,04/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,MOAT HOUSING SOCIETY LIMITED,50179,122500
Communities and Local Government,Homes and Communities Agency,18/08/2010,CAPITAL GRANTS TO RSLS,LONDON,PEABODY TRUST,2683,122726.99
Communities and Local Government,Homes and Communities Agency,11/08/2010,CAP GRNTS TO PRIVATE SECTOR,WEST MIDLANDS,KIER VENTURES LTD,301153,123036.32
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,THE GUINNESS TRUST,52227,123367
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,DEVON AND CORNWALL HA LTD,51953,125059
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50082,125822
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,FLAGSHIP HOUSING GROUP LIMITED,51180,126000
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,FLAGSHIP HOUSING GROUP LIMITED,50964,126089
Communities and Local Government,Homes and Communities Agency,11/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,JEPHSON HOMES HOUSING ASSOCIATION LTD,50588,126800
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50083,128035
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAPITAL GRANTS TO RSLS,LONDON,LONDON AND QUADRANT HOUSING TRUST,51574,128142
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,HYDE HOUSING ASSOCIATION LIMITED,52013,128750
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50765,130190
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,CORNWALL RURAL HOUSING ASSOCIATION LTD,51335,130560
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,ASTER GROUP LTD,50699,132000
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50760,133992
Communities and Local Government,Homes and Communities Agency,24/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SOVEREIGN HOUSING GROUP LIMITED,51446,134258
Communities and Local Government,Homes and Communities Agency,20/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,DEVON COUNTY COUNCIL,2630,134579
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,LONGHURST GROUP LIMITED,50103,135000
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ALDWYCK HOUSING ASSOCIATION LIMITED,51581,135000
Communities and Local Government,Homes and Communities Agency,27/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,DEVON AND CORNWALL HA LTD,51821,135750
Communities and Local Government,Homes and Communities Agency,25/08/2010,INFRASTRUCTURE LOANS,EAST MIDLANDS,LARKFLEET LIMITED,302877,138333
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,SIGNPOST HOUSING GROUP LTD - SPECTRUM HG LTD,51978,138770
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SWAYTHLING HOUSING SOCIETY LIMITED,50761,139028
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAP GRNTS TO PRIVATE SECTOR,SOUTH EAST,GEORGE WIMPEY SOUTH WEST THAMES,303214,139559.85
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,FLAGSHIP HOUSING GROUP LIMITED,51179,140000
Communities and Local Government,Homes and Communities Agency,23/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,SOVEREIGN HOUSING GROUP LIMITED,51348,140000
