Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,26/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,GROWTH & AFFORDABILITY,R.S.P LTD,302370,20
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,20.6
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,EXECUTIVE OFFICE,DIRECT TAXIS,297790,21
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,297790,21
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,GROWTH & AFFORDABILITY,DIRECT TAXIS,297790,21
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,GROWTH & AFFORDABILITY,DIRECT TAXIS,297790,21
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,WEST MIDLANDS,DIRECT TAXIS,297790,21
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,301846,21
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,301846,21
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,301846,21
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,297790,21.5
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,22.09
