SUPPLIER NAME,?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER ID
SEC-1-LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,HARDWARE MAINTENANCE,28/03/2013,226234,3135,101046
HAROLD ADKIN & SONS SUTTON-IN-ASHFIELD LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,REPAIRS AND MAINTENANCE,15/03/2013,225088,3125,101871
BRIGHTGATE CONSULTANCY AND TRAINING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PROFESSIONAL SERVICES,28/03/2013,225964,3046.2,101718
N SHACKLOCK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,225938,3034.51,100349
EDMUNDSON ELECTRICAL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226246,3009.6,101640
PARKS AND PLAYGROUND SOLUTIONS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,28/03/2013,226033,3000,101034
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,28/03/2013,225888,3000,101647
THE STONEBRIDGE TRUST,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,15/03/2013,224969,3000,101778
PRACTICAL LAW COMPANY,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PUBLICATIONS,28/03/2013,225815,3000,101901
NEARLY INSTANT THEATRE SESSION,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROFESSIONAL SERVICES,28/03/2013,225965,2981.02,101537
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226261,2978,100950
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/03/2013,224717,2968,101312
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/03/2013,225133,2966.19,101312
DISTRICT SURVEYORS LTD T/A LABC SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,15/03/2013,225056,2941,101002
NOTTINGHAMSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PARISH CNCLS AND VOL BODIES,08/03/2013,224625,2926,100393
TRENT VALLEY PLUMBING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,15/03/2013,225118,2899,101219
GEODYNE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,28/03/2013,226055,2882.1,101800
SHOTSTONE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,RENT,08/03/2013,224870,2875,100498
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,08/03/2013,224628,2837,101828
GLASDON UK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,OTHER EQUIPMENT AND TOOLS,28/03/2013,226188,2830.75,101869
FOREST FARM TREE SERVICES LLP,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,01/03/2013,223984,2800,100170
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226120,2798,100950
ROYAL MAIL GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,POSTAGES,15/03/2013,225029,2765.78,100469
N SHACKLOCK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,01/03/2013,224332,2762.4,100349
COMENSURA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,AGENCY STAFF,08/03/2013,224656,2714.3,100106
HIGH PARK INDUSTRIES,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,WOOD FUEL,22/03/2013,225365,2709.18,101514
SIEMENS FINANCIAL SERVICES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,MATERIALS,22/03/2013,225388,2707.25,100502
N SHACKLOCK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,15/03/2013,225097,2692.65,100349
ALPHEUS ENVIRONMENTAL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SEWAGE WORKS ROUTINE MAINTNCE,08/03/2013,224718,2676.74,100011
SWEENEY ENTERTAINMENTS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,15/03/2013,225060,2663.76,100529
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM LOSS OF REVENUE,28/03/2013,226014,2606.02,100620
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226021,2569,101828
NOTTINGHAMSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,NCC COLLECTION FUND ADJUSTMENT,08/03/2013,224871,2555,100393
J T DECORATORS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,28/03/2013,225932,2500,100806
KINGS CHAMBERS,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,01/03/2013,224330,2500,101383
DANCE4 LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,15/03/2013,225147,2500,101861
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROFESSIONAL SERVICES,28/03/2013,226213,2500,101862
ATC RISK MANAGEMENT SERVICES LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,15/03/2013,224972,2489.6,101849
PAUL DERRY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226023,2475.7,100914
S P G CONSTRUCTION LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,01/03/2013,224199,2444.35,100477
ELECTRICAL SAFETY SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/03/2013,225585,2429.7,100147
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/03/2013,225132,2383.87,101312
PAUL DERRY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226018,2378.39,100914
CARPET CONNECTIONS,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,REPAIRS AND MAINTENANCE,28/03/2013,225991,2371.67,101375
EDWINSTOWE PARISH COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PROFESSIONAL SERVICES,01/03/2013,224013,2351.25,100143
LOCAL GOVERNMENT ASSOCIATION,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PROFESSIONAL SERVICES,01/03/2013,224026,2342.5,100283
QDOS ENTERTAINMENT (THEATRE) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,15/03/2013,225096,2308.14,101903
PAUL DERRY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,22/03/2013,225581,2297.29,100914
NATIONWIDE WINDOWS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224310,2295,101404
PAUL DERRY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226026,2294.8,100914
FIRST ORDER RED LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,REPAIRS AND MAINTENANCE,28/03/2013,225890,2291,100951
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM OFFICIALS INDEMNITY,28/03/2013,226014,2289.37,100620
THE DANWOOD GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PRINTING,08/03/2013,224626,2284.54,101807
HEAT HAUS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226017,2269.99,101872
UK CONTAINER MAINTENANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,01/03/2013,224011,2262,100578
SALFORD CITY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,CONSULTANTS,08/03/2013,224649,2258,101369
THE SWIMMING POOL STORE,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,01/03/2013,224124,2249.17,101917
PAUL DERRY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,22/03/2013,225590,2246.4,100914
SALFORD CITY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,CONSULTANTS,28/03/2013,226193,2240,101369
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,01/03/2013,224126,2228,100950
N SHACKLOCK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,225935,2215.25,100349
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM LAND CHARGES,28/03/2013,226014,2206.84,100620
HMRC CUMBERNAULD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,INCOME TAX,20/03/2013,225475,2205.2,101515
NEARLY INSTANT THEATRE SESSION,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROFESSIONAL SERVICES,01/03/2013,224229,2130.4,101537
VIRGIN MEDIA BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,TELEPHONES,28/03/2013,225915,2116.66,100593
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,08/03/2013,224758,2103,100950
HMRC CUMBERNAULD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,NATIONAL INSURANCE,20/03/2013,225475,2099.04,101515
TEXTHELP SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,EQUIPMENT LEASING RECHARGE,28/03/2013,226237,2095,101060
PAUL DERRY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,22/03/2013,225619,2072.85,100914
MITIE PROPERTY SERVICES (UK) LTD MIDLANDS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/03/2013,225141,2061.26,101881
SHAW & SONS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,ELECTION EXPENSES,28/03/2013,226221,2056.32,100491
LOCAL GOVERNMENT INFORMATION UNIT,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,SUBSCRIPTIONS,04/03/2013,224565,2050,101020
ELECTRICAL SAFETY SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224316,2018,100147
CORONA ENERGY,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,GAS,15/03/2013,225080,2014.16,100113
GREENSPACE FORUM (TRADING) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,01/03/2013,224329,2000,100642
IDOX SOFTWARE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,01/03/2013,224029,2000,100738
BLUE LEAF GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,GROUNDS MAINTENANCE,28/03/2013,226170,2000,101749
TURNER & TOWNSEND PROJECT MANAGEMENT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,28/03/2013,226140,2000,101826
ORDINARY CULTURE,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTS DEVELOPMENT & EVENTS,28/03/2013,226065,2000,101898
THE GATE TO SOUTHWELL FOLK FESTIVAL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTS DEVELOPMENT & EVENTS,28/03/2013,226066,2000,101914
DANCE4 LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,15/03/2013,225146,2000,101861
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,225945,1960,100950
CORONA ENERGY,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,GAS,15/03/2013,225084,1954.94,100113
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM SOUTHWELL LEISURE CNTR,28/03/2013,226013,1951.86,100620
S & J BURGIN LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,15/03/2013,224951,1945,101654
DISTRICT SURVEYORS LTD T/A LABC SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,SUBSCRIPTIONS,15/03/2013,225024,1943.63,101002
CORONA ENERGY,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,GAS,01/03/2013,224245,1941.83,100113
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,225943,1920,101828
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,225944,1920,101828
ROYAL MAIL GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,POSTAGES,22/03/2013,225338,1917.04,100469
M KEELING HEATING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,05/04/2013,226022,1899,101880
ROYAL MAIL GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,POSTAGES,01/03/2013,224128,1881.12,100469
CHRYSTAL CONSULTING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LEASING,28/03/2013,226064,1878.69,100088
ROYAL MAIL GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,POSTAGES,08/03/2013,224650,1869.71,100469
VIRGIN MEDIA BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,TELEPHONES,28/03/2013,225970,1866.83,100593
CIPFA BUSINESS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PROFESSIONAL SERVICES,08/03/2013,224584,1865,100090
BANK OF SCOTLAND,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,NSDC VANS LEASE,01/03/2013,224024,1860,100624
NEWARK MIND,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,22/03/2013,225327,1850,101896
ROBERT WOODHEAD LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,DEBTOR REFUNDS,15/03/2013,225105,1828.5,100461
REMPLOY LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,THIRD PARTY AGENTS,15/03/2013,225149,1825,100451
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREIMUM THEFT,28/03/2013,226014,1823.54,100620
GREENGAGE CONSULTING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,08/03/2013,224707,1799,101870
JNE PROPERTY MAINTENANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PREMISES REPAIRS & RENEWALS,28/03/2013,226030,1796.88,101268
ARDEN BUSINESS MANAGEMENT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PROFESSIONAL SERVICES,01/03/2013,224111,1784.2,101698
MIDLAND LIFT SERVICES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224302,1760,101423
WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PRINTING,08/03/2013,224721,1740,100602
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM LIBEL AND SLANDER,28/03/2013,226014,1683.02,100620
EDF ENERGY 1 LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,ELECTRICITY,15/03/2013,225073,1680.68,101140
WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224193,1674,100602
MORNINGSIDE MANAGEMENT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,15/03/2013,224967,1669.63,100315
TREVOR ROBERTS ASSOCIATES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,08/03/2013,224706,1666,101918
NEWARK MIND,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,22/03/2013,225328,1650,101896
CORE BUSINESS SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,01/03/2013,224015,1650,101860
SANDY ARTHUR TRAINING SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,08/03/2013,224764,1636.25,101910
S & J BURGIN LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,REPAIRS AND MAINTENANCE,08/03/2013,224638,1620,101654
DEVLIN DECORATORS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/03/2013,225126,1619.92,100127
JOHN GOAD ASSOCIATES,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,01/03/2013,224004,1600,101306
HORNES REMOVALS & STORAGE,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PREMISES REPAIRS & RENEWALS,01/03/2013,224282,1600,101838
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,08/03/2013,224610,1590,100950
RIDOUT ASSOCIATES,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,01/03/2013,224005,1575,101907
SEVERN TRENT WATER LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,METERED WATER CHARGE,08/03/2013,224737,1525.47,100487
VIRGIN MEDIA BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,STANDING CHARGES TELEPHONES,28/03/2013,225915,1522,100593
VIRGIN MEDIA BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,STANDING CHARGES TELEPHONES,28/03/2013,225970,1522,100593
LYRECO UK LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,STATIONERY,01/03/2013,223980,1510.82,101689
COOPER PLUMBING,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PREMISES REPAIRS & RENEWALS,22/03/2013,225562,1500,100110
KINGS CHAMBERS,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,01/03/2013,224001,1500,101383
WYG ENVIRONMENT PLANNING TRANSPORT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,01/03/2013,224333,1500,101795
CHORLEY BOROUGH COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PROFESSIONAL SERVICES,01/03/2013,224030,1500,101854
PAUL DERRY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226024,1499.1,100914
EDF ENERGY 1 LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,ELECTRICITY,15/03/2013,225070,1489.17,101140
SUPERCLEAN SERVICES WOTHORPE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,28/03/2013,226051,1473.32,100527
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,22/03/2013,225518,1460.22,101889
SUPERCLEAN SERVICES WOTHORPE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,01/03/2013,224274,1437.32,100527
CARMALOR CONSTRUCTION,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,01/03/2013,224083,1417.52,100073
AVONSIDE ROOFING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224296,1405.05,100993
LYRECO UK LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,STATIONERY,15/03/2013,225151,1404.6,101689
NOTTINGHAM TRENT UNIVERSITY,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,01/03/2013,224041,1400,101790
ROYAL MAIL GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,POSTAGES,01/03/2013,224021,1371.78,100469
CAMPBELL ASSOCIATES,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,EQUIPMENT REPAIRS & RENEWALS,28/03/2013,226092,1363,101288
OTR LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PROFESSIONAL SERVICES,22/03/2013,225525,1360,101277
THE DANWOOD GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,08/03/2013,224778,1350,101807
AXESS SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,HARDWARE MAINTENANCE,28/03/2013,226216,1346.14,101850
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PREMISES REPAIRS & RENEWALS,15/03/2013,224944,1333.42,100243
NEWARK ALARM SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,01/03/2013,224010,1330,100364
JOHNSTON SWEEPERS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,15/03/2013,224980,1327.5,100250
OLIVETI CUBICLES,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,08/03/2013,224725,1310,101542
XN LEISURE SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,01/03/2013,224222,1300,100616
JCP POWER & DATA CONTRACTORS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,15/03/2013,224949,1285,100243
ARDEN BUSINESS MANAGEMENT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PROFESSIONAL SERVICES,15/03/2013,225144,1284.2,101698
GLASDON UK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,28/03/2013,226189,1279.56,101869
CORONA ENERGY,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,GAS,15/03/2013,225085,1263.36,100113
NATIONWIDE WINDOWS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224300,1260,101404
