Department,Entity,Posted Date,Internal Voucher Number,  Invoice Line Amount Net GBP  ,Supplier Name,Account Name,,,,,
FCO,FCO,05/01/2017,8837513," 90,000.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8954261," 89,907.58 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8810672," 89,885.50 ",G4S RISK MANAGEMENT LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8960322," 88,518.52 ",AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,27/01/2017,8956218," 88,327.00 ",THE ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8824483," 88,268.75 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960355," 88,266.09 ",ARK GROUP DMCC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,11/01/2017,8906590," 50,486.65 ",NICOLAS GRAF HENCKEL V DONNERSMARCK,Rental Payments - non residential,,,,,
FCO,FCO,25/01/2017,8954282," 87,035.44 ",THE SHAIKH GROUP,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,19/01/2017,8946193," 86,800.00 ",CABINET OFFICE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,18/01/2017,8944890," 85,875.00 ",MEDAFCO DEVELOPPEMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8824446," 85,591.41 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8813451," 85,005.10 ",ATHENA EUNAVFOR MED OHQ TPC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,26/01/2017,8955181," 84,705.96 ",COMPUTACENTER UK LTD,IT/IS Consultancy,,,,,
FCO,FCO,23/01/2017,8950511," 83,644.97 ",UKRAINE NGO FORUM,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,05/01/2017,8834811," 83,595.93 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,26/01/2017,8955142," 83,208.00 ",COMPUTACENTER UK LTD,IT/IS Consultancy,,,,,
FCO,FCO,06/01/2017,8853441," 83,067.50 ",MINIMAL RISK CONSULTANCY LTD,UK Guarding Contracts Overseas,,,,,
FCO,FCO,30/01/2017,8958529," 82,758.13 ",MONIA ELLEUCHE,UK Guarding Contracts Overseas,,,,,
FCO,FCO,16/01/2017,8942115," 81,752.19 ",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts,,,,,
FCO,FCO,11/01/2017,8901444," 80,039.00 ",FINANCIAL TIMES LIMITED,Newspapers,,,,,
FCO,FCO,04/01/2017,8824431," 79,936.00 ",CPS CROWN PROSECUTION SERVICE HQ,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,10/01/2017,8895441," 79,723.22 ",EUROPEAN BANK FOR CONSTRUCTION AND DEVELOPMENT,Protocol - Refund of Insurance Premium Tax to Other Organisations,,,,,
FCO,FCO,09/01/2017,8863509," 79,686.11 ",BIRCHES GROUP LLC,Market Information,,,,,
FCO,FCO,06/01/2017,8850717," 79,419.85 ",CEFAS (THE CENTRE FOR ENVIRONMENT FISHERIES + AQUACULTURE SCIENCE),Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,27/01/2017,8956025," 79,200.49 ",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,01/01/2017,8772697," 78,787.07 ",BUPA INTERNATIONAL,Multiple Accounts,,,,,
FCO,FCO,24/01/2017,8952536," 78,443.69 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,01/01/2017,8437424," 77,423.01 ",COMPUTACENTER UK LTD,Multiple Accounts,,,,,
FCO,FCO,19/01/2017,8946165," 77,294.34 ",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage,,,,,
FCO,FCO,13/01/2017,8932032," 77,227.52 ",OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,25/01/2017,8953929," 77,000.00 ",AFGHANAID,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947321," 76,610.18 ",CORDERMAN AND COMPANY,Construction Project more than £10k,,,,,
FCO,FCO,13/01/2017,8931611," 75,967.82 ",CROWN COMMERCIAL SERVICE,Wdhs/Wsds,,,,,
FCO,FCO,10/01/2017,8882441," 75,910.98 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,17/01/2017,8943388," 75,838.76 ",RA INITERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,30/01/2017,8958795," 75,824.47 ",ADP,Multiple Accounts,,,,,
FCO,FCO,23/01/2017,8950779," 75,727.71 ",ADP,Multiple Accounts,,,,,
FCO,FCO,20/01/2017,8947925," 75,666.92 ",LIBERIA NATIONAL COMMISSION ON SMALL ARMS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,11/01/2017,8906571," 75,104.00 ",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,
FCO,FCO,16/01/2017,8941884," 75,000.00 ",COMPUTACENTER UK LTD,Specialist Contractors,,,,,
FCO,FCO,20/01/2017,8947484," 75,000.00 ",FCO SERVICES,Information Systems Maintenance,,,,,
FCO,FCO,06/01/2017,8850782," 74,893.00 ",CORPORATE TELEVISION NETWORK LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,10/01/2017,8882435," 74,626.77 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,25/01/2017,8953796," 74,596.34 ",ALBANY ASSOCIATES,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947414," 73,550.54 ",STABILISATION NETWORK,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,19/01/2017,8946205," 73,316.00 ",WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8924427," 73,254.46 ",ADP,Multiple Accounts,,,,,
FCO,FCO,03/01/2017,8813510," 73,060.64 ",COMPUTACENTER UK LTD,Multiple Accounts,,,,,
FCO,FCO,11/01/2017,8907438," 53,942.13 ",FCO SERVICES,Security: Works Non-Residential,,,,,
FCO,FCO,19/01/2017,8946226," 72,765.76 ",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage,,,,,
FCO,FCO,16/01/2017,8942117," 72,692.03 ",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts,,,,,
FCO,FCO,30/01/2017,8959320," 71,811.27 ",BRITISH TELECOM PLC,Multiple Accounts,,,,,
FCO,FCO,16/01/2017,8941849," 71,572.00 ",COMPUTACENTER UK LTD,Information Systems Implementation,,,,,
FCO,FCO,12/01/2017,8927429," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,24/01/2017,8952603," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,27/01/2017,8956009," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960301," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960305," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960309," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960311," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960312," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960317," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960318," 71,292.27 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,17/01/2017,8944001," 71,208.40 ",THE ROYAL BANK OF SCOTLAND,Multiple Accounts,,,,,
FCO,FCO,12/01/2017,8917897," 71,061.17 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,20/01/2017,8947452," 70,772.38 ",FCO SERVICES,Misc Security Payments,,,,,
FCO,FCO,26/01/2017,8955168," 70,045.94 ",COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8960413," 70,000.00 ",STABILIZATION SUPPORT SERVICES,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8960414," 69,840.38 ",ETANA,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,05/01/2017,8834529," 69,712.00 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,13/01/2017,8931674," 69,108.37 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,12/01/2017,8917857," 68,734.24 ",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts,,,,,
FCO,FCO,20/01/2017,8947679," 68,080.49 ",CIURIAK CONSULTING INC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,30/01/2017,8959143," 67,848.88 ",PACIFIC FORUM CSIS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,18/01/2017,8944982," 67,424.88 ",ARK GROUP DMCC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,05/01/2017,8834890," 67,250.00 ",PECHTER POLLS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8913424," 66,795.81 ",FISCAL CRIME LIAISON OFFICE,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,05/01/2017,8834850," 66,763.42 ",LANGUAGE SERVICES DIRECT,Language Tuition: Essential,,,,,
FCO,FCO,06/01/2017,8850740," 66,344.97 ",MOHAMMED PYARALI BANDALI,Multiple Accounts,,,,,
FCO,FCO,18/01/2017,8945316," 66,130.51 ",THE ROYAL BANK OF SCOTLAND,Multiple Accounts,,,,,
FCO,FCO,09/01/2017,8876492," 65,924.88 ",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8816435," 65,177.21 ",GILBERT ASH LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,25/01/2017,8953982," 65,146.98 ",HUMANIS,Multiple Accounts,,,,,
FCO,FCO,09/01/2017,8866427," 65,000.00 ",INTERNATIONAL CENTRE FOR MIGRATION POLICY DEVELOPMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,09/01/2017,8865430," 64,979.51 ",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,18/01/2017,8944475," 64,761.59 ",SEARCH FOR COMMON GROUND,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,24/01/2017,8952587," 64,729.81 ",STOOF INTERNATIONAL VERTRIEBSGESELLSCHAFT MBH,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,24/01/2017,8952589," 64,729.81 ",STOOF INTERNATIONAL VERTRIEBSGESELLSCHAFT MBH,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,24/01/2017,8952592," 64,729.81 ",STOOF INTERNATIONAL VERTRIEBSGESELLSCHAFT MBH,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,24/01/2017,8952593," 64,729.81 ",STOOF INTERNATIONAL VERTRIEBSGESELLSCHAFT MBH,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,05/01/2017,8837524," 64,000.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8813457," 63,457.23 ",THE ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,30/01/2017,8958934," 63,249.00 ",THE ACCOUNTANT CESG,Information Systems Maintenance,,,,,
FCO,FCO,13/01/2017,8931732," 63,205.31 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,13/01/2017,8931734," 63,205.31 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,12/01/2017,8916452," 63,047.72 ",DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,17/01/2017,8943157," 62,958.52 ",EUROPEAN BANKING AUTHORITY,Protocol - General VAT Refunds to Other Organisations,,,,,
FCO,FCO,13/01/2017,8931643," 62,929.87 ",CROWN COMMERCIAL SERVICE,Wdhs/Wsds,,,,,
FCO,FCO,18/01/2017,8945129," 62,643.33 ",AFRICAN CENTER FOR JUSTICE AND PEACE STUDIES,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8942128," 61,772.24 ",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts,,,,,
FCO,FCO,17/01/2017,8943381," 61,708.32 ",INTERNATIONAL OIL POLLUTION COMPENSATION FUND IOPCF,Protocol - General VAT Refunds to Other Organisations,,,,,
FCO,FCO,20/01/2017,8947196," 61,443.75 ",SCHOOL,Schooling for Children at Post,,,,,
FCO,FCO,19/01/2017,8946241," 61,301.77 ",NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,26/01/2017,8955214," 60,778.00 ",HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,30/01/2017,8959011," 60,675.12 ",SECUREX AGENCIES LTD,Multiple Accounts,,,,,
FCO,FCO,20/01/2017,8947428," 60,639.43 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,26/01/2017,8955189," 60,395.84 ",INTERNATIONAL CENTRE FOR MIGRATION POLICY DEVELOPMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8953970," 60,000.00 ",RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,24/01/2017,8952568," 59,790.34 ",WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,19/01/2017,8946395," 59,545.00 ",BRITISH COUNCIL ALGERIA,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8824492," 59,470.00 ",NORTH HIGHLAND UK LTD,Specialist Contractors,,,,,
FCO,FCO,24/01/2017,8952600," 58,735.54 ",CHARITIES AID FOUNDATION CAF RUSSIA,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8823579," 58,395.35 ",ABDUL HALIM,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,18/01/2017,8944975," 58,070.89 ",INTERNATIONAL ALERT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,17/01/2017,8942899," 57,889.70 ",SHEIKH MOHAMMED BIN KHALID AL NAHYAN,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960248," 57,791.18 ",AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,13/01/2017,8931634," 57,602.00 ",DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8824477," 57,522.66 ",FCO SERVICES,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,24/01/2017,8952518," 57,459.16 ",ELECTRICITY COMPANY OF GHANA,Multiple Accounts,,,,,
FCO,FCO,16/01/2017,8940438," 57,391.58 ",SKA INTERNATIONAL GROUP,Multiple Accounts,,,,,
FCO,FCO,18/01/2017,8944710," 57,250.35 ",AFGHAN CONNECTION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,23/01/2017,8950761," 57,175.68 ",BRITISH COUNCIL,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,03/01/2017,8816426," 56,720.00 ",ZIMBABWE LAWYERS FOR HUMAN RIGHTS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8960366," 56,561.00 ",DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,30/01/2017,8958916," 56,339.42 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8959976," 56,101.34 ",HARIS ENTERPRISES PVT LTD,Local Guards,,,,,
FCO,FCO,26/01/2017,8955228," 55,988.36 ",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8825439," 55,676.96 ",STABILISATION NETWORK,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,24/01/2017,8952597," 55,507.21 ",HOME OFFICE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,26/01/2017,8955350," 55,208.68 ",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,06/01/2017,8852453," 55,125.00 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,11/01/2017,8906616," 54,957.00 ",BAB STRATEJI VE IS GELISTIRME,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8954013," 54,485.14 ",LIONS HEAD GLOBAL PARTNERS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8941852," 54,299.98 ",PRICEWATERHOUSE COOPERS LLP,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,18/01/2017,8945332," 54,138.88 ",THE ROYAL BANK OF SCOTLAND,Multiple Accounts,,,,,
FCO,FCO,12/01/2017,8913456," 26,775.17 ",ACCOMODATION PROVIDER,Rental Payments - residential,,,,,
FCO,FCO,19/01/2017,8946188," 53,724.92 ",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage,,,,,
FCO,FCO,18/01/2017,8944595," 53,087.17 ",MEMO,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,06/01/2017,8849502," 52,673.09 ","CENTRE OF CRIMINAL LEGAL AID, CHINA UNIVERSITY OF POLITICAL SCIENCE AND LAW",Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,27/01/2017,8956247," 52,482.99 ",DEUTSCHER LEVANTE VERLAG GMBH,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947310," 52,425.00 ",CORPORATE TELEVISION NETWORK LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8917619," 31,922.79 ",APIE,Rental Payments - residential,,,,,
FCO,FCO,13/01/2017,8932586," 51,875.08 ",ARTEOS GMBH,Multiple Accounts,,,,,
FCO,FCO,10/01/2017,8884453," 51,830.72 ",CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8814485," 51,391.00 ",FCO SERVICES,Construction Project more than £10k,,,,,
FCO,FCO,12/01/2017,8917908," 50,970.36 ",COMPUTACENTER UK LTD,IT/IS Consultancy,,,,,
FCO,FCO,18/01/2017,8944564," 50,765.06 ",SKA INTERNATIONAL GROUP,Office Support Services,,,,,
FCO,FCO,12/01/2017,8917683," 40,654.29 ",NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential,,,,,
FCO,FCO,19/01/2017,8946257," 50,490.74 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8925453," 42,103.67 ",ACCOMODATION PROVIDER,Rental Payments - residential,,,,,
FCO,FCO,13/01/2017,8929589," 27,459.72 ",TAAM PETROLEUM LTD,Fuel Oil Residential,,,,,
FCO,FCO,31/01/2017,8960470," 50,217.39 ",IPL,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,10/01/2017,8894461," 50,000.00 ",INTERNATIONAL ATOMIC ENERGY AUTHORITY,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,24/01/2017,8952957," 50,000.00 ",REGIONAL SECURITY SYSTEM HEADQUARTERS,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960566," 50,000.00 ",IBRD - INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8942002," 49,933.00 ",NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,26/01/2017,8955248," 49,702.00 ",HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,05/01/2017,8834540," 49,375.97 ",SECRETARIAT OF THE ANTARCTIC TREATY,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,17/01/2017,8943693," 49,189.18 ",INTERSERVE FM LTD,Energy Saving Measures,,,,,
FCO,FCO,13/01/2017,8932110," 27,633.54 ",PACE FUELCARE LIMITED,Fuel Oil Non-Residential,,,,,
FCO,FCO,18/01/2017,8944501," 48,983.59 ",THE GALLERIA INVESTMENTS LLC,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,16/01/2017,8941928," 48,715.35 ",NCA NATIONAL CRIME AGENCY,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,13/01/2017,8932485," 48,537.37 ",BARTON ENGINEERING AND EXPORT,Repairs And Refurbishment: Works Residential,,,,,
FCO,FCO,11/01/2017,8905465," 48,470.30 ",CAPGEMINI UK PLC,IT/IS Consultancy,,,,,
FCO,FCO,26/01/2017,8954937," 48,313.43 ",BEIJING YUANZHONG GENDER DEVELOPMENT CENTER,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,13/01/2017,8931870," 48,301.67 ",INTEGRITY RESEARCH AND CONSULTANCY LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947558," 48,242.16 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,30/01/2017,8959350," 48,164.24 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960199," 48,088.35 ",CAISSE NATIONALE DE SECU SOCIA,Multiple Accounts,,,,,
FCO,FCO,12/01/2017,8917852," 47,791.20 ",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts,,,,,
FCO,FCO,19/01/2017,8946232," 47,744.00 ",COMPUTACENTER UK LTD,IT/IS Consultancy,,,,,
FCO,FCO,26/01/2017,8955071," 47,744.00 ",COMPUTACENTER UK LTD,IT/IS Consultancy,,,,,
FCO,FCO,24/01/2017,8952594," 47,725.88 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8941088," 47,707.94 ",TNT EXPRESS,Specialist Contractors,,,,,
FCO,FCO,03/01/2017,8813452," 47,488.35 ",UNOPS,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,09/01/2017,8866431," 47,035.76 ",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,17/01/2017,8943757," 46,945.20 ",INTERSERVE FM LTD,Construction Project more than £10k,,,,,
FCO,FCO,17/01/2017,8943758," 46,945.20 ",INTERSERVE FM LTD,Construction Project more than £10k,,,,,
FCO,FCO,17/01/2017,8942973," 46,821.35 ",FUND FOR ECONOMIC DEVELOPMENT OF HIGHER EDUCATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,26/01/2017,8954815," 46,741.43 ",G4S SECURITY SERVICES KENYA LTD,Multiple Accounts,,,,,
FCO,FCO,17/01/2017,8943339," 46,230.16 ",AMAG,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,09/01/2017,8867433," 46,075.00 ",MWR INFOSECURITY,IT/IS Consultancy,,,,,
FCO,FCO,18/01/2017,8944825," 46,057.99 ",A T AND T MOBILITY,Multiple Accounts,,,,,
FCO,FCO,27/01/2017,8956001," 46,000.85 ",COLLIERS INTERNATIONAL,Multiple Accounts,,,,,
FCO,FCO,16/01/2017,8940282," 42,304.01 ",ACCOMODATION PROVIDER,Rental Payments - residential,,,,,
FCO,FCO,04/01/2017,8825490," 45,771.00 ",NORWEGIAN REFUGEE COUNCIL SOMALIA,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8941220,"-28,236.75 ",BEEKMAN REGENT CONDO ASSO,Repairs And Refurbishment: Works Residential,,,,,
FCO,FCO,20/01/2017,8947490," 45,559.26 ",FCO SERVICES,IT/IS Consultancy,,,,,
FCO,FCO,17/01/2017,8943728," 45,511.13 ",INTERSERVE FM LTD,Construction Project more than £10k,,,,,
FCO,FCO,23/01/2017,8950792," 45,486.21 ",TOYOTA TSUSHO ASIA PACIFIC PTE LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,16/01/2017,8941469," 279,720.00 ",FCO SERVICES,Security: Works Non-Residential,,,,,
FCO,FCO,03/01/2017,8813434," 45,311.09 ",VODAFONE LTD,Multiple Accounts,,,,,
FCO,FCO,10/01/2017,8895427," 45,247.96 ",EUROPEAN CENTRE FOR MEDIUM,Climate Change Levy,,,,,
FCO,FCO,12/01/2017,8917873," 45,195.39 ",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance,,,,,
FCO,FCO,16/01/2017,8942120," 45,113.37 ",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts,,,,,
FCO,FCO,24/01/2017,8952598," 45,000.00 ",STOOF INTERNATIONAL VERTRIEBSGESELLSCHAFT MBH,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,06/01/2017,8852432," 44,909.42 ",BRIGHT HORIZONS FAMILY SOLUTION LTD,FCO KCS Nursery,,,,,
FCO,FCO,17/01/2017,8943798," 44,863.68 ",INTERSERVE FM LTD,Multiple Accounts,,,,,
FCO,FCO,26/01/2017,8955438," 44,790.92 ",AETNA,Multiple Accounts,,,,,
FCO,FCO,12/01/2017,8917862," 44,742.95 ",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts,,,,,
FCO,FCO,09/01/2017,8863478," 44,654.93 ",SKA INTERNATIONAL GROUP,Catering Services,,,,,
FCO,FCO,12/01/2017,8917879," 44,635.50 ",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts,,,,,
FCO,FCO,23/01/2017,8951029," 44,480.70 ",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8960504," 44,404.62 ",SHPI HOLDINGS LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8824506," 44,030.08 ",CBRE LTD,Proceeds from Assets held for sale,,,,,
FCO,FCO,16/01/2017,8941395," 43,833.80 ",AETNA,Multiple Accounts,,,,,
FCO,FCO,26/01/2017,8955526," 43,557.72 ",VODAFONE LTD,Multiple Accounts,,,,,
