Supplier,Amount,Payment Date
BLUE OCEAN SERVICES LTD,1901.85,28/02/2014
BLUEBIRD CARE ( AYLESBURY & WYCOMBE ),671.72,17/02/2014
BOND DICKINSON LLP,3777.96,21/02/2014
BONNAR KEENLYSIDE,3750,07/02/2014
BOOTS UK LIMITED,756,24/02/2014
BOTTOMLINE TECHNOLOGIES EUROPE LTD,3961.09,18/02/2014
BOTTOMLINE TECHNOLOGIES EUROPE LTD,3533.62,25/02/2014
BOURNE AMENITY LTD,518.92,17/02/2014
BOUYGUES E & S INFRASTRUCTURE LTD,88891.4,13/02/2014
BRIDGE 86,6337.5,28/02/2014
BRIDGE 86,678.04,28/02/2014
BRISTOL CITY COUNCIL,4379,13/02/2014
BRITISH GAS TRADING LIMITED,698.06,11/02/2014
BROADREACH HOUSE,3635.14,20/02/2014
BROMLEY COLLEGE OF FURTHER & HIGHER EDUCATION,76523.33,17/02/2014
BROMLEY MYTIME,8112,05/02/2014
BRYEN & LANGLEY LIMITED,561.6,28/02/2014
BRYEN & LANGLEY LIMITED,510,28/02/2014
BT PLC,3135.42,11/02/2014
BT PLC,560.8,27/02/2014
BT PLC,1737.09,27/02/2014
BT PLC,3726.75,28/02/2014
BUCKS CONSULTANTS LTD,3600,03/02/2014
BUCKS CONSULTANTS LTD,2000,21/02/2014
BUCKS CONSULTANTS LTD,2000,24/02/2014
BUCKS CONSULTANTS LTD,2000,27/02/2014
BUPA CARE (WARREN LODGE NURSING HOME),1899.8,12/02/2014
BUPA CARE SERVICES,3600,25/02/2014
BURNER & BOILER,528.84,20/02/2014
BURNEY STREET PRACTICE,2291.87,26/02/2014
BURNSIDES (MARKETING AIDS) LTD,1692,06/02/2014
BURRAGE LIMITED,1286.44,04/02/2014
BURRAGE LIMITED,512,21/02/2014
BURRAGE LIMITED,614,24/02/2014
C F MOLLER,7623,24/02/2014
C F MOLLER,4800,24/02/2014
C F MOLLER,1183.92,24/02/2014
C.J. UPTON & SONS,937.44,24/02/2014
CADCORP,540,06/02/2014
CALDER INSULATIONS LIMITED (JR FOWLER A/F),1656,03/02/2014
CALDER INSULATIONS LIMITED (JR FOWLER A/F),4320,03/02/2014
CALDER INSULATIONS LIMITED (JR FOWLER A/F),5412,03/02/2014
CALDER INSULATIONS LIMITED (JR FOWLER A/F),1092,03/02/2014
CALDER INSULATIONS LIMITED (JR FOWLER A/F),3804,06/02/2014
CALDER INSULATIONS LIMITED (JR FOWLER A/F),5479.2,24/02/2014
CALFORD SEADEN (HEALTH & SAFETY) LTD,3326.66,03/02/2014
CALFORD SEADEN (HEALTH & SAFETY) LTD,2881.8,03/02/2014
CALFORD SEADEN (HEALTH & SAFETY) LTD,3112.56,06/02/2014
CALFORD SEADEN (HEALTH & SAFETY) LTD,3420,06/02/2014
CALLCREDIT LIMITED,2400,05/02/2014
CANON (UK) LIMITED,16672.82,06/02/2014
CAPITA  BUSINESS SERVICES LTD,660,19/02/2014
CAPITA  RESOURCING LTD,2712,12/02/2014
CAPITA  RESOURCING LTD,4339.2,12/02/2014
CAPITA  RESOURCING LTD,10848,26/02/2014
CAPITA IT SERVICES (BSF) LIMITED,10979.53,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,12294.82,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,10953.82,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,10739.53,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,22603.46,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,1631.7,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,5600.52,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,1367.26,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,2898.7,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,10602.58,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,10924.14,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,12202.26,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,22523.51,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,12308.28,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,12187.81,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,37267.86,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,35147.69,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,3246.86,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,4827.4,14/02/2014
CAPITA IT SERVICES (BSF) LIMITED,1793.93,14/02/2014
CAPITAL ROOFING CO LIMITED,912,21/02/2014
CARASTON HALL LTD,3850.32,05/02/2014
CARE AFLOAT LTD,10599.96,26/02/2014
CARE AFLOAT LTD,650,26/02/2014
CARLTON PROPERTY SERVICES,19499,17/02/2014
CASWELL CONSULTING LTD,4821.03,18/02/2014
CASWELL CONSULTING LTD,2817.25,18/02/2014
CATFORD COURIERS,1334.2,13/02/2014
CATFORD COURIERS,516.12,17/02/2014
CAVENDISH SCHOOL,3477.27,17/02/2014
CCS IT LTD (TRADING UNDER KEYSTONE),5700,21/02/2014
CENTRAL CHEMIST,1304,24/02/2014
CENTRAL ELTHAM YOUTH PROJECT,12500,12/02/2014
CHARING VALE LTD,1761.2,25/02/2014
CHARLTON PARK RFC,900,05/02/2014
CHEQUERS CONTRACT SERVICES LIMITED,1058.95,07/02/2014
CHEQUERS CONTRACT SERVICES LIMITED,1056.55,18/02/2014
CHESTNUT PRODUCTS LTD,5319,21/02/2014
CHESTNUT PRODUCTS LTD,2052,25/02/2014
CHILDRENS RIGHTS ALLIANCE FOR ENGLAND,5650,13/02/2014
CHIVROSE HEALTHCARE LIMITED,1717,25/02/2014
CHRIST CHURCH PRE-SCHOOL,500,12/02/2014
CHUBB FIRE LIMITED,622.2,21/02/2014
CIS STREET FURNITURE LIMITED,1548,05/02/2014
CITY CENTRAL CLEANING AND SUPPORT SERVICES,840.59,28/02/2014
CITY CENTRAL CLEANING AND SUPPORT SERVICES,1089.98,28/02/2014
CITY ELECTRICAL FACTORS LIMITED,769.42,03/02/2014
CITY ELECTRICAL FACTORS LIMITED,615.06,24/02/2014
CITY HEIGHTS(LONDON)LTD P WALKER A-F,10673.51,03/02/2014
CITY HEIGHTS(LONDON)LTD P WALKER A-F,332574.8,19/02/2014
CITY LIT,8333,25/02/2014
CIVIL CEREMONIES LTD,3328.97,04/02/2014
CLYDE & CO LLP,817.8,17/02/2014
CLYDE & CO LLP,1458,19/02/2014
CLYDE & CO LLP,792,19/02/2014
CN SUPPORT LTD,672,03/02/2014
CN SUPPORT LTD,1848,18/02/2014
CN SUPPORT LTD,1134,24/02/2014
CN SUPPORT LTD,1056,27/02/2014
CN SUPPORT LTD,960,27/02/2014
