Asset _Number,Asset_Details,UPRN,Road,Postcode,Town,MAP_EAST,MAP_NORTH,FR/LH,Tenure
73,Cherrywood Road Allotments,,Cherrywood Road,N/A,Farnborough,,,Freehold,Licenced Out
74,Moor Road Playing Fields,,Moor Road,N/A,Farnborough,,,Freehold,Owner Occupied
76,Lancaster Way - Amenity Land,,Lancaster Way,N/A,Farnborough,,,Freehold,Owner Occupied
77,Ship Lane - Cemetery,,Ship Lane,GU14 8BH,Farnborough,,,Freehold,Owner Occupied
78,Ship Lane - Chapel,,Ship Lane,GU14 8BH,Farnborough,,,Freehold,Owner Occupied
79,Ship Lane - P.C.s,,Ship Lane,GU14 8BH,Farnborough,,,Freehold,Owner Occupied
81,154 Ship Lane Lodge Cemetery Lodge,,Ship Lane,GU14 8BJ,Farnborough,,,Freehold,Leased Out
82,Oak Farm Playing Fields - Park,,Tile Barn Close,N/A,Farnborough,,,Freehold,Owner Occupied
83,Cove Football Club,,Squirrel Lane,GU14 8PF,Farnborough,,,Freehold,Leased Out
84,Farnborough Rugby & Football Club,,Tile Barn Close,GU14 8LS,Farnborough,,,Freehold,Leased Out
85,Farnborough Lawn Tennis Club,,Tile Barn Close,GU14 8LS,Farnborough,,,Freehold,Leased Out
86,Rectory Road Recreation Ground - Land,,Rectory Road,N/A,Farnborough,,,Freehold,Owner Occupied
90,Queen Elizabeth Park,,Farnborough Road,N/A,Farnborough,,,Freehold,Owner Occupied
93,Bungalow Southwood Golf Club,,Ively Road,GU14 0LJ,Farnborough,,,Freehold,Leased Out
94,Southwood Golf Course - Depot,,Ively Road,N/A,Farnborough,,,Freehold,Leased Out
97,Farnborough Leisure Centre,,Westmead,GU14 7LD,Farnborough,,,Freehold,Owner Occupied
98,King George V Playing Fields -Land,,Sycamore Road,N/A,Farnborough,,,Freehold,Owner Occupied
99,King George V Playing Fields - Pavillion,,Sycamore Road,N/A,Farnborough,,,Freehold,Owner Occupied
102,Osborne Road Recreation Ground,,Osborne Road,N/A,Farnborough,,,Freehold,Owner Occupied
103,Queens Road Recreation Ground - Land,,Queens Road,N/A,Farnborough,,,Freehold,Owner Occupied
104,Football Pavilion Queens Recreation Ground,,Queens Road,GU14 6JX,Farnborough,,,Freehold,Leased Out
105,Farnborough Weight Lifting Club,,Queens Road,GU14 6JX,Farnborough,,,Freehold,Leased Out
106,Victoria Road Cemetery - Land,,Victoria Road,N/A,Farnborough,,,Freehold,Owner Occupied
107,Victoria Road Cemetery - Chapel (End of Life),,Victoria Road,N/A,Farnborough,,,Freehold,Vacant
108,Prospect Road Allotments,,Prospect Road,N/A,Farnborough,,,Freehold,Licenced Out
109,Fernhill Road Allotments,,Fernhill Road,N/A,Farnborough,,,Freehold,Licenced Out
110,Brookhouse Road Allotments,,Brookhouse Road,N/A,Farnborough,,,Freehold,Licenced Out
111,Park Road Allotments,,Park Road,N/A,Farnborough,,,Freehold,Licenced Out
112,Ratcliffe Road Allotments,,Ratcliffe Road,N/A,Farnborough,,,Freehold,Licenced Out
113,Birchett Road Allotments,,Birchett Road,N/A,Farnborough,,,Freehold,Licenced Out
114,Blunden Road Amenity,,Blunden Road,N/A,Farnborough,,,Freehold,Owner Occupied
115,Blunden Hall,,Blunden Road,N/A,Farnborough,,,Freehold,Licenced Out
116,Hanover Gardens Amenity Land,,Hanover Gardens,N/A,Farnborough,,,Freehold,Owner Occupied
