Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,Income Support Total Claimants,IS Claimants: Male (16-34 years),IS Claimants: Male (35-49 years),IS Claimants: Male (50-59 years),IS Claimants: Male (60+ years),IS Claimants: Female (16-34 years),IS Claimants: Female (35-49 years),IS Claimants: Female (50-59 years),IS Claimants: Female (60+ years),Children in IS Households,Adults in IS Households,IS Claimants in receipt of Disability Premium,IS Claimants in receipt of Pensioners Premium,IS Claimants not in receipt of a pensions or Disability Premium,"IS Claimants, Statistical Groups - Lone Parents","IS Claimants, Statistical Groups - Other",IS Claimants who were part of a couple,IS Claimants who were part of a couple and of pension age,IS Claimants who were part of a couple and of working age,IS Claimants who were single,IS Claimants who were single and of pension age,IS Claimants who were single and of working age
95II14,HILLFOOT,CASTLEREAGH,10,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,10,0,10
95II15,KNOCKBRACKEN,CASTLEREAGH,10,0,0,0,0,10,0,0,0,20,10,0,0,10,10,0,0,0,0,10,0,10
95II16,LISNASHARRAGH,CASTLEREAGH,40,10,10,0,0,20,10,0,0,50,50,10,0,30,20,10,10,0,10,40,0,30
95II17,LOWER BRANIEL,CASTLEREAGH,30,0,10,0,0,10,10,10,0,40,40,10,0,20,10,10,0,0,0,30,0,30
95II18,MINNOWBURN,CASTLEREAGH,60,10,0,0,0,30,10,0,0,90,70,10,0,50,40,10,10,0,10,50,0,50
95II19,MONEYREAGH,CASTLEREAGH,20,0,0,0,0,10,10,0,0,30,20,0,0,20,10,10,0,0,0,20,0,20
95II20,NEWTOWNBREDA,CASTLEREAGH,20,0,0,0,0,10,0,0,0,30,20,0,0,20,10,0,0,0,0,20,0,20
95II21,TULLYCARNET,CASTLEREAGH,120,10,20,10,0,50,20,10,0,150,130,20,0,100,60,40,20,0,10,100,0,100
95II22,UPPER BRANIEL,CASTLEREAGH,40,0,0,0,0,10,10,0,0,50,40,10,0,30,20,10,10,0,0,30,0,30
95II23,WYNCHURCH,CASTLEREAGH,30,0,0,0,0,10,0,0,0,30,30,0,0,20,20,10,0,0,0,30,0,30
95JJ01,AGIVEY,COLERAINE,20,0,0,0,0,0,10,0,0,20,20,10,0,10,10,10,10,0,0,10,0,10
95JJ02,ATLANTIC,COLERAINE,70,0,0,0,0,30,20,10,0,120,70,10,0,60,50,20,0,0,0,60,0,60
95JJ03,BALLYSALLY,COLERAINE,140,10,10,10,0,70,30,10,0,230,160,20,0,120,90,30,20,0,20,120,0,120
95JJ04,CASTLEROCK,COLERAINE,40,10,10,0,0,20,0,0,0,50,50,10,0,30,20,10,10,0,10,30,0,30
95JJ05,CENTRAL (COLERAINE),COLERAINE,40,0,10,10,0,20,10,0,0,30,50,10,0,40,20,20,10,0,10,40,0,40
95JJ06,CHURCHLAND,COLERAINE,80,0,10,0,0,40,20,10,0,110,90,10,0,70,50,30,10,0,10,80,0,70
95JJ07,CROSS GLEBE,COLERAINE,110,0,10,10,0,50,30,10,0,140,120,10,0,100,60,40,10,0,10,90,0,90
95JJ08,DUNDOOAN,COLERAINE,30,0,0,0,0,20,10,0,0,50,40,0,0,30,20,10,0,0,0,30,0,30
95JJ09,DUNLUCE,COLERAINE,10,0,0,0,0,0,0,0,0,10,10,0,0,10,0,10,0,0,0,10,0,10
95JJ10,GARVAGH,COLERAINE,50,10,10,0,0,20,10,0,0,60,60,10,0,40,20,20,10,0,10,40,0,40
95JJ11,HOPEFIELD,COLERAINE,50,0,0,10,0,20,10,10,0,60,60,10,0,50,30,20,0,0,0,50,0,50
95JJ12,KILREA,COLERAINE,50,0,0,0,0,20,20,0,0,80,60,10,0,50,30,20,10,0,10,50,0,50
95JJ13,KNOCKLYNN,COLERAINE,50,0,0,0,0,30,10,0,0,80,50,10,0,40,30,10,0,0,0,50,0,50
95JJ14,MACOSQUIN,COLERAINE,40,0,0,0,0,20,10,0,0,60,50,10,0,40,20,20,10,0,10,30,0,30
95JJ15,MOUNT SANDEL,COLERAINE,30,10,0,0,0,10,0,0,0,40,30,0,0,20,10,10,0,0,0,20,0,20
95JJ16,PORTSTEWART,COLERAINE,40,0,0,0,0,20,10,0,0,50,40,0,0,30,20,10,0,0,0,30,0,30
95JJ17,RINGSEND,COLERAINE,30,0,0,0,0,10,10,10,0,40,40,0,0,30,10,10,10,0,10,20,0,20
95JJ18,ROYAL PORTRUSH,COLERAINE,30,0,0,10,0,10,0,0,0,20,40,0,0,30,10,20,0,0,0,30,0,30
95JJ19,STRAND (COLERAINE),COLERAINE,10,0,0,0,0,10,0,0,0,20,20,0,0,10,10,0,0,0,0,10,0,10
95JJ20,THE CUTS,COLERAINE,70,0,0,0,0,40,20,0,0,100,80,10,0,60,50,10,10,0,10,60,0,60
95JJ21,UNIVERSITY,COLERAINE,60,0,10,10,0,30,10,0,0,70,60,10,0,50,30,20,10,0,10,50,0,50
95JJ22,WATERSIDE,COLERAINE,20,0,0,0,0,10,0,0,0,40,20,0,0,10,10,0,0,0,0,20,0,20
95KK01,ARDBOE,COOKSTOWN,70,0,10,10,0,20,10,10,0,70,100,30,0,40,20,20,30,10,20,40,0,40
95KK02,COAGH,COOKSTOWN,30,0,10,0,0,10,10,0,0,40,30,10,0,20,10,10,10,0,10,20,0,20
95KK03,DUNNAMORE,COOKSTOWN,30,0,0,0,0,10,10,10,0,40,40,10,0,20,10,10,10,0,10,20,0,20
95KK04,GORTALOWRY,COOKSTOWN,50,0,0,0,0,20,20,10,0,70,60,10,0,40,20,20,10,0,10,40,0,40
95KK05,KILLYCOLPY,COOKSTOWN,60,10,10,10,0,10,20,10,0,80,80,30,0,30,20,20,20,0,20,40,0,40
95KK06,KILLYMOON,COOKSTOWN,50,10,0,10,0,20,10,10,0,60,70,10,0,40,30,20,10,0,10,40,0,40
95KK07,LISSAN,COOKSTOWN,20,0,10,0,0,0,0,0,0,20,30,10,0,10,0,10,10,0,10,10,0,10
95KK08,MONEYMORE,COOKSTOWN,50,0,0,0,0,20,20,0,0,80,60,10,0,40,30,10,10,0,10,40,0,40
95KK09,NEWBUILDINGS,COOKSTOWN,40,0,0,0,0,20,10,0,0,60,50,10,0,30,30,10,10,0,10,40,0,40
95KK10,OAKLANDS,COOKSTOWN,20,0,0,0,0,10,10,0,0,30,20,0,0,20,10,10,0,0,0,20,0,20
95KK11,OLDTOWN,COOKSTOWN,70,10,10,0,0,30,20,0,0,90,70,10,0,50,40,20,10,0,10,60,0,60
95KK12,POMEROY,COOKSTOWN,50,10,0,10,0,10,10,10,0,70,70,20,0,40,20,10,10,0,10,40,0,40
95KK13,SANDHOLES,COOKSTOWN,10,0,0,0,0,0,0,0,0,10,20,0,0,10,0,0,10,0,0,10,0,10
95KK14,STEWARTSTOWN,COOKSTOWN,50,0,10,0,0,20,10,0,0,60,50,10,0,30,20,10,10,0,10,40,0,40
95KK15,THE LOOP,COOKSTOWN,50,0,0,10,0,20,10,0,0,70,60,10,0,40,30,10,10,0,10,40,0,30
95KK16,TULLAGH,COOKSTOWN,40,0,0,10,0,10,20,0,0,60,50,10,0,40,20,10,10,0,10,40,0,30
95LL01,AGHAGALLON,CRAIGAVON,60,0,10,10,0,20,10,10,0,60,70,10,0,50,20,30,10,0,10,40,0,40
95LL02,ANNAGH,CRAIGAVON,40,0,0,10,0,20,10,0,0,50,50,10,0,40,20,20,10,0,10,40,0,30
95LL03,BALLYBAY,CRAIGAVON,70,0,10,0,0,40,20,10,0,140,90,10,0,70,50,10,10,0,10,60,0,60
95LL04,BALLYORAN,CRAIGAVON,70,0,10,0,0,30,10,10,0,90,70,10,0,60,30,30,10,0,10,60,0,60
95LL05,BLEARY,CRAIGAVON,30,10,0,0,0,10,10,0,0,40,40,10,0,20,10,10,10,0,10,20,0,20
95LL06,BROWNSTOWN,CRAIGAVON,50,0,0,0,0,20,10,0,0,80,60,10,0,40,30,10,10,0,10,40,0,40
95LL07,CHURCH,CRAIGAVON,80,0,0,0,0,40,10,10,0,120,90,10,0,70,50,20,10,0,10,60,0,60
95LL08,CORCRAIN,CRAIGAVON,130,10,20,10,0,50,30,10,0,160,150,20,0,110,60,50,20,0,20,110,0,110
95LL09,COURT,CRAIGAVON,120,10,10,10,0,40,30,10,0,150,140,30,0,90,50,30,20,10,20,100,0,100
95LL10,DERRYTRASNA,CRAIGAVON,50,0,10,0,0,20,10,10,0,80,60,10,0,40,20,20,10,0,10,40,0,40
95LL11,DONAGHCLONEY,CRAIGAVON,30,0,0,0,0,10,10,0,0,40,30,10,0,20,10,10,10,0,10,20,0,20
95LL12,DRUMGASK,CRAIGAVON,200,10,20,10,0,90,40,20,0,320,230,40,0,160,110,50,40,0,30,160,0,160
95LL13,DRUMGOR,CRAIGAVON,110,10,10,10,0,50,20,10,0,150,130,30,0,80,50,30,20,0,20,90,0,90
95LL14,DRUMNAMOE,CRAIGAVON,100,10,10,10,0,40,20,20,0,130,130,30,0,70,40,30,20,0,20,80,0,80
95LL15,EDENDERRY (CRAIGAVON),CRAIGAVON,30,0,0,0,0,10,10,0,0,30,30,0,0,20,10,10,0,0,0,20,0,20
95LL16,KERNAN,CRAIGAVON,70,0,10,10,0,30,20,10,0,90,90,20,0,50,40,20,20,0,10,60,0,50
95LL17,KILLYCOMAIN,CRAIGAVON,50,0,0,10,0,20,10,0,0,70,60,10,0,40,30,10,10,0,10,40,0,40
95LL18,KNOCKNASHANE,CRAIGAVON,30,0,0,0,0,10,10,0,0,40,30,10,0,20,20,0,10,0,10,20,0,20
95LL19,MAGHERALIN,CRAIGAVON,60,0,0,10,0,20,20,10,0,70,60,10,0,50,40,10,10,0,10,50,0,50
95LL20,MOURNEVIEW,CRAIGAVON,50,0,10,0,0,20,10,0,0,70,70,20,0,40,30,10,20,0,10,40,0,40
95LL21,PARKLAKE,CRAIGAVON,70,10,0,10,0,30,10,0,0,90,80,10,0,50,40,20,10,0,10,60,0,60
95LL22,TAGHNEVAN,CRAIGAVON,120,0,0,10,0,60,20,10,0,160,140,20,0,90,70,30,20,0,20,100,0,90
95LL23,TAVANAGH,CRAIGAVON,50,0,10,10,0,20,10,0,0,70,60,10,0,40,20,20,10,0,10,40,0,40
95LL24,THE BIRCHES,CRAIGAVON,40,10,0,0,0,10,10,0,0,70,50,10,0,40,20,10,10,0,10,40,0,40
95LL25,WARINGSTOWN,CRAIGAVON,30,0,0,0,0,20,10,0,0,40,30,0,0,20,20,0,0,0,0,30,0,20
95LL26,WOODVILLE,CRAIGAVON,90,10,10,10,0,40,20,10,0,110,100,20,0,80,40,30,10,0,10,80,0,80
95MM01,ALTNAGELVIN,DERRY,140,10,10,10,0,60,40,10,0,200,160,20,0,120,80,50,20,0,20,120,0,120
95MM02,BALLYNASHALLOG,DERRY,30,0,0,0,0,10,10,10,0,30,40,10,0,30,20,10,0,0,0,30,0,30
95MM03,BANAGHER,DERRY,60,10,0,10,0,20,10,10,0,80,60,10,0,40,30,20,10,0,10,50,0,50
95MM04,BEECHWOOD,DERRY,70,0,10,10,0,30,10,10,0,80,80,10,0,70,30,30,10,0,10,70,0,60
95MM05,BRANDYWELL,DERRY,140,10,20,20,10,50,30,10,0,170,160,20,0,120,70,50,20,0,10,120,0,120
95MM06,CARN HILL,DERRY,120,0,10,10,0,50,30,20,0,170,130,20,0,100,60,40,10,0,10,110,0,110
95MM07,CAW,DERRY,90,10,10,10,0,50,20,10,0,130,110,10,0,80,50,30,10,0,10,80,0,80
95MM08,CLONDERMOT,DERRY,80,10,10,10,0,30,20,10,0,90,90,10,0,70,30,40,10,0,10,70,0,70
95MM09,CLAUDY,DERRY,60,10,10,10,0,20,10,10,0,70,70,10,0,40,30,20,10,0,10,50,0,50
95MM10,CREGGAN CENTRAL,DERRY,210,10,10,20,0,90,60,20,0,300,240,30,0,180,120,60,20,0,20,190,0,190
95MM11,CREGGAN SOUTH,DERRY,220,10,20,10,0,100,50,20,10,320,250,40,0,180,120,60,30,10,30,190,0,180
95MM12,CREVAGH,DERRY,270,30,30,10,0,120,60,20,10,410,300,40,0,230,150,80,30,0,30,240,10,240
95MM13,CULMORE,DERRY,310,20,20,20,10,130,70,20,10,450,350,50,0,260,170,90,40,10,40,270,10,260
95MM14,EBRINGTON,DERRY,90,10,10,0,0,40,20,10,0,100,100,10,0,80,50,30,10,0,10,80,0,80
95MM15,EGLINTON,DERRY,50,0,10,0,0,20,10,10,0,70,60,10,0,50,30,10,10,0,10,50,0,50
95MM16,ENAGH (DERRY),DERRY,110,10,10,10,0,50,30,10,0,180,140,20,0,90,60,30,20,0,20,90,0,90
95MM17,FOYLE SPRINGS,DERRY,90,10,10,10,0,40,20,10,0,100,100,10,0,80,50,30,10,0,0,80,0,80
95MM18,HOLLY MOUNT,DERRY,90,10,10,10,0,30,20,10,0,100,110,20,0,70,40,40,20,0,10,80,0,70
95MM19,KILFENNAN,DERRY,50,0,10,0,0,30,10,0,0,70,60,10,0,50,30,20,10,0,10,50,0,50
95MM20,LISNAGELVIN,DERRY,90,0,10,10,0,40,20,10,0,130,100,20,0,80,50,20,10,0,10,80,0,80
95MM21,NEW BUILDINGS,DERRY,60,10,0,10,0,20,10,10,0,60,60,10,0,50,20,20,10,0,10,50,0,50
95MM22,PENNYBURN,DERRY,30,0,0,0,0,10,10,0,0,40,30,0,0,30,20,10,0,0,0,30,0,30
95MM23,ROSEMOUNT,DERRY,120,10,10,10,0,50,20,10,0,110,120,10,0,100,60,50,10,0,10,110,0,110
95MM24,SHANTALLOW EAST,DERRY,180,20,20,10,0,80,30,20,0,220,210,30,0,150,80,70,30,0,20,150,0,150
95MM25,SHANTALLOW WEST,DERRY,410,20,30,10,10,210,100,20,10,660,450,60,0,350,260,90,40,10,40,360,10,360
95MM26,SPRINGTOWN,DERRY,90,10,10,0,0,40,30,10,0,150,100,10,0,80,50,20,10,0,10,80,0,80
95MM27,STRAND (DERRY),DERRY,100,20,20,10,0,30,10,10,0,80,110,10,0,90,30,50,10,0,10,100,0,90
95MM28,THE DIAMOND,DERRY,130,20,10,10,0,60,20,10,0,100,150,20,0,110,60,60,10,0,10,120,0,120
95MM29,VICTORIA (DERRY),DERRY,130,10,10,10,0,60,30,10,0,150,140,10,0,120,70,50,10,0,10,120,10,110
95MM30,WESTLAND,DERRY,140,10,20,10,0,60,30,10,0,160,150,20,0,120,70,60,20,0,20,120,0,120
95NN01,ARDGLASS,DOWN,80,10,10,10,0,30,10,0,0,110,90,10,0,70,30,30,20,0,10,60,0,60
95NN02,AUDLEYS ACRE,DOWN,50,0,0,0,0,30,10,0,0,70,50,10,0,40,30,10,10,0,10,40,0,40
95NN03,BALLYMAGLAVE,DOWN,60,0,0,0,0,30,10,0,0,80,60,0,0,50,30,20,10,0,10,50,0,50
95NN04,BALLYMOTE,DOWN,180,20,20,10,0,80,40,10,0,260,210,30,0,140,90,60,30,0,30,150,0,150
95NN05,BALLYNAHINCH EAST,DOWN,60,0,10,0,0,30,20,10,0,90,60,10,0,50,40,20,10,0,10,50,0,50
95NN06,CASTLEWELLAN,DOWN,80,0,10,10,0,30,20,10,0,120,90,20,0,60,40,20,10,0,10,70,0,60
95NN07,CATHEDRAL,DOWN,140,20,10,20,0,60,30,10,10,200,160,20,0,120,70,50,20,0,20,110,10,110
95NN08,CROSSGAR,DOWN,40,0,0,0,0,10,10,10,0,40,40,10,0,30,20,10,10,0,10,30,0,30
95NN09,DERRYBOY,DOWN,20,0,10,0,0,10,0,0,0,30,20,0,0,20,10,10,0,0,0,20,0,20
95NN10,DONARD,DOWN,30,0,0,0,0,10,10,0,0,30,30,10,0,20,10,10,0,0,0,30,0,30
95NN11,DRUMANESS,DOWN,60,0,10,10,0,20,10,10,0,80,70,20,0,40,30,10,20,0,10,40,0,40
95NN12,DUNDRUM,DOWN,50,0,10,0,0,20,10,0,0,70,60,10,0,40,30,10,10,0,10,40,0,40
95NN13,DUNMORE,DOWN,30,0,0,0,0,20,10,0,0,50,40,0,0,30,20,10,0,0,0,30,0,30
95NN14,KILLOUGH,DOWN,80,10,20,10,0,20,10,10,0,70,90,20,0,60,30,30,20,0,10,60,0,60
95NN15,KILLYLEAGH,DOWN,80,10,10,10,0,30,10,10,0,90,90,10,0,70,40,30,10,0,10,70,0,70
95NN16,KILMORE,DOWN,20,0,0,0,0,10,0,0,0,20,20,0,0,20,10,10,0,0,0,20,0,20
95NN17,MURLOUGH,DOWN,100,10,10,0,0,50,30,10,0,170,110,20,0,80,60,20,10,0,10,90,0,90
95NN18,QUOILE,DOWN,60,10,0,10,0,20,20,0,0,90,70,10,0,50,30,20,10,0,10,50,0,50
95NN19,SAINTFIELD,DOWN,30,0,0,0,0,10,10,0,0,40,40,10,0,30,20,10,10,0,10,30,0,30
95NN20,SEAFORDE,DOWN,40,0,10,0,0,10,10,0,0,40,50,10,0,20,10,10,10,0,10,20,0,20
95NN21,SHIMNA,DOWN,60,0,10,0,0,20,20,0,0,70,60,10,0,50,30,20,10,0,10,50,0,50
95NN22,STRANGFORD,DOWN,30,0,10,0,0,10,10,10,0,40,40,10,0,20,10,20,10,0,10,20,0,20
95NN23,TOLLYMORE,DOWN,50,10,0,0,0,20,10,10,0,60,60,10,0,40,20,10,10,0,10,40,0,40
95OO01,ALTMORE,DUNGANNON,50,0,10,0,0,10,20,10,0,70,60,20,0,30,10,20,20,0,20,30,0,30
95OO02,AUGHER,DUNGANNON,10,0,0,0,0,0,0,0,0,20,10,0,0,10,10,10,0,0,0,10,0,10
95OO03,AUGHNACLOY,DUNGANNON,40,0,0,0,0,20,10,0,0,60,50,10,0,30,20,10,10,0,10,30,0,30
95OO04,BALLYGAWLEY,DUNGANNON,40,0,10,10,0,10,20,0,0,70,50,10,0,30,20,10,10,0,10,40,0,40
95OO05,BALLYSAGGART,DUNGANNON,100,10,10,10,0,40,30,10,0,180,110,20,0,80,60,20,10,0,10,90,0,90
95OO06,BENBURB,DUNGANNON,30,0,0,10,0,10,10,0,0,30,40,10,0,20,10,10,10,0,10,20,0,20
95OO07,CALEDON,DUNGANNON,30,0,0,0,0,10,10,0,0,40,30,10,0,20,10,0,10,0,10,20,0,20
95OO08,CASTLECAULFIELD,DUNGANNON,30,0,0,0,0,10,10,0,0,20,30,10,0,20,10,10,0,0,0,20,0,20
95OO09,CLOGHER,DUNGANNON,10,0,0,0,0,0,10,0,0,10,20,0,0,10,10,10,0,0,0,10,0,10
95OO10,COALISLAND NORTH,DUNGANNON,90,10,10,20,0,30,20,10,0,130,120,40,0,50,30,20,20,0,20,70,0,70
95OO11,COALISLAND SOUTH,DUNGANNON,110,10,10,10,0,40,30,10,0,150,130,30,0,70,50,30,20,0,20,90,0,90
95OO12,COALISLAND WEST AND NEWMILLS,DUNGANNON,120,10,10,10,0,40,40,10,0,190,130,60,0,60,40,20,20,0,20,100,0,100
95OO13,COOLHILL,DUNGANNON,30,0,0,0,0,20,10,0,0,40,30,10,0,20,10,10,0,0,0,30,0,20
95OO14,DONAGHMORE (DUNGANNON),DUNGANNON,40,0,10,0,0,10,10,10,0,40,50,20,0,20,10,10,10,0,10,20,0,20
95OO15,DRUMGLASS,DUNGANNON,70,10,10,10,0,30,20,0,0,90,80,20,0,50,30,20,10,0,10,60,0,60
95OO16,FIVEMILETOWN,DUNGANNON,30,0,0,0,0,10,10,0,0,50,30,10,0,20,20,10,10,0,10,20,0,20
95OO17,KILLYMAN,DUNGANNON,30,0,0,0,0,10,10,0,0,30,30,0,0,20,10,10,0,0,0,20,0,20
95OO18,KILLYMEAL,DUNGANNON,30,0,0,0,0,10,10,0,0,50,40,10,0,30,20,10,10,0,10,30,0,30
95OO19,MOY,DUNGANNON,30,0,0,0,0,10,10,0,0,50,30,10,0,20,20,10,10,0,10,20,0,20
95OO20,MOYGASHEL,DUNGANNON,30,0,0,0,0,20,10,0,0,50,40,10,0,30,20,10,10,0,10,30,0,30
95OO21,MULLAGHMORE,DUNGANNON,40,10,10,10,0,10,10,10,0,40,50,10,0,30,20,20,10,0,10,40,0,30
95OO22,WASHING BAY,DUNGANNON,60,0,10,10,10,20,20,0,0,70,80,20,0,40,20,20,20,0,20,30,0,30
95PP01,BALLINAMALLARD,FERMANAGH,20,0,0,0,0,10,10,0,0,50,30,10,0,20,10,0,10,0,10,20,0,20
95PP02,BELCOO AND GARRISON,FERMANAGH,20,0,0,0,0,10,0,0,0,10,30,0,0,20,10,10,10,0,10,20,0,20
95PP03,BELLEEK AND BOA,FERMANAGH,50,10,10,0,0,20,10,10,0,80,60,10,0,40,20,10,10,0,10,40,0,40
95PP04,BOHO CLEENISH AND LETTERBREEN,FERMANAGH,30,0,0,0,0,20,10,0,0,50,40,0,0,30,20,10,10,0,0,30,0,30
95PP05,BROOKEBOROUGH,FERMANAGH,30,0,0,0,0,10,10,0,0,30,40,10,0,20,10,10,10,0,10,20,0,20
95PP06,CASTLECOOLE,FERMANAGH,80,0,10,0,0,40,20,10,0,130,90,20,0,60,50,10,10,0,10,70,0,70
95PP07,DERRYGONNELLY,FERMANAGH,40,0,10,0,0,10,10,10,0,60,50,10,0,30,20,20,10,0,10,30,0,30
95PP08,DERRYLIN,FERMANAGH,20,0,0,0,0,10,10,0,0,20,20,10,0,10,10,0,0,0,0,20,0,10
95PP09,DEVENISH,FERMANAGH,60,0,10,10,0,20,10,10,0,90,60,10,0,40,30,20,10,0,10,50,0,50
95PP10,DONAGH,FERMANAGH,20,0,0,0,0,10,10,0,0,30,30,10,0,20,10,10,10,0,10,20,0,20
95PP11,ERNE,FERMANAGH,70,10,10,10,0,20,20,10,0,90,80,20,0,60,30,30,10,0,10,60,0,60
95PP12,FLORENCECOURT AND KINAWLEY,FERMANAGH,20,0,0,0,0,10,10,0,0,30,20,10,0,20,10,10,0,0,0,20,0,20
95PP13,IRVINESTOWN,FERMANAGH,60,10,10,10,0,20,20,0,0,70,70,20,0,40,20,10,10,0,10,40,0,40
95PP14,KESH EDERNEY AND LACK,FERMANAGH,50,0,0,10,0,20,10,0,0,70,60,10,0,40,20,10,10,0,10,40,0,30
95PP15,LISBELLAW,FERMANAGH,20,0,0,0,0,10,10,0,0,30,30,10,0,20,10,10,10,0,10,20,0,20
95PP16,LISNARRICK,FERMANAGH,10,0,0,0,0,10,0,0,0,10,10,0,0,10,0,10,0,0,0,10,0,10
95PP17,LISNASKEA,FERMANAGH,60,10,0,10,0,20,10,0,0,70,60,10,0,50,30,20,10,0,0,50,0,50
95PP18,MAGUIRESBRIDGE,FERMANAGH,30,0,10,0,0,10,10,0,0,50,40,10,0,30,20,10,10,0,10,30,0,30
95PP19,NEWTOWNBUTLER,FERMANAGH,50,0,10,0,0,20,20,10,0,70,70,10,0,40,20,20,20,0,10,40,0,40
95PP20,PORTORA,FERMANAGH,60,0,0,0,0,30,10,10,0,80,70,20,0,50,30,20,10,0,10,50,0,50
95PP21,ROSSLEA,FERMANAGH,30,0,0,0,0,10,10,10,0,40,40,0,0,30,20,10,10,0,10,30,0,30
95PP22,ROSSORRY,FERMANAGH,40,0,0,0,0,10,20,0,0,60,50,10,0,30,20,10,10,0,10,30,0,30
95PP23,TEMPO,FERMANAGH,30,0,0,0,0,20,0,0,0,40,40,10,0,20,20,10,10,0,10,30,0,30
95QQ01,ANTIVILLE,LARNE,50,10,0,0,0,30,10,0,0,90,60,10,0,50,30,10,10,0,0,50,0,50
95QQ02,BALLYCARRY,LARNE,20,0,0,0,0,10,0,0,0,20,30,10,0,10,10,10,10,0,10,20,0,20
95QQ03,BALLYLORAN,LARNE,40,0,0,0,0,20,10,0,0,70,50,10,0,40,30,10,10,0,10,40,0,40
95QQ04,BLACKCAVE,LARNE,50,10,0,0,0,10,10,10,0,70,50,0,0,40,30,20,10,0,10,40,0,40
95QQ05,CARNCASTLE,LARNE,10,0,0,0,0,10,0,0,0,20,10,0,0,10,10,0,0,0,0,10,0,10
95QQ06,CARNLOUGH,LARNE,50,0,0,10,0,20,10,0,0,60,50,0,0,40,30,20,10,0,10,40,0,40
95QQ07,CENTRAL (LARNE),LARNE,40,10,0,0,0,10,10,0,0,30,40,10,0,30,10,20,10,0,0,30,0,30
95QQ08,CRAIGY HILL,LARNE,50,0,0,10,0,20,10,0,0,60,50,0,0,40,30,10,0,0,0,40,0,40
95QQ09,GARDENMORE,LARNE,30,0,0,0,0,10,10,0,0,30,30,0,0,30,20,10,0,0,0,30,0,30
95QQ10,GLENARM,LARNE,20,0,0,0,0,10,10,0,0,20,30,10,0,20,10,10,0,0,0,20,0,20
95QQ11,GLYNN,LARNE,20,0,0,0,0,10,10,0,0,20,20,0,0,10,10,0,0,0,0,10,0,10
95QQ12,HARBOUR (LARNE),LARNE,40,0,10,0,0,10,10,0,0,50,40,10,0,30,20,10,10,0,0,30,0,30
95QQ13,ISLAND MAGEE,LARNE,30,0,0,0,0,10,0,0,0,30,30,10,0,20,10,10,10,0,10,20,0,20
95QQ14,KILWAUGHTER,LARNE,80,0,0,0,0,50,20,0,0,120,80,10,0,70,50,20,0,0,0,70,0,70
95QQ15,TOWN PARKS,LARNE,30,0,0,0,0,10,10,0,0,40,30,0,0,30,20,10,0,0,0,30,0,30
95RR01,AGHANLOO,LIMAVADY,90,10,10,10,0,40,20,10,0,110,100,10,0,70,40,30,20,0,10,70,0,70
95RR02,BALLYKELLY,LIMAVADY,40,0,0,0,0,20,10,0,0,50,50,10,0,40,20,20,0,0,0,40,0,40
95RR03,COOLESSAN,LIMAVADY,70,10,10,0,0,30,20,0,0,100,80,10,0,60,40,20,10,0,10,60,0,60
95RR04,DUNGIVEN,LIMAVADY,70,0,10,10,0,20,10,10,0,80,80,10,0,60,30,30,10,0,10,60,0,50
95RR05,ENAGH (LIMAVADY),LIMAVADY,80,10,10,0,0,40,20,10,0,110,90,20,0,60,40,20,10,0,10,70,0,60
95RR06,FEENY,LIMAVADY,40,0,0,0,0,10,10,10,0,40,50,0,0,30,20,20,10,0,10,30,0,30
95RR07,FOREST,LIMAVADY,40,0,0,0,0,20,10,0,0,50,50,10,0,30,20,10,10,0,10,30,0,30
95RR08,GLACK,LIMAVADY,30,0,10,0,0,20,10,0,0,40,40,10,0,20,20,10,0,0,0,30,0,30
95RR09,GRESTEEL,LIMAVADY,90,10,10,0,0,30,20,20,0,100,100,20,0,70,40,30,10,0,10,80,0,70
95RR10,GREYSTONE (LIMAVADY),LIMAVADY,70,10,0,10,0,40,20,0,0,100,80,10,0,60,40,20,10,0,0,70,0,70
95RR11,MAGILLIGAN,LIMAVADY,20,0,0,0,0,10,0,0,0,20,20,0,0,10,10,10,0,0,0,10,0,10
95RR12,RATHBRADY,LIMAVADY,30,0,0,0,0,10,10,0,0,30,40,10,0,20,10,10,10,0,10,20,0,20
95RR13,ROESIDE,LIMAVADY,30,10,0,0,0,10,10,0,0,40,40,10,0,30,10,10,0,0,0,30,0,30
95RR14,THE HIGHLANDS,LIMAVADY,50,0,10,10,0,20,0,10,0,50,60,10,0,40,20,20,10,0,10,30,0,30
95RR15,UPPER GLENSHANE,LIMAVADY,60,0,0,0,0,20,20,10,0,80,70,10,0,50,30,20,10,0,10,50,0,50
95SS01,BALLINDERRY,LISBURN,20,0,0,0,0,10,0,0,0,30,30,10,0,10,10,0,10,0,10,10,0,10
95SS02,BALLYMACASH,LISBURN,50,0,0,0,0,30,10,0,0,80,50,10,0,40,40,10,0,0,0,50,0,50
95SS03,BALLYMACBRENNAN,LISBURN,10,0,0,0,0,0,0,0,0,10,10,0,0,10,0,10,0,0,0,10,0,10
95SS04,BALLYMACOSS,LISBURN,160,10,10,10,0,80,40,10,0,250,180,20,0,130,100,40,20,0,20,140,0,140
95SS05,BLARIS,LISBURN,30,0,10,0,0,10,10,0,0,50,30,10,0,30,20,10,0,0,0,30,0,30
