Sum of HCA cash spend 2009-10,Programme,,,,,,,,,,,,,,,,,,
Local Authority Area,Community Infrastructure Fund,Decent Homes (Gap Funding),Decent Homes (SHEP),Eco Towns,Growth Fund,Gypsy and Traveller Sites,Housing Market Renewal (ex CLG),Kickstart,LA NewBuild,Low Carbon Infrastructure,Mix of NAHP and Kickstart money,Places of Change,Property and Regeneration,Public Land Initiative,Skills and Knowledge,Social Housing Energy Saving Programme,Standard NAHP money,Thames Gateway,Grand Total
Torbay,,,,,"2,314,361",,,0,,,,"678,500","36,000",,,,"8,148,680",,"11,177,541"
Torridge,,,,,,"839,051",,,,,,,,,,,"8,475,905",,"9,314,956"
Tower Hamlets,,"7,142,922",,,,,,"6,844,674",,,,,"1,518,062",,,,"218,457,258","6,303","233,969,219"
Trafford,,,,,,,,"255,250",,,,,"332,703",,,,"6,246,618",,"6,834,571"
Tunbridge Wells,,,,,,,,"4,382,198",,,,,"2,500",,,,"5,599,066",,"9,983,764"
Uttlesford,,,,,,,,,,,,,,,,,"4,171,187",,"4,171,187"
Vale of White Horse,,,,,,,,,,,,,,,,,"9,116,481",,"9,116,481"
Wakefield,,,,,,,,"3,435,489",,,,,"7,561,279",,,,"14,108,545",,"25,105,313"
Walsall,,,,,,,,"8,305,875",,,,,"273,400",,,,"10,914,064",,"19,493,339"
Waltham Forest,,,,,"2,850,950",,,,,,,,"123,010",,,,"29,566,563",,"32,540,523"
Wandsworth,,,,,,,,,,,,,"-1,064,543",,,,"16,798,503",,"15,733,960"
Warrington,,,,,"1,737,545",,,"8,791,715","975,000",,,,"2,583,098",734,,,"7,154,890",,"21,242,982"
Warwick,,,,,,,,,,,,,"9,325",,,,"2,776,659",,"2,785,984"
Watford,,,,,,,,,,,,,,,,,"11,520,396",,"11,520,396"
Waveney,,,,,,,,"164,325",,,,,,,,,"4,242,068",,"4,406,393"
Waverley,,,,,,,,,,,,,"197,437",,,,"1,747,977",,"1,945,414"
Wealden,,,,,,,,"908,550",,,,,,,,,"8,372,006",,"9,280,556"
Wellingborough,,,,,,,,,,,,,,,,,"5,505,379",,"5,505,379"
Welwyn Hatfield,,,,,"1,651,385",,,,,,,,"343,294",,,,"80,343",,"2,075,022"
West Berkshire,,,,,,,,,,,,,,,,,"7,492,419",,"7,492,419"
West Devon,,,,,,,,"832,125",,,,,"46,925",,,,"6,420,086",,"7,299,136"
West Dorset,,,,,,,,,,,,"100,000","23,278",,,,"6,243,001",,"6,366,279"
West Lancashire,,,,,,,,,,,,,"43,356",,,,"741,552",,"784,908"
West Lindsey,,,,,"717,874",,,"2,548,950",,,,,,,,,"3,361,787",,"6,628,611"
West Oxfordshire,,,,,,,,,,,,,,,,,"7,971,360",,"7,971,360"
West Somerset,,,,,,,,,,,,,,,,,"1,482,957",,"1,482,957"
Westminster,,,,,,,,,,,,"252,894","24,034",,,,"30,062,015",,"30,338,943"
Weymouth and Portland,,,,,,,,,,,,,,,,,"5,021,622",,"5,021,622"
Wigan,,,,,,,,,"682,500",,,,"5,898,977",,,,"4,859,723",,"11,441,200"
Wiltshire,,,,,,,,"2,283,150","1,509,979",,,,,,,,"24,058,699",,"27,851,828"
Winchester,,,,,,,,,,,,,"68,525",,,,"7,386,481",,"7,455,006"
Windsor & Maidenhead,,,,,,,,,,,,,,,,,"6,085,182",,"6,085,182"
Wirral,,,,,,,,"793,852",,,,"20,000","54,158",,,,"6,800,689",,"7,668,699"
Woking,,,,,,,,,,,,,,,,,"2,330,602",,"2,330,602"
Wokingham,,,,,,,,,,,,,,,,,"7,315,610",,"7,315,610"
Wolverhampton,,,,,,,,"2,411,489",,,,,,,,,"7,261,735",,"9,673,224"
Worcester,"305,933",,,,"2,313,378",,,,,,,,,,,,"5,589,434",,"8,208,744"
Worthing,,,,,,,,,,,,,,,,,"1,852,907",,"1,852,907"
Wychavon,,,,,,,,,,,,,,,,,"4,275,655",,"4,275,655"
Wycombe,,,,,,,,"905,618",,,,,"-403,853",,,,"6,382,346",,"6,884,111"
Wyre,,,,,,,,"450,000",,,,,,,,,"3,617,225",,"4,067,225"
Wyre Forest,,,,,,,,,,,,,"124,366",,,,"1,532,521",,"1,656,887"
York,,,,,,,,,,,,,,,,,"3,324,948",,"3,324,948"
Region Wide (E),,,,,,,,,,,,,"4,785",,,,,,"4,785"
Region Wide (EM),,,,,,,,,,,,,"55,132",,,,,,"55,132"
Region Wide (Lon),,,,,,,,,,,,,"350,173",,,"1,167,052",,,"1,517,225"
Region Wide (NE),,,,,,,,,,,,,"66,904",,,"144,305",,,"211,209"
Region Wide (SE),"8,435,564",,,,,,,,,,,,"47,634",,,,,,"8,483,198"
Region Wide (SW),,,,,,,,,,,,,"75,457",,,,,,"75,457"
Region Wide (WM),,,,,,,,,,,,,"80,758",,,,,,"80,758"
Region Wide (YH),,,,,,,,,,,,,"59,137",,,"49,238",,,"108,375"
National (E),,,,,,,,,,,,,"66,410",,,,,,"66,410"
National (Lon),,,,,,,,,,,,,"664,303",,,,,,"664,303"
National (NE),,,,,,,,,,,,,"15,515",,,,,,"15,515"
National (NW),,,,,,,,,,,,,"97,887",,,,,,"97,887"
National (SE),,,,,,,,,,,,,"184,827",,,,,,"184,827"
National (WM),,,,,,,,,,,,,"168,284",,,,,,"168,284"
National TG,,,,,,,,,,,,,"10,800",,,,,,"10,800"
National,"8,927,779","-2,647,520","884,025","343,124","303,505","57,988","698,750","5,959,524","152,811","194,318",,"527,000","14,776,452","750,126","5,546,054",,"-3,193,916","2,177,043","35,457,063"
Grand Total,"37,882,359","137,142,054","884,025","29,206,862","295,305,550","1,719,382","364,622,352","305,835,516","97,052,830","20,933,992","6,228,871","23,954,710","415,051,078","750,859","5,546,054","3,248,732","3,633,058,732","54,680,103","5,433,104,061"

A number of programmes can be disaggregated to local level – these are either shown at national or regional levels. Programme splits at regional level are reported in two ways – either regional spend which cannot be disaggregated to local level (shows as region wide) or national spend which cannot be disaggregated below regional level (shown as National (region)). In future the HCA would look to report this as an aggregate amount of expenditure that cannot be disaggregated to the local level.,,,,,,,,,,,,,,,,,,,
