OrganisationLabel,OrganisationURI,AccountName1,AccountName2,BAReference,PropertyAddress1,PropertyAddress2,PropertyAddress3,PropertyAddress4,PropertyAddress5,PropertyAddress6,PropertyPostcode,RateableValue,BillFrom,BillTo,BillCredit,AccountCredit,AccountAddress1,AccountAddress2,AccountAddress3,AccountAddress4,AccountPostcode
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN INDUSTRIAL PARKS LTD,PTNERSHIP,0006851A0002D4,,,2D THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,8000,22/01/2016,10/03/2016,-230.82,-734.43,C/O ALDER KING,PEMBROKE HOUSE,15 PEMBROKE ROAD,BRISTOL,BS8 3BA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN INDUSTRIAL PARKS LTD,PTNERSHIP,0006851A0002B5,,,2B THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,15000,22/01/2016,10/03/2016,-432.79,-432.79,C/O ALDER KING,PEMBROKE HOUSE,15 PEMBROKE ROAD,BRISTOL,BS8 3BA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN INDUSTRIAL PARKS LTD,,0006851A0010J6,,,10C THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,7900,22/01/2016,10/03/2016,-227.94,-227.94,C/O ALDER KING,PEMBROKE HOUSE,15 PEMBROKE ROAD,BRISTOL,BS8 3BA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN UK IND PROPERTY IV LP,,0006851A0010J6,,,10C THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,7900,01/04/2016,18/06/2016,-705.25,-705.25,C/O DPAM,"5TH FLOOR,CHARLOTTE HOUSE",2 SOUTH CHARLOTTE STREET,EDINBURGH,EH2 4AW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN UK IND PROPERTY IV LP,,0006851A0002D4,,,2D THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,8000,01/04/2016,18/06/2016,-714.33,-714.33,C/O DPAM,"5TH FLOOR,CHARLOTTE HOUSE",2 SOUTH CHARLOTTE STREET,EDINBURGH,EH2 4AW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN UK IND PROPERTY IV LP,,0006851A0010H5,,,10B THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,15250,26/05/2016,01/11/2016,-1627.52,-1627.52,C/O DPAM,"5TH FLOOR,CHARLOTTE HOUSE",2 SOUTH CHARLOTTE STREET,EDINBURGH,EH2 4AW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN UK IND PROPERTY IV LP,,0006851A0010DA,,,10D THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,8200,26/05/2016,29/11/2016,-561.35,-561.35,C/O DPAM,"5TH FLOOR,CHARLOTTE HOUSE",2 SOUTH CHARLOTTE STREET,EDINBURGH,EH2 4AW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN UK IND PROPERTY IV LTD,,0006851A0002D4,,,2D THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,8000,12/05/2015,28/08/2015,-8.30,-8.30,C/O ALDER KING,PEMBROKE HOUSE,15 PEMBROKE ROAD,BRISTOL,BS8 3BA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,E F MACKIE MEMORIALS,,00014060058105,,,581 BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 0HD,3300,01/04/2011,01/04/2012,-175.45,-175.45,581 BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 0HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EDISONS PROPERTY MANAGEMENT,,000140600790B7,,,"UNIT 4 AT 790, BOROUGH ROAD",BIRKENHEAD,MERSEYSIDE,,CH42 9JG,24750,01/05/2012,05/08/2012,-2709.66,-2709.66,27-31 CHARING CROSS ROAD,LONDON,,,WC2H 0AU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EDWARD ANTHONY LTD,,0002804B007205,,,72 APPIN ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 9HH,5100,01/06/2011,01/04/2012,-48.63,-48.63,UNIT 5  HANSON CLOSE IND ESTATE,MIDDLETON,MANCHESTER,,M24 2HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EE LTD,,0006261000175A,,,ORANGE (MER 175) AT POULTON HALL,POULTON ROAD,WIRRAL,,CH63 9LN,6000,01/04/2010,01/04/2011,-248.40,-1029.57,C/O GVA (BUSINESS RATES TM),PO BOX 16097,3 BRINDLEY PLACE,BIRMINGHAM,B2 2UY
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EE LTD,,0006261000175A,,,ORANGE (MER 175) AT POULTON HALL,POULTON ROAD,WIRRAL,,CH63 9LN,6000,01/04/2011,01/04/2012,-259.80,-1029.57,C/O GVA (BUSINESS RATES TM),PO BOX 16097,3 BRINDLEY PLACE,BIRMINGHAM,B2 2UY
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EE LTD,,0006261000175A,,,ORANGE (MER 175) AT POULTON HALL,POULTON ROAD,WIRRAL,,CH63 9LN,6000,01/04/2012,01/04/2013,-270.00,-1029.57,C/O GVA (BUSINESS RATES TM),PO BOX 16097,3 BRINDLEY PLACE,BIRMINGHAM,B2 2UY
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EE LTD,,0006261000175A,,,ORANGE (MER 175) AT POULTON HALL,POULTON ROAD,WIRRAL,,CH63 9LN,6000,01/04/2013,26/02/2014,-251.37,-1029.57,C/O GVA (BUSINESS RATES TM),PO BOX 16097,3 BRINDLEY PLACE,BIRMINGHAM,B2 2UY
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,"ELITE FITNESS CONSULTANTS LTD,",,00074070009207,,,92 BANKS ROAD,WEST KIRBY,WIRRAL,,CH48 0RE,9600,01/04/2015,01/04/2016,-446.08,-167.08,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EQUIOM CORPORATION LTD,,000833000206C1,,,HELP THE AGED,TELEGRAPH ROAD,WIRRAL,,CH60 0AQ,15750,01/04/2016,08/07/2016,-1508.30,-1508.30,C/O LEGAT OWEN,ALBION HOUSE,ALBION STREET,CHESTER,CH1 1RQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ES DIGITAL LTD,,000617300001CB,,,UNIT 3 - BRIDGWOOD SUITE,"1, THURSBY ROAD",WIRRAL,MERSEYSIDE,CH62 3PW,1000,01/09/2013,01/10/2013,-122.37,-122.37,C/O PORTAL BUSINESS CENTRES LTD,DALLAM COURT,DALLAM LANE,WARRINGTON,WA2 7LT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EUROFINS LABORATORIES LTD,,0003718A010406,,,UNIT 104 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,6100,01/04/2011,13/07/2011,-24.37,-32.97,PURCHASE LEDGER DEPT,WOODTHORNE WEGGS ROAD,WOLVERHAMPTON,WEST MIDLANDS,WV6 8TQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EUROFINS LABORATORIES LTD,,0003718A010406,,,UNIT 104 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,6100,01/04/2010,01/04/2011,-8.60,-32.97,PURCHASE LEDGER DEPT,WOODTHORNE WEGGS ROAD,WOLVERHAMPTON,WEST MIDLANDS,WV6 8TQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EUROTECHNOLOGIES LTD,,000787700216G1,,,UNIT 9 AT 216 GREASBY ROAD,GREASBY,WIRRAL,,CH49 2PN,1050,01/04/2011,01/04/2012,-111.83,-111.83,UNIT 9 AT 216 GREASBY ROAD,GREASBY,WIRRAL,MERSEYSIDE,CH49 2PN
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EVENFLOW PROPERTIES LTD,,000183800449A1,,,UNIT 2D ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB,7100,01/04/2013,10/02/2014,-82.39,-82.39,SUITE 3 CAPITAL HOUSE,SPEKE HALL ROAD,LIVERPOOL,,L24 9GB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EVOKE CREATIVE LTD,,0006032A000601,,,6 APEX COURT,WIRRAL,MERSEYSIDE,,CH62 3RE,17500,01/04/2012,16/04/2012,-3074.25,-6220.22,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EVOKE CREATIVE LTD,,0006032A000601,,,6 APEX COURT,WIRRAL,MERSEYSIDE,,CH62 3RE,17500,16/04/2013,16/04/2013,-3145.97,-6220.22,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,FBK LEISURE & HOSPITALITY LTD,FRANKLYNS BAR & KITCHEN,00082620016206,,,162-164,TELEGRAPH ROAD,HESWALL,WIRRAL,CH60 0AH,29250,01/04/2015,01/04/2016,-1847.00,-959.75,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,FIRST PROPERTY GENERAL PARTNER,(NOMINEE 14) LTD,000120200012A1,,,"UNITS 12, 14 & 15",VALLEY ROAD INDUSTRIAL ESTATE,VALLEY ROAD,"BIRKENHEAD, MERSEYSIDE",CH41 7EL,43000,27/12/2015,08/02/2016,-260.80,-260.80,32 ST JAMES STREET,LONDON,,,SW1A 1HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,FORGE ENGINEERING LTD,,0005436E0001DB,,,FORGE ENGINEERING,TARRAN WAY SOUTH,WIRRAL,MERSEYSIDE,CH46 4TP,23500,01/04/2014,10/07/2014,-2.32,-2.32,TARRAN WAY SOUTH,WIRRAL,MERSEYSIDE,,CH46 4TP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,FORGE ENGINEERING LTD,,0005436E0001L7,,,UNIT 2 AT FORGE ENGINEERING,TARRAN WAY SOUTH,WIRRAL,MERSEYSIDE,CH46 4TU,7900,01/04/2016,16/05/2016,-0.01,-0.01,C/O OFFICIAL RECEIVER,2ND FLOOR ROSEBRAE COURT,WOODSIDE FERRY APPROACH,BIRKENHEAD,CH41 6DU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GAME STORES GROUP LTD,IN ADMINISTRATION,00027200003507,,,35-37 MILTON PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YA,71500,01/04/2011,27/03/2012,-1391.28,-1391.28,C/O STUART D MADDISON,9 GREYFRIARS ROAD,READING,BERKS,RG1 1JG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GBB ESTATES LTD,C/O SMITH NICHOLAS (PROPERTY,000533100015F4,,,"PT GND FLR, ASHTON HOUSE",15 CHADWICK STREET,WIRRAL,MERSEYSIDE,CH46 7TE,5600,06/09/2016,21/10/2016,-270.38,-884.38,2 FRIARSGATE,GROSVENOR STREET,CHESTER,,CH1 1XG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GBB ESTATES LTD,C/O SMITH NICHOLAS (PROPERTY,000533100015F4,,,"PT GND FLR, ASHTON HOUSE",15 CHADWICK STREET,WIRRAL,MERSEYSIDE,CH46 7TE,5600,21/10/2016,01/04/2017,-614.00,-884.38,2 FRIARSGATE,GROSVENOR STREET,CHESTER,,CH1 1XG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GJ FITNESS LTD,,000648000015G3,,,15 A-C & F LANCELYN COURT PRECINCT,SPITAL ROAD,WIRRAL,MERSEYSIDE,CH63 9JE,4850,01/02/2011,01/04/2011,-57.07,-57.07,15A LANCELYN COURT PRECINCT,SOITAL ROAD,WIRRAL,MERSEYSICE,CH63 9JJ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GLOPLAY LTD,T/A BUBBLES WORLD OF PLAY,0004267000200A,,,"THE LIDO BUILDING, UNIT 20",MARINE POINT,KINGS PARADE,WALLASEY,CH45 2HZ,117000,01/04/2014,01/04/2015,-9184.00,-9184.00,THE LIDO BUILDING,20 MARINE POINT,KINGS PARADE,WALLASEY,CH45 2PB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GRADE TWO STRUCTURAL,REPAIRS LTD,0000920004730A,,,473 PRICE STREET,BIRKENHEAD,WIRRAL,,CH41 8BG,0,01/04/2016,01/04/2017,-3438.72,-3438.72,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GREALEM PROPERTIES LTD,,00001290005809,,,"58, OXTON ROAD",BIRKENHEAD,WIRRAL,,CH41 2TW,1075,01/04/2013,06/03/2014,-35.38,-35.38,HASLERS,OLD STATION ROAD,LOUGHTON,ESSEX,IG10 4PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,H.M. COASTGUARDS,,000866200269AA,COASTGUARD AERIAL SITE QUARRY,SERVICE STATION,TELEGRAPH ROAD,HESWALL,WIRRAL,MERSEYSIDE,CH60 8NA,1500,01/04/2011,01/04/2011,-856.48,-1619.20,WESTERN REGIONAL BUSINESS MANAGER,TUTT HEAD,MUMBLES,SWANSEA,SA3 4HW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,H.M. COASTGUARDS,,000866200269AA,COASTGUARD AERIAL SITE QUARRY,SERVICE STATION,TELEGRAPH ROAD,HESWALL,WIRRAL,MERSEYSIDE,CH60 8NA,1500,01/04/2010,01/04/2010,-762.72,-1619.20,WESTERN REGIONAL BUSINESS MANAGER,TUTT HEAD,MUMBLES,SWANSEA,SA3 4HW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LIMITED,C/O THE MANAGEMENT OFFICE,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/04/2010,01/06/2010,-230.36,-230.36,UNIT 111 UPPER EGERTON WALK,THE ELLESMERE SHOPPING CENTRE,"WALKDEN, WORLSEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LIMITED,C/O THE MANAGEMENT OFFICE,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/09/2010,01/11/2010,-230.36,-230.36,UNIT 111 UPPER EGERTON WALK,THE ELLESMERE SHOPPING CENTRE,"WALKDEN, WORLSEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LIMITED,C/O THE MANAGEMENT OFFICE,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/02/2011,01/04/2011,-222.80,-222.80,UNIT 111 UPPER EGERTON WALK,THE ELLESMERE SHOPPING CENTRE,"WALKDEN, WORLSEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LTD,,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/07/2011,01/09/2011,-228.17,-228.17,UNIT 111 UPPER EGERTON WALK,ELLESMERE SHOPPING CENTRE,"WALKDEN, WORSLEY",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARCOURT LTD,,0003462A000101,,,UNIT 1 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,01/12/2011,01/02/2012,-228.17,-228.17,MANAGEMENT OFFICE,UNIT 111 UPPER EGERTON WALK,"ELLESMERE CENTRE, WALKDEN",MANCHESTER,M28 5BB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARDISTY CRN LTD,,000636500024D9,,,HARDISTY PT 24-26 GROVE STREET,NEW FERRY,WIRRAL,MERSEYSIDE,CH62 5AZ,10000,01/04/2014,12/03/2015,-172.05,-172.05,1 THURSBY ROAD,CROFT BUSINESS PARK,BROMBOROUGH,MERSEYSIDE,CH62 3PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARROW LEISURE LTD,,00042470006002,,,QUEENS ARMS HOTEL,LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JR,36250,07/01/2014,03/02/2014,-165.49,-165.49,14 HARROW CLOSE,WALLASEY,,,CH44 2HQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HARWOOD BROTHERS LTD,,00072910004507,,,45 WALKER STREET,WIRRAL,MERSEYSIDE,,CH47 2DZ,1925,01/04/2011,01/04/2012,-102.01,-102.01,45 WALKER STREET,WIRRAL,MERSEYSIDE,,CH47 2DZ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HAWKIN'S BAZAAR (SHOPS) LTD,,000272000034A8,,,32-34 MILTON PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YA,54500,20/11/2010,05/01/2011,-895.84,-895.84,THE OLD AERODROME,WORLINGHAM,BECCLES,SUFFOLK,NR34 7SP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,I S C LTD,,0006784000010A,,,1 STANLEY LANE,WIRRAL,MERSEYSIDE,,CH62 0AG,2700,01/04/2016,01/04/2017,-30.60,-30.60,FRIARS COURT,WHITE FRIARS,CHESTER,,CH1 1NZ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INDEPENDENT POWER NETWORKS LTD,C/O COMPANY SECRETARY,00002276000010,,,INDEPENDENT DISTRIBUTION NETWORK OP,NELSON ROAD,BIRKENHEAD,MERSEYSIDE,CH42 2AL,350,01/04/2015,01/04/2016,-21.60,-42.80,ENERGY HOUSE,WOOLPIT BUSINESS PARK,WINDMILL AVENUE,BURY ST EDMUNDS,IP30 9UP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INDEPENDENT POWER NETWORKS LTD,C/O COMPANY SECRETARY,00002276000010,,,INDEPENDENT DISTRIBUTION NETWORK OP,NELSON ROAD,BIRKENHEAD,MERSEYSIDE,CH42 2AL,350,01/04/2014,01/04/2015,-21.20,-42.80,ENERGY HOUSE,WOOLPIT BUSINESS PARK,WINDMILL AVENUE,BURY ST EDMUNDS,IP30 9UP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INGEUS UK LTD,,000267800018B7,,,2ND-3RD FLRS ATLANTIC HOUSE,"18 - 22, HAMILTON STREET",BIRKENHEAD,MERSEYSIDE,CH41 1AL,39500,01/04/2016,25/07/2016,-1668.23,-1668.23,FOURTH FLOOR,66 PRESCOT STREET,LONDON,,E1 8HG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INTEB MANAGED SERVICES LTD,,000617300001Q4,,,UNIT 15,"1, THURSBY ROAD",WIRRAL,MERSEYSIDE,CH62 3PW,6500,01/04/2016,01/04/2016,-54.17,-74.06,C/O PORTAL BUSINESS CENTRES,THURSBY HOUSE,1 THURSBY ROAD,WIRRAL,CH62 3PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INTEB MANAGED SERVICES LTD,,000617300001Q4,,,UNIT 15,"1, THURSBY ROAD",WIRRAL,MERSEYSIDE,CH62 3PW,6500,01/04/2015,04/03/2016,-19.89,-74.06,C/O PORTAL BUSINESS CENTRES,THURSBY HOUSE,1 THURSBY ROAD,WIRRAL,CH62 3PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,IRAF SPYDER 1 LIMITED,,0001001A000606,,,"UNIT 6, ARROWE COMMERCIAL PARK",ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 1AB,17750,01/04/2016,31/10/2016,-1868.72,-1868.72,IRAF SPYDER 4,C/O INFRARED CAPITAL PARTNERS LTD,12 CHARLES II STREET,LONDON,SW1Y 4QU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,IRAF SPYDER 1 LTD,,0001001A0001A7,,,"UNIT 1, ARROWE COMMERCIAL PARK",ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 1AB,12250,04/03/2016,04/03/2016,-449.84,-1694.00,12 CHARLES 11 STREEET,LONDON,,,SW1Y 4QU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,IRAF SPYDER 1 LTD,,0001001A0001A7,,,"UNIT 1, ARROWE COMMERCIAL PARK",ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 1AB,12250,01/04/2016,01/04/2016,-1244.16,-1694.00,12 CHARLES 11 STREEET,LONDON,,,SW1Y 4QU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,IRG BIRKENHEAD LTD,,0002497A001903,,,UNIT 19 THE PYRAMIDS,GRANGE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2ZL,50500,01/04/2016,01/11/2016,-2853.22,-2853.22,TESSUTI LTD,HOLLINGSBROOK WAY,PILSWORTH ,BURY,BL9 8RR
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,IRVING LITTLE & CO IN LIQ,,00024370021703,,,213-219 CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,,CH41 3QE,12750,01/04/2016,01/06/2016,-59.68,-59.68,C/O ATICUS RECOVERY,1 HANSON ROAD,AINTREE,LIVERPOOL,L9 7BP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ITRIMEX LTD,,0006541B000305,,,3 MOSEDALE ROAD,WIRRAL,MERSEYSIDE,,CH62 3QZ,11250,01/04/2016,31/10/2016,-731.51,-731.51,"ULTROMEX LTD, ROOMS 2 & 3",UNIT F2 MERSEY WHARF BUSINESS PARK,BIRKENHEAD,WIRRAL,CH62 4SR
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JAMES MICHAEL INTERIORS,,0004472B0082T5,,,UNIT 19 UVECO BUSINESS CENTRE,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1FD,4450,01/04/2011,01/04/2012,-14.55,-14.55,UNIT 19 UVECO BUSINESS CENTRE,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1FD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JBM FLOORING LTD,,00020940022005,LLOYD & JONES,,220 NEW CHESTER ROAD,BIRKENHEAD,WIRRAL,,CH41 9BQ,6600,01/04/2016,01/09/2016,-80.38,-80.38,UNITED CARPETS,UNIT 8,HUNTS CROSS SHOPPING PARK,LIVERPOOL,L24 9GB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JIENCO LTD,,0004472B0006D6,,,UNIT 6 UVECO WHARF,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DX,3250,06/09/2016,01/04/2017,-536.09,-536.09,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JOHNSON CLEANERS UK LIMITED,,00086620019102,,,191-193 TELEGRAPH ROAD,HESWALL,WIRRAL,,CH60 7SE,19500,27/03/2015,01/04/2015,-711.00,-711.00,C/O BELLROCK FM LTD,ENTERPRISE HOUSE,SUNNINGDALE ROAD,LEICESTER,LE3 1UR
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JOHNSON CONTROLS IBUILDING,EFFICIENCY UK LTD,00050650000506,,,YORK REFRIGERATION,CROSS LANE,WALLASEY,WIRRAL,CH45 8RH,29250,01/04/2016,01/04/2017,-1324.75,-1324.75,PO BOX 68,810 06 BRATISLAVA 16,,SLOVAK REPUBLIC,******
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JON DAVID LTD,,0007349000120A,,,12-14 MARKET STREET,WIRRAL,MERSEYSIDE,,CH47 2AE,16250,07/07/2012,01/04/2013,-65.00,-65.00,FLAT 5 DEE VIEW HOUSE,229 TELEGRAPH ROAD,HESWALL,WIRRAL,CH60 7SF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JUMI LTD,,000866200139AA,,,141 TELEGRAPH ROAD,HESWALL,WIRRAL,,CH60 7SE,17000,01/04/2011,23/03/2012,-1374.72,-1374.72,C/O CDAS,NOOK HOUSE,CHURCH LANE,"HARGRAVE, CHESTER",CH3 7RL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KEEP IT CHEAP-CAR RENTALS LTD,,0002902A000909,,,UNIT 9 COMMERCE PARK,CAMPBELTOWN ROAD,BIRKENHEAD,MERSEYSIDE,CH41 9HP,4750,01/04/2010,01/04/2011,-0.01,-0.01,UNIT J (14) COLOSEUM B/PARK,BASSENDALE ROAD,WIRRAL,MERSEYSIDE,CH62 3QL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KINGSTON SHAW LTD,,000252900003C4,,,UNIT 3 THE WORKSHOPS,MARCUS STREET,BIRKENHEAD,MERSEYSIDE,CH41 1EU,4850,01/04/2011,01/04/2012,-387.53,-387.53,UNIT 3 THE WORKSHOPS,MARCUS STREET,BIRKENHEAD,MERSEYSIDE,CH41 1EU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KLM EXECUTIVE PENSION SCHEME,,0004075A000809,,,1 GALLAGHER HOUSE,CASHEL ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DY,7400,01/04/2012,01/06/2012,-449.79,-449.79,MR T GALLAGHER,GALLAGHER HOUSE,CASHEL ROAD,MERSEYSIDE,CH41 1DY
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KRYPTON LTD,T/A KRYPTON PROPERTY GROUP,000525500086EB,,,GROUND FLOOR 86-88,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH44 2AE,4000,01/04/2013,01/04/2014,-370.00,-370.00,GROUND FLOOR,86-88 WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH44 2AE
