Government Hospitality Stock Report,,,
Country or Region,Vintage,Product,Grade
Alsace,2010,"Gewürztraminer ""Les Princes Abbés"" 2010 (Domaines Schlumberger)",B
Mosel,1990,Serriger Würtzberg Riesling Auslese 1990  Saar Herrenberg  Bert Simon,A
Mosel,2001,Graacher Himmelreich Riesling Spätlese 2001  JJ Prüm,B
Mosel,2001,Scharzhofberger Riesling Spätlese 2001  von Hövel,B
Mosel,2001,Wehlener Sonnenuhr Riesling Spätlese 2001  JJ Prüm,B
Mosel,2007,Bernkasteler Badstube Riesling Kabinett 2007 (JJ Prüm),B
Mosel,2007,Maximin Grünhäuser Abtsberg Riesling Kabinett 2007 (Von Schubert),B
Mosel,2007,Maximin Grünhäuser Abtsberg Riesling Spätlese 2007 (Von Schubert),B
Mosel,2007,Serriger Herrenberg Riesling Spätlese Feinherb 2007 (Weingut Dr Siemens),B
Mosel,2007,Wehlener Sonnenuhr Riesling Spätlese 2007 (JJ Prüm),B
Mosel,2010,Wehlener Sonnenuhr Riesling Spätlese 2010 (JJ Prüm),B
Rhein,2001,Forster Jesuitengarten Riesling Kabinett,B
Rhein,2001,Schloss Johannisberger Riesling Spätlese Grünlack 2001,B
Rhein,2011,Roxheimer Höllenpfad Riesling Trocken 2011  Weingut Hermann Dönnhoff  Nahe,B
Austrian,2001,Grüner Veltliner Thal Novemberlese 2001 (Hiedler),B
Austrian,2011,Loibner Steinertal Riesling Smaragd 2011  F X Pichler,B
Austrian,2011,Steiner Riesling Ried Pfaffenberg Selection 2011 Trocken  Weingut Knoll,B
Italian (Red),1994,Masseto 1994  Bolgheri (Ornellaia),B
Italian (Red),1995,Barolo Claudio Alario 1995,B
Italian (Red),1996,Chianti Classico Riserva  Fonterutoli 1996,B
Italian (Red),1997,Avvoltore 1997  Maremme Tuscana,B
Italian (Red),1999,Allegrini La Poja 1999,A
Italian (Red),1999,Brunello di Montalcino Riserva Talenti,B
Italian (Red),1999,Gavi di Gavi  La Chiara 1999,U
Italian (Red),2000,Paleo Le Macchiole 2000  Bolgheri,B
Italian (Red),2001,Flaccianello della Pieve 2001  Fontodi,B
Italian (Red),2001,Sassicaia Tenuta San Guido 2001,B
Spanish,1999,Vega Sicilia Cosecha Valbuena 1999,A
Spanish,2000,Muga Rioja Reserva 2000  Seleccion,B
Spanish,2000,Ribera del Duero Alion Cosecha 2000,B
Spanish,2001,Calvario Rioja 2001  Finca Allende,B
South African,2002,Mont du Toit 2002  Wellington Western,B
South African,2003,Hamilton Russell Pinot Noir 2003  Walker,B
South African,2003,Rustenberg Peter Barlow Cabernet Sauvignon 2003  Stellenbosch,B
South African,2008,Hamilton Russell Chardonnay 2008  Walker,B
South African,2012,Meerlust Chardonnay 2012  Stellenbosch,B
South African,2012,Rustenberg Five Soldiers Chardonnay 2012  Stellenbosch,B
South African,2014,Hamilton Russell Vineyard Chardonnay 2014  Hemel-en-Aarde,B
Australian,1995,"Lindemans ""Pyrus"" Cabernet Sauvignon",B
Australian,1997,Mitchells Peppertree Shiraz  Clare Valley,C
Australian,1999,Eileen Hardy Shiraz 1999  McLaren Vale,B
Australian,2002,D'Arenberg The Coppermine Road Cabernet Sauvignon 2002  McLaren Vale,B
Australian,2002,Katnook Estate Prodigy Shiraz 2002,B
Australian,2002,Warner Vineyard Giaconda Shiraz 2002,B
Australian,2008,Moss Wood Chardonnay 2008  Margaret,B
Australian,2012,Beginning Chardonnay 2012  The Lane Vineyard  Adelaide Hills,B
Australian,2013,Pierro Chardonnay 2013  Margaret River  Western Australia,B
Californian (White) ,2012,Ramey Russian River Valley Chardonnay 2012  Sonoma County,B
Californian (Red) ,1995,Mondavi Napa Valley Cabernet Sauvignon,B
Californian (Red) ,1996,Ridge Zinfandel  Geyserville 1996,B
Californian (Red) ,1996,Staglin Cabernet Sauvignon 1996,A
Californian (Red) ,1997,Newton Vineyard 1997 Merlot  Special Cuvee  Napa Valley,B
Californian (Red) ,2000,Dominus 2000 Napanook (Christian Moueix),B
Californian (Red) ,2000,Ridge Monte Bello 2000,A
New Zealand,2002,Craggy Range Le Sol Syrah 2002  Hawkes,B
New Zealand,2004,Dry River Pinot Noir 2004  Martinborough,B
New Zealand,2006,Fromm Clayvin Vineyard Chardonnay 2006 Marlborough,B
New Zealand,2008,Felton Road Chardonnay 2008  Central,B
New Zealand,2011,Dog Point Vineyard Chardonnay 2011  Marlborough,B
New Zealand,2013,Dry River Chardonnay 2013  Martinborough,B
Argentina,2003,Prodigo Malbec Reserva 2003  Alessandro Speri  Mendoza,B
Chile  ,2001,Le Dix de Los Vascos 2001 (Domaine Barons de Rothschild) Colchagua,B
Reception Wines (Red),2011,Concha y Toro Merlot,C
Reception Wines (Red),2012,Berry Brothers Good Ordinary Claret 2012,C
Reception Wines (White) ,2011,Chapel Down Bacchus 2011,C
Reception Wines (White) ,2012,Chapel Down Bacchus 2012,C
Reception Wines (White) ,2013,Chapel Down Bacchus 2013,C
Port,1931,Quinta do Noval  1931,A1
Port,1935,Graham 1935,A
Port,1945,Graham 1945,A1
Port,1945,Quinta do Noval  1945,A1
Port,1945,Warre 1945,A1
Port,1948,Fonseca 1948,A1
Port,1977,Dow 1977,A1
Port,1977,Fonseca 1977,A1
Port,1977,Taylor 1977,A
Port,1977,Warre 1977,A
Port,1982,Warres Quinta do Cavadinha 1982,A
Port,1983,Dow 1983,B
Port,1983,Fonseca 1983,B
Port,1983,Graham 1983,A
Port,1983,Taylor 1983,A
Port,1983,Warre 1983,B
Port,1985,Churchill 1985,B
Port,1985,Cockburn 1985,B
Port,1985,Croft 1985,B
Port,1985,Fonseca 1985,A1
Port,1985,Graham 1985,B
Port,1985,Taylor 1985,A
Port,1985,Warre 1985,A
Port,1994,Fonseca 1994,B
Port,1994,Graham 1994,B
Port,1994,Quarles Harris 1994,B
Port,1994,Taylor 1994,B
Port,1994,Warre 1994,B
Port,1996,Quinta do Vesuvio 1996,B
Port,2000,Croft 2000,B
Port,2000,Dow's 2000,B
Port,2000,Fonseca 2000,A
Port,2000,Taylor 2000,B
Sparkling Wines,2001,Chapel Down Pinot Reserve 2001,B
Sparkling Wines,2007,Nyetimber Classic Cuvée 2007,C
Sparkling Wines,2008,Breaky Bottom Cuvée Princess Colonna  Reserve 2008,C
Sparkling Wines,2008,Camel Valley Pinot Noir 2008 Brut,C
Sparkling Wines,2009,Ridgeview Grosvenor 2009 Brut,C
Sparkling Wines,2010,Camel Valley Pinot Noir Rosé Brut 2010,C
Sparkling Wines,         ,NV Nyetimber Demi Sec NV,C
Brandy (Vintage Cognac),1878,Grands Fins Bois 1878 Cognac  Charente Berry Bros,A
Brandy (Vintage Cognac),1906,Hine 1906  Cognac Grand Fine Champagne District  D Sandeman,A
Brandy (Vintage Cognac),1912,Hennessy 1912  Fine Liqueur Cognac  Grande Champagne District  Hennessy,A
Brandy (Vintage Cognac),1913,Martell 1913  Fine Liqueur Cognac  Grande Champagne District  D Sandeman,A
Brandy (Vintage Cognac),1921,Martell 1921  Cognac Grande Champagne District  J Harvey,A
Brandy (Vintage Cognac),1922,Hine 1922  Cognac Grande Champagne,A
Brandy (Vintage Cognac),1924,Hine 1924  Cognac Grande Champagne District  Army & Navy,A
Brandy (Vintage Cognac),1934,Christopher's Grande Fine Champagne Cognac 1934,A
Brandy (Vintage Cognac),1948,Frapin Grande Champagne Cognac 1948,A
Brandy (Vintage Cognac),1960,Hine Grande Champagne Cognac 1960  landed 1962  bottled 1986,A
Brandy (Vintage Cognac),1970,Delamain Fine Champagne Cognac 1970,U
Brandy (NV Cognac),            ,FLB Grande Champagne Cognac NV,B
Brandy (NV Cognac),            ,Harvey's Fine Champagne Cognac  Grande Champagne District,B     
Brandy (NV Cognac),            ,Hine Vieille fine Champagne Cognac,B
Brandy (NV Cognac),1995,Somerset 10 Year Old Cider Brandy,C
Brandy (NV Cognac),         ,NV Frapin FLB Grande Champagne Cognac,B
Brandy (Armagnac) ,            ,Armagnac Chateau de Laubade  Hors,B
Brandy (Armagnac) ,            ,Marquis de Puysegur VSOP Armagnac  Gers District,B
Liqueurs ,,Chartreuse Green,
Liqueurs ,            ,Creme de Menthe,
Liqueurs ,            ,Drambuie,
Liqueurs ,            ,Grand Marnier,
Spirits and Aperitifs,            ,Abelha Silver Cachaca,C
Spirits and Aperitifs,            ,Bourbon                                     ,
Spirits and Aperitifs,            ,Gin                                    ,B
Spirits and Aperitifs,            ,Martini Dry,
Spirits and Aperitifs,         ,NV Dewasakura Oka Sake Junmai-Ginso,B
Malt Whisky,            ,Caol Ila 18 Year Old Single Malt,
Malt Whisky,            ,Dalwhinnie 15 Year Old Single Malt                   ,
Whisky (Various) ,            ,Scotch Whisky Blends          ,
,,,
,                                                                   ,,
