Resource/Capital,Budget Boundary,Category,PESA dept group (excl splits),Dept group alias (excl splits),NAC,Economic category,Code,Code description,SBI,Activity,Spending programme,April 2010 MTH,May 2010 MTH,June 2010 MTH,July 2010 MTH,August 2010 MTH,September 2010 MTH,,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711140,P07Cycling England (DEL Prog LA AA101 ENG),SBI07,ACT0225,SBI07 ACT02 Other transport grants (resource),0,-19,"-2,392","1,841",-556,"2,258",,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711095,P07 Met Rail Psngr Serv Grant EL43 DEL Prog LA (AA101) ENG,SBI07,ACT0226,SBI07 ACT02 Other transport grants (capital),"2,433","1,343",439,"2,182","-2,384","5,444",,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711156,P07Integrated Transport Block Grant (DEL Prog LA AA101 ENG),SBI07,ACT0226,SBI07 ACT02 Other transport grants (capital),"97,578",0,0,"71,791",0,0,,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0710244,P07Road Safety Grnts & Prog Exp. DEL Prog LA (AA101 ENG),SBI07,ACT0323,SBI07 ACT03 Area Based Grants,-90,54,23,0,0,144,,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711029,P07 Road Safety Grnts & Prog Exp. DEL Prog LA (AA101 ENG) CAP,SBI07,ACT0323,SBI07 ACT03 Area Based Grants,0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711096,P07Capital Detrunking Grants (DEL Prog LA AA101 ENG),SBI07,ACT0323,SBI07 ACT03 Area Based Grants,0,0,0,"6,806","6,806",0,,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711157,P07RFA Major Scheme Grants (DEL Prog LA AA101 ENG),SBI07,ACT0326,SBI07 ACT03 Other transport grants (capital),"39,973","-25,527","42,675","97,192","-148,810","241,184",,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711724,P07Green Bus Local Authority (DEL Prog LA AA101 ENG),SBI07,ACT0407,SBI07 ACT04 Bus Service Operators Grant,0,0,0,0,"1,142",0,,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711348,P07SW RDA RIF (DEL Prog CG AA101 ENG),SBI07,ACT0422,"SBI07 ACT04 Resrch, stats, publicity & other services for roads & lcl trnsprt",0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711635,P07Smartcard Competition 3rd Parties (DEL Prog CG AA101 ENG),SBI07,ACT0425,SBI07 ACT04 Other transport grants (resource),0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0711636,P07Smartcard Competition Local (DEL Prog LA AA101 ENG),SBI07,ACT0425,SBI07 ACT04 Other transport grants (resource),0,0,0,0,"5,000",0,,,
Capital,DEL,Prog,Transport,Transport,N1001,Capital support for LG,P0710189,P07Transport security DEL Prog CG (AA101) (UK),SBI07,ACT0503,"SBI07 ACT05 Aviation services, transport security & royal travel",-17,0,17,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,N3001,Capital support for LG,P0710301,P07European Regional Development Fund DEL Prog LA (AA101) (ENG),SBI07,ACT0122,"SBI07 ACT01 Resrch, stats, publicity & other services for roads & lcl trnsprt",0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,N4001,Capital support for LG,P0710031,P07Capital Road Maintenance Supported Borrowing (DEL Prog LA AA210 ENG),SBI07,ACT0123,SBI07 ACT01 Area Based Grants,"763,008",0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,N4001,Capital support for LG,P0710032,P07Integrated Transport Block Supported Borrowing (DEL Prog LA AA210 ENG),SBI07,ACT0123,SBI07 ACT01 Area Based Grants,"211,871",0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,P1001,Capital support for LG,P0710856,P07Second Mersey Tunnel (AA113) (ENG),SBI07,ACT0108,SBI07 ACT01 Tolled River Crossings,0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,P1001,Capital support for LG,P0710857,P07Humber Bridge (AA113) (ENG),SBI07,ACT0108,SBI07 ACT01 Tolled River Crossings,0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,R3001,Capital support for PCs,P0711337,P07Trust Ports DEL Prog CG (AA402) (UK),SBI07,ACT0101,SBI07 ACT01 Ports & shipping services,0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,R3001,Capital support for PCs,P0710876,P07Shipping services DEL Prog CG (AA191) (UK),SBI07,ACT0103,"SBI07 ACT01 Aviation services, transport security & royal travel",0,0,0,"-1,641",0,-151,,,
Capital,DEL,Prog,Transport,Transport,W1501,Other,P0710054,P0710054 - P07 TENS RAIL DEL CG (101 E),SBI07,ACT0205,SBI07 ACT02 Trans European network payments for transport projects (net),0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,W1501,Other,P0710202,P0710202 TENS GVT DEP PROJ DEL CG (101 UK),SBI07,ACT0205,SBI07 ACT02 Trans European network payments for transport projects (net),0,0,0,"1,420","1,885",0,,,
Capital,DEL,Prog,Transport,Transport,W1501,Other,P0710217,P07Powershift and cleaner vehicles programmes DEL Prog CG (AA101) (ENG),SBI07,ACT0206,SBI07 ACT02 Cleaner Fuels and Vehicles,0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,W1501,Other,P0711733,P07Cycling England Capital (DEL Prog CG AA101 ENG),SBI07,ACT0222,"SBI07 ACT02 Resrch, stats, publicity & other services for roads & lcl trnsprt",0,0,0,0,0,0,,,
Capital,DEL,Prog,Transport,Transport,W1501,Other,P0711615,P07LCR (restructure) (DEL Prog CG AA101 Eng),SBI07,ACT0313,SBI07 ACT03 Railways,"-40,000",0,0,0,"40,000",0,,,
Capital,DEL,Prog,Transport,Transport,W1501,Other,P0711282,P07Olympic Funding (DEL Prog CG AA101 ENG),SBI07,ACT0410,SBI07 ACT04 Support construction of venues & infrastructure related to Olympics,"25,680","28,890","15,796","23,389","21,411","7,517",,,
Capital,DEL,Prog,Transport,Transport,W1501,Other,P0711348,P07SW RDA RIF (DEL Prog CG AA101 ENG),SBI07,ACT0422,"SBI07 ACT04 Resrch, stats, publicity & other services for roads & lcl trnsprt",0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E0501,Gross capital procurement,PWA1802A,PWATP- Domestic Trunk Road Network - DEL -Central,SBIWA,,SBIWA Devolved spending,3,337,234,162,700,239,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E0501,Gross capital procurement,PWA1936A,PWATP - International Connectivity - DEL - Central,SBIWA,,SBIWA Devolved spending,121,7,26,145,188,351,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E0501,Gross capital procurement,PWA2700A,PWACWLS-CADW-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,55,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E0501,Gross capital procurement,PWA4052A,PWAEDT- Land and Buildings - DEL- Central,SBIWA,,SBIWA Devolved spending,-122,0,181,0,42,13,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E0501,Gross capital procurement,PWA4151A,PWAESH - Strategic Regeneration Mon a Menai - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,10,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E0501,Gross capital procurement,PWA4162A,PWAESH- Legacy Regeneration - DEL - Central,SBIWA,,SBIWA Devolved spending,0,17,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA0020A,"PWAHSS-LHBs & Trusts, Central Budgets- DEL-Central",SBIWA,,SBIWA Devolved spending,"37,607","17,754","21,100",935,"30,892","26,779",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA0230A,PWAHSS-Health emergency planning-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,"1,773",0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA0231A,PWAHSS- Health Improvement & Healthy Working - DEL -Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,62,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA0682A,PWAHSS-Other Health Central Budgets-DEL-Central,SBIWA,,SBIWA Devolved spending,-396,456,"3,933",469,600,476,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA1802A,PWATP- Domestic Trunk Road Network - DEL -Central,SBIWA,,SBIWA Devolved spending,"4,126","-3,252","-2,619",0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA1881A,PWATP - Sustainable Travel - DEL - Central,SBIWA,,SBIWA Devolved spending,40,-3,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA1936A,PWATP - International Connectivity - DEL - Central,SBIWA,,SBIWA Devolved spending,739,-115,-313,57,25,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA2003A,PWATP- Road Safety & Environment - DEL -Central,SBIWA,,SBIWA Devolved spending,0,59,76,0,81,49,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA2660A,PWACWLS-CADW Capital Expenditure-DEL-Central,SBIWA,,SBIWA Devolved spending,11,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA2700A,PWACWLS-CADW-DEL-Central,SBIWA,,SBIWA Devolved spending,596,0,5,-114,0,114,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA3744A,PWAEDT- Innovation Centres & R&D Facilities - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,-38,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA4052A,PWAEDT- Land and Buildings - DEL- Central,SBIWA,,SBIWA Devolved spending,-858,910,114,-938,-90,-923,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA4151A,PWAESH - Strategic Regeneration Mon a Menai - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,-2,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA4162A,PWAESH- Legacy Regeneration - DEL - Central,SBIWA,,SBIWA Devolved spending,0,-34,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA6780A,PWACA-General Administrative Expenditure-DEL-Central,SBIWA,,SBIWA Devolved spending,-1,0,225,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1502,Gross capital procurement,PWA1802A,PWATP- Domestic Trunk Road Network - DEL -Central,SBIWA,,SBIWA Devolved spending,"1,330","1,682","1,082","1,186","1,738","1,155",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1502,Gross capital procurement,PWA1881A,PWATP - Sustainable Travel - DEL - Central,SBIWA,,SBIWA Devolved spending,0,483,60,0,1,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1502,Gross capital procurement,PWA1936A,PWATP - International Connectivity - DEL - Central,SBIWA,,SBIWA Devolved spending,"1,319","1,714","2,357",713,"1,525","3,622",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1502,Gross capital procurement,PWA2003A,PWATP- Road Safety & Environment - DEL -Central,SBIWA,,SBIWA Devolved spending,0,135,857,38,"1,258",48,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1502,Gross capital procurement,PWA2700A,PWACWLS-CADW-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,26,8,47,176,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1503,Gross capital procurement,PWA2830A,PWAEPC- Fisheries Scheme - DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,4,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1503,Gross capital procurement,PWA4230A,PWAEDT - Marketing Current Expenditure-DEL-Central,SBIWA,,SBIWA Devolved spending,21,0,-3,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1503,Gross capital procurement,PWA6780A,PWACA-General Administrative Expenditure-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,114,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA0140A,PWAHSS-Education & Training-DEL-Central,SBIWA,,SBIWA Devolved spending,306,0,0,0,-306,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA1265A,PWASJR-Fire Revenue- DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,7,0,150,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA1881A,PWATP - Sustainable Travel - DEL - Central,SBIWA,,SBIWA Devolved spending,0,82,49,41,-50,30,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA1936A,PWATP - International Connectivity - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA2700A,PWACWLS-CADW-DEL-Central,SBIWA,,SBIWA Devolved spending,0,2,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA2790A,PWAEPC- SP Administration - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,287,3,0,-37,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA2970A,PWAEPC-Promoting Welsh Food-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA3744A,PWAEDT- Innovation Centres & R&D Facilities - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,5,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA4023A,PWAEDT- Corporate Programmes & Services - DEL- Central,SBIWA,,SBIWA Devolved spending,0,0,15,2,1,10,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA4230A,PWAEDT - Marketing Current Expenditure-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,35,0,0,5,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA6424A,PWAAGW-Public Services Ombudsman-DEL-Central,SBIWA,,SBIWA Devolved spending,1,0,1,2,1,2,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA6620A,PWAAPS-Assembly Commission Staff Costs-DEL-Central,SBIWA,,SBIWA Devolved spending,100,162,80,82,82,285,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA6720A,PWACA-Central & Support Groups-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,17,5,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA6780A,PWACA-General Administrative Expenditure-DEL-Central,SBIWA,,SBIWA Devolved spending,-142,0,-2,199,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA6830A,PWACA-Relocation Strategy-DEL-Central,SBIWA,,SBIWA Devolved spending,9,0,633,33,34,"2,213",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA6860A,PWACA - IT Costs - DEL- Central,SBIWA,,SBIWA Devolved spending,-2,0,88,71,-112,268,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E1504,Gross capital procurement,PWA6885A,PWACA - Business Change - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,16,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E5001,Gross capital procurement,PWA2700A,PWACWLS-CADW-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E5001,Gross capital procurement,PWA2790A,PWAEPC- SP Administration - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,17,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E5001,Gross capital procurement,PWA3742A,PWAEDT- Business Innovation - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E5001,Gross capital procurement,PWA4023A,PWAEDT- Corporate Programmes & Services - DEL- Central,SBIWA,,SBIWA Devolved spending,0,0,-27,98,60,25,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E5001,Gross capital procurement,PWA6780A,PWACA-General Administrative Expenditure-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,1,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E5001,Gross capital procurement,PWA6830A,PWACA-Relocation Strategy-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E5001,Gross capital procurement,PWA6860A,PWACA - IT Costs - DEL- Central,SBIWA,,SBIWA Devolved spending,0,0,"1,288",0,0,1,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,E5001,Gross capital procurement,PWA6885A,PWACA - Business Change - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,7,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA0020A,"PWAHSS-LHBs & Trusts, Central Budgets- DEL-Central",SBIWA,,SBIWA Devolved spending,"-14,511",0,0,"14,511",0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA1802A,PWATP- Domestic Trunk Road Network - DEL -Central,SBIWA,,SBIWA Devolved spending,444,"3,530","3,948","4,089","6,801","6,226",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA1936A,PWATP - International Connectivity - DEL - Central,SBIWA,,SBIWA Devolved spending,639,"3,544","6,624","7,285","1,442","3,604",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA2003A,PWATP- Road Safety & Environment - DEL -Central,SBIWA,,SBIWA Devolved spending,0,0,1,1,2,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA2700A,PWACWLS-CADW-DEL-Central,SBIWA,,SBIWA Devolved spending,3,0,0,1,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA2814A,PWAEPC-Environmental Management Capital-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA4032A,PWAEDT- Business Growth Services - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA4052A,PWAEDT- Land and Buildings - DEL- Central,SBIWA,,SBIWA Devolved spending,79,57,"1,509",563,"1,500","12,293",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA4151A,PWAESH - Strategic Regeneration Mon a Menai - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,2,34,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA4151B,PWAESH - Strategic Regeneration Mon a Menai - DEL - Local,SBIWA,,SBIWA Devolved spending,0,0,0,0,86,-4,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA4162A,PWAESH- Legacy Regeneration - DEL - Central,SBIWA,,SBIWA Devolved spending,1,422,-55,5,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA4162B,PWAESH- Legacy Regeneration - DEL - Local,SBIWA,,SBIWA Devolved spending,0,0,190,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA6200F,PWACWLS-RCAHM-DEL-Central,SBIWA,,SBIWA Devolved spending,-5,0,0,0,1,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA6780A,PWACA-General Administrative Expenditure-DEL-Central,SBIWA,,SBIWA Devolved spending,-82,367,319,201,128,66,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,F2501,Gross capital procurement,PWA6830A,PWACA-Relocation Strategy-DEL-Central,SBIWA,,SBIWA Devolved spending,-11,"1,085",386,"1,215",637,"-2,017",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA0982A,PWASJR - Social Housing Grants Invest -DEL- Central,SBIWA,,SBIWA Devolved spending,"10,848","4,360","5,130","4,106","4,439","3,391",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1000A,PWASJR-Receipts/repayment of SHG follow sale prop-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,-6,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1005A,PWASJR-SHG-Wanless investment-DEL-Central,SBIWA,,SBIWA Devolved spending,"6,600",0,228,"-2,700",0,225,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1012A,PWAEPC- Not4Profit Nursing Homes - DEL -Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1013A,PWAEPC- SHRG Support - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1061A,PWASJR-Major Repairs Allowance-DEL-Central,SBIWA,,SBIWA Devolved spending,"35,476",0,0,"2,865",0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1261A,PWASJR-Home Safety/Construction-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1270A,PWAEPC- Home Energy Efficiency Scheme - DEL - Central,SBIWA,,SBIWA Devolved spending,-196,0,"2,091","2,204","2,298","1,887",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1690A,PWASJR-Social Economy Revenue-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,-1,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1881A,PWATP - Sustainable Travel - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1932A,PWATP- Rail Transport - DEL -Central,SBIWA,,SBIWA Devolved spending,"6,000",190,0,672,140,83,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA1936A,PWATP - International Connectivity - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA2230B,PWAEPC- Flood Risk Management & Water - DEL - Local,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA2660A,PWACWLS-CADW Capital Expenditure-DEL-Central,SBIWA,,SBIWA Devolved spending,-1,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA2700A,PWACWLS-CADW-DEL-Central,SBIWA,,SBIWA Devolved spending,149,209,194,237,160,273,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA2830A,PWAEPC- Fisheries Scheme - DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,3,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA2870A,PWAEPC- Sustainable Environment- DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA2910A,PWAEPC- Rural Development Plan Revenue- DEL-Central,SBIWA,,SBIWA Devolved spending,-138,191,0,149,78,15,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA2938A,PWAEPC- Rural Development Plan Capital - DEL- Central,SBIWA,,SBIWA Devolved spending,858,827,"1,126",612,832,583,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA3642A,PWAEDT- Financial Support to Business - DEL - Central,SBIWA,,SBIWA Devolved spending,-101,"2,060","3,335","3,526","3,467","3,648",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA3744A,PWAEDT- Innovation Centres & R&D Facilities - DEL - Central,SBIWA,,SBIWA Devolved spending,21,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA3771A,PWAEPC - Support for Delivery Bodies - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA4032A,PWAEDT- Business Growth Services - DEL - Central,SBIWA,,SBIWA Devolved spending,-407,402,11,-330,0,676,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA4052A,PWAEDT- Land and Buildings - DEL- Central,SBIWA,,SBIWA Devolved spending,-753,762,175,-29,0,834,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA4151A,PWAESH - Strategic Regeneration Mon a Menai - DEL - Central,SBIWA,,SBIWA Devolved spending,541,4,-21,93,10,29,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA4151B,PWAESH - Strategic Regeneration Mon a Menai - DEL - Local,SBIWA,,SBIWA Devolved spending,38,318,0,35,38,1,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA4162A,PWAESH- Legacy Regeneration - DEL - Central,SBIWA,,SBIWA Devolved spending,0,0,0,16,32,48,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA4231A,PWAEDT - Marketing and Major Events - DEL- Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,0,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA4340A,PWAWEFO-European Regional Development Fund-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,"23,233",780,"13,059",,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA4360A,PWAWEFO-European Social Fund-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,826,-826,11,0,,,
Capital,DEL,Prog,Wales,Welsh Assembly Government,G1001,Capital grants to private sector companies,PWA4765A,PWAELL-Strategic Investment-DEL-Central,SBIWA,,SBIWA Devolved spending,0,0,0,0,-257,0,,,
