?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,POOL CHEMICALS,10/10/2014,254600,1140.64,UNIVAR BV,102046
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,DRAINAGE RATES,29/10/2014,255423,4843.05,UPPER WITHAM INTERNAL DRAINAGE BOARD,101956
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,31/10/2014,255470,14884.25,VAUGHANDALE CONSTRUCTION LTD,100590
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,24/10/2014,254891,3005.56,VAUGHANDALE CONSTRUCTION LTD,100590
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,DEPARTMENTAL HARDWARE,31/10/2014,255455,2500.00,VERISEC LTD,104689
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CONTRACTUAL SERVICES,17/10/2014,254866,1189.57,VODAFONE LIMITED,102225
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,17/10/2014,254773,797.00,WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,100602
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PLANNED MAINTENANCE - GROVE,31/10/2014,255444,460.00,WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,100602
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,17/10/2014,254861,5313.94,WESTVILLE LTD,100604
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,10/10/2014,254521,4374.75,WESTVILLE LTD,100604
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,10/10/2014,254535,3799.43,WESTVILLE LTD,100604
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,10/10/2014,254538,7774.55,WM SAUNDERS PARTNERSHIP LLP,104645
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,TRAINING,31/10/2014,255420,1000.00,ZURICH INSURANCE GROUP LTD,100937
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,TRAINING,31/10/2014,255205,900.00,ZURICH INSURANCE GROUP LTD,100937
